Time Temp Temp Temp Ambient_Temp Temp Ambient_Temp Ambient_Temp Planar_Temp IOH_THERMTRIP CPU_Temp_Interf Temp Temp Temp FAN_MOD_1A_RPM FAN_MOD_2A_RPM FAN_MOD_3A_RPM FAN_MOD_4A_RPM FAN_MOD_5A_RPM FAN_MOD_6A_RPM FAN_MOD_1B_RPM FAN_MOD_2B_RPM FAN_MOD_3B_RPM FAN_MOD_4B_RPM FAN_MOD_5B_RPM FAN_MOD_6B_RPM Fan_Redundancy et
195 -52 -58 38 30 30 28 17 39 5Dh 76h 29 31 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
200 -52 -58 38 30 30 27 17 39 5Dh 76h 29 31 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
205 -52 -58 38 30 30 28 17 39 5Dh 76h 29 31 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
210 -54 -57 38 30 30 28 17 39 5Dh 76h 29 31 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
215 -56 -51 38 30 30 27 17 39 5Dh 76h 30 31 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 10
220 -54 -49 38 30 30 27 17 39 5Dh 76h 29 32 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
225 -56 -48 38 30 30 27 17 39 5Dh 76h 30 32 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
230 -56 -48 38 30 30 28 17 39 5Dh 76h 29 32 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
235 -56 -48 38 30 30 27 16 39 5Dh 76h 29 32 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
240 -55 -48 38 30 30 28 16 39 5Dh 76h 29 32 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
