Time,ambienttemp,cpu0dietemp,cpu0memtemp,cpu1dietemp,cpu1memtemp,gbethtemp,hddbptemp,sptemp,fan1,fan2,fan3,fan4,fan5,fan6,command,data,bufrel,nop,HT2LinkUtil,HT2Nop
60,18.2,38.2,26.2,36.4,29.6,37,19.8,36.4,10020,10240,10380,9620,10880,10720,8143876,17632073.33,17632082.33,17632081.67,0.711139434,0.288860566
65,18.4,38.2,26.2,36.4,29.6,37,19.8,36.4,10020,10240,10380,9620,10880,10720,6613677,12616366,12616357,12616351.67,0.716248968,0.283751032
70,18.2,38.2,26.2,36.4,29.6,36.6,19.8,36.4,10000,10240,10380,9620,10880,10720,5181234.667,10537527.33,10537528.67,10537528.67,0.713606012,0.286393988
75,18,38.2,26.2,36.4,29.6,36.6,19.8,36.4,10000,10240,10380,9620,10880,10720,5711564.333,13363651,13363649.67,13363653.33,0.708233219,0.291766781
80,18,38.2,26.2,36.4,29.6,37,19.8,36.4,10020,10220,10380,9600,10900,10720,8330806,17078041.67,17078055.67,17078059.67,0.713286825,0.286713175
85,18,38.2,26.2,36.4,29.6,37,19.8,36.4,10020,10220,10380,9600,10900,10720,3330578.333,7203931,7203917,7203913.667,0.711177313,0.288822687
90,18.2,38.2,26.4,36.4,29.8,37,19.8,36.4,10040,10220,10400,9640,10900,10720,8114168.667,17764145.33,17764153.33,17764153.67,0.710712731,0.289287269
95,18.2,38.2,26.4,36.4,29.8,37,19.8,36.4,10040,10220,10400,9640,10900,10720,5070965.333,12436385.67,12436378.67,12436374,0.706551591,0.293448409
100,18.2,38.2,26.2,36.4,29.6,37,19.8,36.4,9980,10220,10400,9620,10880,10720,5406283,11279977,11279984.67,11279984.67,0.712584244,0.287415756
105,18,38.2,26.2,36.4,29.6,37,19.8,36.4,9960,10240,10400,9640,10880,10720,5542456.333,13131450.67,13131447,13131452,0.707779587,0.292220413
110,18,38.2,26.2,36.4,29.6,37,19.8,36.4,10000,10220,10400,9640,10860,10700,8313713.333,17759231.33,17759231,17759226,0.711660629,0.288339371
115,18.2,38.2,26.2,36.4,29.6,37,19.8,36.4,10000,10200,10400,9620,10860,10700,6455014,13941888,13941883.33,13941883.33,0.711232596,0.288767404
120,18.2,38.2,26.4,36.4,29.6,36.6,19.8,36.4,9960,10240,10380,9640,10880,10740,3627834.333,9578278.667,9578278.667,9578287.667,0.704032921,0.295967079
125,18.2,38.2,26.4,36.4,29.6,36.6,19.8,36.4,9980,10240,10400,9660,10880,10760,5224436.333,11583890.67,11583896.33,11583892.67,0.710229661,0.289770339
130,18.2,38.2,26.2,36.4,29.8,37,19.8,36.4,10000,10220,10400,9640,10880,10720,5476550.333,12789428.67,12789427.67,12789423,0.708302596,0.291697404
135,18.2,38.2,26.2,36.4,29.8,37,19.8,36.4,10000,10240,10380,9640,10880,10700,7309964.333,15759811.33,15759810,15759809.33,0.71130273,0.28869727
140,18.2,38.2,26.2,36.4,29.6,36.6,19.8,36.4,10000,10220,10400,9640,10880,10700,6212586,13472292.67,13472289.33,13472294.33,0.711077639,0.288922361
145,18,38.2,26.2,36.4,29.6,36.6,19.8,36.4,10000,10220,10400,9620,10880,10700,4282496.333,8830462.667,8830462.667,8830457.667,0.713053477,0.286946523
150,18.2,38.2,26.2,36.6,29.6,37,19.8,36.4,10020,10260,10400,9620,10860,10700,7721856.333,17866609,17866609,17866612.67,0.708641208,0.291358792
155,18,38.2,26.2,36.6,29.6,37,19.8,36.4,10020,10240,10400,9640,10860,10720,7613286.667,16277293.67,16277293.67,16277290,0.711626491,0.288373509
160,18.2,38.2,26.2,36.4,29.6,36.6,20,36.4,10020,10220,10380,9640,10880,10720,2501242,5940758,5940768.333,5940773.667,0.707690044,0.292309956
165,18.2,38.2,26.2,36.4,29.6,36.6,20,36.4,10020,10240,10380,9620,10900,10720,7121947,14090225.67,14090220.67,14090218.33,0.714730243,0.285269757
170,18.2,38.2,26.2,36.4,29.6,37,20,36.4,10000,10220,10400,9600,10900,10740,8226906,17690455.33,17690453.67,17690454,0.711403694,0.288596306
175,18.2,38.2,26.2,36.4,29.6,37,20,36.4,10000,10200,10400,9600,10880,10720,6632305.667,13657500,13657506.33,13657508.33,0.713106609,0.286893391
180,18.2,38.2,26.2,36.4,29.8,37,20,36.4,10000,10200,10400,9600,10880,10720,3637643.667,9190391.333,9190381.333,9190376,0.705519653,0.294480347
185,18.2,38.2,26.2,36.4,29.8,37,20,36.4,10000,10200,10400,9600,10880,10720,6591588.667,13593475.33,13593476.67,13593476.67,0.713048389,0.286951611
190,18.2,38.2,26.2,36.6,29.6,37,20,36.4,10040,10220,10380,9620,10880,10700,7215197.667,15741810.67,15741818,15741822.67,0.710844324,0.289155676
195,18.2,38.2,26.2,36.6,29.6,37,20,36.4,10020,10240,10380,9620,10880,10720,6854310.333,15170783,15170774.33,15170769.67,0.710297043,0.289702957
200,18,38.2,26.2,36.4,29.6,36.8,20,36.4,10000,10240,10380,9620,10880,10720,4604225,10355363,10355366.33,10355366.33,0.709692368,0.290307632
205,18.2,38.2,26.2,36.4,29.6,36.8,20,36.4,10020,10220,10380,9620,10880,10700,5065428,11558420.33,11558417,11558417,0.709154038,0.290845962
210,18.2,38.4,26.2,36.4,29.8,37,20,36.4,10020,10240,10380,9620,10880,10720,7822046,17521619.67,17521624.33,17521624.33,0.70984402,0.29015598
215,18.2,38.4,26.2,36.4,29.8,37,20,36.4,10000,10240,10380,9640,10880,10740,7503989,14788987,14788982.33,14788982.33,0.714888873,0.285111127
220,18,38.2,26.4,36.4,29.8,36.6,20,36.4,9980,10240,10380,9640,10880,10740,2242136.667,5230012,5230012,5230013.667,0.708344701,0.291655299
225,18,38.2,26.4,36.4,29.8,36.6,20,36.4,10000,10260,10380,9640,10880,10720,7400524,16326497.33,16326499.33,16326497.67,0.710420497,0.289579503
230,18,39.2,26.2,37.4,29.8,36.4,20,36.4,10020,10260,10380,9640,10880,10700,7694136.333,16032070,16032070,16032073.33,0.71263716,0.28736284
235,18.4,39.2,26.2,37.4,29.8,36.4,20,36.4,10020,10260,10380,9640,10880,10720,6635425,13784671.67,13784669.67,13784666.33,0.712756214,0.287243786
240,18.4,39.8,26.4,37.4,29.8,37,20,36.4,10020,10240,10420,9620,10900,10740,3943786,9389390,9389393.667,9389395.667,0.707604453,0.292395547
245,18.2,39.8,26.4,37.4,29.8,37,20,36.4,10020,10240,10440,9600,10900,10740,5833366.667,13054780.67,13054777,13054778.33,0.709879004,0.290120996
250,18.2,39.6,26.6,37.6,29.8,36.6,20,36.4,10020,10240,10400,9640,10880,10720,7858023.667,16552748,16552753.33,16552750,0.712207545,0.287792455
255,18,39.6,26.6,37.6,29.8,36.6,20,36.4,10000,10220,10380,9640,10880,10720,5821071,12776281.67,12776285,12776286.33,0.710615893,0.289384107
260,18.2,40,26.6,37.8,29.8,36.6,20,36.4,10000,10240,10400,9600,10880,10720,5806153.667,12071159.33,12071154,12071152.67,0.712725799,0.287274201
265,18.2,40,26.6,37.8,29.8,36.6,20,36.4,10000,10240,10400,9600,10880,10720,5802596.333,13131440,13131439.67,13131439.67,0.709461598,0.290538402
270,18,40,26.6,37.4,29.8,37,20,36.4,10000,10220,10400,9620,10880,10720,7469249,17723264.67,17723266,17723267,0.707725171,0.292274829
275,18,40,26.6,37.4,29.8,37,20,36.4,10000,10220,10420,9620,10880,10720,5363917,12112457,12112457.33,12112456.33,0.70954239,0.29045761
280,18.2,40,26.6,37.8,30,37.4,20,36.4,10000,10240,10420,9640,10860,10740,4247325.667,9358369,9358369,9358369,0.710468296,0.289531704
285,18,40,26.6,37.8,30,37.4,20,36.4,10020,10260,10400,9640,10860,10720,6600086.333,14795236.33,14795242.33,14795242.33,0.709816455,0.290183545
290,18.2,40.4,26.6,38,30,37.4,20,36.4,10020,10260,10400,9620,10860,10680,7869321.333,15166282,15166271.33,15166271.33,0.715817909,0.284182091
295,18,40.4,26.6,38,30,37.4,20,36.4,10000,10260,10400,9640,10880,10700,6214667,12837049.67,12837049.67,12837049.67,0.712983444,0.287016556
300,18,40.4,27,38.4,30,37.4,20,36.4,10000,10240,10400,9640,10900,10740,60314822.33,97304640.67,97304642,97304651.33,0.723745862,0.276254138
305,18.2,40.4,27,38.4,30,37.4,20,36.4,10000,10240,10400,9620,10880,10740,93177115,135247931.3,135247930,135247920.7,0.72891911,0.27108089
310,18.2,40.6,27,38.2,30,37.4,20,36.4,10000,10240,10400,9620,10900,10740,85164156.67,83293670.33,83293678.33,83293686.33,0.751395667,0.248604333
315,18.4,40.6,27,38.2,30,37.4,20,36.4,10000,10240,10400,9620,10920,10740,78539340,89401590.67,89401582.67,89401574.67,0.742168424,0.257831576
320,18,40.6,27,38.2,30,37.4,20,36.4,10000,10260,10400,9600,10900,10740,81011590,105631812.3,105631812.3,105631817.7,0.734531413,0.265468587
325,18,40.2,27,38.6,30,37.4,20,36.4,10020,10240,10420,9600,10880,10740,106722048,128272777.7,128272777.7,128272772.3,0.739039195,0.260960805
330,18,40.2,27,38.4,30.2,37.4,20,36.4,10020,10220,10420,9640,10860,10720,118087613,177097018.3,177097024,177097024,0.727282355,0.272717645
335,18.2,40.6,27,38.2,30.2,37,20,36.4,10000,10240,10400,9640,10880,10700,79171239.33,71830854,71830850.67,71830853.67,0.756227761,0.243772239
340,18.2,40.8,27,38.4,30.2,37,20,36.4,10020,10240,10400,9620,10900,10700,65840671,83214834.33,83214838,83214844.67,0.736232166,0.263767834
345,18.2,40.6,27,38.4,30.4,37.4,20,36.4,10040,10220,10400,9640,10880,10720,94890866,153509856.3,153509850.3,153509847.3,0.723615046,0.276384954
350,18,40.6,27,38.2,30.4,37.4,20,36.4,10020,10240,10400,9640,10880,10740,97720915.33,170694270.3,170694270.3,170694267,0.720083265,0.279916735
355,18,40.6,27,38,30.4,37.4,20,36.4,10020,10260,10420,9640,10880,10740,79367924.67,39219857.33,39219857.33,39219854,0.800942227,0.199057773
360,18.4,40.6,27.2,38,30.4,37.4,20,36.4,10020,10280,10420,9640,10860,10720,96629609.67,115782393,115782393.3,115782393.3,0.739215211,0.260784789
365,18.2,40.4,27.2,38.4,30.4,37.4,20,36.4,10020,10260,10420,9640,10860,10720,125444602,280885995,280885994.7,280885994.7,0.709859266,0.290140734
370,18.2,40.2,27.2,38.4,30.6,37.4,20,36.4,10040,10240,10400,9660,10880,10740,109165161.3,113406428.3,113406429.3,113406429.3,0.747640512,0.252359488
375,18.2,40.2,27.2,38.6,30.6,37.4,20,36.4,10040,10240,10380,9660,10900,10740,93571336,113130080.7,113130085,113130090.3,0.738706406,0.261293594
380,18.2,40.4,27.2,38.4,30.6,37.8,20,36.4,10020,10240,10420,9640,10900,10740,83985101,125294878,125294872.7,125294867.3,0.727542688,0.272457312
385,18.2,40.2,27.2,38.4,30.6,37.8,20,36.4,10020,10260,10420,9620,10900,10740,84214043,111042293.3,111042300,111042302.3,0.733929044,0.266070956
390,18.2,40.6,27.2,38.6,30.6,37.4,20,36.4,10020,10240,10400,9640,10900,10720,77674414.33,90742908.33,90742910.33,90742913.33,0.740662768,0.259337232
395,18,40.6,27.2,38.8,30.6,37.4,20,36.4,10020,10220,10400,9640,10880,10720,77698567.33,89782180.67,89782175.67,89782172,0.741295373,0.258704627
400,18,40.6,27.2,38.6,30.6,37.8,20,36.4,10020,10240,10400,9620,10900,10720,85722403.33,137732026,137732022.3,137732020.7,0.723938823,0.276061177
405,18.4,40.6,27.2,38.6,30.6,37.8,20,36.4,10020,10260,10420,9640,10920,10700,79492272,102547235,102547235,102547235,0.735111767,0.264888233
410,18,40.4,27.4,38.4,30.6,37.8,20,36.4,10020,10240,10440,9640,10880,10700,92968952.33,144767267.7,144767270,144767275.3,0.725440353,0.274559647
415,18.4,40.4,27.4,38.2,30.6,37.8,20,36.4,10020,10220,10440,9620,10880,10720,97202320.67,111121206.7,111121206.7,111121206.7,0.741918261,0.258081739
420,18.4,40.4,27.4,38,30.6,37.8,20,36.4,10020,10260,10420,9620,10880,10740,65750090.67,41094187.33,41094193.33,41094198,0.782607958,0.217392042
425,18.4,40.6,27.4,38,30.6,37.8,20,36.4,10020,10280,10400,9620,10860,10740,94295266,174130580.7,174130572.3,174130567.7,0.717635411,0.282364589
430,18.2,40.6,27.6,38,30.6,37.4,20,36.4,10000,10240,10400,9640,10880,10720,75087563,70402432,70402442,70402436.67,0.754091173,0.245908827
435,18,40.4,27.6,38,30.8,37.4,20,36.4,10000,10240,10420,9660,10880,10720,77947200,102295756.7,102295746.7,102295747.7,0.734182458,0.265817542
440,18.4,40.6,27.8,38,30.8,37.8,20,36.4,10000,10260,10420,9620,10880,10740,97240695.67,200595520.7,200595524.3,200595525,0.713036194,0.286963806
445,18.4,40.6,27.8,38.2,30.8,37.8,20,36.4,9980,10240,10420,9620,10900,10720,69627461,89962005.33,89962003,89962006.33,0.735026699,0.264973301
450,18.2,40.4,27.8,38.2,30.8,37.8,20,36.4,9980,10240,10440,9640,10920,10700,78614623.67,99233782,99233784.67,99233781.33,0.736301967,0.263698033
455,18,40.4,27.8,38.2,30.8,37.8,20,36.4,10000,10260,10420,9640,10900,10720,79363707.67,84077666,84077665.67,84077673,0.746445999,0.253554001
460,18.2,40.6,28.2,38.4,30.8,37.8,20,36.4,10020,10220,10420,9620,10880,10720,82323050,83936574,83936577,83936573.67,0.748792755,0.251207245
465,18.4,40.8,28.2,38.2,30.8,37.8,20,36.4,10020,10200,10420,9620,10880,10720,100377259,151429200,151429198.7,151429198,0.726989737,0.273010263
470,17.8,40.6,28.2,38,30.8,37.8,20,36.4,10000,10260,10400,9620,10880,10720,88820507,93280084,93280078.67,93280073.67,0.746975843,0.253024157
475,17.8,40.6,28.2,38.2,30.8,37.8,20,36.4,10020,10280,10420,9600,10880,10720,84181194.67,73675488.33,73675488.33,73675488.33,0.758605376,0.241394624
480,18,40.8,28.2,38.2,30.8,37.8,20,36.4,10040,10240,10420,9640,10880,10740,104660778.3,113002006.7,113002012.7,113002012.7,0.745299829,0.254700171
485,18.2,40.6,28.2,38.4,30.8,37.8,20,36.4,10020,10240,10420,9660,10880,10720,90727693.33,113595407.7,113595407,113595407.7,0.736751461,0.263248539
490,18,40.6,28.2,38.2,30.8,37.8,20,36.4,10020,10240,10440,9640,10860,10720,88607455.33,108859582.3,108859577.3,108859576.7,0.737805402,0.262194598
495,18,40.8,28.2,38.4,30.8,37.8,20,36.4,10020,10240,10440,9640,10880,10740,76859266,83755187.33,83755188,83755195.67,0.744745944,0.255254056
500,18.2,40.8,28.4,38.4,30.8,37.8,20,36.4,10020,10260,10440,9640,10880,10740,70260633.67,79715795.33,79715798.33,79715792,0.742360291,0.257639709
505,18.2,40.6,28.4,38,30.8,37.8,20,36.4,10020,10260,10440,9620,10860,10740,122713759,190483774,190483774,190483772.7,0.725592977,0.274407023
510,18.2,40.6,28.4,38.2,30.6,37.8,20,36.4,10020,10260,10400,9620,10880,10720,85070130.33,94866037.67,94866036,94866039,0.7433752,0.2566248
515,18.2,40.8,28.4,38.2,30.8,37.8,20,36.4,10020,10260,10400,9640,10880,10700,68643196.33,97658609.67,97658612,97658609,0.729940623,0.270059377
520,18,40.8,28.4,38.2,30.8,37.8,20,36.4,10020,10260,10440,9640,10860,10700,72457778.67,75900581.33,75900582,75900585.67,0.747132512,0.252867488
525,18.2,40.6,28.4,38.2,30.8,37.8,20,36.4,10020,10260,10440,9620,10860,10720,91187371.33,124330429.3,124330424,124330422.7,0.732149629,0.267850371
530,18.4,40.4,28.8,38,30.8,37.8,20,36.4,10000,10240,10420,9620,10880,10720,71000103,73933789.67,73933794,73933793,0.747495152,0.252504848
535,18.4,40.4,28.6,38.2,30.8,38,20,36.4,10000,10240,10400,9620,10880,10720,78937053.67,77637664.67,77637665.33,77637668.67,0.751041669,0.248958331
540,18.4,40.4,28.6,38.4,30.8,38,20,36.4,10040,10260,10400,9600,10880,10740,75925009.67,80700573.67,80700569.33,80700564.67,0.746245959,0.253754041
545,18.2,40.6,28.6,38.2,30.8,37.8,20,36.4,10040,10260,10400,9600,10880,10740,89709264.33,120070467.7,120070469.7,120070472.3,0.733129684,0.266870316
550,18.6,40.6,28.6,38.4,30.8,37.4,20,36.6,10040,10240,10400,9620,10880,10740,86172145.67,65664937.67,65664939,65664937.67,0.768105228,0.231894772
555,18.4,40.4,28.8,38.6,30.8,37.6,20,36.6,10040,10240,10420,9620,10900,10740,101918360.3,85251086,85251082,85251084,0.761649846,0.238350154
560,18.2,40.4,28.8,38.6,30.8,38,20,36.6,10020,10260,10440,9600,10920,10740,175153702,211377973.3,211377978.7,211377975.3,0.738809828,0.261190172
565,18,40.4,28.6,38.4,30.8,38,20,36.6,10020,10240,10420,9600,10900,10740,145965489,189694240.3,189694243,189694253.3,0.734711245,0.265288755
570,18,40.4,28.6,38,30.8,38,20,36.6,10020,10240,10380,9620,10880,10740,171318195.3,212103570.7,212103562.7,212103552.3,0.737374978,0.262625022
575,18,40.4,28.8,38.2,30.8,38,20,36.6,10020,10260,10400,9620,10900,10740,136791490.3,129519165.7,129519175,129519179.7,0.753460696,0.246539304
580,18.4,40.4,28.8,38.2,30.8,38,20,36.6,10020,10240,10420,9620,10900,10720,134020897,181817160.3,181817157.7,181817157.3,0.732414201,0.267585799
585,18.2,40.4,28.6,38,30.8,37.8,20,36.6,10020,10240,10420,9620,10880,10720,132102152,97543036,97543034,97543029.67,0.770341765,0.229658235
590,18.2,40.4,28.6,38,30.8,37.4,20,36.6,10000,10260,10420,9600,10860,10720,128504490.7,112194062,112194060.7,112194060.7,0.758767415,0.241232585
595,18,40.4,28.8,38,30.8,37.6,20,36.6,10000,10260,10420,9600,10880,10700,154190012.3,153383268.3,153383265,153383268.7,0.750328295,0.249671705
600,18,40.4,29,38.4,30.8,38,20,36.6,10020,10260,10420,9600,10900,10720,175857303,251665743,251665751,251665747.3,0.729640094,0.270359906
605,18.4,40.4,28.8,38.4,30.8,38,20,36.6,10020,10260,10420,9600,10880,10740,123123432,137041682,137041674,137041674,0.743487003,0.256512997
610,18.2,40.6,28.8,38.2,30.8,37.6,20.2,36.6,10020,10260,10420,9600,10880,10740,149137394,163481824.7,163481824.7,163481830,0.744393046,0.255606954
615,17.8,40.6,28.8,38.2,30.8,37.6,20.2,36.6,10020,10240,10400,9620,10880,10740,92051724,110438645,110438654.7,110438655,0.739142451,0.260857549
620,17.8,40.6,29,38.4,30.8,37.6,20.2,36.6,10000,10220,10400,9640,10860,10720,105513584,97693754.33,97693756.67,97693759.33,0.754904615,0.245095385
625,18.4,40.6,29,38.4,30.8,37.6,20.2,36.6,10000,10240,10420,9620,10860,10720,144371261,185797235,185797226.3,185797221.7,0.735242188,0.264757812
630,18.2,41,28.8,38,30.8,37.6,20.2,37,10000,10240,10420,9600,10860,10720,125277798,102262631,102262629,102262625.3,0.763316946,0.236683054
635,18.4,41,28.8,38,30.8,37.6,20.2,37,10000,10240,10420,9620,10860,10720,141318034.3,152031018.3,152031021,152031021,0.745516911,0.254483089
640,18.4,40.8,28.6,38.4,30.8,38,20.2,37,10020,10260,10440,9640,10880,10740,133022545.7,196351209.3,196351205.3,196351213,0.7280741,0.2719259
645,18,40.8,28.8,38.4,30.8,38,20.6,37,10020,10260,10420,9640,10900,10740,110760082.7,88177210.67,88177210.67,88177203,0.765043561,0.234956439
650,18,41.2,28.8,38.4,30.8,38,20.6,37,9980,10240,10380,9660,10900,10740,118301366.3,129148952.3,129148955.7,129148955.7,0.744637849,0.255362151
655,18,41.4,28.6,38.4,31,38,20.6,37,10000,10240,10400,9660,10880,10740,118339162.3,89833938.33,89833938,89833945.67,0.768374284,0.231625716
660,18,41.4,28.6,38.2,31,38,20.6,37,10040,10220,10420,9640,10880,10720,131336270.3,146003924,146003924.3,146003921.7,0.743559455,0.256440545
665,18.2,41.2,28.6,38.4,31,38,20.6,37,10020,10220,10420,9640,10900,10720,101586478.7,72041962.33,72041962,72041960.33,0.773247854,0.226752146
670,18.4,41.2,28.6,38.4,31,37.6,20.6,37,10000,10240,10400,9640,10880,10740,161553626.3,199781738.7,199781746.3,199781743.3,0.737439816,0.262560184
675,18.2,41.4,28.6,38.4,31,37.6,20.6,37,10020,10240,10380,9620,10860,10740,87869410.33,97065654,97065649.67,97065663.33,0.743934917,0.256065083
680,18.4,41.6,28.6,38.6,31,37.6,20.6,37,10040,10260,10400,9600,10880,10760,125755472.7,163340446.7,163340440.3,163340426.3,0.734740851,0.265259149
685,18.2,41.4,28.6,38.4,31,37.6,20.6,37,10020,10260,10420,9620,10880,10760,138601610.3,125789718.7,125789719.7,125789729,0.756207649,0.243792351
690,18.2,41.4,28.4,38.4,31,37.6,20.6,37,10020,10260,10420,9640,10860,10720,165509691.7,134924521.7,134924521,134924516.7,0.763407892,0.236592108
695,18.4,41.6,28.6,38.4,31,37.6,20.6,37,10040,10260,10420,9640,10860,10720,155479082,209284239,209284240.3,209284235.3,0.732828112,0.267171888
700,18.2,41.6,28.6,38.4,31,38,20.6,37,10040,10280,10420,9640,10880,10740,154430218,86699113,86699111.33,86699111.33,0.790848375,0.209151625
705,18.2,41.4,28.4,38.6,31,38,20.6,37,10020,10280,10420,9620,10900,10740,166922214.7,193916223.7,193916231,193916240.7,0.740986009,0.259013991
710,18.4,41.4,28.4,38.6,31,37.6,20.6,37,10040,10260,10400,9620,10880,10740,189783701.3,321809495.7,321809491.3,321809481.7,0.721428245,0.278571755
715,18.2,41.4,28.6,38.4,31,37.6,20.6,37,10040,10260,10380,9640,10860,10740,170842019,205870067,205870064,205870068.7,0.738893412,0.261106588
720,18.6,41.2,28.6,38.6,31.2,38,20.6,37,10000,10240,10400,9640,10880,10740,200258708,244245469.7,244245472.7,244245473,0.738213559,0.261786441
725,18.4,41.2,28.4,38.6,31.2,38,20.6,37,10000,10240,10420,9620,10900,10740,163710224.7,159933641.3,159933644.3,159933643.3,0.751467177,0.248532823
730,18.2,41,28.4,38.6,31,38,20.6,37,10020,10260,10420,9620,10900,10740,146641138.3,172982373.7,172982367.7,172982363.7,0.740106041,0.259893959
735,18.4,41,28.6,38.6,31,38,20.6,37,10020,10260,10420,9640,10880,10740,152536438.3,150359418.7,150359422,150359424,0.750901654,0.249098346
740,18.4,41.4,28.6,38.4,31.2,38,20.6,37,10040,10280,10420,9640,10880,10720,146419768.7,129013360,129013365,129013365.3,0.758157314,0.241842686
745,18.4,41.4,28.6,38.4,31.2,38,20.6,37,10060,10280,10400,9640,10880,10720,117140982.7,213312460,213312453,213312454.3,0.718242565,0.281757435
750,18.2,41.4,28.6,38.4,31,38,20.6,37,10040,10240,10380,9640,10860,10720,133282173,253254866,253254864.7,253254861,0.716414782,0.283585218
755,18,41.2,28.4,38.8,31,38,20.6,37,10020,10240,10380,9640,10880,10720,144653138.3,87672734.67,87672739.67,87672743.33,0.784942596,0.215057404
760,18,41.2,28.4,38.8,31.2,38,20.6,37,10020,10260,10400,9640,10880,10740,167763604,232609242.7,232609246,232609252.7,0.731271282,0.268728718
765,18,40.8,28.6,39,31.2,38,20.6,37.4,10020,10240,10420,9640,10880,10740,166907610,213932120,213932114.7,213932104.3,0.735463015,0.264536985
770,18,40.8,28.4,39,31,38,20.6,37.4,10020,10240,10420,9640,10880,10740,171528871.7,188038016.3,188038013.3,188038015.7,0.744389552,0.255610448
775,18,41.2,28.2,38.8,31,38,20.6,37,10020,10240,10440,9640,10860,10720,190527665,208420604.3,208420606.7,208420607.3,0.744516678,0.255483322
780,18.2,41.2,28.2,38.8,31,37.6,20.6,37,10040,10240,10440,9620,10880,10720,147924560.3,103543639,103543643,103543646.3,0.774196038,0.225803962
785,18.4,41.2,28.4,38.4,31,37.6,20.6,37.4,10060,10260,10440,9620,10900,10740,150804151,158009572,158009567.7,158009565,0.747117067,0.252882933
790,18.4,41.2,28.6,38.4,31.2,38,20.6,37.4,10040,10260,10440,9620,10900,10740,243522778.3,373562384,373562385,373562386.3,0.726169428,0.273830572
795,18.6,41.2,28.6,38.4,31.2,38,20.6,37.4,10020,10260,10420,9640,10920,10740,208183799,215962674.7,215962678,215962680.7,0.747728318,0.252271682
800,18,41.2,28.4,38.4,31.2,38,20.6,37.4,10020,10260,10420,9640,10900,10740,241622758.3,451535218.3,451535220.3,451535215,0.717123683,0.282876317
805,18.2,41.4,28.4,38.2,31.2,38.4,20.6,37.4,10020,10260,10420,9620,10860,10740,221917119,316014438.3,316014434.7,316014438,0.729893055,0.270106945
810,18.2,41.4,28.4,38.2,31.2,38.4,20.6,37.4,10040,10260,10420,9640,10880,10740,185145992,238392295.3,238392290.7,238392285,0.735214672,0.264785328
815,18.4,41,28.2,38.8,31.2,38,20.6,37.4,10040,10260,10420,9640,10880,10740,162503151,53401769.67,53401778,53401785,0.834520046,0.165479954
820,18.6,40.8,28.4,38.8,31.2,38,20.6,37.4,10020,10260,10420,9620,10880,10740,196748868.3,290222127.7,290222133.3,290222135.7,0.728107565,0.271892435
825,18.6,41,28.6,38.6,31.2,38,20.6,37.4,10020,10240,10420,9640,10900,10720,142341862,164178871.3,164178857.3,164178855.3,0.74140112,0.25859888
830,18.4,40.8,28.6,38.6,31.2,38,20.6,37.4,10020,10240,10420,9640,10900,10720,113286034.3,112840478.3,112840478.3,112840471,0.750246553,0.249753447
835,18.4,41,28.4,38.8,31.2,38.6,20.6,37.4,10020,10260,10440,9600,10880,10720,74252871.67,79498841,79498847,79498851.67,0.745806551,0.254193449
840,18.4,41.4,28.2,38.8,31,38.6,20.6,37.4,10020,10260,10420,9620,10880,10720,82294749.33,69522842.33,69522846.67,69522846.33,0.76097758,0.23902242
