Time,ambienttemp,cpu0dietemp,cpu0memtemp,cpu1dietemp,cpu1memtemp,gbethtemp,hddbptemp,sptemp,fan1,fan2,fan3,fan4,fan5,fan6,command,data,bufrel,nop,HT2LinkUtil,HT2Nop
0,18.2,38.2,26.4,36.4,29.6,37.4,19.8,36,9980,10220,10380,9600,10920,10720,8474858.333,16818469.33,16818469.67,16818469.67,0.714603878,0.285396122
5,18.2,38.2,26.4,36.4,29.6,37.4,19.8,36,9980,10220,10380,9600,10920,10720,8071744,16470411.33,16470415.67,16470415.67,0.71347321,0.28652679
10,18.2,38.2,26.2,36.4,29.6,37,19.8,36,10000,10240,10400,9600,10900,10740,4526917,10413103,10413098.33,10413098.33,0.708856589,0.291143411
15,18.2,38.2,26.2,36.4,29.6,37,19.8,36,10000,10240,10400,9600,10900,10740,4011628.667,10309004,10309004,10309004,0.704939751,0.295060249
20,18.2,38.2,26.2,36.4,29.8,36.8,19.8,36,10000,10260,10420,9640,10900,10720,7938758,16693835,16693835,16693836.67,0.712275758,0.287724242
25,18.2,38.2,26.2,36.4,29.8,36.8,19.8,36,10000,10260,10420,9640,10900,10720,7696903.333,15748285.33,15748289,15748291.33,0.713363956,0.286636044
30,18.2,38.2,26.2,36.4,29.6,37,19.8,36,10000,10240,10400,9640,10880,10740,4031132.667,9993434,9993434.333,9993435.667,0.706174256,0.293825744
35,18.2,38.2,26.2,36.4,29.6,37,19.8,36,10000,10240,10400,9640,10880,10740,5062537,11696251,11696247,11696244,0.708695606,0.291304394
40,18.2,38.2,26.2,36.4,29.8,37,19.8,36,10020,10220,10400,9640,10860,10700,7870874,16145683.67,16145691.67,16145692,0.713260836,0.286739164
45,18.2,38.2,26.2,36.4,29.8,37,19.8,36,10020,10220,10400,9640,10860,10700,8107603.333,17648473.67,17648468.33,17648468.33,0.710932069,0.289067931
50,18.2,38.2,26.2,36.4,29.6,36.6,19.8,36.4,10000,10240,10400,9660,10880,10720,6042866,12543069.67,12543068.67,12543066,0.712789755,0.287210245
55,18.2,38.2,26.2,36.4,29.6,36.6,19.8,36.4,10000,10240,10400,9660,10880,10720,3590200,7969893.333,7969891.667,7969897.667,0.710184303,0.289815697
