parsecsingle.sh: Executing swaptions benchmark.
parsecsingle.sh: Destination directory is /usr/home/awl8049/scheduler/
parsecsingle.sh: Using parsec_awldev1swaptions as id for this run
parsecsingle.sh: Clearing memory on power meter
parsecsingle.sh: Restarting teaplant.
And now we start the Parsecsingle swaptions benchmark at 
DEBUG - PARSECPLAT is amd64-bsd.gcc
DEBUG buildfile = /usr/home/awl8049/Projects/parsec-2.1/config/gcc.bldconf
[PARSEC] Benchmarks to run:  swaptions

[PARSEC] [========== Running benchmark swaptions ==========]
[PARSEC] Deleting old run directory.
[PARSEC] Setting up run directory.
[PARSEC] No archive for input 'native' available, skipping input setup.
[PARSEC] Running 'time /usr/home/awl8049/Projects/parsec-2.1/pkgs/apps/swaptions/inst/amd64-bsd.gcc/bin/swaptions -ns 128 -sm 1000000 -nt 1':
[PARSEC] [---------- Beginning of output ----------]
PARSEC Benchmark Suite Version 2.1
Swaption30: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption31: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption32: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption33: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption34: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption35: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption36: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption37: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption38: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption39: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption40: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption41: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption42: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption43: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption44: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption45: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption46: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption47: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption48: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption49: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption50: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption51: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption52: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption53: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption54: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption55: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption56: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption57: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption58: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption59: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption60: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption61: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption62: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption63: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption64: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption65: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption66: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption67: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption68: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption69: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption70: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption71: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption72: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption73: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption74: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption75: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption76: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption77: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption78: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption79: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption80: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption81: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption82: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption83: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption84: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption85: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption86: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption87: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption88: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption89: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption90: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption91: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption92: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption93: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption94: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption95: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption96: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption97: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption98: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption99: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
Swaption100: [SwaptionPrice: 0.0000176943 StdError: 0.0000004602] 
