 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6606456 7614708 146 1475 37 0 0 0 98 5  0  0  0  628 1680  513 12  3 85
 0 0 0 6806260 7812436 145 2103 0 0 0 0  0  0  0  0  0  596 2050  369  0  3 97
 0 0 0 6806284 7812424 144 1827 0 1 1 0  0  0  0  0  0  523 1501  370  0  3 97
 0 0 0 6806000 7812288 144 1829 0 0 0 0  0  0  0  0  0  548 1502  375  0  3 97
 0 0 0 6806284 7812424 144 1825 0 0 0 0  0  0  0  0  0  546 1492  373  0  4 96
 0 0 0 6806032 7812316 144 1823 0 0 0 0  0  0  0  0  0  545 1505  380  0  3 97
 0 0 0 6806204 7812384 144 1828 0 0 0 0  0  0  0  0  0  542 1486  375  0  3 97
 0 0 0 6806284 7812420 144 1825 0 1 1 0  0  0  0  0  0  561 1504  370  0  3 97
 0 0 0 6806000 7812284 144 1823 0 0 0 0  0  0  0  0  0  547 1547  396  0  3 97
 0 0 0 6806260 7812408 88 1010 0 0 0  0  0  0  0  0  0  509 1108  336  0  2 98
 0 0 0 6806260 7812396 56 817 0 0  0  0  0  0  0  0  0  499  922  335  0  1 99
 0 0 0 6806212 7812392 144 1826 0 0 0 0  0  0  0  0  0  554 1503  381  0  3 97
 0 0 0 6806260 7812400 144 1827 0 0 0 0  0  0  0  0  0  540 1488  372  0  3 97
 0 0 0 6806004 7812292 144 1826 0 1 1 0  0  0  0  0  0  572 1502  378  0  3 97
 0 0 0 6806072 7812352 144 1823 0 0 0 0  0  0  0  0  0  557 1488  366  0  3 97
 0 0 0 6806260 7812404 144 1827 0 0 0 0  0  0  0  0  0  557 1502  381  0  3 97
 0 0 0 6805976 7812264 144 1826 0 0 0 0  0  0  0  0  0  549 1486  377  0  3 97
 0 0 0 6806260 7812400 144 1826 0 0 0 0  0  0  0  0  0  543 1501  379  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6806248 7812404 174 1986 0 2 2 0  0  0  0  0  0  580 1944  381  0  3 97
 0 0 0 6806260 7812396 88 1008 0 1 1  0  0  1  0  0  0  525 1095  331  0  2 98
 0 0 0 6806236 7812384 56 818 0 0  0  0  0  0  0  0  0  489  944  283  0  1 99
 0 0 0 6805980 7812268 144 1826 0 0 0 0  0  0  0  0  0  555 1500  386  0  3 97
 0 0 0 6806124 7812348 144 1824 0 0 0 0  0  0  0  0  0  542 1492  374  0  3 97
 0 0 0 6806236 7812376 144 1827 0 0 0 0  0  0  0  0  0  557 1504  375  0  3 97
 0 0 0 6805952 7812240 144 1826 0 0 0 0  0  0  0  0  0  555 1486  371  0  3 97
 0 0 0 6806236 7812372 144 1825 0 1 1 0  0  1  0  0  0  584 1503  380  0  3 97
 0 0 0 6806172 7812348 144 1826 0 0 0 0  0  0  0  0  0  545 1486  373  0  3 97
 0 0 0 6806236 7812376 144 1826 0 0 0 0  0  0  0  0  0  546 1503  384  0  3 97
 0 0 0 6805980 7812268 144 1826 0 0 0 0  0  0  0  0  0  496 1486  332  0  3 97
 0 0 0 6806236 7812376 88 1009 0 0 0  0  0  0  0  0  0  504 1078  328  0  2 98
 0 0 0 6806172 7812360 56 816 0 0  0  0  0  0  0  0  0  484  944  290  0  2 98
 0 0 0 6806236 7812380 144 1827 0 1 1 0  0  2  0  0  0  574 1504  380  0  3 97
 0 0 0 6805928 7812232 144 1827 0 0 0 0  0  0  0  0  0  549 1550  408  0  3 97
 0 0 0 6806212 7812356 144 1825 0 0 0 0  0  0  0  0  0  531 1498  338  0  3 97
 0 0 0 6806124 7812316 144 1826 0 0 0 0  0  0  0  0  0  505 1488  325  0  3 97
 0 0 0 6806204 7812348 144 1825 0 0 0 0  0  0  0  0  0  534 1502  374  0  3 97
 0 0 0 6805940 7812228 144 1826 0 0 0 0  0  0  0  0  0  571 1484  359  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6806132 7812328 144 1825 0 1 1 0  0  0  0  0  0  584 1505  372  0  3 97
 0 0 0 6806192 7812336 144 1825 0 0 0 0  0  0  0  0  0  503 1497  335  0  3 97
 0 0 0 6806192 7812336 36 365 0 0  0  0  0  0  0  0  0  482  774  318  0  1 99
 0 0 0 6805908 7812204 108 1459 0 0 0 0  0  1  0  0  0  513 1255  309  0  2 98
 0 0 0 6806192 7812336 144 1826 0 0 0 0  0  0  0  0  0  548 1503  376  0  3 97
 0 0 0 6806216 7812356 144 1826 0 0 0 0  0  0  0  0  0  548 1491  372  0  3 97
 0 0 0 6806168 7812324 144 1827 0 1 1 0  0  0  0  0  0  567 1506  384  0  3 97
 0 0 0 6805912 7812204 144 1826 0 0 0 0  0  0  0  0  0  545 1482  369  0  3 97
 0 0 0 6806092 7812280 144 1825 0 0 0 0  0  0  0  0  0  545 1499  375  0  3 97
 0 0 0 6806164 7812304 144 1827 0 0 0 0  0  0  0  0  0  517 1497  332  0  3 97
 0 0 0 6805864 7812148 143 1824 0 0 0 0  0  0  0  0  0  563 1503  374  0  3 97
 0 0 0 6806148 7812284 148 1903 0 0 0 0  0  0  0  0  0  536 1514  370  0  3 97
 0 0 0 6806148 7812288 16 93 0  1  1  0  0  0  0  0  0  478  656  291  0  1 99
 0 0 0 6806144 7812312 128 1733 0 0 0 0  0  0  0  0  0  524 1372  327  0  2 98
 0 0 0 6806148 7812288 144 1825 0 0 0 0  0  0  0  0  0  549 1500  375  0  3 97
 0 0 0 6805892 7812180 144 1825 0 0 0 0  0  0  0  0  0  555 1486  366  0  3 97
 0 0 0 6806108 7812304 144 1824 0 0 0 0  0  0  0  0  0  563 1498  347  0  3 97
 0 0 0 6806148 7812284 144 1825 0 0 0 0  0  0  0  0  0  543 1485  375  0  3 97
 0 0 0 6805892 7812160 144 1828 0 1 1 0  0  1  0  0  0  544 1505  333  0  3 97
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6806124 7812256 144 1827 0 0 0 0  0  0  0  0  0  527 1559  366  0  3 97
 0 0 0 6806076 7812252 144 1826 0 0 0 0  0  0  0  0  0  528 1499  337  0  3 97
 0 0 0 6806124 7812252 144 1825 0 0 0 0  0  0  0  0  0  547 1492  377  0  3 97
 0 0 0 6805856 7812136 16 93 0  0  0  0  0  0  0  0  0  446  650  253  0  1 99
 0 0 0 6803532 7809772 157 2749 0 1 1 0  0  0  0  0  0  548 3205  338  3  3 94
 0 0 0 6682236 7701228 227 9470 273 11 11 0 0 36 0 0 0 1790 4392  369 21  4 75
 0 0 0 6625712 7648068 144 1825 0 0 0 0  0  0  0  0  0  549 1488  321 25  3 72
 0 0 0 6625424 7647928 144 1826 0 0 0 0  0  0  0  0  0  521 1501  342 25  3 72
 0 0 0 6625700 7648052 144 1826 0 0 0 0  0  0  0  0  0  553 1486  320 25  3 72
 0 0 0 6625444 7647944 143 1822 0 0 0 0  0  0  0  0  0  559 1499  323 25  3 72
 0 0 0 6625676 7648036 144 1828 0 0 0 0  0  0  0  0  0  558 1490  324 25  3 72
 0 0 0 6625424 7647928 144 1824 0 1 1 0  0  2  0  0  0  541 1506  331 25  3 72
 0 0 0 6625392 7647888 144 1826 0 0 0 0  0  0  0  0  0  554 1486  316 25  3 72
 0 0 0 6625676 7648028 16 93 0  0  0  0  0  0  0  0  0  475  598  241 25  0 75
 0 0 0 6625676 7648032 128 1733 0 0 0 0  0  0  0  0  0  546 1431  319 25  3 72
 0 0 0 6625388 7647892 144 1825 0 0 0 0  0  0  0  0  0  501 1501  326 25  3 72
 0 0 0 6625668 7648024 144 1826 0 0 0 0  0  0  0  0  0  514 1485  325 25  3 72
 0 0 0 6625412 7647912 144 1825 0 1 1 0  0  2  0  0  0  576 1505  327 25  3 72
 0 0 0 6625616 7648008 144 1825 0 0 0 0  0  0  0  0  0  561 1499  324 25  3 72
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd -- -- --   in   sy   cs us sy id
 0 0 0 6625668 7648016 143 1826 0 0 0 0  0  0  0  0  0  566 1502  329 25  3 72
 0 0 0 6625384 7647880 143 1824 0 0 0 0  0  0  0  0  0  550 1493  326 25  3 72
 0 0 0 6625668 7648016 144 1825 0 0 0 0  0  0  0  0  0  501 1502  326 25  3 72
 0 0 0 6625560 7647976 118 1170 0 3 3 0  0  0  0  0  0  503 1582  296 25  3 72
 0 0 0 6625640 7648000 56 818 0 0  0  0  0  2  0  0  0  517  908  276 25  1 74
