time,Temp0,Temp1,Planar_Temp,VRD_0_Temp,VRD_1_Temp,Fan_1,Fan_2A,Fan_2B,Fan_3A,Fan_3B,Fan_4A,Fan_4B,Fan_5A,Fan_5B,fsb,l2miss,fsb_scaled,l2miss_scaled
345,34,37,25,18,21,3150,7650,5325,7425,5400,7575,5325,7950,5250,1.14E+06,3.49E+05,1.1432,3.49E+00
350,34,38,25,18,21,3150,7575,5250,7425,5400,7575,5250,7950,5250,1.40E+07,22132,14.02,2.21E-01
355,35,38,25,18,21,3150,7575,5325,7500,5400,7575,5325,7950,5250,5.47E+06,3.44E+05,5.4669,3.44E+00
360,35,37,25,18,21,3150,7650,5325,7500,5400,7575,5325,7950,5250,2.05E+06,8.71E+05,2.0484,8.71E+00
365,35,38,25,18,21,3150,7575,5250,7500,5400,7575,5250,7950,5325,1.10E+07,1.39E+05,10.969,1.39E+00
370,34,40,25,18,21,3150,7650,5325,7500,5400,7575,5325,7950,5250,1.47E+07,21631,14.662,2.16E-01
375,34,39,25,18,21,3150,7650,5325,7500,5400,7575,5325,7950,5250,1.50E+05,2.96E+05,0.15049,2.96E+00
380,35,38,25,18,21,3150,7650,5325,7500,5400,7575,5325,7950,5250,7.35E+06,6.95E+05,7.351,6.95E+00
385,34,40,25,18,21,3150,7650,5250,7500,5400,7575,5250,8025,5325,1.07E+07,1.88E+05,10.659,1.88E+00
390,34,40,25,18,21,3150,7575,5250,7500,5400,7650,5250,7950,5325,3.02E+07,1.37E+05,30.208,1.37E+00
395,33,39,25,18,21,3150,7650,5250,7425,5400,7650,5250,7950,5250,4.31E+06,4.28E+05,4.3063,4.28E+00
400,33,40,25,18,21,3150,7650,5250,7425,5400,7575,5250,7950,5250,9.70E+06,4.81E+05,9.7032,4.81E+00
405,35,38,26,18,21,3150,7575,5325,7500,5325,7575,5325,7950,5325,8.62E+06,3.85E+05,8.6239,3.85E+00
410,35,38,26,18,21,3150,7650,5325,7425,5400,7575,5325,8025,5250,1.96E+07,2.51E+05,19.6,2.51E+00
415,35,39,26,18,21,3150,7650,5250,7500,5400,7575,5250,7950,5250,5.24E+06,4.66E+05,5.2367,4.66E+00
420,36,38,26,18,21,3150,7650,5325,7500,5400,7650,5325,7950,5250,4.76E+06,9.42E+05,4.7601,9.42E+00
425,36,36,26,18,21,3150,7575,5250,7425,5400,7575,5250,7950,5250,8.18E+05,3.20E+05,0.81849,3.20E+00
430,34,40,26,18,21,3150,7650,5325,7425,5400,7575,5325,7950,5250,2.56E+07,47638,25.607,4.76E-01
435,34,41,26,18,21,3150,7650,5325,7500,5400,7575,5325,7950,5250,5.16E+06,4.14E+05,5.1615,4.14E+00
440,34,41,26,18,21,3150,7650,5250,7425,5400,7575,5250,7950,5250,5.95E+06,1.02E+06,5.9519,1.02E+01
445,36,39,26,18,21,3150,7575,5250,7500,5400,7575,5250,7950,5250,1.10E+07,1.27E+05,10.961,1.27E+00
450,34,41,26,18,21,3150,7650,5325,7500,5400,7575,5325,8025,5250,3.25E+07,3.99E+05,32.535,3.99E+00
455,36,36,26,18,21,3150,7650,5325,7425,5400,7575,5325,7950,5250,7.57E+06,1.66E+05,7.5671,1.66E+00
460,33,40,26,18,21,3150,7575,5325,7425,5400,7575,5325,8025,5250,8.31E+06,4.59E+05,8.3124,4.59E+00
465,36,38,26,18,21,3150,7575,5325,7425,5400,7575,5250,8025,5250,5.13E+06,3.82E+05,5.1326,3.82E+00
470,36,39,26,18,21,3150,7650,5250,7425,5400,7575,5250,7950,5250,1.70E+07,39030,16.969,3.90E-01
475,36,39,26,18,21,3150,7650,5250,7425,5400,7575,5250,7950,5250,5.13E+06,5.80E+05,5.132,5.80E+00
480,35,40,26,18,21,3150,7650,5325,7425,5400,7575,5325,7950,5250,2.34E+06,1.11E+06,2.3429,1.11E+01
485,33,41,26,18,21,3150,7575,5325,7425,5400,7575,5325,7950,5325,5.96E+06,2.57E+05,5.9603,2.57E+00
490,36,37,26,18,21,3150,7650,5325,7500,5400,7575,5325,7950,5250,2.14E+07,50632,21.427,5.06E-01
495,36,38,26,18,21,3150,7650,5325,7425,5400,7575,5325,7950,5325,1.16E+06,2.38E+05,1.1646,2.38E+00
500,36,38,26,18,21,3150,7575,5250,7425,5325,7575,5250,7950,5250,2.02E+06,1.17E+06,2.0226,1.17E+01
505,35,41,26,18,21,3150,7650,5325,7425,5400,7575,5325,7950,5250,1.09E+07,1.08E+05,10.902,1.08E+00
510,37,39,27,18,21,3150,7650,5250,7425,5400,7575,5250,7950,5250,1.02E+07,4.69E+05,10.156,4.69E+00
515,33,40,27,18,21,3150,7650,5325,7500,5400,7575,5325,8025,5250,3.46E+05,6.36E+05,0.34586,6.36E+00
520,33,41,27,18,21,3150,7650,5325,7425,5400,7575,5325,7950,5250,1.68E+06,2.94E+05,1.6791,2.94E+00
525,36,38,27,18,21,3150,7575,5325,7500,5400,7575,5325,7950,5250,1.67E+07,2.77E+05,16.746,2.77E+00
530,35,41,27,18,21,3150,7575,5325,7500,5325,7575,5325,7950,5250,9.91E+06,5.34E+05,9.9052,5.34E+00
535,35,41,27,18,21,3150,7575,5250,7425,5400,7575,5250,7950,5250,3.77E+06,4.68E+05,3.7652,4.68E+00
540,36,41,27,18,21,3150,7575,5325,7500,5400,7575,5325,7950,5250,1.46E+07,4.70E+05,14.587,4.70E+00
545,36,36,27,18,21,3150,7650,5325,7500,5400,7500,5325,7950,5325,8.14E+06,1.46E+05,8.1372,1.46E+00
550,34,41,27,18,21,3150,7650,5250,7425,5400,7575,5325,8025,5250,1.74E+07,34688,17.421,3.47E-01
555,34,41,27,18,21,3150,7575,5325,7500,5400,7575,5325,8025,5250,8.28E+05,9.84E+05,0.82804,9.84E+00
560,36,39,27,18,21,3150,7650,5325,7500,5400,7575,5325,8025,5250,1.07E+07,4.39E+05,10.719,4.39E+00
565,36,39,27,18,21,3150,7650,5325,7500,5400,7575,5325,8025,5325,1.60E+07,1.86E+05,15.977,1.86E+00
570,36,39,27,18,21,3150,7575,5250,7500,5400,7575,5250,7950,5250,1.35E+07,5.31E+05,13.498,5.31E+00
575,33,41,27,18,21,3150,7650,5325,7425,5400,7575,5325,7950,5250,1.08E+06,5.72E+05,1.0835,5.72E+00
580,36,38,27,18,21,3150,7575,5250,7500,5400,7575,5250,7950,5250,7.79E+06,8.82E+05,7.7863,8.82E+00
585,35,39,27,18,21,3150,7650,5325,7500,5400,7575,5325,7950,5325,1.78E+07,2.38E+05,17.762,2.38E+00
590,35,39,27,18,21,3225,7575,5250,7425,5400,7575,5250,7950,5325,1.01E+07,3.68E+05,10.111,3.68E+00
595,36,41,27,18,21,3150,7650,5325,7500,5325,7575,5250,8025,5250,1.92E+06,6.03E+05,1.9195,6.03E+00
600,36,36,27,18,21,3150,7650,5250,7500,5400,7575,5250,8025,5250,7.49E+06,4.76E+05,7.4903,4.76E+00
605,36,37,27,18,21,3150,7650,5325,7500,5400,7575,5325,8025,5250,8.26E+06,9798,8.2605,9.80E-02
610,35,40,27,18,21,3150,7650,5325,7425,5325,7575,5325,7950,5325,1.24E+07,1.51E+05,12.395,1.51E+00
615,35,39,27,18,21,3150,7650,5325,7500,5400,7575,5325,7950,5325,5.37E+05,4.43E+05,0.53701,4.43E+00
620,35,39,27,18,21,3150,7650,5250,7425,5400,7575,5250,8025,5325,1.07E+07,2.60E+05,10.739,2.60E+00
625,35,40,27,18,21,3150,7650,5325,7500,5400,7575,5325,7950,5250,8.63E+06,27816,8.6264,2.78E-01
630,36,36,27,18,21,3150,7650,5250,7500,5400,7575,5250,8025,5250,1.30E+07,1.84E+05,12.953,1.84E+00
635,36,38,27,18,21,3150,7650,5250,7500,5400,7575,5250,7950,5325,5.63E+06,3.74E+05,5.6258,3.74E+00
640,34,40,27,18,21,3225,7650,5250,7425,5400,7575,5250,7950,5250,1.66E+07,52501,16.577,5.25E-01
645,35,41,27,18,21,3150,7650,5250,7500,5400,7575,5250,7950,5250,1.76E+07,13534,17.614,1.35E-01
650,35,41,27,18,21,3150,7650,5250,7425,5400,7575,5250,8025,5250,7.79E+05,5.26E+05,0.77949,5.26E+00
655,36,37,27,18,21,3150,7575,5250,7500,5400,7575,5250,8025,5250,6.43E+06,1.73E+05,6.4325,1.73E+00
660,33,40,27,18,21,3150,7575,5325,7425,5400,7575,5325,7950,5250,1.29E+07,2.57E+05,12.904,2.57E+00
665,35,39,27,18,21,3150,7575,5325,7500,5400,7575,5325,7950,5250,3.78E+06,2.25E+05,3.7826,2.25E+00
670,35,39,27,18,21,3150,7575,5250,7425,5400,7575,5250,7950,5250,8.38E+05,3.06E+05,0.83843,3.06E+00
675,35,39,27,18,21,3150,7575,5250,7425,5400,7575,5250,7950,5325,7.82E+05,9.95E+05,0.78235,9.95E+00
680,36,39,27,18,21,3150,7575,5325,7500,5400,7575,5325,7950,5250,9.07E+06,20466,9.0729,2.05E-01
685,36,36,27,18,21,3150,7650,5325,7500,5400,7575,5250,7950,5250,1.29E+07,2.78E+05,12.857,2.78E+00
690,34,40,27,18,21,3225,7650,5325,7500,5400,7650,5250,7950,5250,2.90E+06,6.60E+05,2.8958,6.60E+00
695,34,40,27,18,21,3150,7650,5250,7500,5400,7575,5325,7950,5250,5.52E+06,2.77E+05,5.5244,2.77E+00
700,36,39,27,18,21,3150,7650,5250,7425,5400,7575,5325,7950,5325,2.23E+07,30991,22.317,3.10E-01
705,35,41,27,18,21,3150,7650,5325,7500,5325,7575,5250,7950,5250,1.43E+07,1.10E+05,14.308,1.10E+00
710,32,41,27,18,21,3150,7575,5250,7500,5400,7575,5325,7950,5325,3.63E+05,3.08E+05,0.36269,3.08E+00
715,36,37,27,18,21,3150,7650,5250,7500,5400,7575,5325,7950,5250,5.86E+06,3.60E+05,5.8603,3.60E+00
720,33,40,27,18,21,3150,7650,5250,7425,5400,7575,5325,7950,5250,1.40E+07,37332,13.972,3.73E-01
725,33,40,27,18,21,3150,7650,5250,7425,5400,7575,5325,7950,5250,7.35E+06,2.36E+05,7.3515,2.36E+00
730,33,41,27,18,21,3150,7650,5250,7500,5400,7575,5325,7950,5325,1.37E+06,5.60E+05,1.3684,5.60E+00
735,36,37,27,18,21,3150,7575,5250,7500,5400,7575,5325,7950,5250,3.12E+06,2.40E+05,3.1247,2.40E+00
740,33,41,27,18,21,3150,7650,5250,7500,5400,7575,5325,7950,5250,1.22E+07,33594,12.217,3.36E-01
745,36,37,27,18,21,3150,7650,5250,7425,5400,7575,5325,7950,5250,1.33E+07,2.68E+05,13.333,2.68E+00
750,33,40,27,18,21,3225,7575,5325,7500,5400,7575,5250,7950,5325,2.96E+06,8.86E+05,2.9642,8.86E+00
755,33,40,27,18,21,3150,7650,5325,7500,5400,7575,5250,7950,5250,9.93E+06,3.96E+05,9.9277,3.96E+00
760,33,41,27,18,21,3150,7650,5325,7500,5400,7575,5250,7950,5250,2.28E+07,64129,22.778,6.41E-01
765,32,41,27,18,21,3150,7650,5325,7425,5400,7650,5250,7950,5250,1.42E+07,3.02E+05,14.215,3.02E+00
770,32,41,27,18,21,3150,7650,5325,7500,5400,7575,5250,7950,5250,8.19E+06,4.26E+05,8.1893,4.26E+00
775,33,41,27,18,21,3150,7650,5250,7500,5400,7575,5325,7950,5325,6.06E+06,3.86E+05,6.0593,3.86E+00
780,32,41,27,18,21,3150,7575,5325,7500,5400,7575,5250,7950,5325,1.44E+07,1.21E+05,14.351,1.21E+00
785,32,41,27,18,21,3150,7650,5250,7425,5400,7575,5325,8025,5250,2.67E+07,8598,26.718,8.60E-02
790,32,41,27,18,21,3150,7650,5325,7425,5400,7575,5325,7950,5250,1.69E+06,3.14E+05,1.6889,3.14E+00
795,32,42,27,18,21,3150,7650,5250,7500,5400,7575,5325,7950,5250,5.16E+06,2.15E+05,5.1636,2.15E+00
800,32,41,27,17,21,3150,7575,5325,7425,5325,7650,5250,7950,5250,1.31E+07,1.58E+05,13.076,1.58E+00
805,35,38,27,17,21,3150,7650,5325,7500,5400,7575,5325,7950,5250,8.49E+06,2.12E+05,8.4923,2.12E+00
810,32,41,27,18,21,3150,7650,5325,7425,5400,7650,5250,7950,5250,2.13E+06,9.25E+05,2.1289,9.25E+00
815,32,41,27,18,21,3150,7650,5250,7425,5400,7575,5325,8025,5250,8.77E+06,9.17E+05,8.7745,9.17E+00
820,35,37,27,18,21,3150,7650,5325,7425,5400,7575,5250,7950,5250,1.93E+07,13315,19.266,1.33E-01
825,32,41,27,18,21,3150,7650,5325,7500,5400,7575,5250,7950,5250,4.01E+06,2.57E+05,4.0123,2.57E+00
830,32,41,27,18,21,3225,7650,5250,7500,5400,7575,5325,7950,5325,2.38E+06,5.99E+05,2.3756,5.99E+00
835,34,41,27,18,21,3150,7575,5325,7500,5400,7575,5250,7950,5250,6.28E+06,4.19E+05,6.2822,4.19E+00
840,32,41,27,18,21,3150,7650,5250,7500,5400,7575,5325,7950,5250,2.54E+07,53909,25.443,5.39E-01
845,32,41,27,17,21,3225,7650,5250,7500,5400,7575,5325,7950,5325,2.11E+07,1.02E+05,21.13,1.02E+00
850,32,42,27,17,21,3150,7575,5250,7425,5400,7575,5325,8025,5250,2.68E+05,1.01E+06,0.26843,1.01E+01
855,32,42,27,17,21,3150,7575,5325,7425,5400,7575,5250,7950,5250,5.42E+06,4.50E+05,5.4192,4.50E+00
860,34,42,27,17,21,3150,7650,5325,7425,5400,7575,5325,7950,5250,2.19E+07,1.49E+05,21.934,1.49E+00
865,33,42,27,17,21,3150,7575,5250,7500,5400,7575,5325,7950,5325,8.31E+06,2.27E+05,8.3056,2.27E+00
870,33,41,27,17,21,3150,7575,5250,7425,5400,7575,5325,8025,5250,2.27E+06,5.61E+05,2.2679,5.61E+00
875,32,42,27,17,21,3150,7650,5325,7500,5400,7575,5250,7950,5325,3.84E+06,4.82E+05,3.8371,4.82E+00
880,34,39,27,17,21,3150,7650,5250,7425,5325,7575,5325,7950,5250,1.30E+07,19356,13.033,1.94E-01
885,35,38,27,17,21,3150,7575,5250,7500,5400,7575,5250,7950,5250,3.93E+06,2.72E+05,3.927,2.72E+00
890,36,40,27,18,21,3150,7575,5325,7500,5400,7575,5250,7950,5250,2.09E+06,5.63E+05,2.0894,5.63E+00
895,34,41,27,18,21,3150,7650,5250,7425,5325,7575,5325,8025,5250,1.01E+06,6.75E+05,1.0116,6.75E+00
900,33,41,27,18,21,3150,7650,5250,7500,5400,7575,5325,7950,5250,9.56E+06,3.37E+05,9.5576,3.37E+00
905,33,41,27,18,21,3150,7575,5250,7500,5400,7575,5325,7950,5250,4.11E+06,1.91E+05,4.1068,1.91E+00
,32,41,27,18,21,3150,7575,5250,7500,5400,7575,5250,7950,5250,,,,
,35,38,27,18,21,3150,7575,5250,7500,5400,7575,5250,8025,5250,,,,
,36,41,27,18,21,3150,7575,5250,7425,5400,7575,5325,8025,5325,,,,
,34,41,27,18,21,3150,7650,5325,7500,5400,7575,5250,8025,5325,,,,
,34,40,27,18,21,3150,7650,5250,7500,5400,7575,5325,7950,5325,,,,
,35,38,27,18,21,3225,7575,5250,7425,5400,7500,5250,7950,5250,,,,
,36,40,27,18,21,3150,7575,5250,7425,5400,7575,5325,7950,5250,,,,
,36,40,27,18,21,3150,7575,5325,7500,5400,7575,5250,7950,5250,,,,
,36,38,27,18,21,3150,7575,5250,7500,5400,7500,5325,7950,5250,,,,
,34,40,27,18,21,3150,7575,5250,7500,5400,7575,5325,8025,5250
,33,40,27,18,21,3150,7575,5325,7500,5400,7575,5250,7950,5250
,35,41,27,18,21,3150,7575,5325,7500,5400,7575,5250,7950,5325
,36,39,27,18,21,3150,7650,5250,7425,5400,7500,5325,7950,5250
,34,40,27,18,21,3150,7575,5250,7425,5400,7575,5325,7950,5325
,36,39,27,18,21,3150,7650,5250,7500,5400,7575,5325,7950,5250
,36,39,27,18,21,3150,7650,5250,7425,5400,7575,5325,8025,5325
,36,39,27,18,21,3225,7650,5250,7500,5400,7500,5325,8025,5250
,36,38,27,18,21,3150,7650,5250,7500,5400,7575,5325,7950,5250
,35,40,27,18,21,3150,7650,5325,7425,5325,7500,5250,7950,5250
,35,40,27,18,21,3150,7650,5325,7500,5400,7575,5250,8025,5250
,35,40,27,18,21,3150,7650,5325,7425,5400,7500,5250,7950,5250
,35,40,27,18,21,3150,7575,5250,7425,5400,7575,5325,7950,5250
,35,40,27,18,21,3225,7650,5325,7500,5400,7575,5250,8025,5250
,36,38,27,18,21,3150,7650,5325,7425,5400,7575,5250,7950,5250
,36,40,27,18,21,3150,7650,5250,7500,5400,7500,5325,8025,5250
,36,40,27,18,21,3150,7650,5325,7500,5400,7500,5250,8025,5325
,35,40,27,18,21,3150,7575,5325,7500,5400,7575,5325,7950,5250
,36,39,27,18,21,3150,7650,5325,7425,5400,7575,5250,8025,5250
,36,39,27,18,21,3225,7650,5250,7500,5400,7575,5325,7950,5250
,36,38,27,18,21,3150,7575,5250,7425,5400,7575,5325,7950,5250
,35,40,27,18,21,3150,7650,5325,7425,5400,7575,5250,7950,5325
,34,40,27,18,21,3150,7650,5250,7425,5400,7575,5325,7950,5250
,35,40,27,18,21,3225,7650,5325,7500,5400,7575,5250,7950,5250
,35,41,27,18,21,3150,7650,5325,7425,5400,7575,5250,7950,5250
,34,40,27,18,21,3150,7650,5325,7500,5400,7650,5325,8025,5325
,34,40,27,18,21,3150,7575,5250,7500,5400,7575,5325,8025,5250
,35,39,27,18,21,3150,7575,5325,7425,5400,7500,5250,7950,5250
,35,40,27,18,21,3150,7575,5325,7425,5325,7575,5250,7950,5250
,34,41,27,18,21,3150,7575,5325,7500,5400,7575,5250,7950,5325
,35,40,27,18,21,3150,7650,5250,7500,5400,7575,5325,8025,5250
,34,41,27,18,21,3225,7650,5325,7425,5400,7575,5250,7950,5250
,35,38,27,18,21,3150,7575,5325,7500,5400,7500,5250,7950,5250
,35,37,27,18,21,3150,7650,5325,7425,5400,7575,5250,7950,5250
,32,41,27,18,21,3150,7650,5250,7425,5400,7575,5325,7950,5250
,33,41,27,18,21,3225,7650,5325,7500,5400,7575,5325,8025,5325
,36,38,27,18,21,3150,7575,5250,7500,5400,7575,5325,7950,5250
,35,39,27,18,21,3150,7650,5325,7425,5400,7500,5250,7950,5250
,36,36,27,18,21,3150,7575,5325,7425,5400,7575,5325,7950,5250
,33,40,27,18,21,3225,7650,5250,7500,5400,7575,5250,7950,5250
,36,36,27,18,21,3150,7575,5250,7500,5400,7575,5250,7950,5250
,33,40,27,18,21,3150,7650,5250,7500,5400,7575,5250,7950,5250
,34,41,27,18,21,3150,7650,5250,7500,5400,7575,5250,7950,5250
,35,38,27,18,21,3150,7650,5250,7425,5400,7575,5250,8025,5325
,32,41,27,18,21,3150,7650,5250,7425,5325,7500,5325,7950,5250
,36,36,27,18,21,3150,7650,5325,7425,5400,7575,5250,7950,5250
