time,Temp0,Temp1,Planar_Temp,VRD_0_Temp,VRD_1_Temp,Fan_1,Fan_2A,Fan_2B,Fan_3A,Fan_3B,Fan_4A,Fan_4B,Fan_5A,Fan_5B,fsb,l2miss,fsb_scaled,l2miss_scaled
0,26,30,25,18,21,3150,7650,5325,7500,5400,7575,5325,8025,5250,0,1.12E+07,0,1.12E+02
5,26,30,25,18,21,3150,7650,5250,7500,5400,7575,5250,8025,5250,8.59E+06,2.11E+05,8.5885,2.11E+00
10,27,30,25,18,21,3150,7650,5250,7425,5400,7575,5250,8025,5325,1.00E+06,1.18E+07,1.0031,1.18E+02
15,27,30,25,18,21,3150,7650,5325,7425,5325,7575,5325,8025,5250,6.12E+06,4.27E+05,6.1207,4.27E+00
20,27,31,25,18,21,3150,7650,5325,7500,5400,7575,5325,8025,5250,1.68E+07,40954,16.773,4.10E-01
25,27,31,25,18,21,3150,7575,5250,7425,5400,7500,5250,8025,5250,2.40E+07,88077,23.977,8.81E-01
30,27,31,25,18,21,3225,7575,5325,7425,5400,7575,5325,8025,5325,9.76E+05,5.74E+05,0.97625,5.74E+00
35,27,31,25,18,21,3150,7650,5250,7425,5400,7575,5250,8025,5250,4.95E+06,1.99E+05,4.9534,1.99E+00
40,27,31,25,18,21,3150,7650,5325,7425,5400,7575,5325,8025,5250,1.32E+07,18492,13.177,1.85E-01
45,27,31,25,18,21,3150,7650,5250,7425,5400,7575,5250,7950,5250,3.91E+06,2.14E+05,3.9066,2.14E+00
50,27,31,25,18,21,3150,7650,5325,7425,5400,7575,5250,7950,5250,8.91E+05,5.75E+05,0.89131,5.75E+00
55,27,31,25,18,21,3150,7650,5250,7500,5400,7500,5325,7950,5250,2.68E+06,4.49E+05,2.6799,4.49E+00
60,28,31,25,18,21,3150,7650,5250,7500,5400,7575,5325,8025,5250,1.29E+07,55424,12.859,5.54E-01
65,27,31,25,18,21,3150,7575,5325,7425,5400,7575,5325,7950,5250,1.36E+07,1.73E+05,13.568,1.73E+00
70,27,31,25,18,21,3150,7575,5325,7500,5400,7575,5250,8025,5250,1.91E+06,6.57E+05,1.9097,6.57E+00
75,28,31,25,18,21,3150,7650,5250,7425,5400,7575,5325,7950,5250,5.34E+06,2.20E+05,5.3406,2.20E+00
80,28,31,25,18,21,3150,7650,5325,7425,5400,7575,5250,7950,5250,2.22E+07,32335,22.155,3.23E-01
85,27,31,25,18,21,3150,7650,5325,7425,5400,7575,5250,8025,5250,5.23E+06,1.98E+05,5.2313,1.98E+00
90,28,31,25,18,21,3150,7650,5250,7425,5400,7575,5325,7950,5250,1.22E+07,6.88E+05,12.247,6.88E+00
95,28,31,25,18,21,3150,7650,5250,7500,5400,7575,5325,7950,5250,9.08E+06,1.58E+05,9.0773,1.58E+00
100,28,31,25,18,21,3150,7650,5250,7425,5400,7575,5325,8025,5325,1.34E+07,52982,13.356,5.30E-01
105,28,31,25,18,21,3150,7650,5325,7500,5400,7575,5250,7950,5325,1.80E+07,8873.5,17.998,8.87E-02
110,31,33,25,18,21,3150,7650,5325,7500,5325,7500,5250,7950,5250,1.41E+06,6.49E+05,1.4143,6.49E+00
115,29,31,25,18,21,3150,7650,5325,7500,5400,7575,5250,8025,5250,5.14E+06,4.09E+05,5.1412,4.09E+00
120,28,31,25,18,21,3150,7650,5325,7425,5400,7500,5325,8025,5250,1.23E+07,2.58E+05,12.308,2.58E+00
125,30,34,25,18,21,3150,7575,5250,7500,5325,7575,5250,7950,5250,8.03E+06,1.98E+05,8.0275,1.98E+00
130,28,33,25,18,21,3225,7650,5325,7500,5400,7575,5325,7950,5325,1.59E+06,6.70E+05,1.5908,6.70E+00
135,27,31,25,18,21,3150,7575,5325,7425,5400,7575,5325,7950,5325,7.45E+06,9.83E+05,7.4533,9.83E+00
140,28,35,25,18,21,3150,7575,5250,7425,5400,7575,5250,8025,5250,1.81E+07,47305,18.101,4.73E-01
145,29,32,25,18,21,3150,7575,5250,7425,5400,7575,5250,7950,5250,4.44E+06,2.15E+05,4.4425,2.15E+00
150,28,31,25,18,21,3225,7650,5325,7500,5400,7575,5325,7950,5250,1.88E+06,3.37E+05,1.8809,3.37E+00
155,28,34,25,18,20,3150,7575,5250,7425,5400,7575,5250,7950,5250,5.15E+06,1.19E+05,5.1479,1.19E+00
160,29,33,25,18,20,3225,7650,5250,7425,5400,7575,5250,7950,5250,1.36E+07,30950,13.635,3.10E-01
165,28,31,25,18,20,3225,7650,5250,7425,5400,7575,5250,7950,5250,2.29E+07,88588,22.9,8.86E-01
170,28,34,25,18,20,3150,7575,5250,7425,5400,7575,5250,8025,5250,8.11E+06,1.03E+06,8.1136,1.03E+01
175,28,35,25,18,20,3150,7650,5325,7425,5400,7575,5325,7950,5250,5.30E+06,4.10E+05,5.2994,4.10E+00
180,27,32,25,17,20,3150,7650,5325,7425,5400,7575,5325,7950,5250,2.23E+07,1.39E+05,22.348,1.39E+00
185,30,32,25,17,20,3150,7575,5325,7425,5400,7575,5325,7950,5250,7.77E+06,2.10E+05,7.7703,2.10E+00
190,31,33,25,17,20,3150,7650,5250,7500,5400,7500,5250,7950,5250,2.00E+06,8.76E+05,2.001,8.76E+00
195,28,31,25,17,20,3150,7650,5250,7500,5400,7500,5250,7950,5250,3.79E+06,6.11E+05,3.7858,6.11E+00
200,30,31,25,17,20,3150,7575,5250,7425,5400,7575,5250,7950,5250,3.02E+07,2.58E+05,30.182,2.58E+00
205,30,33,25,17,20,3225,7650,5250,7500,5400,7500,5250,7950,5250,8.44E+06,2.17E+05,8.4397,2.17E+00
210,29,31,25,17,20,3225,7650,5250,7500,5400,7500,5250,7950,5250,2.99E+06,8.12E+05,2.99,8.12E+00
215,30,31,25,17,20,3150,7650,5325,7425,5400,7575,5325,7950,5250,5.30E+06,4.32E+05,5.3043,4.32E+00
220,29,34,25,17,20,3150,7650,5325,7425,5400,7575,5325,8025,5325,1.76E+07,2.96E+05,17.639,2.96E+00
225,28,32,25,17,20,3150,7650,5325,7425,5400,7575,5325,8025,5325,2.34E+06,4.75E+05,2.3424,4.75E+00
230,27,34,25,17,20,3150,7650,5250,7425,5400,7575,5250,8025,5250,9.85E+06,7.00E+05,9.8455,7.00E+00
235,28,35,25,17,20,3150,7650,5250,7425,5400,7575,5250,7950,5250,4.20E+06,17166,4.1955,1.72E-01
240,28,32,25,17,20,3150,7650,5250,7425,5400,7575,5325,7950,5250,7.05E+06,7.60E+05,7.0524,7.60E+00
245,29,32,25,17,20,3150,7575,5250,7500,5400,7500,5325,7950,5250,5.64E+06,6.82E+05,5.6439,6.82E+00
250,30,31,25,17,20,3150,7575,5250,7425,5400,7575,5250,7950,5250,8.60E+06,93346,8.5953,9.33E-01
255,29,35,25,17,20,3150,7575,5250,7500,5400,7575,5325,8025,5325,4.03E+06,30278,4.0318,3.03E-01
260,27,31,25,17,20,3150,7575,5250,7500,5400,7575,5325,8025,5325,1.11E+07,5.24E+05,11.113,5.24E+00
265,27,34,25,17,20,3150,7575,5250,7425,5325,7575,5250,7950,5250,7.06E+05,4.59E+05,0.7058,4.59E+00
270,31,33,25,17,20,3150,7650,5250,7500,5400,7575,5250,8025,5325,1.42E+07,2.45E+05,14.185,2.45E+00
275,27,31,25,17,20,3150,7650,5250,7500,5400,7575,5250,8025,5325,1.49E+07,23777,14.862,2.38E-01
280,29,32,25,17,20,3150,7650,5325,7425,5400,7575,5325,8025,5250,7.86E+06,5.55E+05,7.855,5.55E+00
285,28,34,25,17,20,3150,7575,5250,7425,5400,7575,5325,8025,5250,7.77E+05,4.95E+05,0.77653,4.95E+00
290,27,32,25,17,20,3150,7575,5250,7425,5400,7575,5325,8025,5250,1.82E+07,67378,18.232,6.74E-01
295,27,34,25,17,20,3150,7575,5250,7425,5400,7575,5250,7950,5250,1.72E+07,1.52E+05,17.227,1.52E+00
300,28,35,25,17,20,3150,7575,5250,7500,5400,7575,5250,7950,5250,3.19E+07,1.42E+06,31.894,1.42E+01
305,28,32,25,17,20,3150,7650,5250,7425,5400,7575,5250,7950,5325,4.14E+06,1.80E+06,4.1381,1.80E+01
310,31,34,25,17,20,3150,7650,5250,7425,5400,7575,5250,7950,5325,2.66E+07,1.30E+06,26.59,1.30E+01
315,34,35,25,17,20,3150,7650,5325,7425,5325,7575,5325,7950,5250,1.04E+07,78660,10.414,7.87E-01
320,35,37,25,17,20,3150,7650,5325,7500,5400,7575,5325,7950,5250,2.22E+06,9.89E+05,2.2224,9.89E+00
325,34,37,25,17,20,3150,7650,5325,7425,5400,7575,5325,7950,5250,5.16E+06,2.42E+05,5.1597,2.42E+00
330,36,36,25,17,20,3150,7650,5325,7500,5400,7575,5250,7950,5250,2.27E+07,1.47E+05,22.69,1.47E+00
335,35,37,25,17,20,3225,7650,5325,7500,5400,7575,5325,7950,5250,4.58E+06,4.59E+05,4.5811,4.59E+00
340,35,38,25,18,20,3150,7650,5325,7425,5400,7575,5325,7950,5250,1.59E+06,8.41E+05,1.5884,8.41E+00
