 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 10507936 7363512 133 3775 0 0 0 0 0  0  0  0  0  397 2277  255  1  9 91
 0 0 0 10507932 7363508 134 3767 0 0 0 0 0  2  0  0  0  420 2238  297  1  9 91
 0 0 0 10508312 7363644 134 3772 0 0 0 0 0  0  0  0  0  412 2183  259  1  9 91
 0 0 0 10508068 7363492 137 3855 0 0 0 0 0  0  0  0  0  402 2232  263  1  9 91
 0 0 0 10481444 7336532 292 6206 0 0 0 0 0 19  0  0  0  699 7797  524 17 11 72
 0 0 0 10450224 7305496 344 8855 0 0 0 0 0 62  0  0  0 2848 7558  921 19 15 66
 0 0 0 10470112 7314364 136 3807 0 0 0 0 0  0  0  0  0  428 2384  371  1  9 91
 0 0 0 10472832 7315052 133 3776 0 0 0 0 0 12  0  0  0  562 2201  336  1  9 91
 0 0 0 10471820 7313920 134 3768 0 0 0 0 0 45  0  0  0  403 2192  262  1  9 91
 0 0 0 10471788 7321408 139 3772 0 0 0 0 0  0  0  0  0  393 2212  259  1  9 91
 0 0 0 10471496 7327480 139 3781 0 0 0 0 0  0  0  0  0  385 2194  259  1  9 91
 0 0 0 10471720 7327512 133 3757 0 0 0 0 0  0  0  0  0  398 2204  259  1  9 91
 0 0 0 10471684 7327440 134 3780 0 0 0 0 0  0  0  0  0  395 2217  257  1  9 91
 0 0 0 10471412 7327320 133 3770 0 0 0 0 0  2  0  0  0  423 2202  296  1  8 91
 0 0 0 10471584 7327384 133 3777 0 0 0 0 0  0  0  0  0  401 2217  255  1  8 91
 0 0 0 10471584 7327340 138 3780 0 0 0 0 0  0  0  0  0  395 2223  260  1  9 91
 0 0 0 10471380 7327364 139 3767 0 0 0 0 0  0  0  0  0  391 2204  257  1  8 91
 0 0 0 10471500 7327344 134 3778 0 0 0 0 0  0  0  0  0  406 2236  260  1  8 91
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 10471804 7327400 133 3771 0 0 0 0 0  0  0  0  0  402 2228  257  1  9 91
 0 0 0 10471244 7327160 133 3777 0 0 0 0 0  2  0  0  0  463 2213  300  1  9 91
 0 0 0 10471068 7326972 134 3784 0 0 0 0 0  0  0  0  0  410 2323  300  1  8 91
 0 0 0 10471500 7327148 139 3777 0 0 0 0 0  0  0  0  0  568 2252  263  1  9 91
 0 0 0 10471044 7327024 139 3776 0 0 0 0 0  0  0  0  0  396 2213  262  1  8 91
 0 0 0 10470964 7326868 134 3773 0 0 0 0 0  0  0  0  0  407 2254  263  1  8 91
 0 0 0 10471400 7327040 134 3771 0 0 0 0 0  0  0  0  0  379 2214  252  1  9 91
 0 0 0 10471112 7326864 133 3782 0 0 0 0 0  2  0  0  0  433 2186  298  1  9 91
 0 0 0 10470908 7326808 134 3773 0 0 0 0 0  0  0  0  0  397 2187  254  1  8 91
 0 0 0 10471072 7326872 142 3773 0 0 0 0 0  0  0  0  0  397 2195  261  1  9 91
 0 0 0 10471008 7326776 135 3775 0 0 0 0 0  0  0  0  0  380 2183  258  1  9 91
 0 0 0 10470752 7326656 134 3773 0 0 0 0 0  0  0  0  0  396 2202  260  1  8 91
 0 0 0 10470888 7326676 134 3786 0 0 0 0 0  0  0  0  0  408 2201  257  1  8 91
 0 0 0 10470792 7326544 134 3772 0 0 0 0 0  2  0  0  0  420 2194  296  1  9 91
 0 0 0 10470472 7326372 134 3772 0 0 0 0 0  0  0  0  0  420 2204  256  1  8 91
 0 0 0 10470672 7326484 142 3783 0 0 0 0 0  0  0  0  0  412 2214  265  1  9 91
 0 0 0 10470676 7326444 135 3785 0 0 0 0 0  0  0  0  0  404 2199  259  1  9 91
 0 0 0 10470472 7326372 133 3778 0 0 0 0 0  0  0  0  0  410 2219  259  1  8 91
 0 0 0 10470564 7326436 134 3772 0 0 0 0 0  0  0  0  0  408 2214  257  1  9 91
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 10470872 7326516 133 3774 0 0 0 0 0  4  0  0  0  453 2205  326  1  9 91
 0 0 0 10470384 7326284 134 3779 0 0 0 0 0  0  0  0  0  393 2223  256  1  8 91
 0 0 0 10470480 7326292 142 3776 0 0 0 0 0  0  0  0  0  374 2226  261  1  9 91
 0 0 0 10470536 7326184 135 3787 0 0 0 0 0  0  0  0  0  392 2205  258  1  9 91
 0 0 0 10470064 7325964 133 3766 0 0 0 0 0  0  0  0  0  390 2236  257  1  8 91
 0 0 0 10470044 7325956 133 3780 0 0 0 0 0  0  0  0  0  374 2225  257  1  9 91
 0 0 0 10470484 7326140 134 3776 0 0 0 0 0  2  0  0  0  418 2217  298  1  9 91
 0 0 0 10470264 7326016 134 3775 0 0 0 0 0  0  0  0  0  391 2327  298  1  8 91
 0 0 0 10470256 7326060 72 1406 0 0 0 0  0  0  0  0  0  395 1360  160  0  6 94
 0 0 0 10470168 7325964 146 4298 0 0 0 0 0  0  0  0  0  400 2436  285  1 10 89
 0 0 0 10470164 7325960 192 5624 0 0 0 0 0  0  0  0  0  408 2925  339  1  9 90
 0 0 0 10470236 7325984 62 1403 0 0 0 0  0  0  0  0  0  388 1316  150  0  6 94
 0 0 0 10469976 7325880 140 3987 0 0 0 0 0  2  0  0  0  414 2316  307  1 10 89
 0 0 0 10470060 7325864 199 5936 0 0 0 0 0  0  0  0  0  410 2954  346  1 10 89
 0 0 0 10469924 7325732 73 1406 0 0 0 0  0  0  0  0  0  408 1298  159  0  6 94
 0 0 0 10469532 7325428 134 3766 0 0 0 0 0  0  0  0  0  420 2235  256  1 10 89
 0 0 0 10469696 7325492 205 6152 0 0 0 0 0  0  0  0  0  427 3064  362  1 10 89
 0 0 0 10469688 7325436 62 1408 0 0 0 0  0  0  0  0  0  402 1313  147  0  5 94
