 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 42412088 29837848 120 3129 0 0 0 0 0 0  2  0  0  857 1686  332  6  4 90
 0 0 0 42410568 29836068 106 3124 0 0 0 0 0 0  0  0  0  805 1688  312  6  3 90
 0 0 0 42407756 29833560 60 1597 0 0 0 0 0  0  0  0  0  822 1135  250  6  5 88
 0 0 0 42407760 29833832 106 3129 0 0 0 0 0 0  2  0  0  863 1667  340  6  5 89
 0 0 0 42407724 29833508 173 4653 0 0 0 0 0 0  0  0  0  851 2236  378  6  5 88
 0 0 0 42408080 29833504 106 3124 0 0 0 0 0 0  0  0  0  865 1681  317  6  3 91
 0 0 0 42407736 29833808 55 1592 0 0 0 0 0  0  2  0  0  819 1106  269  6  5 89
 0 0 0 42407572 29833932 164 4631 0 0 0 0 0 0  0  0  0  826 2231  381  6  6 88
 0 0 0 42407932 29833460 106 3117 0 0 0 0 0 0  0  0  0  817 1678  311  6  4 90
 0 0 0 42407712 29833788 55 1598 0 0 0 0 0  0  2  0  0  876 1111  272  6  5 89
 0 0 0 42409596 29902224 136 3256 0 0 0 0 0 0  0  0  0  740 1781  336  6  6 88
 0 0 0 42411848 29837524 108 3131 0 0 0 0 0 0  0  0  0  760 1648  316  6  5 89
 0 0 0 42411896 29837740 171 4657 0 0 0 0 0 0  2  0  0  820 2251  413  6  5 89
 0 0 0 42411980 29837512 106 3125 0 0 0 0 0 0  0  0  0  785 1680  320  6  3 90
 0 0 0 42411992 29837564 108 3126 0 0 0 0 0 0  0  0  0  819 1680  318  6  4 90
 0 0 0 42408188 29834220 120 3136 0 0 0 0 0 0  2  0  0  834 1685  338  6  5 89
 0 0 0 42407756 29833380 108 3124 0 0 0 0 0 0  0  0  0  788 1681  305  6  5 89
 0 0 0 42408080 29833492 106 3124 0 0 0 0 0 0  0  0  0  771 1677  311  6  4 90
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 42407652 29833776 55 1592 0 0 0 0 0  0  2  0  0  776 1091  276  6  5 88
 0 0 0 42407612 29833812 162 4632 0 0 0 0 0 0  0  0  0  770 2258  385  6  5 88
 0 0 0 42407848 29833420 108 3117 0 0 0 0 0 0  0  0  0  798 1682  316  6  4 90
 0 0 0 42407588 29833728 121 3134 0 0 0 0 0 0  3  0  0  986 1675  346  6  5 89
 0 0 0 42407688 29833312 108 3125 0 0 0 0 0 0  0  0  0  903 1722  341  6  5 89
 0 0 0 42407704 29833328 106 3126 0 0 0 0 0 0  0  0  0  903 1681  313  6  4 89
 0 0 0 42407972 29900444 84 1717 0 0 0 0 0  0  2  0  0  890 1196  286  6  5 89
 0 0 0 42657396 30083088 160 4656 0 0 0 0 0 0  0  0  0  805 2244  381  6  5 89
 0 0 0 42657756 30083144 106 3125 0 0 0 0 0 0  0  0  0  848 1696  315  6  3 91
 0 0 0 42656984 30083100 55 1599 0 0 0 0 0  0  2  0  0  733 1114  272  6  5 89
 0 0 0 42653416 30079040 173 4653 0 0 0 0 0 0  0  0  0  789 2249  380  6  4 89
 0 0 0 42653396 30079020 106 3123 0 0 0 0 0 0  0  0  0  744 1679  313  6  4 89
 0 0 0 42653272 30079400 55 1593 0 0 0 0 0  0  2  0  0  741 1120  273  6  5 89
 0 0 0 42653288 30079020 120 3136 0 0 0 0 0 0  0  0  0  766 1640  317  6  5 89
 0 0 0 42653236 30078980 149 4617 0 0 0 0 0 0  0  0  0  811 2249  379  6  5 89
 0 0 0 42653472 30079388 120 3137 0 0 0 0 0 0  2  0  0 1010 1672  335  6  5 89
 0 0 0 43095236 30519384 106 3126 0 0 0 0 0 0  0  0  0  768 1725  337  2  4 94
 0 0 0 42760452 30185400 181 4372 0 0 0 0 0 0  0  0  0  820 5305  319  4  3 93
 0 0 0 42411580 29837312 121 3134 0 0 0 0 0 0  2  0  0  815 1678  347  6  4 90
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 42411168 29837072 55 1598 0 0 0 0 0  0  0  0  0  755 1113  251  6  5 89
 0 0 0 42411316 29837032 149 4615 0 0 0 0 0 0  0  0  0  809 2231  384  6  4 90
 0 0 0 42409420 29837364 121 3134 0 0 0 0 0 0  3  0  0  812 1680  350  6  5 89
 0 0 0 42408992 29836944 108 3118 0 0 0 0 0 0  0  0  0  789 1679  315  6  5 89
 0 0 0 42409396 29837004 106 3124 0 0 0 0 0 0  0  0  0  798 1677  323  6  3 90
 0 0 0 42408996 29837348 55 1595 0 0 0 0 0  0  2  0  0  758 1072  275  6  5 89
 0 0 0 42405148 29833716 164 4635 0 0 0 0 0 0  0  0  0  809 2264  389  6  6 88
 0 0 0 42405160 29832804 106 3124 0 0 0 0 0 0  0  0  0  807 1680  317  6  3 91
 0 0 0 42404944 29833136 121 3134 0 0 0 0 0 0  2  0  0  918 1681  345  6  5 89
 0 0 0 42404848 29832796 56 1637 0 0 0 0 0  0  0  0  0  772 1137  270  6  5 89
 0 0 0 43180472 30606648 164 4709 0 0 0 0 0 0  0  0  0  841 2290  383  6  6 88
 0 0 0 43176292 30604012 55 1595 0 0 0 0 0  0  2  0  0  841 1083  273  6  5 89
 0 0 0 43174820 30600836 120 3137 0 0 0 0 0 0  0  0  0  807 1711  315  6  6 88
 0 0 0 43175444 30601376 122 3203 0 0 0 0 0 0  0  0  0  883 1706  330  6  6 88
 0 0 0 43180952 30607240 106 3126 0 0 0 0 0 0  2  0  0  803 1687  341  6  5 89
 0 0 0 43181168 30606868 172 4659 0 0 0 0 0 0  0  0  0  807 2227  374  6  4 90
 0 0 0 43177256 30605004 56 1601 0 0 0 0 0  0  0  0  0  766 1090  257  6  5 89
 0 0 0 43176736 30605180 106 3120 0 0 0 0 0 0  2  0  0  782 1680  342  6  6 88
 0 0 0 43175436 30602464 164 4634 0 0 0 0 0 0  0  0  0  813 2248  380  6  6 88
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 43174728 30600616 55 1596 0 0 0 0 0  0  0  0  0  776 1116  246  6  5 89
