time,offcore_req,l2_cache_miss,offcore_req_scaled,l2_cache_miss_scaled,Temp0,Temp1,Temp2,Ambient_Temp0,Temp3,Ambient_Temp1,Ambient_Temp2,Planar_Temp,Temp4,Temp5,Temp6,FAN_MOD_1A_RPM,FAN_MOD_2A_RPM,FAN_MOD_3A_RPM,FAN_MOD_4A_RPM,FAN_MOD_5A_RPM,FAN_MOD_6A_RPM,FAN_MOD_1B_RPM,FAN_MOD_2B_RPM,FAN_MOD_3B_RPM,FAN_MOD_4B_RPM,FAN_MOD_5B_RPM,FAN_MOD_6B_RPM,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_kbytes,disk_write_kbytes
240,7060140,4660267,0.706014,0.4660267,57,58,38,30,35,27,16,38,28,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1379,1103.2,827.4,41.37,41.37,0,0
250,11969711,7639167,1.1969711,0.7639167,55,60,37,30,35,27,16,38,28,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1412,1129.6,847.2,42.36,42.36,0,23.1
260,17317106,11819413,1.7317106,1.1819413,56,59,38,30,35,27,16,38,28,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1399,1119.2,839.4,41.97,41.97,0,0
270,9942875,8615170,0.9942875,0.861517,57,59,38,30,35,27,16,38,28,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1382,1105.6,829.2,41.46,41.46,0,0
280,16695662,11749003,1.6695662,1.1749003,56,58,38,30,35,27,16,38,28,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1482,1185.6,889.2,44.46,44.46,0,94.5
290,15697340,12148369,1.569734,1.2148369,53,59,38,30,35,27,16,38,29,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1537,1229.6,922.2,46.11,46.11,0,0
300,24688008,16627665,2.4688008,1.6627665,55,57,38,29,35,27,17,38,29,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1536,1228.8,921.6,46.08,46.08,0,0
310,392193410,228006082,39.219341,22.8006082,57,55,38,30,35,27,17,38,29,30,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1655,1324,993,49.65,49.65,0,31.1
320,7633002,6635046,0.7633002,0.6635046,48,59,38,30,35,27,17,38,29,30,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1618,1294.4,970.8,48.54,48.54,0,0
330,2109287,1376166,0.2109287,0.1376166,50,59,38,30,36,27,17,38,29,30,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1669,1335.2,1001.4,50.07,50.07,0,0
