 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9389540 6233420 122 3624 0 0 0 0  0  0  0  0  0  374 2191  240  1  9 91
 0 0 0 9389524 6233360 114 3450 0 0 0 0  0  0  0  0  0  380 2095  237  1  8 91
 0 0 0 9389764 6233448 12 271 0 0  0  0  0  0  0  0  0  369  799  107  0  0 100
 0 0 0 9362812 6206208 292 6065 0 0 0 0  0 16  0  0  0  743 9462  723 17 12 71
 5 0 0 8892716 6004532 2087 55501 0 0 0 0 0 5  0  0  0  936 17702 589 51 30 19
 7 0 0 8926116 5901612 1984 41154 0 0 0 0 0 14 0  0  0 1334 23782 1412 66 34 0
 6 0 0 8740912 5861872 1870 65205 0 0 0 0 0 9  0  0  0 1170 22634 1142 64 36 0
 6 0 0 8872452 5896644 2261 55604 0 0 0 0 0 13 0  0  0 1372 26744 1321 65 35 0
 5 0 0 8804700 5821660 2845 62134 0 0 0 0 0 14 0  0  0 1456 25639 1156 57 43 0
 6 0 0 9225380 6071788 4256 43758 0 0 0 0 0 48 0  0  0 3210 39583 2219 59 41 0
 6 0 0 9225504 6124564 4249 47539 0 0 0 0 0 21 0  0  0 2052 40977 2316 60 40 0
 6 0 0 8809148 5933508 1644 61065 0 0 0 0 0 9  0  0  0 1128 19230 831 68 32  0
 5 0 0 8282068 5369528 490 55634 0 0 0 0 0  3  0  0  0  664 6939  302 69 31  0
 5 0 0 8704012 5844708 414 42001 0 0 0 0 0  2  0  0  0  644 8650  258 77 23  0
 4 0 0 9010972 5943096 747 30245 0 0 0 0 0  4  0  0  0  789 9726  287 84 16  0
 5 0 0 8840228 5857176 952 45718 0 0 0 0 0 24  0  0  0 1418 13186 593 71 29  0
 6 0 0 8714844 5814312 1246 52095 0 0 0 0 0 13 0  0  0  841 8942  511 74 26  0
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 4 0 0 8851216 5816732 216 27911 0 0 0 0 0  2  0  0  0  682 4846  211 79 16  5
 0 0 0 9132804 5985208 94 6955 0 0 0  0  0  0  0  0  0  438 3625  119 73  8 20
 0 0 0 9150224 5994360 83 5827 0 0 0  0  0  0  0  0  0  411 2779  123 74  6 20
 0 0 0 9081216 5931108 136 8799 0 0 0 0  0  0  0  0  0  478 3379  151 74 11 14
 0 0 0 9016148 5872160 106 3021 0 0 0 0  0  6  0  0  0  767 1989  214 75 10 15
 0 0 0 9016572 5873248 32 616 0 0  0  0  0  0  0  0  0  829  945   98 75  1 24
 0 0 0 9091340 5948148 185 4384 0 0 0 0  0  0  0  0  0  515 3085  207 67 11 22
 0 0 0 9209276 6064916 134 3637 0 0 0 0  0  0  0  0  0  445 2206  233 51 10 40
 0 0 0 9209512 6065096 57 1347 0 0 0  0  0  0  0  0  0  414 1319  137 50  5 44
 0 0 0 9208204 6064852 77 2399 0 0 0  0  0  0  0  0  0  411 1673  181 50  4 45
 0 0 0 9206276 6065520 136 3633 0 0 0 0  0  4  0  0  0  583 2216  280 51 10 39
 0 0 0 9217404 6075024 187 13922 0 0 0 0 0  0  0  0  0  458 2630  240 48 12 40
 0 0 0 9171852 6018788 167 7491 0 0 0 0  0  0  0  0  0  383 1676   97 47  5 47
 0 0 0 9257020 6106168 168 4058 0 0 0 0  0  0  0  0  0  465 2553  248 29  7 64
 0 0 0 9265552 6111132 134 3630 0 0 0 0  0  0  0  0  0  426 2214  247 26  9 65
 0 0 0 9265456 6112124 134 3638 0 0 0 0  0  0  0  0  0  429 2157  251 26  9 65
 0 0 0 9265748 6114704 16 100 0 0  0  0  0  4  0  0  0  454  736  133 25  2 73
 0 0 0 9265460 6114904 202 12687 0 0 0 0 0  0  0  0  0  420 2269  247 24  9 67
 0 0 0 9251124 6087132 1027 16423 0 0 0 0 0 0  0  0  0  420 9014  338 21 14 65
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9283108 6111168 858 13876 0 0 0 0 0  0  0  0  0  407 26031 408 20 16 65
 0 0 0 9240796 6074332 18 1031 0 0 0  0  0  0  0  0  0  391 13898 134 24  2 74
 0 0 0 9225208 6066864 144 4157 0 0 0 0  0  0  0  0  0  428 2855  252 25  9 65
 0 0 0 9200324 6051080 137 4287 0 0 0 0  0  4  0  0  0  514 2603  292 25 10 65
 0 0 0 9197556 6049516 66 1444 0 0 0  0  0  0  0  0  0  392 1409  149 25  8 67
 0 0 0 9197532 6049332 74 2187 0 0 0  0  0  0  0  0  0  400 1442  190 25  2 73
 0 0 0 9197088 6049280 134 3631 0 0 0 0  0  0  0  0  0  426 2196  252 26  9 65
 0 0 0 9196948 6049148 134 3632 0 0 0 0  0  0  0  0  0  458 2195  244 26  9 65
 0 0 0 9197140 6049140 57 1352 0 0 0  0  0  0  0  0  0  399 1332  146 25  7 68
 0 0 0 9197280 6049212 77 2277 0 0 0  0  0  2  0  0  0  457 1542  237 25  3 72
 0 0 0 9196332 6048276 145 3843 0 0 0 0  0  0  0  0  0  556 2582  251 26  9 65
 0 0 0 9186992 6039948 134 3950 0 0 0 0  0  0  0  0  0  394 2363  296 26  9 65
 0 0 0 9183404 6036264 57 1351 0 0 0  0  0  0  0  0  0  401 1329  142 25  5 69
 0 0 0 9183268 6036128 77 2275 0 0 0  0  0  0  0  0  0  412 1591  197 25  4 70
 0 0 0 9183108 6036060 134 3640 0 0 0 0  0  0  0  0  0  405 2187  252 26  9 65
 0 0 0 9183060 6035948 138 3627 0 0 0 0  0  2  0  0  0  470 2215  290 26  9 65
 0 0 0 9182872 6035808 36 809 0 0  0  0  0  0  0  0  0  377 1201  129 25  4 71
 0 0 0 9181996 6034776 104 2832 0 0 0 0  0  0  0  0  0  423 1823  229 26  5 69
 0 0 0 9181772 6034752 134 3636 0 0 0 0  0  0  0  0  0  432 2241  249 26  9 65
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9182000 6034860 134 3632 0 0 0 0  0  0  0  0  0  414 2225  256 26  9 65
 0 0 0 9182212 6034792 13 99 0  0  0  0  0  0  0  0  0  341  812   95 25  3 72
 0 0 0 9181948 6034740 122 3534 0 0 0 0  0  2  0  0  0  520 2112  284 26  7 68
 0 0 0 9181736 6034728 142 3640 0 0 0 0  0  0  0  0  0  406 2251  248 26  9 65
 0 0 0 9180124 6033016 141 3729 0 0 0 0  0  0  0  0  0  404 2675  260 26  9 65
 0 0 0 9172364 6024464 13 147 0 0  0  0  0  0  0  0  0  352 3203   90 25  2 73
