pic0: pic0=NB_ht_bus0_bandwidth,umask0=0x0f
pic1: pic1=NB_ht_bus1_bandwidth,umask=0x0f
pic2: pic2=NB_ht_bus2_bandwidth,umask=0x0f,sys
pic3: pic3=NB_ht_bus1_bandwidth,umask=0x08,sys
   time cpu event      pic0      pic1      pic2      pic3 
  5.009   2  tick         0 4935764045         0 4935763694 
 10.009   2  tick         0 4986695015         0 4986695013 
 15.009   2  tick         0 4986622529         0 4986622531 
 20.009   3  tick         0 4986694692         0 4986694692 
 25.009   2  tick         0 4986663121         0 4986663121 
 30.009   3  tick         0 4986653331         0 4986653331 
 35.009   0  tick 4986661918         0 4986661921         0 
 40.009   0  tick 4986689664         0 4986689662         0 
 40.010   2  tick         0 4986836064         0 4986836066 
 45.009   3  tick         0 4986655470         0 4986655470 
 50.009   0  tick 4986677691         0 4986677698         0 
 55.009   2  tick         0 4986677270         0 4986677270 
 60.009   2  tick         0 4986658468         0 4986658466 
 65.009   2  tick         0 4986654962         0 4986654962 
 70.009   2  tick         0 4986686664         0 4986686666 
 75.009   2  tick         0 4986623137         0 4986623137 
 80.009   3  tick         0 4986675293         0 4986675293 
 85.009   2  tick         0 4986669847         0 4986669849 
 85.010   0  tick 4987428647         0 4987428647         0 
 90.009   3  tick         0 4986689276         0 4986689276 
 95.009   2  tick         0 4986640338         0 4986640338 
100.009   3  tick         0 4986709628         0 4986709626 
105.009   0  tick 4986652635         0 4986652626         0 
105.010   3  tick         0 4986785738         0 4986785740 
110.009   3  tick         0 4986498898         0 4986498896 
115.009   3  tick         0 4986672146         0 4986672148 
120.009   3  tick         0 4986646153         0 4986646153 
125.009   3  tick         0 4986647093         0 4986647093 
125.010   2  tick         0 4987339452         0 4987339449 
130.009   3  tick         0 4986687965         0 4986687964 
135.009   2  tick         0 4986660227         0 4986660229 
140.009   3  tick         0 4986653292         0 4986653292 
145.009   2  tick         0 4986720653         0 4986720651 
150.009   2  tick         0 4986618432         0 4986618434 
155.009   2  tick         0 4986657955         0 4986657953 
160.009   3  tick         0 4986681380         0 4986681379 
165.009   2  tick         0 4986692092         0 4986692092 
170.009   3  tick         0 4986653572         0 4986653570 
170.010   2  tick         0 4986822215         0 4986822214 
175.009   1  tick 4986742805         0 4986742798         0 
180.009   3  tick         0 4986642377         0 4986642374 
185.009   2  tick         0 4986671838         0 4986671838 
190.009   3  tick         0 4986698754         0 4986698754 
195.009   3  tick         0 4986632546         0 4986632544 
200.009   3  tick         0 4986646719         0 4986646721 
205.009   3  tick         0 4986658126         0 4986658124 
210.009   0  tick 4986645829         0 4986645827         0 
210.011   2  tick         0 4988377220         0 4988377219 
215.009   1  tick 4986654677         0 4986654669         0 
220.009   2  tick         0 4986692809         0 4986692807 
225.009   3  tick         0 4986678545         0 4986678545 
230.009   3  tick         0 4986646396         0 4986646395 
235.009   3  tick         0 4986661079         0 4986661078 
240.009   3  tick         0 4986653508         0 4986653510 
245.009   3  tick         0 4986650643         0 4986650643 
250.009   3  tick         0 4986704070         0 4986704068 
255.009   2  tick         0 4986641892         0 4986641892 
255.010   0  tick 4986882429         0 4986882431         0 
