n,astar,gamess,gobmk,zeusmp,astar,gamess,gobmk,zeusmp
10,0.7241,1.0269,0.7555,0.8472,1.8386,1.5481,2.1314,3.3069
25,0.514,1.0216,0.7211,0.8266,1.3396,1.6084,1.6767,3.5883
50,0.1823,0.242,0.3376,0.2337,1.2944,2.4411,1.8587,3.1972
100,0.1823,0.242,0.3376,0.2337,0.1823,0.242,0.3376,0.2337
200,0.1823,0.242,0.3376,0.2337,0.1823,0.242,0.3376,0.2337
