pic0: pic0=NB_ht_bus0_bandwidth,umask=0x0f
pic1: pic1=NB_ht_bus1_bandwidth,umask=0x0f
pic2: pic2=NB_ht_bus2_bandwidth,umask=0x0f,sys
   time cpu event      pic0      pic1      pic2 
  5.004   1  tick 4989052070         0 4989051864 
  5.004   2  tick         0 4989535725         0 
  5.004   3  tick         0 4984563958         0 
  5.004   0  tick 4799223283         0 4799223078 
 10.004   0  tick 4986660014         0 4986660008 
 10.004   3  tick         0 4986671170         0 
 10.004   1  tick 4986665239         0 4986665233 
 10.004   2  tick         0 4986640879         0 
 15.004   2  tick         0 4986670233         0 
 15.004   0  tick 4986675801         0 4986675808 
 15.004   3  tick         0 4986670535         0 
 15.004   1  tick 4986683435         0 4986683439 
 20.004   1  tick 4986657220         0 4986657216 
 20.004   2  tick         0 4986670399         0 
 20.004   0  tick 4986669664         0 4986669657 
 20.004   3  tick         0 4986676733         0 
 25.004   1  tick 4986670648         0 4986670649 
 25.004   2  tick         0 4986669151         0 
 25.004   3  tick         0 4986661262         0 
 25.004   0  tick 4986672571         0 4986672576 
 30.004   2  tick         0 4986672355         0 
 30.004   0  tick 4986668621         0 4986668615 
 30.004   3  tick         0 4986672665         0 
 30.004   1  tick 4986685154         0 4986685153 
 35.004   1  tick 4986656005         0 4986656011 
 35.004   2  tick         0 4986669184         0 
 35.004   0  tick 4986665841         0 4986665843 
 35.004   3  tick         0 4986669135         0 
 40.004   1  tick 4986670653         0 4986670647 
 40.004   2  tick         0 4986672555         0 
 40.004   0  tick 4986672622         0 4986672622 
 40.004   3  tick         0 4986670746         0 
 45.004   2  tick         0 4986671054         0 
 45.004   3  tick         0 4986670480         0 
 45.004   1  tick 4986699052         0 4986699052 
 45.004   0  tick 4986794042         0 4986794044 
 50.004   1  tick 4986641031         0 4986641031 
 50.004   2  tick         0 4986668904         0 
 50.004   0  tick 4986544623         0 4986544622 
 50.004   3  tick         0 4986673583         0 
 55.004   1  tick 4986670587         0 4986670593 
 55.004   2  tick         0 4986669849         0 
 55.004   0  tick 4986671074         0 4986671073 
 55.004   3  tick         0 4986666773         0 
 60.004   2  tick         0 4986673954         0 
 60.004   1  tick 4986677338         0 4986677331 
 60.004   3  tick         0 4986672938         0 
 60.004   0  tick 4986687063         0 4986687062 
 65.004   2  tick         0 4986666225         0 
 65.004   1  tick 4986663392         0 4986663398 
 65.004   0  tick 4986653592         0 4986653594 
 65.004   3  tick         0 4986669083         0 
 70.004   1  tick 4986671562         0 4986671557 
 70.004   2  tick         0 4986672597         0 
 70.004   0  tick 4986671362         0 4986671362 
 70.004   3  tick         0 4986672983         0 
 75.004   2  tick         0 4986670644         0 
 75.004   3  tick         0 4986667392         0 
 75.004   0  tick 4986675029         0 4986675027 
 75.004   1  tick 4986684079         0 4986684077 
 80.004   2  tick         0 4986668724         0 
 80.004   1  tick 4986657544         0 4986657544 
 80.004   0  tick 4986666308         0 4986666307 
 80.004   3  tick         0 4986675861         0 
 85.004   1  tick 4986669386         0 4986669388 
 85.004   2  tick         0 4986672286         0 
 85.004   0  tick 4986669989         0 4986669996 
 85.004   3  tick         0 4986669787         0 
 90.004   2  tick         0 4986671511         0 
 90.004   3  tick         0 4986666577         0 
 90.004   0  tick 4986676789         0 4986676788 
 90.004   1  tick 4986685152         0 4986685150 
 95.004   1  tick 4986685494         0 4986685496 
 95.004   2  tick         0 4986698384         0 
 95.004   3  tick         0 4986698104         0 
 95.004   0  tick 4986876610         0 4986876613 
100.004   1  tick 4986642512         0 4986642512 
100.004   2  tick         0 4986641883         0 
100.004   0  tick 4986464332         0 4986464324 
100.004   3  tick         0 4986646156         0 
105.004   2  tick         0 4986669296         0 
105.004   0  tick 4986664807         0 4986664807 
105.004   3  tick         0 4986668408         0 
105.004   1  tick 4986683255         0 4986683254 
110.004   1  tick 4986656852         0 4986656853 
110.004   2  tick         0 4986669914         0 
110.004   0  tick 4986669430         0 4986669429 
110.004   3  tick         0 4986673764         0 
115.004   2  tick         0 4986670264         0 
115.004   1  tick 4986670863         0 4986670862 
115.004   0  tick 4986671357         0 4986671357 
115.004   3  tick         0 4986670972         0 
120.004   2  tick         0 4986673080         0 
120.004   0  tick 4986671994         0 4986671994 
120.004   3  tick         0 4986669234         0 
120.004   1  tick 4986685621         0 4986685622 
125.004   1  tick 4986654179         0 4986654183 
125.004   2  tick         0 4986668544         0 
125.004   0  tick 4986668255         0 4986668261 
125.004   3  tick         0 4986667875         0 
130.004   1  tick 4986672240         0 4986672234 
130.004   2  tick         0 4986671807         0 
130.004   0  tick 4986672103         0 4986672105 
130.004   3  tick         0 4986671456         0 
135.004   2  tick         0 4986671482         0 
135.004   3  tick         0 4986668098         0 
135.004   0  tick 4986675530         0 4986675527 
135.004   1  tick 4986683729         0 4986683734 
140.004   1  tick 4986657827         0 4986657827 
140.004   2  tick         0 4986669637         0 
140.004   3  tick         0 4986670036         0 
140.004   0  tick 4986669980         0 4986669975 
145.004   1  tick 4986665782         0 4986665790 
145.004   2  tick         0 4986671941         0 
145.004   3  tick         0 4986672555         0 
145.005   0  tick 4987121440         0 4987121446 
150.004   2  tick         0 4986670377         0 
150.004   1  tick 4986676717         0 4986676704 
150.004   3  tick         0 4986670154         0 
150.004   0  tick 4986231460         0 4986231457 
155.004   2  tick         0 4986667822         0 
155.004   1  tick 4986667668         0 4986667665 
155.004   0  tick 4986653109         0 4986653112 
155.004   3  tick         0 4986670490         0 
160.004   1  tick 4986671367         0 4986671370 
160.004   2  tick         0 4986671264         0 
160.004   0  tick 4986671251         0 4986671245 
160.004   3  tick         0 4986672463         0 
165.004   2  tick         0 4986676989         0 
165.004   0  tick 4986674510         0 4986674516 
165.004   1  tick 4986684354         0 4986684360 
165.004   3  tick         0 4986671885         0 
170.004   2  tick         0 4986666275         0 
170.004   1  tick 4986660783         0 4986660781 
170.004   0  tick 4986669272         0 4986669267 
170.004   3  tick         0 4986672052         0 
175.004   2  tick         0 4986668668         0 
175.004   1  tick 4986666783         0 4986666787 
175.004   0  tick 4986667846         0 4986667851 
175.004   3  tick         0 4986669867         0 
180.004   2  tick         0 4986670668         0 
180.004   1  tick 4986670659         0 4986670652 
180.004   3  tick         0 4986666628         0 
180.004   0  tick 4986685702         0 4986685704 
185.004   1  tick 4986670498         0 4986670500 
185.004   2  tick         0 4986670951         0 
185.004   0  tick 4986656178         0 4986656176 
185.004   3  tick         0 4986669352         0 
190.004   1  tick 4986687455         0 4986687452 
190.004   0  tick 4986685423         0 4986685425 
190.004   2  tick         0 4986687909         0 
190.004   3  tick         0 4986702477         0 
195.004   2  tick         0 4986655655         0 
