time ,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1, HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,c1c2missC3,Watts,Amps,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
55,42,48,34,44,3645.6,3645.6,9656,9372,7.88E+05,9213090,7.84E+06,1.10E+05,2.37E+05,1.82E+05,0.7884145,9.21309,7.835432,1.10E+00,2.37E+00,1.82E+00,1.82E+00,8.28E+04,1865,1145,1492,1119,55.95,61.545,0,0,0,0,0,0
60,43,47,34,44,3724,3645.6,9656,9656,776587,13197989,10317551,213276,2.37E+05,1.82E+05,0.776587,13.197989,10.317551,2.13E+00,2.37E+00,1.82E+00,1.82E+00,156511,1868,1145,1494.4,1120.8,56.04,61.644,0,0,0,0,0,0
65,42,48,34,44,3567.2,3645.6,9372,9656,835859,1.08E+07,8.75E+06,2.63E+05,2.37E+05,1.82E+05,0.835859,10.80548,8.751922,2.63E+00,2.37E+00,1.82E+00,1.82E+00,113446,1871,1145,1496.8,1122.6,56.13,61.743,0,0,0,0,0,0
70,42,48,34,44,3645.6,3645.6,9656,9656,7.80E+05,8.55E+06,8.51E+06,2.63E+05,1.36E+05,1.82E+05,0.7799125,8.54958,8.512394,2.63E+00,1.36E+00,1.82E+00,1.82E+00,198219,1862,1144,1489.6,1117.2,55.86,61.446,0,11,0,42.6,0,42600
75,43,48,34,44,3645.6,3645.6,9372,9656,7.80E+05,1.29E+07,9.81E+06,2.63E+05,3.32E+05,1.82E+05,0.7803435,12.86885,9.809574,2.63E+00,3.32E+00,1.82E+00,1.82E+00,1.65E+05,1867,1145,1493.6,1120.2,56.01,61.611,0,0,0,0,0,0
80,43,47,34,44,3645.6,3645.6,9656,9656,788219,1.08E+07,8754810,2.63E+05,297169,1.82E+05,0.788219,10.77543,8.75481,2.63E+00,2.97E+00,1.82E+00,1.82E+00,9.82E+04,1867,1144,1493.6,1120.2,56.01,61.611,0,0,0,0,0,0
85,42,47,34,44,3645.6,3645.6,9656,9656,523553,1.24E+07,5584142,1.61E+05,297169,1.22E+05,0.523553,12.37707,5.584142,1.61E+00,2.97E+00,1.22E+00,1.22E+00,8.15E+04,1867,1144,1493.6,1120.2,56.01,61.611,0,0,0,0,0,0
90,42,48,34,44,3645.6,3567.2,9656,9656,7.82E+05,13202125,9.74E+06,1.61E+05,3.90E+05,1.22E+05,0.7822055,13.202125,9.737286,1.61E+00,3.90E+00,1.22E+00,1.22E+00,108969,1867,1144,1493.6,1120.2,56.01,61.611,0,0,0,0,0,0
95,43,47,34,44,3645.6,3645.6,9656,9656,4.49E+05,9.55E+06,4.22E+06,9.46E+04,3.90E+05,8.47E+04,0.4487753,9.553397,4.219186,9.46E-01,3.90E+00,8.47E-01,8.47E-01,8.68E+04,1868,1145,1494.4,1120.8,56.04,61.644,0,0,0,0,0,0
100,43,47,34,44,3645.6,3645.6,9656,9656,2.95E+05,4707966,4.82E+06,9.46E+04,1.07E+05,8.47E+04,0.2946665,4.707966,4.815924,9.46E-01,1.07E+00,8.47E-01,8.47E-01,97259,1906,1145,1524.8,1143.6,57.18,62.898,0,11.4,0,45.3,0,45300
105,42,47,34,44,3724,3645.6,9656,9656,7.92E+05,1.34E+07,10081485,240251,1.07E+05,8.47E+04,0.7922105,13.44801,10.081485,2.40E+00,1.07E+00,8.47E-01,8.47E-01,95267,1866,1145,1492.8,1119.6,55.98,61.578,0,0,0,0,0,0
110,42,48,34,44,3645.6,3567.2,9372,9656,780948,1.09E+07,9278480,2.54E+05,1.07E+05,8.47E+04,0.780948,10.91938,9.27848,2.54E+00,1.07E+00,8.47E-01,8.47E-01,1.21E+05,1865,1145,1492,1119,55.95,61.545,0,0,0,0,0,0
115,42,48,34,44,3645.6,3645.6,9656,9656,7.92E+05,9.60E+06,8.43E+06,2.54E+05,2.20E+05,8.47E+04,0.7916585,9.597158,8.431512,2.54E+00,2.20E+00,8.47E-01,8.47E-01,125883,1869,1145,1495.2,1121.4,56.07,61.677,0,0,0,0,0,0
120,42,48,34,44,3645.6,3645.6,9656,9372,7.87E+05,13146459,9.51E+06,2.54E+05,406612,8.47E+04,0.7873655,13.146459,9.508438,2.54E+00,4.07E+00,8.47E-01,8.47E-01,137624,1866,1145,1492.8,1119.6,55.98,61.578,0,0,0,0,0,0
125,42,47,34,44,3567.2,3645.6,9656,9656,823309,10322563,9512612,2.54E+05,1.85E+05,8.47E+04,0.823309,10.322563,9.512612,2.54E+00,1.85E+00,8.47E-01,8.47E-01,203744,1864,1144,1491.2,1118.4,55.92,61.512,0,0,0,0,0,0
130,42,48,34,44,3645.6,3645.6,9372,9656,7.88E+05,9650644,8696570,2.54E+05,1.96E+05,8.47E+04,0.7879405,9.650644,8.69657,2.54E+00,1.96E+00,8.47E-01,8.47E-01,114271,1865,1145,1492,1119,55.95,61.545,0,11,0,48.2,0,48200
135,42,47,34,44,3645.6,3645.6,9656,9656,7.84E+05,1.32E+07,9414447,2.54E+05,418162,8.47E+04,0.7842065,13.18762,9.414447,2.54E+00,4.18E+00,8.47E-01,8.47E-01,112589,1863,1146,1490.4,1117.8,55.89,61.479,0,0,0,0,0,0
140,42,48,34,44,3567.2,3645.6,9656,9656,7.88E+05,9.85E+06,9.33E+06,2.54E+05,172367,8.47E+04,0.7878585,9.845748,9.325852,2.54E+00,1.72E+00,8.47E-01,8.47E-01,2.09E+05,1856,1144,1484.8,1113.6,55.68,61.248,0,0,0,0,0,0
145,42,48,34,44,3645.6,3645.6,9372,9656,6.63E+05,3565182,6.27E+06,1.14E+05,1.08E+05,8.47E+04,0.6629413,3.565182,6.274518,1.14E+00,1.08E+00,8.47E-01,8.47E-01,4.56E+04,1861,1145,1488.8,1116.6,55.83,61.413,0,0,0,0,0,0
150,42,47,34,44,3645.6,3645.6,9656,9656,449162,8705698,5573304,1.14E+05,3.20E+05,8.47E+04,0.449162,8.705698,5.573304,1.14E+00,3.20E+00,8.47E-01,8.47E-01,6.20E+04,1992,1145,1593.6,1195.2,59.76,65.736,0,0,0,0,0,0
155,42,47,34,44,3645.6,3645.6,9656,9656,449162,2.12E+07,5573304,1.14E+05,3.20E+05,2.47E+05,0.449162,21.16411,5.573304,1.14E+00,3.20E+00,2.47E+00,2.47E+00,230842,1863,1145,1490.4,1117.8,55.89,61.479,0,0,0,0,0,0
160,43,47,34,44,3645.6,3645.6,9656,9656,7.82E+05,9.81E+06,9.24E+06,1.14E+05,195404,2.47E+05,0.7816475,9.807788,9.237848,1.14E+00,1.95E+00,2.47E+00,2.47E+00,1.39E+05,1861,1144,1488.8,1116.6,55.83,61.413,0,22.2,0,211.9,0,211900
165,43,47,34,44,3645.6,3645.6,9656,9656,789724,13073082,9.87E+06,486821,195404,2.47E+05,0.789724,13.073082,9.874538,4.87E+00,1.95E+00,2.47E+00,2.47E+00,1.47E+05,1866,1145,1492.8,1119.6,55.98,61.578,0,0,0,0,0,0
170,42,47,34,44,3645.6,3645.6,9656,9656,7.82E+05,1.03E+07,8806682,486821,1.97E+05,2.47E+05,0.7822575,10.30762,8.806682,4.87E+00,1.97E+00,2.47E+00,2.47E+00,101783,1861,1145,1488.8,1116.6,55.83,61.413,0,0,0,0,0,0
175,42,47,34,44,3645.6,3645.6,9656,9656,7.85E+05,9366438,8.43E+06,486821,2.18E+05,2.47E+05,0.7846145,9.366438,8.429172,4.87E+00,2.18E+00,2.47E+00,2.47E+00,138085,1862,1145,1489.6,1117.2,55.86,61.446,0,0,0,0,0,0
180,42,48,34,44,3645.6,3567.2,9656,9656,7.92E+05,1.32E+07,9.14E+06,486821,4.21E+05,2.47E+05,0.7918275,13.19461,9.141032,4.87E+00,4.21E+00,2.47E+00,2.47E+00,1.25E+05,1861,1145,1488.8,1116.6,55.83,61.413,0,0,0,0,0,0
185,42,48,34,44,3645.6,3645.6,9656,9372,8.50E+05,10387871,8.86E+06,486821,2.56E+05,2.47E+05,0.8499915,10.387871,8.863702,4.87E+00,2.56E+00,2.47E+00,2.47E+00,121463,1858,1145,1486.4,1114.8,55.74,61.314,0,0,0,0,0,0
190,42,47,34,44,3645.6,3645.6,9656,9656,791251,8878266,7.64E+06,2.61E+05,2.56E+05,2.47E+05,0.791251,8.878266,7.643044,2.61E+00,2.56E+00,2.47E+00,2.47E+00,1.01E+05,1862,1146,1489.6,1117.2,55.86,61.446,0,12.4,0,64.8,0,64800
195,42,47,34,44,3645.6,3645.6,9656,9656,291814,8.44E+06,2.09E+06,2.61E+05,189979,16208,0.291814,8.437306,2.087601,2.61E+00,1.90E+00,1.62E-01,1.62E-01,6.01E+03,1862,1146,1489.6,1117.2,55.86,61.446,0,0,0,0,0,0
200,43,47,34,44,3645.6,3645.6,9656,9656,4.96E+05,8889863,8694168,1.99E+05,189979,16208,0.4959605,8.889863,8.694168,1.99E+00,1.90E+00,1.62E-01,1.62E-01,193601,1899,1145,1519.2,1139.4,56.97,62.667,0,0,0,0,0,0
205,43,47,34,44,3645.6,3645.6,9656,9656,7.82E+05,9.56E+06,8284808,246742,189979,16208,0.7821885,9.560152,8.284808,2.47E+00,1.90E+00,1.62E-01,1.62E-01,109164,1863,1145,1490.4,1117.8,55.89,61.479,0,0,0,0,0,0
210,42,47,34,44,3645.6,3645.6,9656,9656,783046,13701921,9788095,246742,4.05E+05,16208,0.783046,13.701921,9.788095,2.47E+00,4.05E+00,1.62E-01,1.62E-01,131313,1864,1146,1491.2,1118.4,55.92,61.512,0,0,0,0,0,0
215,42,47,34,44,3645.6,3645.6,9656,9656,8.35E+05,10218106,8614730,272269,4.05E+05,16208,0.8352635,10.218106,8.61473,2.72E+00,4.05E+00,1.62E-01,1.62E-01,112621,1862,1145,1489.6,1117.2,55.86,61.446,0,0,0,0,0,0
220,42,48,34,44,3724,3645.6,9656,9656,788137,9498137,9.01E+06,272269,188698,16208,0.788137,9.498137,9.010754,2.72E+00,1.89E+00,1.62E-01,1.62E-01,152306,1862,1145,1489.6,1117.2,55.86,61.446,0,10.4,0,56.2,0,56200
225,42,48,34,44,3645.6,3645.6,9656,9656,804861,13850112,9967429,257884,188698,16208,0.804861,13.850112,9.967429,2.58E+00,1.89E+00,1.62E-01,1.62E-01,115092,1861,1145,1488.8,1116.6,55.83,61.413,0,0,0,0,0,0
230,42,48,34,44,3645.6,3645.6,9656,9656,7.80E+05,9.97E+06,8382170,2.48E+05,188698,16208,0.7801145,9.973556,8.38217,2.48E+00,1.89E+00,1.62E-01,1.62E-01,113135,1862,1145,1489.6,1117.2,55.86,61.446,0,0,0,0,0,0
235,42,48,34,44,3724,3645.6,9656,9656,789003,9180210,8046147,241775,188698,16208,0.789003,9.18021,8.046147,2.42E+00,1.89E+00,1.62E-01,1.62E-01,135372,1868,1146,1494.4,1120.8,56.04,61.644,0,0,0,0,0,0
240,42,48,34,44,3645.6,3567.2,9656,9656,7.89E+05,13500486,1.08E+07,241775,341919,16208,0.7889895,13.500486,10.75865,2.42E+00,3.42E+00,1.62E-01,1.62E-01,2.13E+05,1859,1144,1487.2,1115.4,55.77,61.347,0,0,0,0,0,0
245,43,47,34,44,3645.6,3645.6,9656,9656,2.17E+05,3578849,1456555,42101,341919,21353,0.2169667,3.578849,1.456555,4.21E-01,3.42E+00,2.14E-01,2.14E-01,1.37E+04,1857,1143,1485.6,1114.2,55.71,61.281,0,0,0,0,0,0
250,43,47,34,44,3567.2,3645.6,9656,9372,6.42E+05,8981088,7.99E+06,42101,219827,21353,0.6415385,8.981088,7.994416,4.21E-01,2.20E+00,2.14E-01,2.14E-01,1.16E+05,1905,1145,1524,1143,57.15,62.865,0,10.4,0,59.2,0,59200
255,42,48,34,44,3645.6,3645.6,9656,9656,790970,1.37E+07,9388522,42101,4.56E+05,21353,0.79097,13.65066,9.388522,4.21E-01,4.56E+00,2.14E-01,2.14E-01,9.15E+04,1860,1143,1488,1116,55.8,61.38,0,0,0,0,0,0
260,42,48,34,44,3645.6,3645.6,9656,9656,7.87E+05,9.58E+06,8572303,241757,4.56E+05,21353,0.7873835,9.583094,8.572303,2.42E+00,4.56E+00,2.14E-01,2.14E-01,130607,1866,1146,1492.8,1119.6,55.98,61.578,0,0,0,0,0,0
265,42,48,34,44,3645.6,3645.6,9656,9656,792083,8808278,9023031,241757,108979,21353,0.792083,8.808278,9.023031,2.42E+00,1.09E+00,2.14E-01,2.14E-01,221532,1858,1144,1486.4,1114.8,55.74,61.314,0,0,0,0,0,0
270,42,48,34,44,3645.6,3645.6,9656,9656,7.90E+05,1.42E+07,10149469,241757,4.04E+05,21353,0.7904745,14.20525,10.149469,2.42E+00,4.04E+00,2.14E-01,2.14E-01,1.34E+05,1863,1145,1490.4,1117.8,55.89,61.479,0,0,0,0,0,0
275,43,48,34,44,3645.6,3645.6,9656,9656,8.35E+05,10206924,9.38E+06,246720,4.04E+05,21353,0.8352575,10.206924,9.38295,2.47E+00,4.04E+00,2.14E-01,2.14E-01,150944,1863,1145,1490.4,1117.8,55.89,61.479,0,0,0,0,0,0
280,43,48,34,44,3645.6,3645.6,9656,9656,792274,8.61E+06,8676740,246720,1.47E+05,21353,0.792274,8.606924,8.67674,2.47E+00,1.47E+00,2.14E-01,2.14E-01,202237,1861,1144,1488.8,1116.6,55.83,61.413,0,10.2,0,62,0,62000
285,43,49,34,44,3645.6,3645.6,9372,9656,779243,1.41E+07,1.02E+07,246720,423531,21353,0.779243,14.12049,10.22657,2.47E+00,4.24E+00,2.14E-01,2.14E-01,1.36E+05,1859,1145,1487.2,1115.4,55.77,61.347,0,0,0,0,0,0
290,43,50,34,44,3645.6,3645.6,9656,9656,7.93E+05,8.64E+06,8378790,216400,423531,21353,0.7928615,8.635908,8.37879,2.16E+00,4.24E+00,2.14E-01,2.14E-01,217792,1857,1143,1485.6,1114.2,55.71,61.281,0,0,0,0,0,0
295,43,49,34,44,3567.2,3645.6,9656,9656,1.43E+05,1.10E+06,1200335,216400,7.89E+04,21353,0.1431745,1.104756,1.200335,2.16E+00,7.89E-01,2.14E-01,2.14E-01,6.43E+03,1993,1143,1594.4,1195.8,59.79,65.769,0,0,0,0,0,0
300,43,49,34,44,3645.6,3645.6,9372,9656,7.78E+05,1.45E+07,10893592,216400,401582,21353,0.7783655,14.48036,10.893592,2.16E+00,4.02E+00,2.14E-01,2.14E-01,1.32E+05,1858,1143,1486.4,1114.8,55.74,61.314,0,0,0,0,0,0
305,43,49,34,44,3645.6,3645.6,9656,9372,9.93E+05,36754019,3.16E+07,2201517,401582,21353,0.9933235,36.754019,31.64714,2.20E+01,4.02E+00,2.14E-01,2.14E-01,5.21E+05,1865,1145,1492,1119,55.95,61.545,0,0,0,0,0,0
310,44,48,34,44,3645.6,3645.6,9656,9656,784046,63386437,7.21E+07,2201517,2.11E+07,21353,0.784046,63.386437,72.10293,2.20E+01,2.11E+02,2.14E-01,2.14E-01,6.40E+05,1862,1144,1489.6,1117.2,55.86,61.446,3.8,11.4,1350.7,70.3,135070,70300
315,44,49,34,44,3645.6,3645.6,9656,9656,1.04E+06,6.29E+07,107747234,1.78E+06,1.05E+07,21353,1.035957,62.8602,107.747234,1.78E+01,1.05E+02,2.14E-01,2.14E-01,2.09E+06,2008,1143,1606.4,1204.8,60.24,66.264,0,0,0,0,0,0
320,43,50,34,45,3567.2,3645.6,9656,9372,1.04E+06,1.44E+08,107747234,1.78E+06,1.05E+07,1.19E+07,1.035957,143.9441,107.747234,1.78E+01,1.05E+02,1.19E+02,1.19E+02,389797,2014,1142,1611.2,1208.4,60.42,66.462,0,0,0,0,0,0
325,43,50,34,44,3645.6,3567.2,9656,9372,1.04E+06,1.49E+08,107747234,1.78E+06,1.05E+07,5.13E+06,1.035957,149.4184,107.747234,1.78E+01,1.05E+02,5.13E+01,5.13E+01,346286,2014,1142,1611.2,1208.4,60.42,66.462,0,0,0,0,0,0
330,43,50,34,44,3645.6,3645.6,9656,9656,527939,1.06E+08,4.73E+07,3.27E+06,1.05E+07,1.75E+06,0.527939,105.682,47.3473,3.27E+01,1.05E+02,1.75E+01,1.75E+01,398817,2030,1143,1624,1218,60.9,66.99,0,0,0,0,0,0
335,44,49,34,45,3645.6,3645.6,9656,9656,1730942,9.40E+07,81192820,2.38E+06,1.05E+07,1.75E+06,1.730942,93.96595,81.19282,2.38E+01,1.05E+02,1.75E+01,1.75E+01,19721519,2019,1143,1615.2,1211.4,60.57,66.627,0,0,0,0,0,0
340,44,49,34,45,3645.6,3645.6,9656,9656,4.32E+05,9.60E+07,5.13E+07,2.12E+06,1.05E+07,6.68E+06,0.4322877,96.03739,51.25945,2.12E+01,1.05E+02,6.68E+01,6.68E+01,3.15E+05,2027,1143,1621.6,1216.2,60.81,66.891,0,29.2,0,1299.2,0,1299200
345,43,50,34,45,3645.6,3645.6,9372,9656,288531,93968882,7.73E+07,2.12E+06,2039741,6.68E+06,0.288531,93.968882,77.31124,2.12E+01,2.04E+01,6.68E+01,6.68E+01,651140,2088,1144,1670.4,1252.8,62.64,68.904,0,0,0,0,0,0
350,43,51,34,45,3567.2,3645.6,9656,9372,5.21E+05,106124368,65273853,3.15E+06,2039741,7.62E+05,0.5210687,106.124368,65.273853,3.15E+01,2.04E+01,7.62E+00,7.62E+00,4.33E+05,2036,1145,1628.8,1221.6,61.08,67.188,0,0,0,0,0,0
355,44,49,34,45,3645.6,3645.6,9656,9656,7.83E+05,8.24E+07,8.36E+07,2.16E+06,2.97E+05,1.74E+06,0.7833645,82.44258,83.60886,2.16E+01,2.97E+00,1.74E+01,1.74E+01,1.45E+06,2021,1143,1616.8,1212.6,60.63,66.693,0,0,0,0,0,0
360,44,49,34,45,3645.6,3645.6,9656,9656,787189,8.12E+07,80049044,2.16E+06,4.57E+06,1.74E+06,0.787189,81.2378,80.049044,2.16E+01,4.57E+01,1.74E+01,1.74E+01,2449745,2016,1144,1612.8,1209.6,60.48,66.528,0,0,0,0,0,0
365,44,49,34,45,3645.6,3645.6,9372,9656,1.29E+06,50982117,1.01E+08,3027456,1.60E+06,1.74E+06,1.293372,50.982117,100.9571,3.03E+01,1.60E+01,1.74E+01,1.74E+01,7.26E+05,2030,1143,1624,1218,60.9,66.99,0,0,0,0,0,0
370,45,49,34,45,3645.6,3645.6,9656,9656,5.29E+05,1.20E+08,5.48E+07,6200498,1.60E+06,5998748,0.5285717,119.8901,54.82033,6.20E+01,1.60E+01,6.00E+01,6.00E+01,2.07E+05,2009,1143,1607.2,1205.4,60.27,66.297,0.2,14.6,25.6,249.2,2560,249200
375,44,50,34,45,3567.2,3645.6,9656,9656,5.27E+05,9.89E+07,47251318,6200498,4.13E+05,4.29E+06,0.5268013,98.88063,47.251318,6.20E+01,4.13E+00,4.29E+01,4.29E+01,2.08E+05,2026,1143,1620.8,1215.6,60.78,66.858,0,0,0,0,0,0
380,44,50,34,45,3645.6,3645.6,9372,9656,5.27E+05,1.96E+08,47251318,6200498,4.13E+05,1.50E+07,0.5268013,196.4948,47.251318,6.20E+01,4.13E+00,1.50E+02,1.50E+02,16209272,2039,1145,1631.2,1223.4,61.17,67.287,0,0,0,0,0,0
385,44,51,34,45,3567.2,3645.6,9656,9656,5.20E+05,1.10E+08,5.11E+07,6200498,2.02E+05,8.46E+06,0.5204693,109.6882,51.07661,6.20E+01,2.02E+00,8.46E+01,8.46E+01,170747,2038,1145,1630.4,1222.8,61.14,67.254,0,0,0,0,0,0
390,44,50,34,45,3645.6,3645.6,9656,9656,3.11E+05,1.26E+08,55019523,2472656,2.02E+05,6828150,0.3111037,125.5202,55.019523,2.47E+01,2.02E+00,6.83E+01,6.83E+01,183022,2028,1145,1622.4,1216.8,60.84,66.924,0,0,0,0,0,0
395,44,51,35,45,3567.2,3645.6,9656,9656,6.90E+05,8.67E+07,83779608,9685158,2.02E+05,6828150,0.6902895,86.69556,83.779608,9.69E+01,2.02E+00,6.83E+01,6.83E+01,262401,2197,1143,1757.6,1318.2,65.91,72.501,0,0,0,0,0,0
400,45,49,34,45,3645.6,3645.6,9656,9372,779051,8.18E+07,91562279,17045736,2.02E+05,6828150,0.779051,81.78129,91.562279,1.70E+02,2.02E+00,6.83E+01,6.83E+01,308526,2028,1142,1622.4,1216.8,60.84,66.924,0,14.6,0,311.6,0,311600
405,44,50,35,45,3645.6,3645.6,9656,9656,5.26E+05,1.21E+08,6.67E+07,10735188,2.02E+05,1.64E+06,0.5258863,121.4538,66.69907,1.07E+02,2.02E+00,1.64E+01,1.64E+01,2.52E+05,2038,1143,1630.4,1222.8,61.14,67.254,0,0,0,0,0,0
410,45,49,35,45,3645.6,3645.6,9656,9656,7.95E+05,63076280,7.57E+07,10735188,1.12E+07,1.64E+06,0.7950765,63.07628,75.73107,1.07E+02,1.12E+02,1.64E+01,1.64E+01,8.42E+05,2010,1143,1608,1206,60.3,66.33,0,0,0,0,0,0
415,44,50,35,45,3645.6,3645.6,9656,9372,787546,6.88E+07,8.53E+07,6.55E+06,1.12E+07,1.64E+06,0.787546,68.78873,85.3354,6.55E+01,1.12E+02,1.64E+01,1.64E+01,1.38E+06,2026,1143,1620.8,1215.6,60.78,66.858,0,0,0,0,0,0
420,44,51,35,45,3645.6,3645.6,9656,9372,8.13E+05,77535219,88986992,4864963,1.12E+07,1.64E+06,0.8128785,77.535219,88.986992,4.86E+01,1.12E+02,1.64E+01,1.64E+01,606069,2019,1143,1615.2,1211.4,60.57,66.627,0,0,0,0,0,0
425,44,51,35,45,3645.6,3567.2,9656,9656,1009106,99847280,7.77E+07,707868,1.12E+07,1.64E+06,1.009106,99.84728,77.68382,7.08E+00,1.12E+02,1.64E+01,1.64E+01,1.13E+07,2021,1144,1616.8,1212.6,60.63,66.693,4.2,0,270,0,27000,0
430,45,49,35,45,3567.2,3567.2,9656,9656,1.05E+06,5.55E+07,9.74E+07,1439334,255287,1.64E+06,1.05002,55.48478,97.43255,1.44E+01,2.55E+00,1.64E+01,1.64E+01,11511344,2040,1144,1632,1224,61.2,67.32,0,13.8,0,293.4,0,293400
435,45,50,35,46,3645.6,3645.6,9656,9656,5.29E+05,120466170,5.73E+07,1439334,869051,6.16E+06,0.5294927,120.46617,57.30559,1.44E+01,8.69E+00,6.16E+01,6.16E+01,2007945,2014,1145,1611.2,1208.4,60.42,66.462,0,0,0,0,0,0
440,44,51,35,45,3645.6,3645.6,9656,9656,4.82E+05,4.26E+07,9.46E+07,2686638,9.66E+05,6.16E+06,0.4821087,42.60457,94.58022,2.69E+01,9.66E+00,6.16E+01,6.16E+01,1.18E+05,2021,1143,1616.8,1212.6,60.63,66.693,0,0,0,0,0,0
445,44,50,35,45,3645.6,3567.2,9656,9656,4.82E+05,130747119,9.46E+07,2686638,9.66E+05,4.02E+06,0.4821087,130.747119,94.58022,2.69E+01,9.66E+00,4.02E+01,4.02E+01,1.03E+06,2046,1143,1636.8,1227.6,61.38,67.518,0.6,0,14.4,0,1440,0
450,45,50,35,45,3645.6,3645.6,9656,9656,7.92E+05,7.70E+07,7.67E+07,3235392,9.66E+05,4.02E+06,0.7918165,77.02987,76.66027,3.24E+01,9.66E+00,4.02E+01,4.02E+01,752769,2029,1143,1623.2,1217.4,60.87,66.957,1,0,902.9,0,90290,0
455,45,49,35,45,3567.2,3645.6,9656,9656,7.92E+05,1.85E+08,7.67E+07,3235392,9.66E+05,2522432,0.7918165,185.4878,76.66027,3.24E+01,9.66E+00,2.52E+01,2.52E+01,1291612,2012,1144,1609.6,1207.2,60.36,66.396,1.4,0,77.7,0,7770,0
460,46,49,35,45,3645.6,3567.2,9656,9656,794680,7.08E+07,73107562,3883250,9.66E+05,2522432,0.79468,70.81254,73.107562,3.88E+01,9.66E+00,2.52E+01,2.52E+01,2.41E+06,2029,1144,1623.2,1217.4,60.87,66.957,0,17.2,0,354.5,0,354500
