time ,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1, HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,c1c2missC3,Watts,Amps,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
5,42,48,34,44,3645.6,3645.6,9656,9656,816138,1.36E+07,12622363,2.90E+05,236132,1.82E+05,0.816138,13.60412,12.622363,2.90E+00,2.36E+00,1.82E+00,1.82E+00,314286,1904,1144,1523.2,1142.4,57.12,62.832,0.2,0.6,11.2,14.4,1120,14400
10,43,47,34,44,3645.6,3645.6,9372,9656,7.84E+05,9.50E+06,8341551,2.90E+05,2.19E+05,1.82E+05,0.7836195,9.495452,8.341551,2.90E+00,2.19E+00,1.82E+00,1.82E+00,1.11E+05,1879,1146,1503.2,1127.4,56.37,62.007,0,10.6,0,38.4,0,38400
15,43,47,34,44,3724,3645.6,9656,9656,796363,1.24E+07,8.99E+06,2.90E+05,377589,1.82E+05,0.796363,12.40778,8.99192,2.90E+00,3.78E+00,1.82E+00,1.82E+00,108522,1882,1145,1505.6,1129.2,56.46,62.106,0,0,0,0,0,0
20,42,47,34,44,3724,3645.6,9656,9656,796363,22043602,8.99E+06,2.90E+05,377589,1.82E+05,0.796363,22.043602,8.99192,2.90E+00,3.78E+00,1.82E+00,1.82E+00,9.86E+04,1882,1146,1505.6,1129.2,56.46,62.106,0,0,0,0,0,0
25,42,47,34,44,3645.6,3645.6,9656,9656,795587,8.89E+06,7.94E+06,2.90E+05,215351,1.82E+05,0.795587,8.888308,7.935022,2.90E+00,2.15E+00,1.82E+00,1.82E+00,135464,1882,1145,1505.6,1129.2,56.46,62.106,0,0,0,0,0,0
30,42,48,34,44,3645.6,3645.6,9656,9656,777592,13110437,9.77E+06,2.90E+05,362025,1.82E+05,0.777592,13.110437,9.766588,2.90E+00,3.62E+00,1.82E+00,1.82E+00,1.05E+05,1892,1145,1513.6,1135.2,56.76,62.436,0,0,0,0,0,0
35,42,47,34,44,3724,3645.6,9372,9656,817222,11620190,9336021,2.90E+05,362025,1.82E+05,0.817222,11.62019,9.336021,2.90E+00,3.62E+00,1.82E+00,1.82E+00,63330,1878,1146,1502.4,1126.8,56.34,61.974,0,0,0,0,0,0
40,43,47,34,44,3645.6,3645.6,9656,9656,797156,9370460,8357399,2.90E+05,196075,1.82E+05,0.797156,9.37046,8.357399,2.90E+00,1.96E+00,1.82E+00,1.82E+00,98470,1861,1144,1488.8,1116.6,55.83,61.413,0,11.4,0,39,0,39000
45,42,48,34,44,3567.2,3645.6,9372,9656,1.00E+06,6072793,8.21E+06,1.10E+05,201335,1.82E+05,1.003122,6.072793,8.214834,1.10E+00,2.01E+00,1.82E+00,1.82E+00,4.41E+04,1867,1146,1493.6,1120.2,56.01,61.611,0,0,0,0,0,0
50,42,47,34,44,3645.6,3645.6,9656,9656,1.85E+05,6.43E+06,5134739,1.10E+05,1.89E+05,1.82E+05,0.1852825,6.431488,5.134739,1.10E+00,1.89E+00,1.82E+00,1.82E+00,5.54E+04,2036,1144,1628.8,1221.6,61.08,67.188,0,0,0,0,0,0
