time,cpu,HT0,HT1,HT2,L2miss
5,1,1632276,0,25244726,472264
5,3,0,27208247,0,628572
10,1,1567239,0,16683102,437351
10,3,0,18990903,0,222625
15,1,1592726,0,17983841,755178
15,3,0,24815567,0,217044
20,2,0,22049379,0,364715
20,3,0,22037825,0,197181
25,1,1591174,0,15870045,430702
25,3,0,17776615,0,270928
30,1,1555184,0,19533177,724050
30,3,0,26220874,0,209643
35,0,1634444,0,18672042,580001
35,3,0,23240380,0,126660
40,1,1594312,0,16714798,392150
40,3,0,18740920,0,196940
45,1,1503169,0,12307730,604005
45,0,1506198,0,12336771,329213
45,3,0,18218379,0,132322
50,1,370565,0,10269478,378215
50,3,0,12862975,0,110847
55,1,1576829,0,15670865,474853
55,3,0,18426180,0,165519
60,0,1553174,0,20635102,426552
60,3,0,26395978,0,313022
65,0,1671718,0,17503845,525213
65,3,0,21610951,0,226892
70,1,1559825,0,17024787,272821
70,3,0,17099161,0,396438
75,1,1560687,0,19619149,664837
75,3,0,25737699,0,329627
80,1,1576438,0,17509620,594338
80,3,0,21550863,0,196487
85,2,0,18564802,0,365977
85,0,1570659,0,16752426,484108
85,3,0,18566409,0,244538
90,1,1564411,0,19474573,780369
90,3,0,26404250,0,217938
95,2,0,14325595,0,254039
95,0,1346326,0,12657559,283894
95,3,0,14334597,0,260270
100,1,589333,0,9631847,213879
100,3,0,9415932,0,194518
105,0,1584421,0,20162970,480502
105,3,0,26896027,0,190534
110,0,1561896,0,18556960,507931
110,3,0,21838763,0,241437
115,1,1583317,0,16863025,440037
115,3,0,19194315,0,251766
120,1,1574731,0,19016877,813224
120,3,0,26292918,0,275248
125,1,1646618,0,19025224,370967
125,3,0,20645126,0,407488
130,1,1575881,0,17393140,392035
130,3,0,19301288,0,228542
135,1,1568413,0,18828894,836324
135,3,0,26375241,0,225178
140,1,1575717,0,18651705,344734
140,3,0,19691495,0,417191
145,1,994050,0,9398689,323473
145,0,994774,0,9424866,341222
145,3,0,10695546,0,136825
150,1,898324,0,11146608,639363
150,3,0,17411396,0,124027
155,2,0,21157242,0,494327
155,3,0,21170973,0,461684
160,1,1563295,0,18475697,390808
160,3,0,19615577,0,278771
165,0,1579448,0,19749075,973642
165,3,0,26146164,0,294979
170,1,1564515,0,17613364,394755
170,3,0,20615233,0,203566
175,1,1569229,0,16858345,435885
175,3,0,18732876,0,276170
180,1,1583655,0,18282063,842047
180,3,0,26389215,0,250783
185,1,1699983,0,17727405,512829
185,3,0,20775742,0,242926
190,0,1582502,0,15286089,522999
190,3,0,17756532,0,201995
195,1,875442,0,6262802,569937
195,2,0,12526741,0,48624
195,3,0,12785178,0,18040
200,0,991921,0,17388336,397987
200,3,0,17779726,0,387202
205,0,1564377,0,16569616,493484
205,3,0,19120303,0,218328
210,1,1566092,0,19576190,809587
210,3,0,27403842,0,262626
215,0,1670527,0,17229460,544538
215,3,0,20436212,0,225242
220,1,1576274,0,18021507,377396
220,3,0,18996274,0,304612
225,0,1609722,0,19934858,515768
225,3,0,27700224,0,230184
230,0,1560229,0,16764340,495111
230,3,0,19947111,0,226270
235,0,1578006,0,16092294,483550
235,3,0,18360420,0,270744
240,1,1577979,0,21517309,683838
240,3,0,27000972,0,425397
245,0,650900,0,4369665,126303
245,2,0,5364313,0,64059
245,3,0,5372234,0,41147
250,1,1283077,0,15988833,439654
250,3,0,17962176,0,231113
255,1,1581940,0,18777044,911811
255,3,0,27301327,0,183069
260,0,1574767,0,17144606,483514
260,3,0,19166187,0,261214
265,1,1584166,0,18046062,217958
265,3,0,17616556,0,443064
270,1,1580949,0,20298938,807011
270,3,0,28410499,0,267269
275,0,1670515,0,18765899,493440
275,3,0,20413848,0,301888
280,1,1584548,0,17353480,294867
280,3,0,17213847,0,404474
285,1,1558486,0,20453135,847062
285,3,0,28240979,0,271419
290,0,1585723,0,16757580,432800
290,3,0,17271815,0,435584
295,1,286349,0,2400670,157705
295,3,0,2209513,0,12861
300,1,1556731,0,21787184,803164
300,3,0,28960715,0,264473
305,0,1986647,0,63294283,4403034
305,3,0,73508038,0,1042941
310,1,1568092,0,144205869,42208113
310,3,0,126772874,0,1279219
315,1,1553935,0,161609377,31362902
315,0,1553935,0,161632325,5342534
315,3,0,188580607,0,6262340
320,2,0,143939606,0,23796665
320,3,0,143948549,0,779594
325,2,0,149367359,0,10264143
325,3,0,149469448,0,692572
330,0,1583817,0,142041905,9798683
330,2,0,158585808,0,5256956
330,3,0,158460070,0,1196451
335,0,3461884,0,162385640,4755119
335,3,0,187931895,0,39443038
340,0,1296863,0,153778345,6353887
340,2,0,144116230,0,20035483
340,3,0,143995954,0,944683
345,1,577062,0,154622479,4079482
345,3,0,187937764,0,1302280
350,2,0,159226951,0,2287483
350,0,1563206,0,195821559,9447299
350,3,0,159146153,0,1298788
355,1,1566732,0,167196122,1187067
355,2,0,165040991,0,6965561
355,0,1566726,0,167239319,8627294
355,3,0,164729347,0,5813771
360,1,1574378,0,160098088,9140295
360,3,0,162475603,0,4899490
365,0,1940036,0,151391700,9082368
365,1,1940079,0,151479746,4796863
365,3,0,152946351,0,2179183
370,0,1585715,0,164460994,18601494
370,2,0,180264445,0,17996244
370,3,0,179405835,0,620893
375,1,1580404,0,141753954,1240115
375,2,0,148114562,0,12855211
375,3,0,148527326,0,623503
380,2,0,196653164,0,29973055
380,3,0,196336389,0,32418544
385,1,1561408,0,153229817,604871
385,2,0,164137205,0,25381933
385,3,0,164927504,0,512241
390,0,933311,0,165058569,7417968
390,2,0,188750271,0,20484450
390,3,0,187810456,0,549066
395,0,1380579,0,167559216,19370316
395,3,0,173391127,0,524802
400,0,1558102,0,183124558,34091472
400,3,0,163562575,0,617052
405,2,0,182321100,0,4924040
405,0,1577659,0,200097202,32205564
405,3,0,182040193,0,757154
410,1,1590153,0,151462133,22363097
410,3,0,126152560,0,1683319
415,0,1575092,0,170670809,13095715
415,3,0,137577463,0,2766867
420,0,1625757,0,177973984,9729926
420,3,0,155070438,0,1212138
425,0,2018212,0,155367645,1415736
425,3,0,199694560,0,22573179
430,1,1575012,0,146145179,765861
430,0,1575047,0,146152458,4318002
430,3,0,166454333,0,34534032
435,1,1588478,0,171916778,2607153
435,2,0,180363666,0,18488389
435,3,0,181034844,0,6023835
440,0,723119,0,141864592,8059914
440,1,723207,0,141876054,2897818
440,3,0,127813715,0,353348
445,2,0,130635217,0,8047763
445,3,0,130859021,0,2069907
450,0,1583633,0,153320537,6470784
450,3,0,154059743,0,1505538
455,2,0,185501345,0,5044864
455,3,0,185474322,0,2583224
460,0,1589360,0,146215124,7766500
460,3,0,141625081,0,4829247
465,1,1583634,0,175937181,2770176
465,3,0,161029997,0,2009823
470,1,1573593,0,123404111,3139042
470,3,0,112783651,0,494812
475,1,1598590,0,140485464,29305709
475,2,0,108653725,0,2761546
475,3,0,108494695,0,446636
480,0,1580838,0,125783704,2562481
480,1,1580838,0,125790810,18191097
480,3,0,129182259,0,6464473
485,2,0,124555065,0,7550186
485,1,2056050,0,150101873,11433204
485,3,0,125476820,0,1385710
490,0,286326,0,137737206,6921252
490,3,0,107429223,0,2672865
495,1,1584184,0,107200594,3017631
495,3,0,99612268,0,8078671
495,2,0,100061639,0,1049744
500,0,2743782,0,59934076,2532057
500,3,0,57751261,0,534339
505,0,1620798,0,87466888,52208274
505,3,0,73037679,0,446541
510,1,1601077,0,82008624,21255776
510,0,1601077,0,82008512,76561194
510,3,0,67950304,0,497976
515,0,4532997,0,85897760,99553263
515,3,0,64850574,0,544948
520,0,1602164,0,93792442,121527075
520,3,0,69212113,0,462009
525,0,1581811,0,110522654,126951373
525,3,0,88396363,0,479528
530,1,1576474,0,65380754,2473795
530,0,1576474,0,65384361,78147450
530,3,0,49195190,0,478464
535,0,1206269,0,70697301,86301753
535,2,0,51745875,0,226959
535,3,0,51731643,0,242325
540,2,0,62191620,0,187401
540,0,642504,0,74822503,73132534
540,3,0,62179267,0,181704
545,0,2531251,0,99817626,109037663
545,1,2539732,0,99886823,7051395
545,3,0,70592386,0,548651
550,1,1585436,0,93182765,13373823
550,0,1593917,0,93250495,119316392
550,3,0,68587020,0,473266
555,1,1582924,0,94907667,44770027
555,0,1582924,0,94903949,86797593
555,3,0,76004396,0,520260
560,2,0,56055022,0,437451
560,3,0,56169223,0,409253
565,0,1582788,0,74657012,82944080
565,3,0,55756983,0,494418
570,1,1570799,0,82867304,28303733
570,0,1570799,0,82864903,68327564
570,3,0,70181688,0,480461
575,0,1691777,0,82351219,92423627
575,3,0,61526743,0,750348
580,2,0,70886769,0,496659
580,0,1559466,0,96022572,123315871
580,3,0,70699706,0,1167283
585,1,913479,0,84197277,7046962
585,3,0,67388595,0,149946
590,1,953614,0,72449674,400235
590,0,953592,0,72461642,113407060
590,3,0,52714913,0,357635
595,1,1587140,0,77704793,25999726
595,0,1587138,0,77702475,66647345
595,3,0,57924152,0,440921
600,1,1571823,0,79740126,2502886
600,0,1571823,0,79744323,80906088
600,3,0,68820697,0,409000
605,0,1701517,0,81019952,78434261
605,3,0,59963021,0,514708
610,0,1577059,0,87515995,49965607
610,3,0,64312294,0,502178
615,1,1577210,0,95591869,24397285
615,0,1577210,0,95589278,107729194
615,3,0,76928551,0,518988
620,1,1585068,0,91878801,11888905
620,0,1585068,0,91881426,119681124
620,3,0,67371750,0,489922
625,1,1556438,0,67736237,16316517
625,0,1556438,0,67753833,71593174
625,3,0,51980633,0,476063
630,2,0,70341691,0,444680
630,0,1587894,0,82658921,92101775
630,3,0,70329261,0,445116
635,1,701492,0,73984414,26358008
635,2,0,50874508,0,90146
635,3,0,50807479,0,3350376
640,1,1309671,0,78514985,5283795
640,0,1309675,0,78519821,113055175
640,3,0,58818107,0,392080
645,0,1610610,0,97364266,104817325
645,3,0,78304955,0,500608
650,0,1587139,0,95216900,130724876
650,3,0,70694050,0,479454
655,1,1582313,0,73523394,6194382
655,0,1582313,0,73526479,105019438
655,3,0,56105919,0,443165
660,1,1585650,0,82746064,1604966
660,0,1585650,0,82748303,91037888
660,3,0,70180126,0,423104
665,0,1725741,0,78252432,70755161
665,3,0,57734681,0,503455
670,2,0,59161757,0,427347
670,3,0,59094316,0,402410
675,1,1587012,0,90551235,9685238
675,0,1587012,0,90544579,116766133
675,3,0,73347018,0,486449
680,0,1591588,0,86429259,130363021
680,3,0,62890703,0,308927
685,1,294537,0,81810105,10722872
685,0,294537,0,81824782,119832770
685,3,0,56944626,0,205623
690,1,1569032,0,73555654,1467392
690,0,1569032,0,73553367,94234692
690,3,0,63041184,0,472799
695,1,1717328,0,76202852,29308878
695,0,1717328,0,76202812,55142169
695,3,0,56536288,0,567326
700,0,1578287,0,81846595,76491478
700,3,0,60508886,0,829164
705,0,1570385,0,84882788,111150365
705,3,0,69843863,0,474317
710,0,1591564,0,93049910,117327584
710,3,0,68250500,0,440442
715,1,1550134,0,95373516,28064217
715,0,1550134,0,95379802,103810243
715,3,0,70979118,0,431878
720,1,1571972,0,76846495,32736793
720,0,1571972,0,76846190,74576248
720,3,0,66504054,0,458322
725,0,1729313,0,78481784,90313525
725,3,0,57961176,0,558895
730,0,1199106,0,70848900,54719596
730,3,0,51432101,0,242167
735,1,649929,0,74048692,43132154
735,3,0,60715573,0,229669
740,1,1569092,0,89542962,6560375
740,0,1569127,0,89539293,118895167
740,3,0,66616324,0,415134
745,2,0,69284033,0,407085
745,1,1580152,0,93699212,125286965
745,3,0,69282831,0,466347
