time ,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1, HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
5,42,47,34,44,3567.2,3645.6,9656,9656,1534773,0,22456370,0,1148968,0,0,1.534773,0,22.45637,0,11.48968,0,0,1950,1149,1560,1170,58.5,64.35,0.2,0.2,13.1,11.4,13100,11400
10,43,47,34,44,3724,3645.6,9656,9656,1534773,21397106,22456370,0,1148968,0,316300,1.534773,21.397106,22.45637,0,11.48968,0,3.163,1865,1149,1492,1119,55.95,61.545,2.2,0,169.3,0,169300,0
15,43,47,34,44,3567.2,3645.6,9372,9656,1616785,21397106,17807745,550085,1148968,0,316300,1.616785,21.397106,17.807745,5.50085,11.48968,0,3.163,1870,1149,1496,1122,56.1,61.71,0,0,0,0,0,0
20,42,47,34,44,3567.2,3645.6,9656,9656,1509852,21397106,19920569,2.49E+05,350900,0,316300,1.509852,21.397106,19.920569,2.488855,3.509,0,3.163,1860,1149,1488,1116,55.8,61.38,0,14.4,0,49.2,0,49200
25,42,48,34,44,3645.6,3645.6,9656,9372,1516646,21397106,19777864,388371,350900,0,316300,1.516646,21.397106,19.777864,3.88371,3.509,0,3.163,1870,1149,1496,1122,56.1,61.71,0,0,0,0,0,0
30,43,47,34,44,3645.6,3567.2,9656,9656,1512071,21397106,21004014,485267,350900,0,316300,1.512071,21.397106,21.004014,4.85267,3.509,0,3.163,1866,1149,1492.8,1119.6,55.98,61.578,0,0,0,0,0,0
35,43,47,34,44,3645.6,3645.6,9656,9656,754811,1.70E+07,11222122,485267,5.49E+05,0,133389,0.754811,17.00844,11.222122,4.85267,5.487235,0,1.33389,1865,1148,1492,1119,55.95,61.545,0,0,0,0,0,0
40,42,47,34,44,3645.6,3645.6,9372,9656,754811,20693168,11222122,485267,5.49E+05,0,260754,0.754811,20.693168,11.222122,4.85267,5.487235,0,2.60754,1862,1148,1489.6,1117.2,55.86,61.446,0,0,0,0,0,0
45,42,47,34,44,3645.6,3645.6,9940,9372,6.72E+05,6.07E+06,5548543,485267,1.55E+05,1.53E+05,260754,0.6721485,6.068494,5.548543,4.85267,1.553095,1.530845,2.60754,1862,1149,1489.6,1117.2,55.86,61.446,0,0,0,0,0,0
50,42,48,34,44,3645.6,3645.6,9656,9656,234501,8.51E+06,6.04E+06,485267,264862,101725,260754,0.234501,8.509428,6.041214,4.85267,2.64862,1.01725,2.60754,1904,1149,1523.2,1142.4,57.12,62.832,0,16,0,49.3,0,49300
