time,Temp0,Temp1,Planar_Temp,VRD_0_Temp,VRD_1_Temp,Fan_1,Fan_2A,Fan_2B,Fan_3A,Fan_3B,Fan_4A,Fan_4B,Fan_5A,Fan_5B,fsb,l2miss,fsb_scaled,l2miss_scaled,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
230,27,31,24,17,20,3150,7575,5325,7500,5400,7650,5325,8025,5250,8.29E+06,4.28E+05,8.29E+00,4.2763,1408,1126.4,844.8,42.24,42.24,26.2,0,0,0,0,0
235,27,31,24,17,20,3150,7575,5325,7425,5400,7650,5325,8025,5325,1.25E+07,46510,1.25E+01,0.4651,1404,1123.2,842.4,42.12,42.12,0,0,0,0,0,0
240,27,31,24,18,20,3150,7650,5250,7425,5400,7575,5250,7950,5250,7.21E+06,4.98E+05,7.21E+00,4.9784,1411,1128.8,846.6,42.33,42.33,0,0,0,0,0,0
245,27,31,24,18,20,3150,7650,5325,7425,5400,7575,5325,8025,5250,1.17E+06,3.57E+05,1.17E+00,3.5654,1419,1135.2,851.4,42.57,42.57,0,11,0,66.6,0,66600
250,27,31,24,18,20,3150,7575,5325,7425,5325,7650,5325,7950,5250,1.80E+07,1.97E+05,1.80E+01,1.9717,1416,1132.8,849.6,42.48,42.48,0,0,0,0,0,0
255,27,31,24,18,20,3150,7575,5250,7425,5400,7650,5250,8025,5325,1.66E+07,17604,1.66E+01,0.17604,1413,1130.4,847.8,42.39,42.39,0,0,0,0,0,0
260,27,31,24,18,20,3225,7650,5325,7425,5400,7575,5325,8025,5325,9.60E+05,3.35E+05,9.60E-01,3.3522,1419,1135.2,851.4,42.57,42.57,0,0,0,0,0,0
265,27,30,24,18,20,3150,7575,5325,7425,5325,7650,5325,8025,5250,2.76E+06,6.15E+05,2.76E+00,6.15,1409,1127.2,845.4,42.27,42.27,0,0,0,0,0,0
270,27,31,24,18,20,3150,7575,5250,7500,5400,7650,5250,8025,5250,1.67E+07,2.87E+05,1.67E+01,2.8675,1420,1136,852,42.6,42.6,0,0,0,0,0,0
275,27,31,24,18,20,3150,7575,5325,7425,5400,7650,5325,8025,5250,3.66E+06,33027,3.66E+00,0.33027,1410,1128,846,42.3,42.3,0,15.2,0,64.1,0,64100
280,27,31,24,18,20,3150,7575,5325,7425,5325,7575,5325,8025,5250,9.96E+06,7.42E+05,9.96E+00,7.4203,1416,1132.8,849.6,42.48,42.48,0,0,0,0,0,0
285,27,31,24,18,20,3150,7575,5250,7500,5400,7650,5250,8025,5325,4.92E+06,8.78E+05,4.92E+00,8.7761,1418,1134.4,850.8,42.54,42.54,0,0,0,0,0,0
290,27,31,24,18,20,3225,7575,5250,7425,5400,7650,5250,8025,5250,8.94E+06,3.39E+05,8.94E+00,3.3855,1414,1131.2,848.4,42.42,42.42,0,0,0,0,0,0
295,27,31,24,18,20,3150,7575,5325,7500,5400,7650,5325,8025,5250,1.30E+07,39278,1.30E+01,0.39278,1410,1128,846,42.3,42.3,0,0,0,0,0,0
300,27,31,24,18,20,3150,7575,5325,7500,5400,7650,5325,8025,5250,2.49E+07,9.77E+05,2.49E+01,9.771,1555,1244,933,46.65,46.65,0,0,0,0,0,0
305,27,31,24,18,20,3150,7575,5250,7500,5400,7650,5250,7950,5250,3.08E+07,1.27E+06,3.08E+01,12.7,1922,1537.6,1153.2,57.66,57.66,86.4,13.2,0,68.6,0,68600
310,28,33,24,18,20,3150,7575,5325,7500,5400,7650,5325,7950,5250,1.55E+07,7.32E+05,1.55E+01,7.3181,1915,1532,1149,57.45,57.45,84.6,0,0,0,0,0
315,32,32,24,18,20,3150,7575,5325,7500,5400,7650,5325,7950,5250,4.68E+06,4.79E+05,4.68E+00,4.7914,1907,1525.6,1144.2,57.21,57.21,0,0,0,0,0,0
320,31,37,24,18,21,3150,7575,5325,7500,5400,7650,5325,7950,5325,1.98E+06,8.33E+05,1.98E+00,8.3318,1893,1514.4,1135.8,56.79,56.79,0,0,0,0,0,0
325,34,36,24,18,21,3150,7650,5325,7500,5400,7575,5325,8025,5250,1.24E+07,2.21E+05,1.24E+01,2.2096,1899,1519.2,1139.4,56.97,56.97,0,0,0,0,0,0
330,32,37,24,18,21,3150,7650,5325,7500,5400,7650,5325,7950,5250,2.52E+07,62082,2.52E+01,0.62082,1904,1523.2,1142.4,57.12,57.12,0,0,0,0,0,0
335,32,37,24,18,21,3150,7575,5250,7425,5400,7575,5250,7950,5250,8.45E+06,1.19E+06,8.45E+00,11.894,1918,1534.4,1150.8,57.54,57.54,0,81.6,0,8291.3,0,8291300
340,32,37,24,18,21,3150,7575,5250,7500,5400,7650,5250,7950,5325,2.00E+07,2.75E+05,2.00E+01,2.748,2385,1908,1431,71.55,57.24,0,0,0,0,0,0
345,34,35,24,19,21,3150,7575,5325,7500,5400,7650,5325,7950,5325,1.84E+07,34256,1.84E+01,0.34256,2379,1903.2,1427.4,71.37,57.096,0,0,0,0,0,0
350,34,38,24,19,21,3150,7650,5325,7500,5400,7575,5325,8025,5250,1.57E+07,1.43E+05,1.57E+01,1.426,2170,1736,1302,65.1,65.1,0,0,0,0,0,0
355,35,36,25,19,21,3150,7650,5325,7500,5400,7650,5325,7950,5250,5.98E+05,2.95E+05,5.98E-01,2.9467,1900,1520,1140,57,57,0,0,0,0,0,0
360,35,35,25,19,21,3150,7575,5325,7500,5400,7650,5325,7950,5250,1.77E+07,5.44E+05,1.77E+01,5.4359,2175,1740,1305,65.25,58.725,0,0,0,0,0,0
365,35,35,25,19,21,3150,7650,5250,7425,5400,7575,5250,7950,5325,1.76E+07,48342,1.76E+01,0.48342,2387,1909.6,1432.2,71.61,64.449,0,14.4,0,350.5,0,350500
370,36,36,25,19,21,3150,7650,5325,7425,5325,7575,5325,8025,5250,1.84E+07,1.95E+05,1.84E+01,1.9545,2241,1792.8,1344.6,67.23,60.507,0,0,0,0,0,0
375,35,37,25,19,21,3225,7650,5325,7500,5400,7650,5325,8025,5250,84902,5.69E+05,8.49E-02,5.6924,2231,1784.8,1338.6,66.93,60.237,0,0,0,0,0,0
380,32,38,25,19,21,3150,7650,5325,7500,5400,7575,5325,7950,5325,6.14E+06,1.79E+05,6.14E+00,1.7884,2391,1912.8,1434.6,71.73,64.557,0,0,0,0,0,0
385,32,38,25,19,21,3150,7575,5325,7500,5400,7650,5325,8025,5250,2.88E+07,34840,2.88E+01,0.3484,2379,1903.2,1427.4,71.37,64.233,0,0,0,0,0,0
390,33,39,25,19,21,3150,7575,5250,7425,5400,7575,5250,7950,5250,1.11E+07,4.41E+05,1.11E+01,4.4096,2359,1887.2,1415.4,70.77,63.693,0,0,0,0,0,0
395,35,37,25,19,22,3150,7575,5325,7500,5400,7650,5325,7950,5250,1.73E+06,6.55E+05,1.73E+00,6.5536,2164,1731.2,1298.4,64.92,58.428,0,12,0,62.3,0,62300
400,36,37,25,19,22,3150,7575,5325,7425,5400,7575,5325,7950,5325,1.97E+06,2.90E+05,1.97E+00,2.9042,1982,1585.6,1189.2,59.46,53.514,0,0,0,0,0,0
405,36,35,25,19,22,3150,7575,5325,7500,5400,7650,5325,8025,5325,9.54E+06,2.97E+05,9.54E+00,2.9672,2006,1604.8,1203.6,60.18,54.162,0,0,0,0,0,0
410,36,35,25,19,22,3150,7575,5325,7425,5400,7575,5325,7950,5250,1.46E+07,1.02E+05,1.46E+01,1.0195,2332,1865.6,1399.2,69.96,62.964,0,0,0,0,0,0
415,34,39,25,19,22,3150,7575,5325,7500,5400,7650,5325,7950,5250,5.53E+05,3.46E+05,5.53E-01,3.4591,2228,1782.4,1336.8,66.84,60.156,0,0,0,0,0,0
420,35,39,25,19,22,3150,7650,5250,7425,5400,7575,5250,7950,5325,5.44E+06,1.09E+06,5.44E+00,10.859,2101,1680.8,1260.6,63.03,56.727,0,0,0,0,0,0
425,34,38,25,19,22,3150,7650,5250,7425,5400,7575,5250,8025,5250,3.96E+07,30884,3.96E+01,0.30884,2389,1911.2,1433.4,71.67,64.503,0,16.4,0,234,0,234000
430,36,37,25,19,22,3225,7575,5325,7425,5400,7650,5325,7950,5325,9.75E+06,4.40E+05,9.75E+00,4.3991,2388,1910.4,1432.8,71.64,64.476,0,0,0,0,0,0
435,36,37,25,19,22,3150,7650,5325,7425,5400,7575,5325,8025,5250,9.37E+05,3.69E+05,9.37E-01,3.6905,2397,1917.6,1438.2,71.91,64.719,0,0,0,0,0,0
440,36,37,26,20,22,3150,7650,5250,7500,5400,7575,5250,8025,5250,1.91E+07,4.71E+05,1.91E+01,4.7094,2180,1744,1308,65.4,58.86,0,0,0,0,0,0
445,36,38,26,20,22,3225,7650,5325,7500,5400,7575,5325,7950,5250,1.51E+07,1.04E+05,1.51E+01,1.0408,1927,1541.6,1156.2,57.81,57.81,0,0,0,0,0,0
450,33,40,26,20,22,3150,7650,5250,7500,5400,7575,5325,8025,5325,9.97E+06,5.53E+05,9.97E+00,5.5288,2397,1917.6,1438.2,71.91,68.3145,0,0,0,0,0,0
455,33,40,26,20,22,3150,7575,5250,7500,5400,7575,5250,7950,5325,1.07E+06,2.79E+05,1.07E+00,2.7941,2398,1918.4,1438.8,71.94,68.343,0,13,0,228.7,0,228700
460,35,38,26,20,22,3150,7650,5250,7500,5400,7575,5250,8025,5325,1.65E+07,2.08E+05,1.65E+01,2.0813,2209,1767.2,1325.4,66.27,66.27,0,0,0,0,0,0
465,37,38,26,20,22,3150,7650,5325,7500,5400,7575,5325,8025,5250,1.38E+07,2.80E+05,1.38E+01,2.8032,2269,1815.2,1361.4,68.07,68.07,0,0,0,0,0,0
470,34,39,26,20,22,3150,7650,5325,7500,5400,7575,5325,8025,5250,2.41E+07,6.05E+05,2.41E+01,6.0454,2445,1956,1467,73.35,66.015,120.4,0,0,0,0,0
475,36,41,26,20,22,3150,7650,5325,7500,5400,7575,5325,8025,5325,1.75E+06,4.54E+05,1.75E+00,4.5375,2428,1942.4,1456.8,72.84,65.556,111.2,0,0,0,0,0
480,36,38,26,20,22,3150,7575,5250,7425,5325,7575,5250,7950,5250,1.37E+07,3.33E+05,1.37E+01,3.3319,2391,1912.8,1434.6,71.73,64.557,0,0,0,0,0,0
485,36,38,26,20,22,3150,7575,5325,7500,5400,7650,5325,7950,5250,2.63E+07,73358,2.63E+01,0.73358,2285,1828,1371,68.55,68.55,0,15,0,89.3,0,89300
490,36,38,26,20,22,3150,7650,5325,7425,5400,7575,5325,7950,5250,1.75E+07,2.34E+05,1.75E+01,2.3436,2212,1769.6,1327.2,66.36,66.36,0.2,0,25.6,0,25600,0
495,36,39,26,20,22,3150,7650,5325,7425,5400,7575,5325,7950,5250,4.39E+06,4.32E+05,4.39E+00,4.3247,1887,1509.6,1132.2,56.61,56.61,0,0,0,0,0,0
500,34,41,26,20,22,3225,7575,5325,7500,5400,7650,5325,8025,5250,2.06E+07,3.28E+05,2.06E+01,3.2827,2398,1918.4,1438.8,71.94,64.746,0,0,0,0,0,0
505,34,41,26,20,22,3225,7575,5250,7425,5400,7575,5250,7950,5250,9.44E+06,58358,9.44E+00,0.58358,2384,1907.2,1430.4,71.52,64.368,0,0,0,0,0,0
510,36,39,26,20,22,3150,7575,5250,7500,5400,7650,5250,8025,5250,1.60E+07,3.48E+05,1.60E+01,3.482,2213,1770.4,1327.8,66.39,66.39,0,0,0,0,0,0
515,36,40,26,20,22,3150,7575,5325,7500,5400,7650,5325,8025,5250,3.24E+06,1.71E+05,3.24E+00,1.7115,1889,1511.2,1133.4,56.67,56.67,0,13.2,0,259.4,0,259400
520,37,37,26,20,22,3150,7575,5325,7500,5400,7650,5250,7950,5250,6.38E+06,4.07E+05,6.38E+00,4.0656,2376,1900.8,1425.6,71.28,64.152,0,0,0,0,0,0
525,37,37,26,20,22,3150,7650,5250,7425,5400,7575,5250,7950,5325,8.64E+06,31780,8.64E+00,0.3178,2390,1912,1434,71.7,64.53,0,0,0,0,0,0
530,37,38,26,20,22,3150,7650,5250,7500,5400,7575,5250,7950,5250,7.69E+06,1.62E+05,7.69E+00,1.6226,2221,1776.8,1332.6,66.63,59.967,0,0,0,0,0,0
535,36,39,27,20,22,3150,7650,5325,7500,5400,7575,5325,7950,5325,8.97E+05,5.28E+05,8.97E-01,5.2813,1949,1559.2,1169.4,58.47,58.47,0,0,0,0,0,0
540,36,37,27,20,22,3150,7650,5325,7500,5400,7575,5325,8025,5250,9.71E+06,3.99E+05,9.71E+00,3.99,2395,1916,1437,71.85,64.665,0,0,0,0,0,0
545,35,39,27,20,22,3150,7575,5325,7425,5325,7650,5325,7950,5325,1.81E+07,13478,1.81E+01,0.13478,2394,1915.2,1436.4,71.82,64.638,0,11.8,0,262.4,0,262400
550,35,39,27,20,22,3150,7575,5325,7500,5400,7650,5325,7950,5250,9.26E+06,5.97E+05,9.26E+00,5.9748,2404,1923.2,1442.4,72.12,64.908,0,0,0,0,0,0
555,34,41,27,20,22,3150,7575,5325,7500,5400,7650,5325,7950,5325,5.75E+05,3.35E+05,5.75E-01,3.3515,2153,1722.4,1291.8,64.59,64.59,0,0,0,0,0,0
560,36,40,27,20,23,3150,7575,5325,7425,5325,7650,5325,8025,5325,3.28E+06,5.93E+05,3.28E+00,5.931,1966,1572.8,1179.6,58.98,58.98,0,0,0,0,0,0
565,36,36,27,20,23,3150,7575,5325,7425,5400,7650,5325,8025,5250,9.74E+06,3.84E+05,9.74E+00,3.839,2382,1905.6,1429.2,71.46,64.314,0,0,0,0,0,0
570,37,38,27,20,23,3225,7650,5325,7500,5400,7650,5325,8025,5325,1.47E+07,4.18E+05,1.47E+01,4.1792,2378,1902.4,1426.8,71.34,64.206,0,0,0,0,0,0
575,37,38,27,20,23,3150,7575,5325,7425,5325,7650,5325,7950,5250,1.83E+06,4.28E+05,1.83E+00,4.2792,2212,1769.6,1327.2,66.36,66.36,0,12.8,0,289.9,0,289900
580,35,41,27,20,22,3150,7575,5250,7425,5400,7650,5250,8025,5325,7.87E+06,7.79E+05,7.87E+00,7.7876,2237,1789.6,1342.2,67.11,67.11,0,0,0,0,0,0
585,37,39,27,20,22,3150,7650,5325,7500,5400,7575,5325,7950,5250,5.74E+06,1.35E+05,5.74E+00,1.3521,1912,1529.6,1147.2,57.36,57.36,0,0,0,0,0,0
590,33,40,27,20,22,3150,7650,5325,7500,5400,7575,5325,8025,5325,9.17E+06,6.61E+05,9.17E+00,6.614,2385,1908,1431,71.55,64.395,0,0,0,0,0,0
595,37,38,27,20,23,3150,7575,5250,7500,5400,7650,5250,7950,5250,1.95E+06,6.30E+05,1.95E+00,6.2984,2398,1918.4,1438.8,71.94,64.746,0,0,0,0,0,0
600,37,38,27,20,23,3150,7650,5250,7500,5400,7575,5250,8025,5325,6.60E+06,4.24E+05,6.60E+00,4.244,2180,1744,1308,65.4,65.4,0,0,0,0,0,0
605,37,38,27,20,22,3150,7575,5250,7425,5400,7650,5250,8025,5325,1.43E+07,64415,1.43E+01,0.64415,2166,1732.8,1299.6,64.98,64.98,0,11.2,0,80,0,80000
610,35,40,27,20,23,3150,7575,5325,7500,5400,7650,5325,8025,5325,2.00E+07,68120,2.00E+01,0.6812,1891,1512.8,1134.6,56.73,56.73,0,0,0,0,0,0
615,32,41,27,20,23,3225,7575,5325,7500,5400,7650,5325,8025,5325,1.12E+06,5.81E+05,1.12E+00,5.8104,2403,1922.4,1441.8,72.09,64.881,0,0,0,0,0,0
620,35,40,27,20,23,3150,7650,5325,7500,5400,7575,5325,8025,5250,1.27E+07,3.39E+05,1.27E+01,3.392,2407,1925.6,1444.2,72.21,64.989,0,0,0,0,0,0
625,35,40,27,20,23,3150,7650,5325,7425,5400,7575,5325,7950,5325,1.83E+07,49252,1.83E+01,0.49252,2287,1829.6,1372.2,68.61,61.749,0,0,0,0,0,0
630,37,38,27,20,23,3150,7575,5250,7500,5400,7650,5250,7950,5250,1.85E+07,1.43E+05,1.85E+01,1.4259,2130,1704,1278,63.9,63.9,0,0,0,0,0,0
635,35,41,27,20,23,3150,7575,5250,7425,5400,7650,5250,8025,5250,1.19E+06,4.10E+05,1.19E+00,4.0963,1892,1513.6,1135.2,56.76,56.76,0,13.2,0,267.3,0,267300
640,37,37,27,20,23,3150,7650,5250,7500,5400,7575,5250,8025,5325,1.30E+07,4.05E+05,1.30E+01,4.0509,2382,1905.6,1429.2,71.46,64.314,0,0,0,0,0,0
645,34,41,27,20,23,3150,7650,5250,7425,5400,7575,5250,8025,5250,8.82E+06,57755,8.82E+00,0.57755,2393,1914.4,1435.8,71.79,64.611,0,0,0,0,0,0
650,34,41,27,20,23,3225,7575,5250,7425,5400,7650,5250,7950,5325,1.16E+07,1.51E+05,1.16E+01,1.5084,2211,1768.8,1326.6,66.33,66.33,0,0,0,0,0,0
655,36,40,27,20,23,3150,7650,5325,7425,5325,7575,5325,8025,5325,3.41E+06,4.08E+05,3.41E+00,4.0834,2048,1638.4,1228.8,61.44,61.44,0,0,0,0,0,0
660,32,41,27,20,23,3225,7650,5325,7425,5400,7650,5325,8025,5250,1.32E+07,4.69E+05,1.32E+01,4.6891,2283,1826.4,1369.8,68.49,61.641,0,0,0,0,0,0
665,37,38,27,20,23,3150,7650,5325,7500,5400,7575,5325,8025,5250,8.73E+06,70691,8.73E+00,0.70691,2403,1922.4,1441.8,72.09,64.881,0,16.2,0,276.7,0,276700
670,37,38,27,20,23,3150,7575,5325,7425,5325,7650,5325,8025,5250,1.90E+07,8.47E+05,1.90E+01,8.4717,2385,1908,1431,71.55,64.395,0,0,0,0,0,0
675,37,38,27,20,23,3150,7575,5325,7425,5400,7650,5325,8025,5250,1.54E+06,6.15E+05,1.54E+00,6.1541,2229,1783.2,1337.4,66.87,60.183,0,0,0,0,0,0
680,37,40,27,20,23,3150,7650,5325,7425,5400,7575,5325,8025,5250,5.66E+06,8.94E+05,5.66E+00,8.938,2015,1612,1209,60.45,60.45,0,0,0,0,0,0
685,32,41,27,20,23,3150,7575,5325,7500,5400,7650,5325,8025,5250,1.95E+07,2.23E+05,1.95E+01,2.2338,2392,1913.6,1435.2,71.76,64.584,0,0,0,0,0,0
690,34,40,27,20,23,3150,7650,5325,7425,5400,7575,5325,7950,5250,5.27E+06,4.61E+05,5.27E+00,4.6131,2401,1920.8,1440.6,72.03,64.827,0,0,0,0,0,0
695,34,40,27,20,23,3150,7575,5325,7425,5400,7650,5325,7950,5325,1.78E+06,2.91E+05,1.78E+00,2.9138,2410,1928,1446,72.3,65.07,0,12,0,267.8,0,267800
700,35,40,27,20,23,3150,7575,5325,7425,5400,7650,5325,7950,5325,1.01E+07,5.47E+05,1.01E+01,5.4716,2415,1932,1449,72.45,65.205,0,0,0,0,0,0
705,37,39,27,20,23,3150,7575,5325,7425,5400,7650,5325,8025,5325,1.11E+07,1.32E+05,1.11E+01,1.3203,1907,1525.6,1144.2,57.21,57.21,0,0,0,0,0,0
710,37,37,27,20,23,3150,7575,5250,7425,5400,7650,5250,7950,5250,1.06E+07,4.05E+05,1.06E+01,4.0469,2398,1918.4,1438.8,71.94,64.746,0,0,0,0,0,0
715,37,38,27,20,23,3150,7575,5325,7500,5400,7650,5325,8025,5250,1.42E+07,6.03E+05,1.42E+01,6.0278,2376,1900.8,1425.6,71.28,64.152,0,0,0,0,0,0
720,37,38,27,20,23,3150,7575,5325,7500,5400,7575,5325,7950,5325,1.21E+07,2.15E+05,1.21E+01,2.1547,2261,1808.8,1356.6,67.83,67.83,16.4,0,0,0,0,0
725,35,41,27,20,23,3150,7650,5325,7500,5400,7575,5250,7950,5250,1.70E+07,12670,1.70E+01,0.1267,2240,1792,1344,67.2,67.2,0,13.6,0,300.1,0,300100
