Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,time , HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
50,44,46,33,43,3645.6,3645.6,9656,9656,360,7.92E+05,116186668,1.65E+08,37125042,1.50E+06,218941,249983,0.7924965,116.186668,164.945,3.71E+02,1.50E+01,2.19E+00,2.50E+00,2038,1143,163.04,122.28,61.14,63.5856,0,0,0,0,0,0
55,44,46,33,43,3645.6,3645.6,9656,9656,365,7.71E+05,112292641,162173994,4.02E+07,1.50E+06,218941,2.03E+05,0.7714555,112.292641,162.173994,4.02E+02,1.50E+01,2.19E+00,2.03E+00,2046,1143,163.68,122.76,61.38,63.8352,0,0,0,0,0,0
60,44,47,33,43,3645.6,3645.6,9656,9656,370,7.89E+05,109973692,1.61E+08,36751630,1.50E+06,218941,2.48E+05,0.7886195,109.973692,160.5332,3.68E+02,1.50E+01,2.19E+00,2.48E+00,2040,1144,163.2,122.4,61.2,63.648,0,0,0,0,0,0
65,44,47,33,43,3567.2,3645.6,9372,9656,375,798247,115111324,1.64E+08,3.78E+07,1.50E+06,2.23E+05,2.48E+05,0.798247,115.111324,163.8283,3.78E+02,1.50E+01,2.23E+00,2.48E+00,2031,1145,162.48,121.86,60.93,63.3672,0,0,0,0,0,0
70,44,47,33,43,3645.6,3645.6,9656,9656,380,837974,1.12E+08,1.62E+08,3.76E+07,1.50E+06,2.23E+05,2.02E+05,0.837974,112.2984,162.3015,3.76E+02,1.50E+01,2.23E+00,2.02E+00,2042,1145,163.36,122.52,61.26,63.7104,0,0,0,0,0,0
75,45,47,33,43,3645.6,3645.6,9656,9656,385,5.23E+05,1.47E+08,1.08E+08,26670576,1.50E+06,150237,1.64E+05,0.5226177,147.4351,107.6018,2.67E+02,1.50E+01,1.50E+00,1.64E+00,2039,1143,163.12,122.34,61.17,63.6168,0,12.2,0,72.6,0,72600
80,45,46,33,43,3645.6,3645.6,9372,9656,390,1.62E+05,1.09E+08,1.56E+08,3.51E+07,1.50E+06,29326,1.64E+05,0.1622785,108.5035,156.475,3.51E+02,1.50E+01,2.93E-01,1.64E+00,2049,1144,163.92,122.94,61.47,63.9288,0,0,0,0,0,0
85,45,46,33,43,3645.6,3645.6,9656,9656,395,7.59E+05,1.13E+08,1.63E+08,36445057,1.50E+06,178201,1.64E+05,0.7589805,112.6979,163.3393,3.64E+02,1.50E+01,1.78E+00,1.64E+00,2082,1144,166.56,124.92,62.46,64.9584,0,0,0,0,0,0
90,45,46,33,43,3645.6,3645.6,9656,9656,400,8.03E+05,1.12E+08,1.63E+08,4.06E+07,1.50E+06,228574,1.64E+05,0.8034345,111.804,163.0061,4.06E+02,1.50E+01,2.29E+00,1.64E+00,2041,1144,163.28,122.46,61.23,63.6792,0,0,0,0,0,0
95,44,47,33,43,3645.6,3645.6,9656,9656,405,7.81E+05,114553537,162575563,38694563,1.50E+06,2.36E+05,1.64E+05,0.7810165,114.553537,162.575563,3.87E+02,1.50E+01,2.36E+00,1.64E+00,2048,1144,163.84,122.88,61.44,63.8976,0,0,0,0,0,0
100,45,47,33,43,3567.2,3645.6,9656,9656,410,865126,1.12E+08,1.63E+08,4.02E+07,1.50E+06,2.20E+05,1.64E+05,0.865126,112.3802,163.324,4.02E+02,1.50E+01,2.20E+00,1.64E+00,2035,1144,162.8,122.1,61.05,63.492,0,0,0,0,0,0
105,45,47,34,43,3645.6,3645.6,9372,9656,415,7.87E+05,1.11E+08,1.61E+08,31366401,1.50E+06,1.82E+05,1.64E+05,0.7872165,110.6773,160.5537,3.14E+02,1.50E+01,1.82E+00,1.64E+00,2044,1144,163.52,122.64,61.32,63.7728,0,11.6,0,99.9,0,99900
110,45,47,33,43,3645.6,3645.6,9372,9656,420,785447,6.80E+07,9.28E+07,2.52E+07,1.50E+06,264680,1.64E+05,0.785447,68.01703,92.84513,2.52E+02,1.50E+01,2.65E+00,1.64E+00,2049,1143,163.92,122.94,61.47,63.9288,0,0,0,0,0,0
115,45,46,34,43,3645.6,3645.6,9656,9656,425,7.82E+05,45625426,63522722,21977054,1.50E+06,264680,235676,0.7824015,45.625426,63.522722,2.20E+02,1.50E+01,2.65E+00,2.36E+00,2030,1144,162.4,121.8,60.9,63.336,0,0,0,0,0,0
120,45,47,34,43,3645.6,3645.6,9656,9656,430,791135,45231040,6.35E+07,21977054,5868407,2.20E+05,235676,0.791135,45.23104,63.46122,2.20E+02,5.87E+01,2.20E+00,2.36E+00,2037,1145,162.96,122.22,61.11,63.5544,0,0,0,0,0,0
125,45,46,34,43,3645.6,3645.6,9656,9372,435,9.11E+05,3.11E+07,8.26E+07,1.52E+07,2.47E+06,7.29E+04,235676,0.9114057,31.09548,82.63099,1.52E+02,2.47E+01,7.29E-01,2.36E+00,2034,1145,162.72,122.04,61.02,63.4608,0,0,0,0,0,0
130,45,46,34,43,3645.6,3645.6,9656,9656,440,3.31E+05,43624467,62111208,2.20E+07,2.47E+06,129120,235676,0.3313375,43.624467,62.111208,2.20E+02,2.47E+01,1.29E+00,2.36E+00,2226,1145,178.08,133.56,61.22,63.6688,0,0,0,0,0,0
135,45,46,34,43,3567.2,3645.6,9372,9656,445,7.91E+05,4.59E+07,6.38E+07,24808506,2.47E+06,129120,231664,0.7913945,45.90173,63.78149,2.48E+02,2.47E+01,1.29E+00,2.32E+00,2046,1143,163.68,122.76,61.38,63.8352,0,12.8,0,87,0,87000
140,45,46,34,43,3645.6,3645.6,9656,9656,450,783703,49806284,64493204,2.38E+07,2.47E+06,129120,2.43E+05,0.783703,49.806284,64.493204,2.38E+02,2.47E+01,1.29E+00,2.43E+00,2049,1145,163.92,122.94,61.47,63.9288,0,0,0,0,0,0
145,45,46,34,43,3645.6,3645.6,9656,9656,455,7.82E+05,46313760,63767719,2.64E+07,2.47E+06,129120,208339,0.7818495,46.31376,63.767719,2.64E+02,2.47E+01,1.29E+00,2.08E+00,2032,1145,162.56,121.92,60.96,63.3984,0,0,0,0,0,0
150,45,47,34,43,3645.6,3645.6,9372,9656,460,777059,4.55E+07,6.23E+07,27992266,2.47E+06,129120,2.13E+05,0.777059,45.46218,62.29541,2.80E+02,2.47E+01,1.29E+00,2.13E+00,2023,1144,161.84,121.38,60.69,63.1176,0,0,0,0,0,0
155,45,46,34,43,3645.6,3645.6,9656,9656,465,7.76E+05,5.24E+07,68232198,2.57E+07,2.47E+06,2.19E+05,2.13E+05,0.7763815,52.44057,68.232198,2.57E+02,2.47E+01,2.19E+00,2.13E+00,2030,1144,162.4,121.8,60.9,63.336,0,0,0,0,0,0
160,45,46,34,43,3567.2,3645.6,9656,9656,470,854826,44044889,60859730,24992497,2.47E+06,2.19E+05,2.42E+05,0.854826,44.044889,60.85973,2.50E+02,2.47E+01,2.19E+00,2.42E+00,2026,1145,162.08,121.56,60.78,63.2112,0,0,0,0,0,0
165,45,46,34,43,3645.6,3645.6,9656,9372,475,780607,43068856,5.84E+07,25137152,2.47E+06,2.19E+05,2.13E+05,0.780607,43.068856,58.44052,2.51E+02,2.47E+01,2.19E+00,2.13E+00,2025,1143,162,121.5,60.75,63.18,0,11.8,0,78.6,0,78600
170,45,46,34,43,3567.2,3645.6,9372,9656,480,786805,4.71E+07,6.10E+07,25285050,2.47E+06,233889,2.13E+05,0.786805,47.10277,61.04774,2.53E+02,2.47E+01,2.34E+00,2.13E+00,2033,1145,162.64,121.98,60.99,63.4296,0,0,0,0,0,0
175,45,46,34,43,3645.6,3645.6,9656,9372,485,3.24E+05,5.21E+07,36569223,18503509,2.47E+06,6.59E+04,80077,0.3244143,52.05871,36.569223,1.85E+02,2.47E+01,6.59E-01,8.01E-01,2029,1145,162.32,121.74,60.87,63.3048,0,0,0,0,0,0
180,45,46,34,43,3645.6,3645.6,9656,9656,490,301077,5.06E+07,3.57E+07,18503509,2.88E+06,6.13E+04,7.14E+04,0.301077,50.57497,35.73563,1.85E+02,2.88E+01,6.13E-01,7.14E-01,2082,1146,166.56,124.92,62.46,64.9584,0,0,0,0,0,0
185,45,47,34,43,3645.6,3645.6,9656,9656,495,792810,4.64E+07,60464511,2.62E+07,2.88E+06,2.04E+05,7.14E+04,0.79281,46.4186,60.464511,2.62E+02,2.88E+01,2.04E+00,7.14E-01,2028,1144,162.24,121.68,60.84,63.2736,0,0,0,0,0,0
190,45,46,34,43,3645.6,3645.6,9372,9656,500,8.51E+05,61766370,87615373,2.82E+07,2.88E+06,221876,7.14E+04,0.8506555,61.76637,87.615373,2.82E+02,2.88E+01,2.22E+00,7.14E-01,2037,1145,162.96,122.22,61.11,63.5544,0,0,0,0,0,0
195,45,46,34,43,3645.6,3567.2,9372,9656,505,7.91E+05,5.97E+07,84354243,29809987,2.88E+06,201187,7.14E+04,0.7913035,59.72581,84.354243,2.98E+02,2.88E+01,2.01E+00,7.14E-01,2032,1145,162.56,121.92,60.96,63.3984,0,11.8,0,77.6,0,77600
200,45,47,34,43,3567.2,3645.6,9656,9656,510,775933,5.96E+07,79858741,3.15E+07,2.88E+06,220123,7.14E+04,0.775933,59.5748,79.858741,3.15E+02,2.88E+01,2.20E+00,7.14E-01,2018,1145,161.44,121.08,60.54,62.9616,0,0,0,0,0,0
205,45,46,34,43,3645.6,3645.6,9656,9656,515,784422,58554917,82711566,37654634,2.88E+06,2.22E+05,7.14E+04,0.784422,58.554917,82.711566,3.77E+02,2.88E+01,2.22E+00,7.14E-01,2023,1146,161.84,121.38,60.69,63.1176,0,0,0,0,0,0
210,45,46,34,43,3645.6,3645.6,9656,9372,520,7.97E+05,5.91E+07,8.37E+07,3.69E+07,2.88E+06,2.22E+05,235595,0.7969835,59.05557,83.65942,3.69E+02,2.88E+01,2.22E+00,2.36E+00,2015,1145,161.2,120.9,60.45,62.868,0,0,0,0,0,0
215,45,47,34,43,3645.6,3645.6,9372,9656,525,7.83E+05,59229397,79471556,4.02E+07,2.88E+06,2.15E+05,235595,0.7831745,59.229397,79.471556,4.02E+02,2.88E+01,2.15E+00,2.36E+00,2014,1145,161.12,120.84,60.42,62.8368,0,0,0,0,0,0
220,45,46,34,43,3645.6,3645.6,9656,9656,530,8.47E+05,75767580,108025823,3.76E+07,2.88E+06,225418,235595,0.8469265,75.76758,108.025823,3.76E+02,2.88E+01,2.25E+00,2.36E+00,2018,1144,161.44,121.08,60.54,62.9616,0,0,0,0,0,0
225,45,46,34,43,3645.6,3645.6,9656,9372,535,3.58E+05,95579718,1.41E+08,18992689,7.36E+05,1.01E+04,7.33E+03,0.3580982,95.579718,141.1333,1.90E+02,7.36E+00,1.01E-01,7.33E-02,2029,1145,162.32,121.74,60.87,63.3048,0,10.2,0,79.1,0,79100
230,45,47,34,43,3645.6,3645.6,9656,9656,540,5.88E+05,104208612,1.48E+08,38967411,7.36E+05,2.14E+05,7.33E+03,0.5880075,104.208612,147.9475,3.90E+02,7.36E+00,2.14E+00,7.33E-02,2236,1143,178.88,134.16,67.08,69.7632,0,0,0,0,0,0
235,45,46,34,43,3645.6,3645.6,9656,9372,545,7.85E+05,1.04E+08,150771357,3.24E+07,7.36E+05,2.14E+05,217684,0.7852935,103.9003,150.771357,3.24E+02,7.36E+00,2.14E+00,2.18E+00,2051,1144,164.08,123.06,61.53,63.9912,0,0,0,0,0,0
240,45,46,34,43,3645.6,3645.6,9656,9656,550,1033512,69823331,2.02E+08,2.40E+07,2683781,2.14E+05,1.48E+05,1.033512,69.823331,201.7869,2.40E+02,2.68E+01,2.14E+00,1.48E+00,2050,1143,164,123,61.5,63.96,0,0,0,0,0,0
245,44,46,34,43,3645.6,3645.6,9656,9656,555,8.08E+05,105891937,149569886,3.66E+07,2683781,207609,1.48E+05,0.8078875,105.891937,149.569886,3.66E+02,2.68E+01,2.08E+00,1.48E+00,2046,1144,163.68,122.76,61.38,63.8352,0,0,0,0,0,0
250,45,46,34,43,3645.6,3645.6,9372,9656,560,8.52E+05,1.03E+08,149940219,3.57E+07,2683781,253621,1.48E+05,0.8521455,103.1372,149.940219,3.57E+02,2.68E+01,2.54E+00,1.48E+00,2047,1145,163.76,122.82,61.41,63.8664,0,0,0,0,0,0
255,44,47,34,43,3645.6,3645.6,9656,9656,565,7.86E+05,104475147,150055004,39268358,2683781,253621,1.96E+05,0.7858685,104.475147,150.055004,3.93E+02,2.68E+01,2.54E+00,1.96E+00,2048,1145,163.84,122.88,61.44,63.8976,0,12.2,0,78.7,0,78700
260,44,46,34,43,3645.6,3645.6,9656,9372,570,7.95E+05,1.06E+08,1.51E+08,3.74E+07,2683781,253621,2.52E+05,0.7947695,106.41,150.9745,3.74E+02,2.68E+01,2.54E+00,2.52E+00,2041,1143,163.28,122.46,61.23,63.6792,0,0,0,0,0,0
265,45,46,34,43,3645.6,3645.6,9372,9656,575,7.98E+05,101569055,147736143,35440397,2683781,222384,2.52E+05,0.7978885,101.569055,147.736143,3.54E+02,2.68E+01,2.22E+00,2.52E+00,2036,1143,162.88,122.16,61.08,63.5232,0,0,0,0,0,0
270,45,46,34,43,3567.2,3645.6,9656,9656,580,1032544,6.69E+07,196044419,2.10E+07,5616263,8.10E+04,2.52E+05,1.032544,66.89549,196.044419,2.10E+02,5.62E+01,8.10E-01,2.52E+00,2040,1143,163.2,122.4,61.2,63.648,0,0,0,0,0,0
275,44,46,34,43,3645.6,3645.6,9372,9656,585,153074,1.22E+08,1.69E+08,3.35E+07,5616263,8.10E+04,9.03E+04,0.153074,121.515,169.4479,3.35E+02,5.62E+01,8.10E-01,9.03E-01,2052,1144,164.16,123.12,61.56,64.0224,0,0,0,0,0,0
280,45,46,34,43,3645.6,3645.6,9372,9372,590,842460,102577408,148985630,3.10E+07,5616263,2.35E+05,9.03E+04,0.84246,102.577408,148.98563,3.10E+02,5.62E+01,2.35E+00,9.03E-01,2081,1145,166.48,124.86,62.43,64.9272,0,0,0,0,0,0
285,45,46,34,43,3645.6,3645.6,9656,9656,595,7.92E+05,104644618,151353120,39650992,5616263,2.58E+05,9.03E+04,0.7917085,104.644618,151.35312,3.97E+02,5.62E+01,2.58E+00,9.03E-01,2042,1145,163.36,122.52,61.26,63.7104,0,11,0,77.8,0,77800
290,44,47,34,43,3645.6,3567.2,9656,9656,600,782536,106454090,150046057,36883945,5616263,219342,9.03E+04,0.782536,106.45409,150.046057,3.69E+02,5.62E+01,2.19E+00,9.03E-01,2042,1143,163.36,122.52,61.26,63.7104,0,0,0,0,0,0
295,44,47,34,43,3645.6,3645.6,9656,9656,605,788946,102358220,1.49E+08,3.65E+07,5616263,236694,9.03E+04,0.788946,102.35822,149.0569,3.65E+02,5.62E+01,2.37E+00,9.03E-01,2040,1144,163.2,122.4,61.2,63.648,0,0,0,0,0,0
300,43,49,34,43,3645.6,3645.6,9372,9656,610,7.85E+05,103690567,1.50E+08,37587113,5616263,236694,2.19E+05,0.7851075,103.690567,149.8729,3.76E+02,5.62E+01,2.37E+00,2.19E+00,2044,1145,163.52,122.64,61.32,63.7728,0,0,0,0,0,0
305,43,49,34,43,3645.6,3645.6,9656,9656,615,7.88E+05,1.06E+08,150207115,3.90E+07,5616263,236694,240170,0.7881045,106.4401,150.207115,3.90E+02,5.62E+01,2.37E+00,2.40E+00,2040,1145,163.2,122.4,61.2,63.648,0,0,0,0,0,0
310,43,49,34,43,3645.6,3567.2,9656,9656,620,866022,1.02E+08,1.49E+08,3.39E+07,5616263,245582,240170,0.866022,102.4308,149.3064,3.39E+02,5.62E+01,2.46E+00,2.40E+00,2043,1144,163.44,122.58,61.29,63.7416,0,0,0,0,0,0
315,43,49,34,43,3645.6,3645.6,9656,9656,625,7.80E+05,104260716,1.49E+08,3.39E+07,7.33E+06,245582,1.87E+05,0.7799285,104.260716,149.34,3.39E+02,7.33E+01,2.46E+00,1.87E+00,2050,1145,164,123,61.5,63.96,0,14.8,0,90.1,0,90100
320,43,49,34,44,3645.6,3645.6,9372,9656,630,6.28E+05,6.82E+07,1.96E+08,2.43E+07,2223162,245582,9.06E+04,0.6284707,68.22495,195.5097,2.43E+02,2.22E+01,2.46E+00,9.06E-01,2041,1143,163.28,122.46,61.23,63.6792,0,0,0,0,0,0
325,43,50,34,44,3645.6,3645.6,9372,9656,635,470375,9.80E+07,1.44E+08,37667639,2223162,245582,128262,0.470375,98.02188,144.2671,3.77E+02,2.22E+01,2.46E+00,1.28E+00,2102,1143,168.16,126.12,63.06,65.5824,0,0,0,0,0,0
330,43,50,34,44,3645.6,3645.6,9372,9656,640,7.94E+05,1.02E+08,1.49E+08,38971382,2223162,232484,128262,0.7937045,102.4626,149.2184,3.90E+02,2.22E+01,2.32E+00,1.28E+00,2050,1144,164,123,61.5,63.96,0,0,0,0,0,0
335,42,50,34,44,3645.6,3645.6,9656,9656,645,786033,108997897,153465776,39217844,2223162,232484,2.30E+05,0.786033,108.997897,153.465776,3.92E+02,2.22E+01,2.32E+00,2.30E+00,2048,1143,163.84,122.88,61.44,63.8976,0,0,0,0,0,0
340,42,50,34,44,3645.6,3567.2,9656,9656,650,8.46E+05,1.08E+08,1.56E+08,39021534,2223162,232832,2.30E+05,0.8458745,107.7515,156.1095,3.90E+02,2.22E+01,2.33E+00,2.30E+00,2052,1144,164.16,123.12,61.56,64.0224,0,0,0,0,0,0
345,42,50,34,44,3645.6,3645.6,9656,9656,655,7.95E+05,1.04E+08,149576821,3.72E+07,2223162,221410,2.30E+05,0.7950885,103.9933,149.576821,3.72E+02,2.22E+01,2.21E+00,2.30E+00,2052,1143,164.16,123.12,61.56,64.0224,0,12.6,0,80.2,0,80200
350,42,51,34,44,3645.6,3645.6,9656,9656,660,786845,105117392,149668511,34131914,2223162,221410,2.43E+05,0.786845,105.117392,149.668511,3.41E+02,2.22E+01,2.21E+00,2.43E+00,2051,1144,164.08,123.06,61.53,63.9912,0,0,0,0,0,0
355,42,50,34,45,3645.6,3645.6,9372,9372,665,7.75E+05,1.04E+08,149590516,35422082,2223162,189158,2.43E+05,0.7752315,103.6404,149.590516,3.54E+02,2.22E+01,1.89E+00,2.43E+00,2049,1145,163.92,122.94,61.47,63.9288,0,0,0,0,0,0
360,42,51,34,45,3645.6,3645.6,9656,9656,670,5.28E+05,1.31E+08,83465975,35422082,1.93E+06,3390831,8.56E+05,0.5279743,130.5989,83.465975,3.54E+02,1.93E+01,3.39E+01,8.56E+00,2054,1144,164.32,123.24,61.62,64.0848,0,0,0,0,0,0
365,42,50,34,45,3645.6,3645.6,9372,9656,675,523203,39193205,1.38E+07,2.07E+05,1.93E+06,2201455,14223374,0.523203,39.193205,13.81405,2.07E+00,1.93E+01,2.20E+01,1.42E+02,2025,1145,162,121.5,60.75,63.18,0.2,0,12.8,0,12800,0
370,42,51,34,45,3645.6,3645.6,9656,9656,680,444121,1.21E+07,17245643,6.97E+04,9.96E+04,3.74E+05,14223374,0.444121,12.11361,17.245643,6.97E-01,9.96E-01,3.74E+00,1.42E+02,2020,1143,161.6,121.2,60.6,63.024,0,0,0,0,0,0
375,42,51,34,45,3645.6,3645.6,9656,9372,685,4.47E+05,35581700,1.33E+07,6.97E+04,1.83E+05,1.64E+07,155009,0.4472313,35.5817,13.27326,6.97E-01,1.83E+00,1.64E+02,1.55E+00,2097,1144,167.76,125.82,62.91,65.4264,0,12.8,0,84.3,0,84300
380,42,52,34,45,3645.6,3645.6,9656,9656,690,5.27E+05,3.79E+07,13435053,2.05E+05,1.83E+05,12630930,3.76E+06,0.5272107,37.8791,13.435053,2.05E+00,1.83E+00,1.26E+02,3.76E+01,2023,1143,161.84,121.38,60.69,63.1176,0,0,0,0,0,0
385,42,51,34,45,3645.6,3645.6,9656,9372,695,523000,3.40E+07,12991702,1.99E+05,1.83E+05,1.21E+07,4.15E+06,0.523,34.00082,12.991702,1.99E+00,1.83E+00,1.21E+02,4.15E+01,2031,1146,162.48,121.86,60.93,63.3672,0,0,0,0,0,0
390,42,50,34,45,3645.6,3567.2,9372,9372,700,521519,3.46E+07,13148256,1.93E+05,1.83E+05,8.31E+05,1.54E+07,0.521519,34.61826,13.148256,1.93E+00,1.83E+00,8.31E+00,1.54E+02,2023,1144,161.84,121.38,60.69,63.1176,0,0,0,0,0,0
395,42,51,34,45,3645.6,3645.6,9656,9656,705,5.23E+05,38971494,1.39E+07,2.21E+05,1.83E+05,15527766,812661,0.5226407,38.971494,13.92222,2.21E+00,1.83E+00,1.55E+02,8.13E+00,2025,1144,162,121.5,60.75,63.18,0,0,0,0,0,0
400,42,50,34,45,3645.6,3645.6,9656,9656,710,5.73E+05,3.61E+07,13864388,2.21E+05,1.83E+05,7.65E+06,8.80E+06,0.5728093,36.06058,13.864388,2.21E+00,1.83E+00,7.65E+01,8.80E+01,2023,1143,161.84,121.38,60.69,63.1176,0,0,0,0,0,0
405,42,51,34,45,3645.6,3645.6,9656,9372,715,5.25E+05,3.55E+07,1.33E+07,2.21E+05,1.83E+05,1.09E+07,5.50E+06,0.5254017,35.50538,13.27072,2.21E+00,1.83E+00,1.09E+02,5.50E+01,2026,1145,162.08,121.56,60.78,63.2112,0,15.8,0,95,0,95000
410,42,51,34,45,3645.6,3645.6,9656,9656,720,524962,40011415,1.48E+07,1.87E+05,1.83E+05,8.03E+06,8244386,0.524962,40.011415,14.80422,1.87E+00,1.83E+00,8.03E+01,8.24E+01,2022,1144,161.76,121.32,60.66,63.0864,0,0,0,0,0,0
415,42,51,34,45,3645.6,3645.6,9372,9372,725,1.05E+06,1.64E+07,2.44E+07,149438,107313,8.03E+06,1.42E+07,1.048787,16.36247,24.36899,1.49E+00,1.07E+00,8.03E+01,1.42E+02,2030,1145,162.4,121.8,60.9,63.336,0,0,0,0,0,0
420,42,50,34,45,3645.6,3645.6,9656,9656,730,9.53E+04,24536669,8.74E+06,149438,9.18E+04,2.41E+04,16342564,0.09529533,24.536669,8.739786,1.49E+00,9.18E-01,2.41E-01,1.63E+02,2025,1144,162,121.5,60.75,63.18,0,0,0,0,0,0
425,42,51,34,45,3645.6,3645.6,9372,9656,735,5.29E+05,3.91E+07,14138133,326377,9.18E+04,16264250,1.70E+05,0.5288703,39.1076,14.138133,3.26E+00,9.18E-01,1.63E+02,1.70E+00,2076,1143,166.08,124.56,62.28,64.7712,0,0,0,0,0,0
430,42,50,34,45,3645.6,3645.6,9656,9656,740,5.66E+05,3.68E+07,14263659,239927,9.18E+04,1.53E+07,8.61E+05,0.5656687,36.80941,14.263659,2.40E+00,9.18E-01,1.53E+02,8.61E+00,2031,1143,162.48,121.86,60.93,63.3672,0,0,0,0,0,0
435,42,51,34,45,3567.2,3567.2,9656,9656,745,786099,27547940,20696930,239927,257860,2.31E+07,8.61E+05,0.786099,27.54794,20.69693,2.40E+00,2.58E+00,2.31E+02,8.61E+00,2029,1145,162.32,121.74,60.87,63.3048,0,12.4,0,83,0,83000
440,41,51,34,45,3567.2,3645.6,9656,9372,750,5.30E+05,3.81E+07,1.37E+07,239927,229598,5046035,1.15E+07,0.5304987,38.10728,13.65879,2.40E+00,2.30E+00,5.05E+01,1.15E+02,2026,1143,162.08,121.56,60.78,63.2112,0,0,0,0,0,0
445,42,51,34,45,3724,3645.6,9372,9372,755,5.23E+05,3.59E+07,1.38E+07,2.80E+05,229598,7.55E+06,8.65E+06,0.5232117,35.87845,13.79364,2.80E+00,2.30E+00,7.55E+01,8.65E+01,2029,1145,162.32,121.74,60.87,63.3048,0,0,0,0,0,0
450,41,51,34,45,3645.6,3645.6,9656,9656,760,521228,3.56E+07,13487252,2.80E+05,1.72E+05,7.27E+06,8.96E+06,0.521228,35.59935,13.487252,2.80E+00,1.72E+00,7.27E+01,8.96E+01,2031,1145,162.48,121.86,60.93,63.3672,0,0,0,0,0,0
455,41,51,34,46,3645.6,3645.6,9656,9656,765,5.26E+05,5.78E+07,2.04E+07,203622,1.72E+05,1.11E+07,6.46E+06,0.5261993,57.80318,20.36735,2.04E+00,1.72E+00,1.11E+02,6.46E+01,2032,1145,162.56,121.92,60.96,63.3984,0,0,0,0,0,0
