Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,time , HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
0,44,46,33,43,3645.6,3645.6,9656,9656,310,5.27E+05,9.70E+07,7.26E+07,9376353,2263911,5.41E+05,166023,0.5273347,96.99836,72.56666,9.38E+01,2.26E+01,5.41E+00,1.66E+00,2038,1144,163.04,122.28,61.14,63.5856,2.4,0,2619.1,0,2619100,0
5,44,46,33,43,3645.6,3645.6,12567,12567,315,780871,44734624,5.72E+07,33346792,2263911,5.41E+05,2.31E+05,0.780871,44.734624,57.20334,3.33E+02,2.26E+01,5.41E+00,2.31E+00,2006,1145,160.48,120.36,60.18,62.5872,0,0,0,0,0,0
10,43,46,33,43,3645.6,3645.6,9372,9372,320,9.14E+05,4.24E+07,57646239,34552752,2263911,5.41E+05,2.19E+05,0.9135055,42.41651,57.646239,3.46E+02,2.26E+01,5.41E+00,2.19E+00,2001,1143,160.08,120.06,60.03,62.4312,0,0,0,0,0,0
15,44,46,33,43,3645.6,3645.6,9656,9656,325,7.83E+05,3.95E+07,5.38E+07,35078602,2263911,2.05E+05,2.19E+05,0.7834685,39.54426,53.77217,3.51E+02,2.26E+01,2.05E+00,2.19E+00,2004,1144,160.32,120.24,60.12,62.5248,0,17.2,0,172.9,0,172900
20,44,47,33,43,3645.6,3645.6,9372,9656,330,785398,4.44E+07,56483349,37149636,2263911,2.05E+05,232026,0.785398,44.40322,56.483349,3.71E+02,2.26E+01,2.05E+00,2.32E+00,1996,1144,159.68,119.76,59.88,62.2752,0,0,0,0,0,0
25,44,46,33,43,3645.6,3645.6,9656,9656,335,7.77E+05,41212580,56122119,38414355,2263911,2.05E+05,207145,0.7768275,41.21258,56.122119,3.84E+02,2.26E+01,2.05E+00,2.07E+00,2004,1144,160.32,120.24,60.12,62.5248,0,0,0,0,0,0
30,44,46,33,43,3645.6,3645.6,9656,9656,340,5.85E+05,21776365,6.37E+07,2.43E+07,1.50E+06,13534,207145,0.5851157,21.776365,63.729,2.43E+02,1.50E+01,1.35E-01,2.07E+00,2011,1143,160.88,120.66,60.33,62.7432,0,0,0,0,0,0
35,44,47,33,43,3645.6,3645.6,9656,9656,345,5.03E+05,43865707,56512463,3.76E+07,1.50E+06,261093,207145,0.5028175,43.865707,56.512463,3.76E+02,1.50E+01,2.61E+00,2.07E+00,2042,1142,163.36,122.52,61.26,63.7104,0,0,0,0,0,0
40,44,46,33,43,3645.6,3567.2,9656,9656,350,844817,40575085,55791008,38617499,1.50E+06,261093,241012,0.844817,40.575085,55.791008,3.86E+02,1.50E+01,2.61E+00,2.41E+00,2004,1143,160.32,120.24,60.12,62.5248,0,0,0,0,0,0
45,44,47,33,43,3645.6,3645.6,9372,9656,355,795615,1.12E+08,163913103,3.29E+07,1.50E+06,218941,241012,0.795615,112.2862,163.913103,3.29E+02,1.50E+01,2.19E+00,2.41E+00,2032,1143,162.56,121.92,60.96,63.3984,0,11.4,0,69.1,0,69100
