time,cpu,FSB,L2miss
574,1,299190700,
576,1,,1758730
578,0,299394641,
578,1,299958729,
580,0,,4507407
582,1,298454220,
584,1,,7902800
586,1,300191786,
586,0,300213258,
588,0,,7776753
588,1,,308812
590,1,302507966,
590,0,302889674,
592,1,,175741
594,1,299584486,
594,0,299758806,
596,1,,7699422
598,0,296313368,
598,1,296295864,
600,1,,7210015
602,1,299610515,
604,1,,7796531
606,0,297347330,
606,1,297357092,
608,0,,222436
608,1,,7688657
610,0,297366072,
612,1,,7802202
614,0,297305414,
614,1,297304378,
616,0,,1145025
616,1,,7533536
618,1,296207556,
620,1,,6590149
620,0,,2626879
622,1,296694217,
624,0,,2517420
624,1,,5710053
626,1,297402256,
626,0,297461531,
628,1,,130709
628,0,,7811780
630,1,300163220,
632,0,,161258
632,1,,7710375
634,1,296440638,
636,1,,6223940
638,0,297124620,
640,0,,234469
642,0,301484454,
644,0,,165687
644,1,,7677345
646,0,299100161,
648,1,,7751251
650,1,299799654,
652,1,,3542647
652,0,,5206545
654,1,296159332,
654,0,296119084,
656,1,,2807652
658,1,296885877,
658,0,296898487,
660,0,,7991087
660,1,,451341
662,1,300816974,
664,0,,5919772
666,1,303022406,
668,1,,157531
668,0,,7725494
670,0,299578524,
670,1,299900304,
672,0,,1856055
672,1,,7283506
674,0,298392280,
674,1,298323524,
676,0,,833623
678,0,299993948,
678,1,300014678,
680,0,,436097
680,1,,7821557
682,0,300819164,
682,1,300818930,
684,0,,24153
684,1,,7614783
686,1,301239616,
686,0,301392216,
688,1,,4987980
690,0,298010344,
692,1,,6992709
694,1,298133772,
696,1,,6017399
696,0,,3035413
698,1,298340162,
698,0,298335458,
700,1,,2517311
700,0,,5871080
702,1,303463335,
702,0,303106122,
704,1,,1904648
704,0,,5943845
706,0,299765194,
708,1,,7267737
710,1,299064641,
712,1,,1113906
712,0,,7975587
714,0,297238166,
716,1,,2520609
716,0,,6237244
718,1,298183578,
718,0,298184041,
720,0,,7203335
722,1,301732104,
722,0,301765309,
724,1,,249612
724,0,,7578318
726,1,307459730,
726,0,307420010,
728,1,,230465
728,0,,7751566
730,0,300677258,
732,1,,1200384
732,0,,7411038
734,0,297862972,
734,1,298013148,
736,0,,5527153
736,1,,3688581
738,0,296323082,
738,1,296317168,
740,1,,7728987
740,0,,248137
742,1,296554760,
742,0,296564086,
744,1,,7699144
746,1,299888066,
748,1,,310211
750,1,295612620,
752,1,,5091763
752,0,,3833579
754,1,296477283,
756,1,,3862147
756,0,,4954128
758,1,298158798,
758,0,298158047,
760,1,,1428636
760,0,,6993834
762,1,298240122,
762,0,298011620,
764,0,,7833668
764,1,,259824
766,0,303106486,
766,1,302827684,
768,1,,7692184
770,0,299932266,
772,1,,1598560
774,0,295839096,
774,1,295844682,
776,1,,5715871
776,0,,3312248
778,1,296954554,
778,0,296877414,
780,0,,7811276
780,1,,104476
782,0,299236674,
782,1,298980662,
784,0,,162409
784,1,,7675104
786,1,297234496,
786,0,297644040,
788,1,,768953
788,0,,7765664
790,0,299032286,
792,0,,4095829
792,1,,4913830
794,0,298757452,
794,1,298741000,
796,0,,3953618
796,1,,5125843
798,1,298797094,
798,0,298837770,
800,0,,7864558
802,1,303851464,
804,0,,6735587,,,
806,1,298026758,,,,
808,1,,4923323,,,
810,0,300228222,,,,
810,1,300492634,,,,
812,0,,1768664,,,
812,1,,6784503,,,
814,1,297799742,,,,
816,1,,4187228,,,
818,0,298573876,,with,CPU,1
818,1,298572326,,,,
820,0,,166018,,,
822,1,301006892,,,,
824,0,,234646,,,
824,1,,7621276,,,
826,0,301766160,,,,
826,1,301737929,
828,0,,440162
830,0,299217100,
832,1,,3633885
832,0,,5126569
834,0,296916730,
834,1,296926882,
836,1,,4102034
836,0,,5000818
838,1,298786560,
838,0,298739688,
840,0,,7921097
840,1,,360363
842,1,301552616,
842,0,301676890,
844,1,,1016896
846,1,303758998,
846,0,303770618,
848,1,,2813879
848,0,,5083960
850,0,294538232,
852,1,,7649282
854,1,297844659,
856,1,,7288419
858,0,300607620,
858,1,300600009,
860,0,,198964
862,1,302542114,
862,0,302551016,
864,0,,29229
864,1,,7659380
866,1,300366046,
866,0,300405984,
868,1,,7682596
870,1,295165184,
870,0,295218254,
872,1,,7619412
874,1,296986058,
874,0,297374252,
876,1,,3244059
876,0,,5835530
878,1,298015832,
878,0,298012524,
880,1,,1307090
882,0,301513272,
884,0,,7813600
886,1,304513231,
888,0,,232338
888,1,,7714650
890,1,296709608,
892,0,,2517333
892,1,,6440636
894,0,295774390,
894,1,295763042,
896,1,,8068258
896,0,,586434
898,0,298055033,
898,1,298113044,
900,0,,325840
900,1,,7872733
902,1,298259511,
902,0,298423050,
904,1,,1964716
904,0,,5861769
906,1,305004552,
906,0,304985894,
908,1,,168082
908,0,,7773366
910,0,297636987,
910,1,297676682,
912,1,,2368492
912,0,,6506961
914,0,297751252,
914,1,298072910,
916,0,,5969807
916,1,,3100636
918,1,297201168,
920,0,,1539313
920,1,,6638510
922,1,301608168,
922,0,301916444,
924,1,,990981
924,0,,6775396
926,1,296969280,
928,1,,7747651
930,0,296066410,
930,1,296058640,
932,1,,6239113
932,0,,2367726
934,1,299510304,
934,0,299506706,
936,0,,6075983
936,1,,2005135
938,1,301104061,
938,0,301178868,
940,1,,202672
940,0,,7733190
942,0,302464534,
942,1,302512938,
944,0,,197528
944,1,,7598036
946,0,298693300,
948,0,,2712827
948,1,,5982485
950,1,298266260,
952,0,,3073152
952,1,,5791929
954,0,297295606,
956,1,,7886295
958,0,299260534,
958,1,299260512,
960,1,,7663704
962,0,304341226,
964,1,,7629704
966,1,299102004,
966,0,299214918,
968,1,,1801399
968,0,,7378506
970,1,297650791,
972,0,,1607363
972,1,,7300049
974,1,299287192,
974,0,299485586,
976,0,,4890888
978,1,299640526,
978,0,299637326,
980,0,,207725
980,1,,7574831
982,1,303393732,
982,0,303560821,
984,0,,7741069
986,1,294386298,
988,1,,6228044
990,1,298605856,
992,1,,5768960
994,1,297775018,
996,0,,424199
996,1,,7886410
998,0,297983788,
998,1,297970305,
1000,1,,7715208
1000,0,,190295
1002,0,302610634,
1004,1,,172398
1004,0,,7795015
1006,1,298682604,
1006,0,298679472,
1008,0,,2105881
1008,1,,7005252
1010,0,297052946,
