pic0: pic0=NB_ht_bus0_bandwidth,umask=0x0f
pic1: pic1=NB_ht_bus1_bandwidth,umask=0x0f
pic2: pic2=NB_ht_bus2_bandwidth,umask=0x0f,sys
   time cpu event      pic0      pic1      pic2 
  5.010   0  tick 4995564335         0 4995564085 
  5.010   3  tick         0 4990341480         0 
  5.010   1  tick 4995338903         0 4995338652 
  5.011   2  tick         0 4802066818         0 
 10.010   1  tick 4986632753         0 4986632750 
 10.010   0  tick 4986665237         0 4986665243 
 10.010   3  tick         0 4986652646         0 
 10.011   2  tick         0 4986598941         0 
 15.010   1  tick 4986670688         0 4986670693 
 15.010   0  tick 4986669675         0 4986669672 
 15.010   3  tick         0 4986665220         0 
 15.011   2  tick         0 4986688962         0 
 20.010   1  tick 4986671597         0 4986671591 
 20.010   0  tick 4986687705         0 4986687706 
 20.010   3  tick         0 4986688622         0 
 20.011   2  tick         0 4986651236         0 
 25.010   1  tick 4986670976         0 4986670983 
 25.010   0  tick 4986656903         0 4986656905 
 25.010   3  tick         0 4986665976         0 
 25.011   2  tick         0 4986689899         0 
 30.010   2  tick         0 4986240772         0 
 30.010   1  tick 4986674012         0 4986674009 
 30.010   0  tick 4986672510         0 4986672510 
 30.011   3  tick         0 4987122156         0 
 35.010   1  tick 4986667863         0 4986667865 
 35.010   2  tick         0 4986669467         0 
 35.010   0  tick 4986685175         0 4986685172 
 35.011   3  tick         0 4986647101         0 
 40.010   2  tick         0 4986666795         0 
 40.010   1  tick 4986668845         0 4986668843 
 40.010   0  tick 4986651265         0 4986651263 
 40.011   3  tick         0 4986654957         0 
 45.010   1  tick 4986673013         0 4986673013 
 45.010   2  tick         0 4986672942         0 
 45.011   3  tick         0 4986676131         0 
 45.019   0  tick 4994975675         0 4994975678 
 50.010   2  tick         0 4986668199         0 
 50.010   0  tick 4978366001         0 4978365995 
 50.010   1  tick 4986678376         0 4986678372 
 50.011   3  tick         0 4986710256         0 
 55.010   2  tick         0 4986668974         0 
 55.010   1  tick 4986659093         0 4986659097 
 55.010   0  tick 4986668293         0 4986668299 
 55.011   3  tick         0 4986650146         0 
 60.010   2  tick         0 4986671361         0 
 60.010   1  tick 4986671288         0 4986671290 
 60.010   0  tick 4986671120         0 4986671122 
