 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 42845852 30271864 108 3117 0 0 0 0 0 0  0  0  0  824 1681  322  6  5 89
 0 0 0 42845948 30271876 106 3123 0 0 0 0 0 0  0  0  0  777 1682  308  6  5 89
 0 0 0 42845808 30271796 106 3126 0 0 0 0 0 0  2  0  0  871 1682  335  6  5 88
 0 0 0 42845996 30271792 108 3126 0 0 0 0 0 0  0  0  0  820 1724  341  6  4 90
 0 0 0 42846024 30271812 106 3124 0 0 0 0 0 0  0  0  0  814 1677  319  6  4 90
 0 0 0 42845776 30271764 106 3126 0 0 0 0 0 0  2  0  0  838 1681  338  6  5 89
 0 0 0 42846012 30271804 107 3126 0 0 0 0 0 0  0  0  0  822 1683  319  6  4 90
 0 0 0 42845872 30271768 106 3124 0 0 0 0 0 0  0  0  0  808 1677  317  6  4 89
 0 0 0 42845752 30271736 106 3118 0 0 0 0 0 0  2  0  0  781 1678  332  6  5 88
 0 0 0 42845972 30271764 107 3124 0 0 0 0 0 0  0  0  0  845 1679  318  6  4 90
 0 0 0 42846032 30271788 106 3121 0 0 0 0 0 0  0  0  0  850 1682  318  6  4 90
 0 0 0 43268120 30692064 115 3329 0 0 0 0 0 0  2  0  0  820 2282  329  0  4 95
 0 0 0 42888104 30313580 124 13685 0 0 0 0 0 0 0  0  0  828 1743  308  6  3 91
 0 0 0 42845648 30271520 106 3126 0 0 0 0 0 0  0  0  0  772 1681  314  6  4 89
 0 0 0 42845424 30271500 55 1596 0 0 0 0 0  0  2  0  0  961 1150  269  6  6 88
 0 0 0 42845780 30271564 158 4656 0 0 0 0 0 0  0  0  0  819 2259  402  6  4 90
 0 0 0 42845524 30271504 105 3123 0 0 0 0 0 0  0  0  0  835 1679  312  6  5 89
 0 0 0 42845736 30271520 106 3123 0 0 0 0 0 0  2  0  0  813 1703  342  6  4 89
 kthr      memory            page            disk          faults      cpu
