time ,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1, HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
0,44,49,34,44,3645.6,3645.6,9656,9656,1554025,3.44E+07,37222191,4.24E+05,916788,3.49E+06,1.64E+07,1.55E+00,3.44E+01,3.72E+01,4.242655,9.16788,34.92268,163.6092,2008,1143,1606.4,1204.8,60.24,63.252,0,0,0,0,0,0
5,43,50,34,45,3567.2,3645.6,9656,9372,6.30E+05,46830571,21633548,4.24E+05,1.88E+05,9.16E+06,194573,6.30E-01,4.68E+01,2.16E+01,4.242655,1.883337,91.59839,1.94573,2014,1142,1611.2,1208.4,60.42,63.441,0,0,0,0,0,0
10,43,50,34,44,3645.6,3567.2,9656,9372,2117353,6.15E+07,2.36E+07,4.24E+05,564723,3418054,3.13E+06,2.12E+00,6.15E+01,2.36E+01,4.242655,5.64723,34.18054,31.33867,2014,1142,1611.2,1208.4,60.42,63.441,0,0,0,0,0,0
15,43,50,34,44,3645.6,3645.6,9656,9656,8.28E+05,2.60E+07,2.10E+07,2.47E+05,564723,3418054,7907886,8.28E-01,2.60E+01,2.10E+01,2.474245,5.64723,34.18054,79.07886,2030,1143,1624,1218,60.9,63.945,0,0,0,0,0,0
20,44,49,34,45,3645.6,3645.6,9656,9656,5.43E+05,39961807,15934650,2.47E+05,1.80E+05,1.53E+06,5.88E+06,5.43E-01,4.00E+01,1.59E+01,2.474245,1.801297,15.3075,58.8156,2019,1143,1615.2,1211.4,60.57,63.5985,0,0,0,0,0,0
25,44,49,34,45,3645.6,3645.6,9656,9656,5.40E+05,4.01E+07,1.49E+07,165260,1.80E+05,2.21E+06,3.91E+06,5.40E-01,4.01E+01,1.49E+01,1.6526,1.801297,22.06424,39.13735,2027,1143,1621.6,1216.2,60.81,63.8505,0,29.2,0,1299.2,0,1299200
30,43,50,34,45,3645.6,3645.6,9372,9656,380495,1.76E+07,12975818,48380,1.80E+05,2.21E+06,5.12E+06,3.80E-01,1.76E+01,1.30E+01,0.4838,1.801297,22.06424,51.17656,2088,1144,1670.4,1252.8,62.64,65.772,0,0,0,0,0,0
35,43,51,34,45,3567.2,3645.6,9656,9372,4.56E+05,3.79E+07,1.47E+07,48380,2.71E+05,7721750,2.74E+06,4.56E-01,3.79E+01,1.47E+01,0.4838,2.713733,77.2175,27.42971,2036,1145,1628.8,1221.6,61.08,64.134,0,0,0,0,0,0
40,44,49,34,45,3645.6,3645.6,9656,9656,5.43E+05,3.95E+07,15580483,1.79E+05,2.71E+05,571204,5.68E+06,5.43E-01,3.95E+01,1.56E+01,1.794843,2.713733,5.71204,56.76023,2021,1143,1616.8,1212.6,60.63,63.6615,0,0,0,0,0,0
45,44,49,34,45,3645.6,3645.6,9656,9656,8.10E+05,2.62E+07,21161321,1.79E+05,279404,571204,1.32E+07,8.10E-01,2.62E+01,2.12E+01,1.794843,2.79404,5.71204,131.9998,2016,1144,1612.8,1209.6,60.48,63.504,0,0,0,0,0,0
