121.27,26.667,30.5,23.833,17.167,19.833,11.533,2.2363,3162.5,7612.5,5287.5,7487.5,5400,7612.5,5300,7987.5,5275,0,0
114.48,26.167,30.167,24,17.167,19.833,7.1427,6.5528,3162.5,7625,5312.5,7475,5387.5,7600,5275,7987.5,5262.5,0,31.05
121.19,26.667,30.333,24,17.167,19.833,4.3267,4.0255,3150,7637.5,5287.5,7487.5,5400,7600,5300,8000,5275,0,13.3
121.17,26.833,30.833,24,17.167,19.833,9.895,4.0376,3162.5,7612.5,5262.5,7487.5,5387.5,7575,5312.5,7987.5,5250,0,14.983
114.04,26.667,30.833,24,17.167,19.833,10.14,2.998,3162.5,7612.5,5275,7487.5,5400,7575,5312.5,7987.5,5287.5,0,0
119.04,26.5,30.333,24,17.167,19.833,7.2192,6.9472,3162.5,7625,5287.5,7475,5387.5,7587.5,5300,7975,5287.5,0,8.8
120.61,27.333,30.667,24,17.167,20,5.28,4.0236,3150,7625,5312.5,7500,5400,7587.5,5262.5,7975,5287.5,0,0
113.33,27,30.667,24,17.167,20,13.308,2.131,3150,7600,5300,7487.5,5400,7612.5,5300,8000,5287.5,0,5.1833
120.72,26.667,30.333,24,17.167,20,11.44,2.3038,3150,7625,5300,7487.5,5387.5,7600,5287.5,7962.5,5275,0,7.35
120.32,27.167,31.167,24,17.333,20,11.438,4.0447,3150,7612.5,5275,7487.5,5400,7575,5300,8012.5,5262.5,0,16.65
113.31,27,31,24,17.333,20,12.283,4.4853,3150,7612.5,5300,7500,5400,7600,5287.5,7987.5,5300,0,0
113.73,26.667,30.833,24,17.333,20,11.33,2.5989,3150,7612.5,5300,7487.5,5400,7600,5275,7950,5300,0,7.9667
120.57,27.167,30.667,24,17.333,20,13.783,1.6627,3150,7650,5287.5,7487.5,5400,7600,5300,7962.5,5300,0,8.6833
124.85,27.333,30.833,24,17.167,20,10.956,4.0782,3150,7625,5287.5,7475,5400,7587.5,5287.5,7987.5,5275,0,5.6
113.48,26.833,30.667,24,17.167,20,3.6837,3.9447,3162.5,7600,5287.5,7475,5400,7625,5275,7987.5,5287.5,0,7.4833
120.76,26.833,31.167,24,17.167,20,10.38,3.6303,3162.5,7637.5,5275,7462.5,5387.5,7587.5,5300,7975,5262.5,0,15.117
120.64,27.333,30.667,24,17.167,20,8.3233,3.256,3150,7637.5,5300,7487.5,5400,7625,5287.5,8000,5262.5,0,0
113.6,26.833,31,24,17.167,20,6.5493,5.4015,3150,7637.5,5275,7475,5400,7612.5,5312.5,7975,5287.5,0,8.4
120.57,27.167,30.833,24,17.167,19.833,4.6,5.7715,3150,7625,5287.5,7475,5400,7612.5,5312.5,7975,5262.5,0,9.2333
120.69,26.5,30.833,24,17.167,19.833,12.759,4.1415,3150,7637.5,5300,7450,5387.5,7600,5287.5,7987.5,5300,0,6.0333
113.21,27,31.167,24,17.167,20,12.047,1.7886,3150,7600,5300,7487.5,5362.5,7600,5287.5,7987.5,5300,0,7.9
126.53,26.833,31,24,17.333,20,12.693,4.462,3150,7625,5325,7462.5,5400,7587.5,5275,8025,5287.5,0,15.967
127.16,26.5,31.167,24,17.333,19.833,67.488,9.2666,3175,7637.5,5300,7487.5,5400,7612.5,5275,8000,5300,211.38,0
121.23,28,31.167,24,17.167,19.833,71.275,17.586,3150,7587.5,5300,7450,5400,7612.5,5287.5,7975,5275,0,203.13
128.87,27.667,30.833,24,17.167,19.833,64.392,7.4611,3150,7600,5275,7475,5387.5,7612.5,5312.5,7987.5,5287.5,0,0
128.52,28.5,31.167,24,17.167,19.833,69.9,23.059,3150,7612.5,5312.5,7500,5400,7587.5,5275,7962.5,5287.5,0,6.55
121.15,27.667,31.833,24,17.167,20,55.053,15.206,3150,7625,5300,7475,5400,7587.5,5275,7987.5,5287.5,0,8.3
127.57,27.667,31.667,24,17.167,20,46.705,8.0502,3150,7587.5,5312.5,7487.5,5387.5,7600,5275,7975,5262.5,0,16.817
128.56,28,31.667,24,17.167,20,53.84,8.4128,3162.5,7637.5,5287.5,7475,5400,7612.5,5287.5,8025,5275,0,8.6667
