Time Temp Temp Temp Ambient_Temp Temp Ambient_Temp Ambient_Temp Planar_Temp IOH_THERMTRIP CPU_Temp_Interf Temp Temp Temp FAN_MOD_1A_RPM FAN_MOD_2A_RPM FAN_MOD_3A_RPM FAN_MOD_4A_RPM FAN_MOD_5A_RPM FAN_MOD_6A_RPM FAN_MOD_1B_RPM FAN_MOD_2B_RPM FAN_MOD_3B_RPM FAN_MOD_4B_RPM FAN_MOD_5B_RPM FAN_MOD_6B_RPM Fan_Redundancy et
390 -53 -53 38 29 36 27 15 39 5Dh 76h 28 34 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 10
400 -56 -53 38 30 36 27 15 39 5Dh 76h 29 34 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
410 -52 -53 39 30 37 27 15 39 5Dh 76h 29 34 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
420 -57 -50 39 30 37 27 15 39 5Dh 76h 28 34 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
430 -55 -50 39 30 37 27 15 39 5Dh 76h 28 35 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
440 -57 -49 39 29 36 27 15 39 5Dh 76h 28 35 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
450 -52 -49 39 29 37 27 14 39 5Dh 76h 28 35 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 10
460 -57 -48 38 29 37 27 15 39 5Dh 76h 28 35 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
470 -52 -49 39 30 37 27 14 39 5Dh 76h 29 35 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
480 -57 -49 39 29 37 27 14 39 5Dh 76h 28 36 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
490 -57 -49 39 30 37 27 15 39 5Dh 76h 28 36 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
500 -57 -49 39 29 37 27 15 39 5Dh 76h 28 36 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
