0, 359719876613,16192038,4040,56208,44967
1, 1381871554990,9487481,4268,215918,172735
2, 80970128639,10433209,3456,12653,10122
3, 74760011731,3606165,4023,11681,9345
0, 365429125531,16443489,4075,57100,45680
1, 1402728551647,9633961,4305,219177,175342
2, 82185386866,10602251,3486,12843,10274
3, 76020809452,3663633,4058,11878,9503
0, 371140418747,16696527,4110,57993,46394
1, 1423586807543,9781285,4341,222436,177949
2, 83400975352,10772255,3516,13033,10426
3, 77281723929,3721238,4094,12075,9660
0, 376852689974,16949927,4145,58885,47108
1, 1444445426962,9928810,4377,225696,180556
2, 84616700214,10942668,3546,13223,10578
3, 78542750745,3778938,4129,12272,9818
0, 382566054915,17203827,4180,59778,47822
1, 1465304441636,10076485,4414,228955,183164
2, 85832579774,11113458,3576,13413,10730
3, 79803891498,3836731,4164,12469,9975
0, 388280636541,17458235,4215,60671,48537
1, 1486163999208,10224426,4450,232214,185771
2, 87048660117,11284848,3606,13603,10882
3, 81065144713,3894613,4199,12667,10133
0, 393996513456,17713255,4250,61564,49251
1, 1507024321937,10373584,4487,235474,188379
2, 88264989721,11456779,3637,13793,11034
3, 82326578846,3952721,4234,12864,10291
0, 399713737447,17968838,4285,62458,49966
1, 1527885408989,10523225,4523,238733,190986
2, 89481557524,11629273,3665,13983,11186
3, 83588175228,4011027,4269,13061,10449
0, 405432248138,18224862,4321,63351,50681
1, 1548747120700,10673133,4559,241993,193594
2, 90698306778,11802275,3694,14173,11338
3, 84849889502,4069467,4304,13258,10606
teaplant: **** MARK PROCESSING ENDED
