Time Temp Temp Planar_Temp VRD_0_Temp VRD_1_Temp Fan_1 Fan_2A Fan_2B Fan_3A Fan_3B Fan_4A Fan_4B Fan_5A Fan_5B Fan_Redundancy
0 24 27 23 16 18 3150 7575 5250 7500 5325 7575 5325 7875 5250 54h
8 25 31 23 16 18 3150 7575 5250 7500 5325 7500 5250 7875 5250 54h
16 25 31 22 16 18 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
24 26 30 22 16 18 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
32 25 28 22 16 18 3150 7500 5250 7425 5400 7500 5250 7950 5250 54h
40 24 29 22 16 18 3150 7500 5250 7425 5400 7500 5250 7950 5250 54h
48 24 28 22 16 18 3150 7500 5250 7425 5325 7500 5250 7950 5250 54h
56 24 28 22 16 18 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
64 24 28 22 16 18 3150 7575 5250 7500 5400 7500 5250 7950 5250 54h
72 24 28 22 16 18 3150 7575 5250 7425 5400 7500 5250 7875 5250 54h
80 24 28 22 16 18 3150 7575 5175 7500 5325 7575 5250 7875 5250 54h
88 24 28 22 16 18 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
96 24 28 22 16 18 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
104 24 28 22 16 18 3075 7575 5250 7425 5325 7575 5250 7950 5250 54h
112 24 28 22 16 18 3150 7500 5250 7425 5325 7500 5250 7875 5175 54h
120 27 28 22 16 18 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
128 26 31 22 16 18 3150 7500 5250 7425 5325 7500 5325 7950 5250 54h
136 25 31 22 16 18 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
144 27 29 22 16 18 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
152 28 31 22 16 18 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
160 25 29 22 16 18 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
168 25 29 22 16 18 3150 7500 5250 7500 5325 7500 5250 7875 5250 54h
176 25 28 22 16 18 3150 7500 5250 7425 5325 7500 5250 7875 5250 54h
184 25 28 22 16 18 3150 7500 5175 7425 5325 7500 5325 7875 5250 54h
192 24 28 22 16 18 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
200 24 28 22 16 18 3150 7500 5250 7425 5400 7575 5250 7950 5250 54h
