Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
0,44,48,36,45,3567.2,3567.2,8449,8449,1062758,1061810,1062284,10367283,10368846,10368064.5,11795404,11769331,11782367.5,242417,139379,300570,230410,222.3,115,1.77,166.73,133.38,66.69,1.06,10.37,11.78,2.42,1.39,3.01,2.3,0,0,0,0,0,0
5,44,48,36,46,3488.8,3567.2,8662,8449,700453,701467,700960,7914697,7915490,7915093.5,8772285,8807374,8789829.5,218375,75908,182875,276836,229.7,114.9,1.81,172.28,137.82,68.91,0.7,7.92,8.79,2.18,0.76,1.83,2.77,0,0,0,0,0,0
10,44,49,36,46,3567.2,3567.2,8449,8449,1553923,1553923,1553923,16576077,16578780,16577428.5,18717381,18723396,18720388.5,378897,171731,444084,486298,227.4,115,1.89,170.55,136.44,68.22,1.55,16.58,18.72,3.79,1.72,4.44,4.86,0,1,0,8,0,8192
15,44,49,36,46,3567.2,3567.2,8662,8449,3211759,3211759,3211759,94969783,94962776,94966279.5,95959425,95949016,95954220.5,4005668,8496306,8979665,1093970,226.5,115,1.81,169.88,135.9,67.95,3.21,94.97,95.95,40.06,84.96,89.8,10.94,0,3,0,24,0,24576
20,45,48,36,46,3567.2,3567.2,8662,8449,1550065,1550065,1550065,233407665,233419021,233413343,174867621,174872699,174870160,531641,1484782,19294674,33246030,226.1,115.1,1.81,169.58,135.66,67.83,1.55,233.41,174.87,5.32,14.85,192.95,332.46,0,0,0,0,0,0
25,44,49,36,46,3567.2,3567.2,8662,8449,1536062,1536012,1536037,192980687,192979550,192980118.5,138346076,138338529,138342302.5,1310034,376294,51864601,1465047,226.1,115,1.81,169.58,135.66,67.83,1.54,192.98,138.34,13.1,3.76,518.65,14.65,0,0,0,0,0,0
30,44,50,36,46,3567.2,3645.6,8662,8449,1560187,1560237,1560212,209333056,209325456,209329256,141383959,141380314,141382136.5,1955315,444087,52212350,552419,226.2,115,1.81,169.65,135.72,67.86,1.56,209.33,141.38,19.55,4.44,522.12,5.52,0,0,0,0,0,0
35,44,50,36,46,3567.2,3567.2,8662,8449,1562261,1562261,1562261,177756665,177765507,177761086,123696660,123705671,123701165.5,502379,559876,476911,52840220,226.2,114.9,1.81,169.65,135.72,67.86,1.56,177.76,123.7,5.02,5.6,4.77,528.4,0,0,0,0,0,0
40,44,50,36,46,3567.2,3567.2,8662,8449,1548556,1548556,1548556,203963234,203953710,203958472,137701111,137699415,137700263,1325600,961096,51523830,626042,226.4,115,1.81,169.8,135.84,67.92,1.55,203.96,137.7,13.26,9.61,515.24,6.26,0,5,0,45.5,0,46592
45,45,49,36,46,3567.2,3567.2,8662,8449,1545915,1545915,1545915,195771118,195780693,195775905.5,139317526,139320116,139318821,1289656,429400,52566979,1387880,226.7,115,1.82,170.03,136.02,68.01,1.55,195.78,139.32,12.9,4.29,525.67,13.88,0,5,0,23,0,23552
50,44,50,36,47,3567.2,3567.2,8662,8449,773918,808271,791094.5,188445543,188439630,188442586.5,123924836,125493047,124708941.5,1341653,46467,138229,51834887,226.8,115,1.82,170.1,136.08,68.04,0.79,188.44,124.71,13.42,0.46,1.38,518.35,0,0,0,0,0,0
55,44,50,36,47,3488.8,3567.2,8662,8449,980609,946256,963432.5,181729083,181721766,181725424.5,132413155,130851573,131632364,736985,323935,1487728,52216873,226.8,114.9,1.82,170.1,136.08,68.04,0.96,181.73,131.63,7.37,3.24,14.88,522.17,0,2,0,12,0,12288
60,44,50,36,47,3645.6,3567.2,8662,8449,1591188,1591188,1591188,210823960,210829529,210826744.5,140990446,140999333,140994889.5,563974,2061278,45565687,6717821,226.7,115,1.87,170.03,136.02,68.01,1.59,210.83,140.99,5.64,20.61,455.66,67.18,0,0,0,0,0,0
65,44,50,36,47,3488.8,3567.2,8662,8449,1544540,1544540,1544540,200642272,200648680,200645476,135235548,135220674,135228111,1928844,375567,50949009,1125431,226.9,115,1.82,170.18,136.14,68.07,1.54,200.65,135.23,19.29,3.76,509.49,11.25,0,0,0,0,0,0
70,44,50,36,47,3567.2,3567.2,8662,8449,1536923,1536923,1536923,229423017,229409186,229416101.5,153162844,153169514,153166179,2030894,1266124,13534535,38467623,227,114.9,1.82,170.25,136.2,68.1,1.54,229.42,153.17,20.31,12.66,135.35,384.68,0,3,0,27,0,27648
75,44,50,36,47,3567.2,3567.2,8662,8449,1530091,1530091,1530091,200607336,200620978,200614157,141372296,141365637,141368966.5,1659415,465944,51290417,1416701,227.1,115,1.82,170.33,136.26,68.13,1.53,200.61,141.37,16.59,4.66,512.9,14.17,0,9,0,30,0,30720
80,44,51,36,47,3567.2,3645.6,8449,8236,1536048,1536048,1536048,206962237,206950178,206956207.5,138602218,138590149,138596183.5,1920763,558256,1008729,50721163,227.2,115,1.82,170.4,136.32,68.16,1.54,206.96,138.6,19.21,5.58,10.09,507.21,0,0,0,0,0,0
85,44,50,36,47,3567.2,3567.2,8662,8449,1555205,1555205,1555205,198151380,198147225,198149302.5,142584779,142596079,142590429,515243,1377963,52672340,895905,227.2,115,1.82,170.4,136.32,68.16,1.56,198.15,142.59,5.15,13.78,526.72,8.96,0,0,0,0,0,0
90,44,50,36,47,3567.2,3567.2,8662,8449,1535976,1535976,1535976,176341817,176359315,176350566,122520224,122524678,122522451,524824,427616,453478,53233535,227.4,115,1.82,170.55,136.44,68.22,1.54,176.35,122.52,5.25,4.28,4.53,532.34,0,0,0,0,0,0
95,44,51,36,47,3567.2,3567.2,8662,8449,1548651,1548651,1548651,198632629,198633105,198632867,135347640,135343454,135345547,1509587,426037,51518953,1005235,227.6,115,1.82,170.7,136.56,68.28,1.55,198.63,135.35,15.1,4.26,515.19,10.05,0,0,0,0,0,0
100,44,51,36,47,3645.6,3645.6,8662,8449,300839,300914,300876.5,191542026,191507600,191524813,127364514,127377322,127370918,1319619,34013,52380307,383598,227.7,115,1.82,170.78,136.62,68.31,0.3,191.52,127.37,13.2,0.34,523.8,3.84,0,4,0,27,0,27648
