Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
0,43,43,32,41,3488.8,3567.2,8662,8449,1208682,1209713,1209197.5,13525224,13523906,13524565,13361434,13386811,13374122.5,469909,335383,269817,283353,229.8,114.4,1.87,172.35,137.88,68.94,1.21,13.52,13.37,4.7,3.35,2.7,2.83,0,0,0,0,0,0
5,43,42,32,40,3567.2,3567.2,8449,8449,1540287,1540287,1540287,16201070,16203044,16202057,16655750,16655439,16655594.5,442326,319337,364841,282457,234.8,114.3,1.87,176.1,140.88,70.44,1.54,16.2,16.66,4.42,3.19,3.65,2.82,0,0.2,0,1.6,0,1638.4
10,43,42,32,41,3567.2,3567.2,8662,8023,2406905,2406905,2406905,214899056,214880244,214889650,313415432,313416659,313416045.5,71239026,8345125,2360536,635342,234,114.4,1.87,175.5,140.4,70.2,2.41,214.89,313.42,712.39,83.45,23.61,6.35,0,0,0,0,0,0
15,43,43,32,41,3567.2,3567.2,8449,8236,1540831,1540831,1540831,431316768,431341652,431329210,654660717,654656406,654658561.5,171042162,390242,566601,5592181,233.6,114.4,1.87,175.2,140.16,70.08,1.54,431.33,654.66,1710.42,3.9,5.67,55.92,0,0,0,0,0,0
20,43,43,32,41,3567.2,3567.2,8662,8449,1544976,1544976,1544976,428484171,428458901,428471536,649527564,649532996,649530280,481862,171980181,2326413,3791490,233.4,114.5,1.87,175.05,140.04,70.02,1.54,428.47,649.53,4.82,1719.8,23.26,37.91,0,0.2,0,7.8,0,7987.2
25,43,42,32,41,3567.2,3645.6,8662,8236,1543294,1543294,1543294,396513075,396518888,396515981.5,594088515,594087129,594087822,175374340,379652,2050826,434197,233.3,114.3,1.88,174.98,139.98,69.99,1.54,396.52,594.09,1753.74,3.8,20.51,4.34,0,0,0,0,0,0
30,43,42,32,41,3488.8,3567.2,8662,8236,1534801,1534801,1534801,433742410,433741713,433742061.5,655502451,655499979,655501215,170972534,423456,2487604,4054638,233.2,114.4,1.87,174.9,139.92,69.96,1.53,433.74,655.5,1709.73,4.23,24.88,40.55,0,0,0,0,0,0
35,44,43,32,41,3567.2,3567.2,8662,8449,1547095,1547095,1547095,432266165,432291420,432278792.5,653042016,653037056,653039536,171542319,398444,487075,5367787,232.9,114.3,1.96,174.68,139.74,69.87,1.55,432.28,653.04,1715.42,3.98,4.87,53.68,0,0,0,0,0,0
40,44,43,32,41,3567.2,3567.2,8662,8236,1490222,1484196,1487209,437202220,437186702,437194461,667068864,665520103,666294483.5,27317287,143870022,289204,6060080,232.9,114.4,1.88,174.68,139.74,69.87,1.49,437.19,666.29,273.17,1438.7,2.89,60.6,0,1.8,0,6.4,0,6553.6
45,44,42,32,41,3567.2,3567.2,8449,8236,290826,296852,293839,393156579,393147707,393152143,592471624,594024862,593248243,174744290,191056,3002167,255607,233,114.3,1.88,174.75,139.8,69.9,0.29,393.15,593.25,1747.44,1.91,30.02,2.56,0,0,0,0,0,0
50,44,42,32,41,3488.8,3567.2,8449,8236,1554672,1554672,1554672,453008632,453014249,453011440.5,683974849,683973292,683974070.5,170090090,408931,3404468,3377378,233.1,114.5,1.87,174.83,139.86,69.93,1.55,453.01,683.97,1700.9,4.09,34.04,33.77,0,0.6,0,3.9,0,3993.6
55,44,42,32,41,3488.8,3645.6,8662,8449,1506596,1506596,1506596,399947930,399941523,399944726.5,596158277,596163273,596160775,143075908,32760191,1988113,526655,233.2,114.4,1.87,174.9,139.92,69.96,1.51,399.94,596.16,1430.76,327.6,19.88,5.27,0,0,0,0,0,0
60,44,43,32,41,3488.8,3567.2,8662,8449,1542756,1542756,1542756,402283085,402280261,402281673,599226465,599220839,599223652,430502,176189295,2005348,486210,233.3,114.4,1.88,174.98,139.98,69.99,1.54,402.28,599.22,4.31,1761.89,20.05,4.86,0,0,0,0,0,0
65,44,42,32,41,3567.2,3567.2,8449,8236,1522310,1522310,1522310,397336566,397370434,397353500,595437844,595446055,595441949.5,374125,175702712,549153,2407212,233.4,114.5,1.87,175.05,140.04,70.02,1.52,397.35,595.44,3.74,1757.03,5.49,24.07,0,0,0,0,0,0
70,44,43,32,41,3567.2,3567.2,8662,8449,1541189,1541189,1541189,418185704,418171471,418178587.5,626704958,626689701,626697329.5,173497206,395097,508418,4117754,233.5,114.5,1.87,175.13,140.1,70.05,1.54,418.18,626.7,1734.97,3.95,5.08,41.18,0,1.4,0,6.2,0,6348.8
75,44,42,32,41,3488.8,3567.2,8662,8236,1522284,1522284,1522284,430547065,430540580,430543822.5,654354777,654363777,654359277,171714156,363667,4973751,455203,233.5,114.4,1.88,175.13,140.1,70.05,1.52,430.54,654.36,1717.14,3.64,49.74,4.55,0,0,0,0,0,0
80,45,42,32,41,3567.2,3567.2,8662,8449,1508206,1508206,1508206,411476150,411463681,411469915.5,615875265,615874091,615874678,173724747,720649,3599796,444979,233.1,114.5,1.92,174.83,139.86,69.93,1.51,411.47,615.87,1737.25,7.21,36,4.45,0,0.2,0,2.4,0,2457.6
