Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,time , HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,Volts,InputDCPwr,AllPwrExtBd,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
0,44,47,33,43,3645.6,3567.2,9372,9372,305,1017503,5.63E+07,55368988,9376353,416716,4.41E+05,1.05E+05,1.017503,56.29458,55.368988,9.38E+01,4.17E+00,4.41E+00,1.05E+00,1996,1144,2283.424,1598.3968,1278.71744,63.935872,0,0,0,0,0,0
5,44,46,33,43,3645.6,3645.6,9656,9656,310,5.27E+05,9.70E+07,7.26E+07,9376353,2263911,5.41E+05,166023,0.5273347,96.99836,72.56666,9.38E+01,2.26E+01,5.41E+00,1.66E+00,2038,1144,2331.472,1632.0304,1305.62432,65.281216,2.4,0,2619.1,0,2619100,0
10,44,46,33,43,3645.6,3645.6,12567,12567,315,780871,44734624,5.72E+07,33346792,2263911,5.41E+05,2.31E+05,0.780871,44.734624,57.20334,3.33E+02,2.26E+01,5.41E+00,2.31E+00,2006,1145,2296.87,1607.809,1286.2472,64.31236,0,0,0,0,0,0
15,43,46,33,43,3645.6,3645.6,9372,9372,320,9.14E+05,4.24E+07,57646239,34552752,2263911,5.41E+05,2.19E+05,0.9135055,42.41651,57.646239,3.46E+02,2.26E+01,5.41E+00,2.19E+00,2001,1143,2287.143,1601.0001,1280.80008,64.040004,0,0,0,0,0,0
20,44,46,33,43,3645.6,3645.6,9656,9656,325,7.83E+05,3.95E+07,5.38E+07,35078602,2263911,2.05E+05,2.19E+05,0.7834685,39.54426,53.77217,3.51E+02,2.26E+01,2.05E+00,2.19E+00,2004,1144,2292.576,1604.8032,1283.84256,64.192128,0,17.2,0,172.9,0,172900
25,44,47,33,43,3645.6,3645.6,9372,9656,330,785398,4.44E+07,56483349,37149636,2263911,2.05E+05,232026,0.785398,44.40322,56.483349,3.71E+02,2.26E+01,2.05E+00,2.32E+00,1996,1144,2283.424,1598.3968,1278.71744,63.935872,0,0,0,0,0,0
30,44,46,33,43,3645.6,3645.6,9656,9656,335,7.77E+05,41212580,56122119,38414355,2263911,2.05E+05,207145,0.7768275,41.21258,56.122119,3.84E+02,2.26E+01,2.05E+00,2.07E+00,2004,1144,2292.576,1604.8032,1283.84256,64.192128,0,0,0,0,0,0
35,44,46,33,43,3645.6,3645.6,9656,9656,340,5.85E+05,21776365,6.37E+07,2.43E+07,1.50E+06,13534,207145,0.5851157,21.776365,63.729,2.43E+02,1.50E+01,1.35E-01,2.07E+00,2011,1143,2298.573,1609.0011,1287.20088,64.360044,0,0,0,0,0,0
40,44,47,33,43,3645.6,3645.6,9656,9656,345,5.03E+05,43865707,56512463,3.76E+07,1.50E+06,261093,207145,0.5028175,43.865707,56.512463,3.76E+02,1.50E+01,2.61E+00,2.07E+00,2042,1142,2331.964,1632.3748,1305.89984,65.294992,0,0,0,0,0,0
45,44,46,33,43,3645.6,3567.2,9656,9656,350,844817,40575085,55791008,38617499,1.50E+06,261093,241012,0.844817,40.575085,55.791008,3.86E+02,1.50E+01,2.61E+00,2.41E+00,2004,1143,2290.572,1603.4004,1282.72032,64.136016,0,0,0,0,0,0
50,44,47,33,43,3645.6,3645.6,9372,9656,355,795615,1.12E+08,163913103,3.29E+07,1.50E+06,218941,241012,0.795615,112.2862,163.913103,3.29E+02,1.50E+01,2.19E+00,2.41E+00,2032,1143,2322.576,1625.8032,1300.64256,65.032128,0,11.4,0,69.1,0,69100
55,44,46,33,43,3645.6,3645.6,9656,9656,360,7.92E+05,116186668,1.65E+08,37125042,1.50E+06,218941,249983,0.7924965,116.186668,164.945,3.71E+02,1.50E+01,2.19E+00,2.50E+00,2038,1143,2329.434,1630.6038,1304.48304,65.224152,0,0,0,0,0,0
60,44,46,33,43,3645.6,3645.6,9656,9656,365,7.71E+05,112292641,162173994,4.02E+07,1.50E+06,218941,2.03E+05,0.7714555,112.292641,162.173994,4.02E+02,1.50E+01,2.19E+00,2.03E+00,2046,1143,2338.578,1637.0046,1309.60368,65.480184,0,0,0,0,0,0
65,44,47,33,43,3645.6,3645.6,9656,9656,370,7.89E+05,109973692,1.61E+08,36751630,1.50E+06,218941,2.48E+05,0.7886195,109.973692,160.5332,3.68E+02,1.50E+01,2.19E+00,2.48E+00,2040,1144,2333.76,1633.632,1306.9056,65.34528,0,0,0,0,0,0
70,44,47,33,43,3567.2,3645.6,9372,9656,375,798247,115111324,1.64E+08,3.78E+07,1.50E+06,2.23E+05,2.48E+05,0.798247,115.111324,163.8283,3.78E+02,1.50E+01,2.23E+00,2.48E+00,2031,1145,2325.495,1627.8465,1302.2772,65.11386,0,0,0,0,0,0
75,44,47,33,43,3645.6,3645.6,9656,9656,380,837974,1.12E+08,1.62E+08,3.76E+07,1.50E+06,2.23E+05,2.02E+05,0.837974,112.2984,162.3015,3.76E+02,1.50E+01,2.23E+00,2.02E+00,2042,1145,2338.09,1636.663,1309.3304,65.46652,0,0,0,0,0,0
80,45,47,33,43,3645.6,3645.6,9656,9656,385,5.23E+05,1.47E+08,1.08E+08,26670576,1.50E+06,150237,1.64E+05,0.5226177,147.4351,107.6018,2.67E+02,1.50E+01,1.50E+00,1.64E+00,2039,1143,2330.577,1631.4039,1305.12312,65.256156,0,12.2,0,72.6,0,72600
85,45,46,33,43,3645.6,3645.6,9372,9656,390,1.62E+05,1.09E+08,1.56E+08,3.51E+07,1.50E+06,29326,1.64E+05,0.1622785,108.5035,156.475,3.51E+02,1.50E+01,2.93E-01,1.64E+00,2049,1144,2344.056,1640.8392,1312.67136,65.633568,0,0,0,0,0,0
90,45,46,33,43,3645.6,3645.6,9656,9656,395,7.59E+05,1.13E+08,1.63E+08,36445057,1.50E+06,178201,1.64E+05,0.7589805,112.6979,163.3393,3.64E+02,1.50E+01,1.78E+00,1.64E+00,2082,1144,2381.808,1667.2656,1333.81248,66.690624,0,0,0,0,0,0
95,45,46,33,43,3645.6,3645.6,9656,9656,400,8.03E+05,1.12E+08,1.63E+08,4.06E+07,1.50E+06,228574,1.64E+05,0.8034345,111.804,163.0061,4.06E+02,1.50E+01,2.29E+00,1.64E+00,2041,1144,2334.904,1634.4328,1307.54624,65.377312,0,0,0,0,0,0
100,44,47,33,43,3645.6,3645.6,9656,9656,405,7.81E+05,114553537,162575563,38694563,1.50E+06,2.36E+05,1.64E+05,0.7810165,114.553537,162.575563,3.87E+02,1.50E+01,2.36E+00,1.64E+00,2048,1144,2342.912,1640.0384,1312.03072,65.601536,0,0,0,0,0,0
105,45,47,33,43,3567.2,3645.6,9656,9656,410,865126,1.12E+08,1.63E+08,4.02E+07,1.50E+06,2.20E+05,1.64E+05,0.865126,112.3802,163.324,4.02E+02,1.50E+01,2.20E+00,1.64E+00,2035,1144,2328.04,1629.628,1303.7024,65.18512,0,0,0,0,0,0
110,45,47,34,43,3645.6,3645.6,9372,9656,415,7.87E+05,1.11E+08,1.61E+08,31366401,1.50E+06,1.82E+05,1.64E+05,0.7872165,110.6773,160.5537,3.14E+02,1.50E+01,1.82E+00,1.64E+00,2044,1144,2338.336,1636.8352,1309.46816,65.473408,0,11.6,0,99.9,0,99900
115,45,47,33,43,3645.6,3645.6,9372,9656,420,785447,6.80E+07,9.28E+07,2.52E+07,1.50E+06,264680,1.64E+05,0.785447,68.01703,92.84513,2.52E+02,1.50E+01,2.65E+00,1.64E+00,2049,1143,2342.007,1639.4049,1311.52392,65.576196,0,0,0,0,0,0
120,45,46,34,43,3645.6,3645.6,9656,9656,425,7.82E+05,45625426,63522722,21977054,1.50E+06,264680,235676,0.7824015,45.625426,63.522722,2.20E+02,1.50E+01,2.65E+00,2.36E+00,2030,1144,2322.32,1625.624,1300.4992,65.02496,0,0,0,0,0,0
125,45,47,34,43,3645.6,3645.6,9656,9656,430,791135,45231040,6.35E+07,21977054,5868407,2.20E+05,235676,0.791135,45.23104,63.46122,2.20E+02,5.87E+01,2.20E+00,2.36E+00,2037,1145,2332.365,1632.6555,1306.1244,65.30622,0,0,0,0,0,0
130,45,46,34,43,3645.6,3645.6,9656,9372,435,9.11E+05,3.11E+07,8.26E+07,1.52E+07,2.47E+06,7.29E+04,235676,0.9114057,31.09548,82.63099,1.52E+02,2.47E+01,7.29E-01,2.36E+00,2034,1145,2328.93,1630.251,1304.2008,65.21004,0,0,0,0,0,0
135,45,46,34,43,3645.6,3645.6,9656,9656,440,3.31E+05,43624467,62111208,2.20E+07,2.47E+06,129120,235676,0.3313375,43.624467,62.111208,2.20E+02,2.47E+01,1.29E+00,2.36E+00,2226,1145,2548.77,1784.139,1427.3112,71.36556,0,0,0,0,0,0
140,45,46,34,43,3567.2,3645.6,9372,9656,445,7.91E+05,4.59E+07,6.38E+07,24808506,2.47E+06,129120,231664,0.7913945,45.90173,63.78149,2.48E+02,2.47E+01,1.29E+00,2.32E+00,2046,1143,2338.578,1637.0046,1309.60368,65.480184,0,12.8,0,87,0,87000
145,45,46,34,43,3645.6,3645.6,9656,9656,450,783703,49806284,64493204,2.38E+07,2.47E+06,129120,2.43E+05,0.783703,49.806284,64.493204,2.38E+02,2.47E+01,1.29E+00,2.43E+00,2049,1145,2346.105,1642.2735,1313.8188,65.69094,0,0,0,0,0,0
150,45,46,34,43,3645.6,3645.6,9656,9656,455,7.82E+05,46313760,63767719,2.64E+07,2.47E+06,129120,208339,0.7818495,46.31376,63.767719,2.64E+02,2.47E+01,1.29E+00,2.08E+00,2032,1145,2326.64,1628.648,1302.9184,65.14592,0,0,0,0,0,0
