pic0: pic0=NB_ht_bus1_bandwidth,umask0=0x01
pic1: pic1=NB_ht_bus1_bandwidth,umask=0x02
pic2: pic2=NB_ht_bus1_bandwidth,umask=0x04
pic3: pic3=NB_ht_bus1_bandwidth,umask=0x08,sys
   time cpu event      pic0      pic1      pic2      pic3 
520.006   0  tick    871116     13918     13918     13918 
520.006   1  tick 103833449 109735771 109735755 109735755 
525.006   0  tick   2912828     18246     18246     18246 
525.006   1  tick 135772210 334408848 334408848 334408848 
530.006   1  tick  96938294  75409882  75409882  75409882 
530.021   0  tick   2065595      9126      9126      9126 
535.006   0  tick   2207590     11258     11258     11258 
535.006   1  tick  95644298  41522435  41522435  41522435 
540.006   0  tick   1639707     18224     18224     18224 
540.006   1  tick 114808242 178381613 178381613 178381613 
545.006   0  tick   1587361     18158     18158     18158 
545.006   1  tick 105404705 116934978 116934978 116934978 
550.006   1  tick  97144559  77613302  77613302  77613302 
550.008   0  tick     50825      1211      1211      1211 
555.006   0  tick   2952837     17804     17804     17804 
555.006   1  tick  95841051  49220030  49220030  49220030 
560.006   0  tick   1576866     18979     18979     18979 
560.006   1  tick 116654549 194628892 194628892 194628892 
565.006   1  tick 117456457 213499648 213499648 213499648 
565.008   0  tick   1132570     14200     14200     14200 
570.006   0  tick    591189      7012      7012      7012 
570.006   1  tick 107955161 152811580 152811580 152811580 
575.006   0  tick   1617021     18158     18158     18158 
575.006   1  tick 117414069 199013966 199013966 199013966 
580.006   0  tick   1670454     21062     21062     21062 
580.006   1  tick 110853557 162368624 162368624 162368624 
585.006   1  tick 115510820 203227248 203227248 203227248 
585.008   0  tick   1577717     18140     18140     18140 
590.006   0  tick     53549       406       406       406 
590.006   1  tick 105658118 125102531 125102531 125102531 
595.006   0  tick   1574060     21849     21849     21849 
595.006   1  tick 134374070 327183870 327183870 327183870 
600.006   0  tick   2939975     18283     18283     18283 
600.006   1  tick 116201966 200037212 200037212 200037212 
605.006   1  tick 104312735 118187014 118187014 118187014 
605.012   0  tick    878913     10113     10113     10113 
610.006   0  tick    743377     13346     13346     13346 
610.006   1  tick 101980637  97202385  97202385  97202385 
615.006   0  tick   1655306     18252     18252     18252 
615.006   1  tick 102782286 102013188 102013188 102013188 
620.006   0  tick   2922128     19285     19285     19285 
620.006   1  tick 114293246 186937708 186937708 186937708 
625.006   0  tick    390021      5447      5447      5447 
625.011   1  tick 107455173 140481135 140481135 140481135 
630.006   0  tick   1243145     14220     14220     14220 
630.006   1  tick 113783369 183458866 183458866 183458866 
635.006   0  tick   2872875     18170     18170     18170 
635.006   1  tick 131553243 310588263 310588263 310588263 
640.006   1  tick 124649233 273171287 273171287 273171287 
640.007   0  tick   1458132     17565     17565     17565 
645.006   0  tick    165101      1484      1484      1484 
645.006   1  tick 104923528 118517344 118517344 118517344 
650.006   0  tick   1603609     18152     18152     18152 
650.006   1  tick 117939966 213108399 213108399 213108399 
655.006   1  tick 113256445 181958407 181958407 181958407 
657.816   0  tick   7828072     17569     17569     17569 
660.006   0  tick    421822      5156      5156      5156 
660.006   1  tick  99381366  73768769  73768769  73768769 
665.006   0  tick   1568789     18158     18158     18158 
665.006   1  tick 124270400 257651235 257651250 257651251 
670.001   0  tick    329554      7558      7558      7558 
670.006   1  tick 105950201 146014884 146014869 146014868 
675.006   0  tick   1326253     14990     14990     14990 
675.006   1  tick 111325284 163861543 163861543 163861543 
680.006   0  tick   1606369     18158     18158     18158 
680.006   1  tick 119246277 210532298 210532298 210532298 
685.006   0  tick   1619392     20619     20619     20619 
685.006   1  tick 117570070 200078033 200078033 200078033 
690.006   1  tick 118646387 239605929 239605929 239605929 
690.006   0  tick    830227     10391     10391     10391 
695.006   0  tick    816245      9216      9216      9216 
695.006   1  tick 103230390  97575446  97575446  97575451 
700.006   0  tick   1645259     21071     21071     21071 
700.006   1  tick 117975796 214238961 214238961 214238956 
705.006   0  tick   1594283     18297     18297     18297 
705.006   1  tick 131342335 314964188 314964188 314964188 
710.006   0  tick   1234553     14541     14541     14541 
710.010   1  tick 125296164 264939310 264939310 264939310 
715.006   0  tick    388654      5026      5026      5026 
715.006   1  tick 108967465 154678444 154678460 154678460 
720.006   0  tick   2909718     18533     18533     18533 
720.006   1  tick 110415470 155005952 155005936 155005936 
725.006   1  tick 108378519 155888577 155888577 155888577 
725.274   0  tick   2934485     18056     18056     18056 
730.006   0  tick     66113      3331      3331      3331 
730.006   1  tick 104047265 111631400 111631400 111631400 
735.006   0  tick   1559036     18220     18220     18220 
735.006   1  tick 139547826 374835425 374835425 374835425 
740.006   0  tick   1643968     18180     18180     18180 
740.006   1  tick 122283275 239926042 239926042 239926042 
745.006   0  tick   1587468     19545     19545     19545 
745.006   1  tick 126197030 258312891 258312891 258312891 
750.006   0  tick     59063       868       868       868 
750.011   1  tick 108147018 162386230 162386230 162386230 
755.006   0  tick   2975987     17684     17684     17684 
755.006   1  tick 104292251 110287570 110287570 110287570 
760.006   0  tick   1641929     21078     21078     21078 
760.006   1  tick 108418622 144025799 144025799 144025799 
765.006   0  tick   1026220     11486     11486     11486 
765.011   1  tick 126567082 277175249 277175259 277175259 
770.006   0  tick    584536      7084      7084      7084 
770.006   1  tick 106260488 134955344 134955334 134955334 
775.006   0  tick   1624856     19545     19545     19545 
775.006   1  tick 116249993 199020157 199020157 199020157 
780.006   0  tick   2906275     18224     18224     18224 
780.006   1  tick 137170405 344558876 344558889 344558905 
785.006   0  tick    490017      5902      5902      5902 
785.007   1  tick 114804883 211017270 211017271 211017255 
790.006   0  tick   1137097     15491     15491     15491 
790.006   1  tick 103670194 106150711 106150697 106150697 
795.006   0  tick   1629229     18329     18329     18329 
795.006   1  tick 124808159 269096881 269096896 269096897 
800.006   0  tick   1618818     18198     18198     18198 
800.006   1  tick 108610575 129596125 129596110 129596109 
805.006   1  tick 109353583 157827494 157827494 157827494 
805.006   0  tick    891420     11549     11549     11549 
810.006   0  tick    761405      8646      8646      8646 
810.006   1  tick 116706834 222896451 222896451 222896451 
815.006   0  tick   2937171     18158     18158     18158 
815.006   1  tick 137660054 341842935 341842935 341842935 
820.006   1  tick 111393997 171629818 171629818 171629818 
820.472   0  tick   2696478     18791     18791     18791 
825.006   0  tick    232917      2634      2634      2634 
825.006   1  tick 109137458 160732205 160732205 160732205 
830.006   0  tick   1658409     18478     18478     18478 
830.006   1  tick 113140729 163580006 163580006 163580006 
835.006   1  tick 104234280 119324889 119324889 119324889 
835.651   0  tick   4221336     19942     19942     19942 
840.006   0  tick     64771       490       490       490 
840.006   1  tick 121558928 257966046 257966046 257966046 
845.006   0  tick   1646280     18174     18174     18174 
845.006   1  tick 122860981 252000473 252000473 252000473 
850.006   0  tick   1594611     21065     21065     21065 
850.006   1  tick 119831993 217446050 217446050 217446050 
855.006   0  tick   1318159     14214     14214     14214 
855.010   1  tick 128302662 301367855 301367855 301367871 
860.006   0  tick    352373      4619      4619      4619 
860.006   1  tick 104765678 123557294 123557294 123557278 
865.006   0  tick   1614495     20396     20396     20396 
865.006   1  tick 114416768 177458705 177458705 177458705 
870.006   1  tick 126515043 279558395 279558395 279558395 
870.046   0  tick   3888350     14444     14444     14444 
875.006   0  tick    354239      4292      4292      4292 
875.006   1  tick 101704918 105329981 105329981 105329981 
880.006   0  tick   5519576     21099     21099     21099 
880.006   1  tick 123026162 241383152 241383152 241383152 
885.006   0  tick     97405      1254      1254      1254 
885.008   1  tick 104992418 126050154 126050170 126050179 
890.006   1  tick  99804538  81273092  81273076  81273067 
890.816   0  tick   7488773      9863      9863      9863 
895.006   0  tick    719326      8833      8833      8833 
895.006   1  tick 106525682 140577051 140577052 140577067 
900.006   0  tick   1593936     18240     18240     18240 
900.006   1  tick 121101837 230381191 230381190 230381175 
905.006   0  tick   1670263     18152     18152     18152 
905.006   1  tick  99871254  79771133  79771133  79771133 
910.006   0  tick    647512     11397     11397     11397 
910.006   1  tick 113575723 199435597 199435597 199435597 
915.006   0  tick    953390     11649     11649     11649 
915.006   1  tick  97133291  58626989  58626989  58626989 
920.006   0  tick   1607188     18461     18461     18461 
920.006   1  tick 139117761 358099593 358099593 358099593 
925.006   0  tick   1614636     19239     19239     19239 
925.006   1  tick 116851444 202367014 202367014 202367014 
930.006   1  tick 111863753 175510777 175510777 175510777 
930.008   0  tick   1038939     11642     11642     11642 
935.006   0  tick    591058      6950      6950      6950 
935.006   1  tick  95770955  47060979  47060979  47060979 
940.006   0  tick   1626046     23091     23091     23091 
940.006   1  tick 107566672 134025226 134025226 134025226 
945.006   0  tick   1632949     18755     18755     18755 
945.006   1  tick 124627627 262935375 262935375 262935375 
950.002   1  tick 117901348 212715247 212715247 212715247 
950.006   0  tick   1609913     20468     20468     20468 
955.006   0  tick     26282      1453      1453      1453 
955.006   1  tick 107155168 148075958 148075958 148075958 
960.006   0  tick   1666123     18230     18230     18230 
960.006   1  tick  99059702  75010831  75010831  75010831 
965.006   0  tick   1589523     18170     18170     18170 
965.006   1  tick 142797545 394347335 394347335 394347341 
970.006   0  tick   1633279     21059     21059     21059 
970.006   1  tick 103533454  97151786  97151802  97151796 
975.006   0  tick    402538      4610      4610      4610 
975.013   1  tick 117051598 228380641 228380625 228380625 
980.006   0  tick   1231527     14507     14507     14507 
980.006   1  tick 102995192  99803926  99803926  99803926 
985.006   0  tick   1598693     19261     19261     19261 
985.006   1  tick 120509381 224287001 224287001 224287001 
990.006   0  tick   1629573     18224     18224     18224 
990.006   1  tick 118022135 215106572 215106572 215106572 
995.006   0  tick    992322       990       990       990 
995.284   1  tick 120222094 208791684 208791684 208791685 
1000.006   0  tick   3200820     20421     20421     20421 
1000.006   1  tick  95808361  82167756  82167756  82167755 
1005.006   0  tick   1645707     20297     20297     20297 
1005.006   1  tick 124489526 259951092 259951092 259951092 
1010.006   1  tick 130957567 321319927 321319927 321319927 
1010.010   0  tick    825160     11576     11576     11576 
1015.006   0  tick    767612      8806      8806      8806 
1015.006   1  tick  92267851  30360624  30360624  30360624 
1020.006   0  tick   1587361     18224     18224     18224 
1020.006   1  tick 130265322 293912222 293912222 293912222 
1025.006   0  tick   1594265     18158     18158     18158 
