 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 0 0 0 9292472 6136308 123 3626 0 0 0 0  0  0  0  0  0  386 2175  247  1  8 91
 0 0 0 9292268 6136256 123 3636 0 0 0 0  0  0  0  0  0  383 2171  242  1  8 91
 0 0 0 9292652 6136336 15 181 0 0  0  0  0  0  0  0  0  367  734   92  0  0 100
 0 0 0 9251756 6102504 278 5980 0 0 0 0  0  9  0  0  0  711 7346  538 17 11 72
 3 0 0 9197424 6042416 1074 6284 0 0 0 0 0  0  0  0  0  451 6792  156 60  8 32
 6 0 0 8798408 5854844 636 36255 0 0 0 0 0  0  0  0  0  548 7072  194 82 18  0
 5 0 0 8465748 5413180 356 39477 0 0 0 0 0  3  0  0  0  757 10946 239 81 19  0
 5 0 0 8794948 5753256 160 24271 0 0 0 0 0  0  0  0  0  473 6258  162 88 12  0
 4 0 0 8491600 5369656 273 14694 0 0 0 0 0  1  0  0  0  573 3960  169 90 10  0
 5 0 0 8620200 5612792 253 26744 0 0 0 0 0 38  0  0  0 4565 5061  324 83 17  0
 5 0 0 8592440 5523796 269 23951 0 0 0 0 0  0  0  0  0  479 6620  177 87 13  0
 5 0 0 8354060 5307704 336 34531 0 0 0 0 0  0  0  0  0  500 5525  206 87 13  0
 5 0 0 8294960 5383340 210 37182 0 0 0 0 0  1  0  0  0  539 6092  173 79 21  0
 5 0 0 8341672 5208716 98 11346 0 0 0 0  0  1  0  0  0  566 4264  180 90 10  0
 6 0 0 8567468 5537592 160 37792 0 0 0 0 0  1  0  0  0  569 7449  166 83 17  0
 4 0 0 8425760 5412184 384 36390 0 0 0 0 0 27  0  0  0 1409 4114  200 80 20  0
 5 0 0 8834056 5691160 497 6345 0 0 0 0  0  1  0  0  0  504 5113  169 92  8  0
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr cd s0 -- --   in   sy   cs us sy id
 5 0 0 8711484 5614988 77 9416 0 0 0  0  0  0  0  0  0  476 2961  158 93  7  0
 5 0 0 8590572 5495792 268 15561 0 0 0 0 0  0  0  0  0  552 3913  167 92  8  0
 4 0 0 8588912 5526932 69 18114 0 0 0 0  0  0  0  0  0  422 3385  120 90 10  0
 5 0 0 8815192 5676152 137 6139 0 0 0 0  0  2  0  0  0  859 4292  195 91  9  0
 5 0 0 8857968 5728948 656 6691 0 0 0 0  0 28  0  0  0 1637 5327  250 93  7  0
 5 0 0 8398872 5489728 138 33151 0 0 0 0 0  0  0  0  0  471 6662  152 88 12  0
 4 0 0 8581356 5490764 76 9084 0 0 0  0  0  0  0  0  0  868 8720  159 90 10  0
 5 0 0 8437824 5403200 210 22070 0 0 0 0 0  0  0  0  0  544 3754  171 89 11  0
