pic0: pic0=NB_ht_bus0_bandwidth,umask=0x0f
pic1: pic1=NB_ht_bus1_bandwidth,umask=0x0f
pic2: pic2=NB_ht_bus2_bandwidth,umask=0x0f,sys
   time cpu event      pic0      pic1      pic2 
  5.004   0  tick 4989464830         0 4989464474 
  5.004   2  tick         0 4798655309         0 
  5.004   1  tick 4989773239         0 4989773019 
  5.004   3  tick         0 4984436648         0 
 10.004   1  tick 4986662636         0 4986662630 
 10.004   2  tick         0 4986654721         0 
 10.004   3  tick         0 4986624548         0 
 10.004   0  tick 4986668904         0 4986668896 
 15.004   0  tick 4986672139         0 4986672143 
 15.004   2  tick         0 4986673316         0 
 15.004   1  tick 4986684871         0 4986684874 
 15.004   3  tick         0 4986671531         0 
 20.004   2  tick         0 4986669197         0 
 20.004   1  tick 4986661906         0 4986661908 
 20.004   0  tick 4986673467         0 4986673463 
 20.004   3  tick         0 4986675379         0 
 25.004   1  tick 4986670087         0 4986670081 
 25.004   2  tick         0 4986671631         0 
 25.004   0  tick 4986668524         0 4986668528 
 25.004   3  tick         0 4986667018         0 
 30.004   2  tick         0 4986669261         0 
 30.004   0  tick 4986672918         0 4986672913 
 30.004   3  tick         0 4986666030         0 
 30.004   1  tick 4986680647         0 4986680662 
 35.004   1  tick 4986655407         0 4986655397 
 35.004   2  tick         0 4986668844         0 
 35.004   0  tick 4986672505         0 4986672514 
 35.004   3  tick         0 4986672398         0 
 40.004   1  tick 4986670264         0 4986670258 
 40.004   2  tick         0 4986670424         0 
 40.004   0  tick 4986662773         0 4986662765 
 40.004   3  tick         0 4986671787         0 
 45.004   3  tick         0 4986664918         0 
 45.004   0  tick 4986676341         0 4986676346 
 45.004   1  tick 4986709758         0 4986709764 
 45.005   2  tick         0 4987429746         0 
 50.004   1  tick 4986631420         0 4986631415 
 50.004   2  tick         0 4985910574         0 
 50.004   0  tick 4986669286         0 4986669282 
 50.004   3  tick         0 4986671572         0 
 55.004   1  tick 4986669879         0 4986669884 
 55.004   2  tick         0 4986671854         0 
