time,offcore_req,l2_cache_miss,offcore_req_scaled,l2_cache_miss_scaled,Temp0,Temp1,Temp2,Ambient_Temp0,Temp3,Ambient_Temp1,Ambient_Temp2,Planar_Temp,Temp4,Temp5,Temp6,FAN_MOD_1A_RPM,FAN_MOD_2A_RPM,FAN_MOD_3A_RPM,FAN_MOD_4A_RPM,FAN_MOD_5A_RPM,FAN_MOD_6A_RPM,FAN_MOD_1B_RPM,FAN_MOD_2B_RPM,FAN_MOD_3B_RPM,FAN_MOD_4B_RPM,FAN_MOD_5B_RPM,FAN_MOD_6B_RPM,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_kbytes,disk_write_kbytes
10,3417598,2627477,0.3417598,0.2627477,58,61,37,29,35,26,14,38,27,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1642,1313.6,985.2,49.26,49.26,9,9.7
20,768169,618252,0.0768169,0.0618252,58,58,37,29,35,26,14,38,27,29,44,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1380,1104,828,41.4,41.4,0,0
30,4738812,3277171,0.4738812,0.3277171,58,60,37,28,35,26,14,38,27,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1571,1256.8,942.6,47.13,47.13,0,0
40,23550937,16210988,2.3550937,1.6210988,58,61,37,29,35,26,14,38,27,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1479,1183.2,887.4,44.37,44.37,0,25.4
50,12797969,9459992,1.2797969,0.9459992,56,61,37,29,35,26,14,38,27,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1633,1306.4,979.8,48.99,48.99,0,0
60,4446550,3330032,0.444655,0.3330032,58,61,37,29,35,26,14,38,27,29,44,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1370,1096,822,41.1,41.1,0,0
70,2029973,1281871,0.2029973,0.1281871,58,61,37,28,35,26,14,38,27,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1392,1113.6,835.2,41.76,41.76,0,16.6
80,1484071,1227031,0.1484071,0.1227031,58,58,37,29,35,26,14,38,27,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1512,1209.6,907.2,45.36,45.36,0,0
90,3929730,2851824,0.392973,0.2851824,55,61,37,28,35,26,14,38,27,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1389,1111.2,833.4,41.67,41.67,0,0
100,12551212,8549257,1.2551212,0.8549257,58,58,37,28,35,26,14,38,27,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1569,1255.2,941.4,47.07,47.07,0,18
