time ,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1, HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,c1c2missC3,Watts,Amps,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
295,43,49,34,44,3567.2,3645.6,9656,9656,1.43E+05,1.10E+06,1200335,216400,7.89E+04,21353,0.1431745,1.104756,1.200335,2.16E+00,7.89E-01,2.14E-01,2.14E-01,6.43E+03,1993,1143,1594.4,1195.8,59.79,65.769,0,0,0,0,0,0
300,43,49,34,44,3645.6,3645.6,9372,9656,7.78E+05,1.45E+07,10893592,216400,401582,21353,0.7783655,14.48036,10.893592,2.16E+00,4.02E+00,2.14E-01,2.14E-01,1.32E+05,1858,1143,1486.4,1114.8,55.74,61.314,0,0,0,0,0,0
305,43,49,34,44,3645.6,3645.6,9656,9372,9.93E+05,36754019,3.16E+07,2201517,401582,21353,0.9933235,36.754019,31.64714,2.20E+01,4.02E+00,2.14E-01,2.14E-01,5.21E+05,1865,1145,1492,1119,55.95,61.545,0,0,0,0,0,0
310,44,48,34,44,3645.6,3645.6,9656,9656,784046,63386437,7.21E+07,2201517,2.11E+07,21353,0.784046,63.386437,72.10293,2.20E+01,2.11E+02,2.14E-01,2.14E-01,6.40E+05,1862,1144,1489.6,1117.2,55.86,61.446,3.8,11.4,1350.7,70.3,135070,70300
315,44,49,34,44,3645.6,3645.6,9656,9656,1.04E+06,6.29E+07,107747234,1.78E+06,1.05E+07,21353,1.035957,62.8602,107.747234,1.78E+01,1.05E+02,2.14E-01,2.14E-01,2.09E+06,2008,1143,1606.4,1204.8,60.24,66.264,0,0,0,0,0,0
320,43,50,34,45,3567.2,3645.6,9656,9372,1.04E+06,1.44E+08,107747234,1.78E+06,1.05E+07,1.19E+07,1.035957,143.9441,107.747234,1.78E+01,1.05E+02,1.19E+02,1.19E+02,389797,2014,1142,1611.2,1208.4,60.42,66.462,0,0,0,0,0,0
325,43,50,34,44,3645.6,3567.2,9656,9372,1.04E+06,1.49E+08,107747234,1.78E+06,1.05E+07,5.13E+06,1.035957,149.4184,107.747234,1.78E+01,1.05E+02,5.13E+01,5.13E+01,346286,2014,1142,1611.2,1208.4,60.42,66.462,0,0,0,0,0,0
330,43,50,34,44,3645.6,3645.6,9656,9656,527939,1.06E+08,4.73E+07,3.27E+06,1.05E+07,1.75E+06,0.527939,105.682,47.3473,3.27E+01,1.05E+02,1.75E+01,1.75E+01,398817,2030,1143,1624,1218,60.9,66.99,0,0,0,0,0,0
335,44,49,34,45,3645.6,3645.6,9656,9656,1730942,9.40E+07,81192820,2.38E+06,1.05E+07,1.75E+06,1.730942,93.96595,81.19282,2.38E+01,1.05E+02,1.75E+01,1.75E+01,19721519,2019,1143,1615.2,1211.4,60.57,66.627,0,0,0,0,0,0
340,44,49,34,45,3645.6,3645.6,9656,9656,4.32E+05,9.60E+07,5.13E+07,2.12E+06,1.05E+07,6.68E+06,0.4322877,96.03739,51.25945,2.12E+01,1.05E+02,6.68E+01,6.68E+01,3.15E+05,2027,1143,1621.6,1216.2,60.81,66.891,0,29.2,0,1299.2,0,1299200
