Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1, HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
95,42,46,34,42,3645.6,3645.6,9656,9372,1502691,10207453,21013217,373088,2.40E+05,2.21E+05,1.82E+05,1.502691,10.207453,21.013217,3.73E+00,2.40E+00,2.21E+00,1.82E+00,2061.46,1127,1649.168794,123.6876596,61.84382979,61.84382979,0,15.2,0,70.5,0,72192
100,42,45,34,42,3724,3645.6,9656,9656,1502691,1.85E+07,21013217,373088,2.40E+05,188632,104796,1.502691,18.48728,21.013217,3.73E+00,2.40E+00,1.89E+00,1.05E+00,2060,1130,1648,123.6,61.8,61.8,0,1.2,0,0.8,0,819.2
105,42,45,34,42,3645.6,3645.6,9656,9656,766829,9.55E+06,9842796,373088,230765,188632,203172,0.766829,9.553576,9.842796,3.73E+00,2.31E+00,1.89E+00,2.03E+00,2103.83,1135,1683.06383,126.2297872,63.11489362,63.11489362,0,0,0,0,0,0
110,42,46,34,42,3645.6,3645.6,9372,9656,1513191,9.55E+06,20128419,373088,275630,188632,203172,1.513191,9.553576,20.128419,3.73E+00,2.76E+00,1.89E+00,2.03E+00,2070.23,1135,1656.18156,124.213617,62.10680851,62.10680851,0,0,0,0,0,0
115,42,45,34,42,3645.6,3645.6,9656,9656,1513191,18810772,20128419,373088,275630,412860,203172,1.513191,18.810772,20.128419,3.73E+00,2.76E+00,4.13E+00,2.03E+00,2055.62,1136,1644.493617,123.3370213,61.66851064,61.66851064,0,0,0,0,0,0
120,42,45,34,42,3645.6,3645.6,9656,9656,1513191,19746820,20128419,373088,275630,412860,197523,1.513191,19.74682,20.128419,3.73E+00,2.76E+00,4.13E+00,1.98E+00,2086.3,1133,1669.038298,125.1778723,62.58893617,62.58893617,0,0,0,0,0,0
125,42,45,34,42,3645.6,3567.2,9656,9372,1513191,18617388,20128419,373088,275630,412860,109186,1.513191,18.617388,20.128419,3.73E+00,2.76E+00,4.13E+00,1.09E+00,2076.07,1132,1660.856738,124.5642553,62.28212766,62.28212766,0,13.6,0,60.3,0,61747.2
130,42,45,34,42,3724,3645.6,9656,9656,7.56E+05,9.70E+06,9388653,373088,2.70E+05,412860,6.47E+04,0.7564195,9.703174,9.388653,3.73E+00,2.70E+00,4.13E+00,6.47E-01,2058.54,1134,1646.831206,123.5123404,61.75617021,61.75617021,0,1.2,0,0.8,0,819.2
135,43,45,34,42,3645.6,3645.6,9656,9656,5.10E+05,1.26E+07,6.20E+06,1.89E+05,2.70E+05,138469,1.22E+05,0.5096087,12.55644,6.195367,1.89E+00,2.70E+00,1.38E+00,1.22E+00,2062.92,1122,1650.337589,123.7753191,61.88765957,61.88765957,0,0,0,0,0,0
140,42,45,34,42,3645.6,3645.6,9656,9656,7.55E+05,9891017,10293572,1.89E+05,226282,138469,93633,0.7546175,9.891017,10.293572,1.89E+00,2.26E+00,1.38E+00,9.36E-01,2054.16,1130,1643.324823,123.2493617,61.62468085,61.62468085,0,0,0,0,0,0
145,43,45,34,42,3645.6,3645.6,9656,9656,7.64E+05,9160011,9154667,2.35E+05,226282,138469,115203,0.7639775,9.160011,9.154667,2.35E+00,2.26E+00,1.38E+00,1.15E+00,2065.84,1127,1652.675177,123.9506383,61.97531915,61.97531915,0,0,0,0,0,0
150,42,45,34,42,3645.6,3567.2,9656,9656,808431,1.01E+07,1.04E+07,2.35E+05,242653,138469,1.79E+05,0.808431,10.10891,10.41114,2.35E+00,2.43E+00,1.38E+00,1.79E+00,2095.06,1127,1676.051064,125.7038298,62.85191489,62.85191489,0,0,0,0,0,0
155,42,46,34,42,3645.6,3645.6,9656,9656,1499398,1.01E+07,20691000,2.35E+05,280928,138469,1.79E+05,1.499398,10.10891,20.691,2.35E+00,2.81E+00,1.38E+00,1.79E+00,2067.3,1135,1653.843972,124.0382979,62.01914894,62.01914894,0,10.6,0,61,0,62464
160,42,46,34,42,3645.6,3645.6,9656,9372,7.50E+05,9796923,9888978,2.59E+05,280928,138469,79783,0.7501525,9.796923,9.888978,2.59E+00,2.81E+00,1.38E+00,7.98E-01,2061.46,1134,1649.168794,123.6876596,61.84382979,61.84382979,0,1.2,0,0.8,0,819.2
165,42,46,34,42,3724,3567.2,9656,9656,754314,9877220,10183885,262463,280928,138469,1.29E+05,0.754314,9.87722,10.183885,2.62E+00,2.81E+00,1.38E+00,1.29E+00,2073.15,1134,1658.519149,124.3889362,62.19446809,62.19446809,0,0,0,0,0,0
170,42,45,34,42,3645.6,3645.6,9372,9656,762265,8.61E+06,9403510,2.36E+05,280928,138469,1.79E+05,0.762265,8.608802,9.40351,2.36E+00,2.81E+00,1.38E+00,1.79E+00,2060,1135,1648,123.6,61.8,61.8,0,0,0,0,0,0
175,42,46,34,42,3645.6,3645.6,9656,9656,7.51E+05,9707806,10305458,236065,280928,138469,1.35E+05,0.7511645,9.707806,10.305458,2.36E+00,2.81E+00,1.38E+00,1.35E+00,2077.53,1125,1662.025532,124.6519149,62.32595745,62.32595745,0,0,0,0,0,0
180,42,45,34,42,3645.6,3645.6,9656,9656,1630089,9707806,2.01E+07,2.73E+05,1.99E+05,138469,1.35E+05,1.630089,9.707806,20.11629,2.73E+00,1.99E+00,1.38E+00,1.35E+00,2111.13,1141,1688.907801,126.6680851,63.33404255,63.33404255,0,0,0,0,0,0
185,43,45,34,42,3645.6,3645.6,9656,9656,1630089,19792008,2.01E+07,2.73E+05,1.99E+05,410623,1.35E+05,1.630089,19.792008,20.11629,2.73E+00,1.99E+00,4.11E+00,1.35E+00,2156.43,1134,1725.140426,129.3855319,64.69276596,64.69276596,0,12,0,64.3,0,65843.2
