Time ambienttemp cpu0.dietemp cpu0.memtemp cpu1.dietemp cpu1.memtemp gbeth.temp hddbp.temp sp.temp fan1.tach fan2.tach fan3.tach fan4.tach fan5.tach fan6.tach
340 18 39.600 27 42 30.600 37.800 19.800 37.200 10020 10200 10440 9600 10860 10680
345 18 39.600 27 42 30.600 37.800 19.800 37.200 10020 10200 10440 9600 10860 10680
350 18 39.600 27 41.400 30.600 37.800 19.800 37.200 10020 10200 10380 9600 10920 10680
355 18 39.600 27 41.400 30.600 37.800 19.800 37.200 10020 10200 10380 9600 10920 10680
360 17.400 40.800 27 40.800 31.200 37.800 19.800 37.200 10020 10260 10440 9660 10860 10680
365 18 40.800 27 40.800 31.200 37.800 19.800 37.200 10020 10260 10440 9660 10860 10680
370 18 39.600 27 42 30.600 37.800 19.800 37.200 10020 10260 10440 9600 10860 10740
375 16.800 39.600 27 42 30.600 37.800 19.800 37.200 10020 10260 10440 9600 10860 10740
380 17.400 40.200 27 41.400 31.200 37.800 19.800 37.200 10020 10260 10380 9600 10860 10680
385 17.400 40.200 27 41.400 31.200 37.800 19.800 37.200 10020 10260 10380 9600 10860 10680
390 18 40.200 27 41.400 31.200 37.800 19.800 37.200 10020 10260 10380 9600 10860 10740
395 17.400 40.200 27 41.400 31.200 37.800 19.800 37.200 10020 10260 10380 9600 10860 10740
400 17.400 40.200 27 40.800 31.200 37.800 19.800 37.200 10020 10320 10440 9600 10860 10740
405 17.400 40.200 27 40.800 31.200 37.800 19.800 37.200 10020 10320 10440 9600 10860 10740
410 18 40.200 27 40.800 31.200 37.800 19.800 37.200 10020 10200 10440 9600 10860 10740
415 18 40.200 27 40.800 31.200 37.800 19.800 37.200 10020 10200 10440 9600 10860 10740
420 17.400 40.200 27 42 31.200 37.800 19.800 37.200 10020 10260 10440 9600 10860 10740
425 18 40.200 27 42 31.200 37.800 19.800 37.200 10020 10260 10440 9600 10860 10740
430 18 39.600 27 40.800 31.200 37.800 19.800 37.200 10020 10260 10380 9660 10860 10680
435 17.400 39.600 27 40.800 31.200 37.800 19.800 37.200 10020 10260 10380 9660 10860 10680
440 17.400 39 27 42 31.200 37.800 19.800 37.200 10020 10200 10440 9600 10860 10740
445 17.400 39 27 42 31.200 37.800 19.800 37.200 10020 10200 10440 9600 10860 10740
450 18 39.600 27 40.800 31.200 37.800 19.800 37.200 10080 10260 10440 9660 10860 10740
455 18 39.600 27 40.800 31.200 37.800 19.800 37.200 10080 10260 10440 9660 10860 10740
460 18 40.800 27 42 31.200 37.800 19.800 37.200 10020 10260 10440 9600 10860 10740
465 18 40.800 27 42 31.200 37.800 19.800 37.200 10020 10260 10440 9600 10860 10740
470 18 39.600 27 42 31.200 37.800 19.800 37.200 10020 10260 10440 9660 10860 10740
475 18 39.600 27 42 31.200 37.800 19.800 37.200 10020 10260 10440 9660 10860 10740
480 18 39.600 27 40.800 31.200 37.800 19.800 37.200 10020 10260 10440 9660 10860 10740
485 18 39.600 27 40.800 31.200 37.800 19.800 37.200 10020 10260 10440 9660 10860 10740
490 18 40.200 27 42 31.200 37.800 19.800 37.200 10020 10260 10440 9600 10860 10680
495 18 40.200 27 42 31.200 37.800 19.800 37.200 10260 10440 9600 10860 10680
500 18 40.200 27 42 31.200 37.800 19.800 37.200 10020 10260 10380 9660 10860 10680
505 18 40.200 27 42 31.200 37.800 19.800 37.200 10020 10260 10440 9660 10920
510 18 40.200 27 40.800 31.200 37.800 21 37.200 10020 10260 10440 9660 10920 10740
515 18 40.200 27 40.800 31.200 37.800 21 37.200 10020 10260 10440 9660 10860 10740
520 18.600 39.600 27 40.800 31.200 37.800 21 37.200 10020 10260 10440 9660 10860 10740
525 18 39.600 27 40.800 31.200 37.800 21 37.200 10080 10200 10440 9660 10860 10740
530 18 39.600 27 39.600 31.200 39 21 37.200 10080 10200 10440 9660 10860 10680
535 18 39.600 27 39.600 31.200 39 21 37.200 10020 10200 10440 9660 10860 10680
540 18 39 27 39 31.200 37.800 21 37.200 10020 10200 10440 9660 10860 10740
545 18 39 27 39 31.200 37.800 21 37.200 10080 10260 10440 9660 10860 10740
550 18 39 27 39 31.200 37.800 21 37.200 10080 10260 10440 9660 10860 10740
555 18 39 27 39 31.200 37.800 21 37.200 10020 10260 10380 9600 10860 10740
560 18 39 27 38.400 31.200 37.800 21 37.200 10020 10260 10380 9600 10860 10740
565 18 39 27 38.400 31.200 37.800 21 37.200 10020 10260 10440 9600 10920 10740
570 18.600 39 27 38.400 31.200 37.800 21 37.200 10020 10260 10440 9600 10920 10740
575 18.600 39 27 38.400 31.200 37.800 21 37.200 10020 10260 10440 9660 10860 10740
580 18 39 27 37.800 30.600 37.800 21 37.200 10020 10260 10440 9660 10860 10740
585 18 39 27 37.800 30.600 37.800 21 37.200 10020 10260 10380 9600 10860 10740
590 18 39 27 37.800 30.600 37.800 21 37.200 10020 10260 10380 9600 10860 10680
595 18 39 27 37.800 30.600 37.800 21 37.200 10020 10260 10440 9600 10860 10680
600 18 39 27 37.800 30.600 37.800 21 37.200 10020 10260 10440 9600 10860 10740
605 18 39 27 37.800 30.600 37.800 21 37.200 10020 10260 10380 9600 10860 10740
610 18 39 27 37.800 30.600 37.800 19.800 37.200 10020 10260 10380 9600 10860 10740
615 18 39 27 37.800 30.600 37.800 19.800 37.200 10020 10260 10440 9660 10860 10740
620 18 39 27 37.200 30.600 37.800 19.800 37.200 10020 10260 10440 9660 10860 10740
625 18 39 27 37.200 30.600 37.800 19.800 37.200 10020 10260 10440 9660 10860 10740
630 18 39 27 37.200 30.600 37.800 19.800 37.200 10020 10260 10440 9660 10860 10740
635 18 39 27 37.200 30.600 37.800 19.800 37.200 10020 10260 10440 9660 10860 10740
640 18 39 27 37.200 30.600 37.800 19.800 37.200 10020 10260 10440 9660 10860 10740
645 18 39 27 37.200 30.600 37.800 19.800 37.200 10020 10200 10440 9660 10860 10740
650 18 38.400 27 37.200 30.600 37.800 19.800 37.200 10020 10200 10440 9660 10860 10740
655 18 38.400 27 37.200 30.600 37.800 19.800 37.200 10020 10260 10440 9600 10860 10740
660 18 38.400 27 37.200 30 37.800 19.800 37.200 10020 10260 10440 9600 10860 10680
665 18 38.400 27 37.200 30 37.800 19.800 37.200 10020 10200 10440 9600 10860 10680
670 17.400 38.400 26.400 37.200 30 37.800 19.800 37.200 10020 10200 10440 9600 10860 10740
675 17.400 38.400 26.400 37.200 30 37.800 19.800 37.200 9960 10260 10380 9660 10860 10740
680 18 38.400 27 37.200 30 37.800 19.800 37.200 9960 10260 10380 9660 10860 10680
685 18 38.400 27 37.200 30 37.800 19.800 37.200 10020 10200 10440 9600 10860 10680
690 18 38.400 26.400 36.600 30 37.800 19.800 37.200 10020 10200 10440 9600 10860 10740
695 18 38.400 26.400 36.600 30 37.800 19.800 37.200 9960 10260 10380 9660 10860 10740
700 18 38.400 26.400 37.200 30 37.800 19.800 37.200 9960 10260 10380 9660 10860 10740
705 18 38.400 26.400 37.200 30 37.800 19.800 37.200 9960 10260 10380 9600 10860 10740
710 17.400 38.400 26.400 36.600 30 37.800 19.800 37.200 9960 10260 10380 9600 10860 10680
715 18 38.400 26.400 36.600 30 37.800 19.800 37.200 9960 10260 10380 9660 10920 10680
720 18 38.400 26.400 36.600 30 37.800 19.800 37.200 9960 10260 10380 9660 10920 10740
725 17.400 38.400 26.400 36.600 30 37.800 19.800 37.200 10020 10260 10380 9600 10920 10740
730 17.400 38.400 26.400 36.600 30 37.800 19.800 37.200 10020 10260 10380 9600 10920 10740
735 17.400 38.400 26.400 36.600 30 37.800 19.800 37.200 10020 10200 10380 9600 10860 10740
740 18 38.400 26.400 36.600 30 37.800 19.800 37.200 10020 10200 10380 9600 10860 10740
745 17.400 38.400 26.400 36.600 30 37.800 19.800 37.200 9960 10260 10380 9600 10860 10740
750 17.400 38.400 26.400 36.600 30 37.200 19.800 37.200 9960 10260 10380 9600 10860 10680
755 16.800 38.400 26.400 36.600 30 37.200 19.800 37.200 10020 10200 10380 9660 10920 10680
760 17.400 37.800 26.400 36.600 30 37.800 19.800 37.200 10020 10200 10380 9660 10920 10680
765 17.400 37.800 26.400 36.600 30 37.800 19.800 37.200 10020 10200 10380 9660 10860 10680
770 18 38.400 26.400 36.600 30 37.800 19.800 37.200 10020 10200 10380 9660 10860 10740
775 18 38.400 26.400 36.600 30 37.800 19.800 37.200 9960 10200 10380 9660 10860 10740
780 18 37.800 26.400 36.600 30 37.200 19.800 37.200 9960 10200 10380 9660 10860 10680
785 18 37.800 26.400 36.600 30 37.200 19.800 37.200 10020 10200 10380 9600 10860 10680
790 18 37.800 26.400 36.600 30 37.200 19.800 37.200 10020 10200 10380 9600 10860 10680
795 18 37.800 26.400 36.600 30 37.200 19.800 37.200 10020 10260 10380 9660 10860 10680
800 17.400 38.400 26.400 36.600 30 37.200 19.800 37.200 10020 10260 10380 9660 10860 10740
805 17.400 38.400 26.400 36.600 30 37.200 19.800 37.200 9960 10200 10380 9600 10860 10740
810 17.400 38.400 26.400 36.600 30 37.200 19.800 37.200 9960 10200 10380 9600 10860 10680
815 18 38.400 26.400 36.600 30 37.200 19.800 37.200 9960 10260 10380 9600 10860 10680
820 18 38.400 26.400 36.600 30 37.800 19.800 37.200 9960 10260 10380 9600 10860 10680
825 18 38.400 26.400 36.600 30 37.800 19.800 37.200 10020 10260 10440 9600 10860 10680
830 18 38.400 26.400 36.600 30 37.200 19.800 37.200 10020 10260 10440 9600 10860 10740
835 18 38.400 26.400 36.600 30 37.200 19.800 37.200 9960 10260 10380 9600 10860 10740
840 18 38.400 26.400 36.600 30 37.200 19.800 37.200 9960 10260 10380 9600 10860 10740
845 18 38.400 26.400 36.600 30 37.200 19.800 37.200 10020 10260 10380 9660 10920 10680
850 18 38.400 26.400 36.600 30 37.200 19.800 36 10020 10260 10380 9660 10920 10680
855 18 38.400 26.400 36.600 30 37.200 19.800 36 9960 10200 10440 9600 10860 10740
860 18 38.400 26.400 37.200 30 37.200 19.800 36 9960 10200 10440 9600 10860 10740
865 18 38.400 26.400 37.200 30 37.200 19.800 36 9960 10200 10380 9660 10860 10740
870 18 38.400 26.400 36.600 30 37.200 19.800 36 9960 10200 10380 9660 10860 10740
875 18 38.400 26.400 36.600 30 37.200 19.800 36 9960 10200 10440 9660 10860 10740
880 18 38.400 26.400 36.600 30 37.200 19.800 36 9960 10200 10440 9660 10860 10740
885 18 38.400 26.400 36.600 30 37.200 19.800 36 10020 10200 10380 9600 10860 10740
890 18 39 26.400 37.200 30 37.200 19.800 36 10020 10200 10380 9600 10860 10740
895 18 39 26.400 37.200 30 37.200 19.800 36 10020 10200 10440 9660 10920 10740
900 18 38.400 26.400 36.600 30 37.200 19.800 36 10020 10200 10440 9660 10920 10740
905 18 38.400 26.400 36.600 30 37.200 19.800 36 10020 10200 10380 9600 10860 10680
910 18 38.400 26.400 36.600 30 37.200 19.800 36 10020 10200 10380 9600 10860 10680
915 18 38.400 26.400 36.600 30 37.200 19.800 36 9960 10200 10440 9660 10860 10740
920 18 38.400 26.400 36.600 30 37.200 19.800 36 9960 10200 10440 9660 10860 10740
925 18 38.400 26.400 36.600 30 37.200 19.800 36 10020 10260 10440 9600 10860 10740
930 18 38.400 26.400 36.600 30 37.200 19.800 36 10020 10260 10440 9600 10860 10740
935 18 38.400 26.400 36.600 30 37.200 19.800 36 10020 10260 10380 9600 10920 10680
940 18 38.400 26.400 36.600 30 37.200 19.800 36 10020 10260 10380 9600 10920 10680
945 18 38.400 26.400 36.600 30 37.200 19.800 36 10020 10200 10440 9600 10920 10680
950 18 38.400 26.400 36.600 30 37.200 19.800 36 10200 10440 9600 10920 10680
955 18 38.400 26.400 36.600 30 37.200 19.800 36 10020 10200 10380 9600 10860 10680
960 18 38.400 26.400 36.600 30 37.200 19.800 36 10020 10200 10380 9600 10860 10680
965 18 38.400 26.400 36.600 30 37.200 19.800 36 10020 10260 10440 9660 10860 10680
