time,Temp0,Temp1,Planar_Temp,VRD_0_Temp,VRD_1_Temp,Fan_1,Fan_2A,Fan_2B,Fan_3A,Fan_3B,Fan_4A,Fan_4B,Fan_5A,Fan_5B,fsb,l2miss,fsb_scaled,l2miss_scaled,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
0,25,29,25,17,20,3150,7650,5325,7500,5400,7575,5250,8025,5250,2.28E+07,47022,2.28E+01,0.47022,2315,1852,1389,69.45,69.45,0.6,1.1,30.8,21.5,30800,21500
5,26,31,25,17,20,3150,7650,5325,7500,5400,7575,5250,7950,5325,8.76E+06,2.33E+05,8.76E+00,2.3295,1985,1588,1191,59.55,59.55,0,0,0,0,0,0
10,27,30,25,17,20,3150,7650,5325,7500,5400,7575,5325,7950,5250,1.21E+06,1.09E+06,1.21E+00,10.91,1430,1144,858,42.9,42.9,0,0,0,0,0,0
15,25,29,24,17,20,3150,7575,5325,7500,5325,7575,5250,8025,5250,5.21E+06,2.22E+05,5.21E+00,2.2178,1672,1337.6,1003.2,50.16,50.16,0,9.2,0,54.8,0,54800
20,25,30,24,17,20,3150,7650,5250,7500,5400,7575,5325,7950,5250,1.86E+07,40683,1.86E+01,0.40683,1940,1552,1164,58.2,58.2,0,0,0,0,0,0
25,28,30,24,17,20,3150,7650,5325,7500,5400,7575,5250,7950,5250,4.01E+06,3.69E+05,4.01E+00,3.6904,1419,1135.2,851.4,42.57,42.57,0,0,0,0,0,0
30,25,29,24,17,20,3150,7575,5250,7425,5325,7575,5250,8025,5325,1.95E+06,1.07E+06,1.95E+00,10.681,1421,1136.8,852.6,42.63,42.63,0,0,0,0,0,0
35,25,30,24,17,20,3150,7650,5250,7425,5400,7575,5325,7950,5325,5.60E+06,2.02E+05,5.60E+00,2.0152,1944,1555.2,1166.4,58.32,58.32,0,0,0,0,0,0
40,27,30,24,17,20,3150,7650,5325,7500,5400,7575,5250,8025,5250,2.18E+07,65037,2.18E+01,0.65037,1943,1554.4,1165.8,58.29,58.29,0,0,0,0,0,0
45,28,30,24,17,20,3225,7650,5250,7500,5400,7575,5325,7950,5250,3.93E+06,2.40E+05,3.93E+00,2.3998,1426,1140.8,855.6,42.78,42.78,0,19.8,0,151.3,0,151300
50,26,30,24,17,20,3150,7650,5250,7500,5400,7575,5325,8025,5250,1.26E+06,8.48E+05,1.26E+00,8.4808,1958,1566.4,1174.8,58.74,58.74,0,0,0,0,0,0
55,26,31,24,17,20,3225,7650,5325,7425,5400,7575,5250,8025,5250,4.31E+06,3.18E+05,4.31E+00,3.1835,1942,1553.6,1165.2,58.26,58.26,0,0,0,0,0,0
60,28,31,24,17,20,3150,7650,5325,7425,5400,7575,5250,8025,5250,1.78E+07,82934,1.78E+01,0.82934,1425,1140,855,42.75,42.75,0,0,0,0,0,0
65,25,30,24,17,20,3150,7650,5325,7500,5400,7575,5250,7950,5250,8.30E+06,2.34E+05,8.30E+00,2.3375,1944,1555.2,1166.4,58.32,58.32,0,0,0,0,0,0
70,27,30,24,17,20,3150,7650,5325,7500,5400,7575,5325,7950,5250,1.10E+06,6.05E+05,1.10E+00,6.0477,1962,1569.6,1177.2,58.86,58.86,0,0,0,0,0,0
75,26,32,24,17,20,3150,7650,5250,7425,5400,7575,5325,7950,5250,7.11E+06,1.15E+05,7.11E+00,1.1489,1423,1138.4,853.8,42.69,42.69,0,10.2,0,34.3,0,34300
80,26,30,24,17,20,3150,7650,5325,7500,5400,7650,5325,7950,5250,1.55E+07,32096,1.55E+01,0.32096,1963,1570.4,1177.8,58.89,58.89,0,0,0,0,0,0
85,26,30,24,17,20,3150,7650,5250,7425,5400,7650,5325,7950,5250,4.39E+06,1.81E+05,4.39E+00,1.8118,1968,1574.4,1180.8,59.04,59.04,0,0,0,0,0,0
90,26,33,24,17,20,3225,7650,5325,7425,5400,7650,5250,7950,5250,6.24E+06,1.19E+06,6.24E+00,11.942,1428,1142.4,856.8,42.84,42.84,0,0,0,0,0,0
95,25,30,24,17,20,3150,7575,5250,7425,5400,7575,5325,8025,5325,6.08E+06,4.46E+05,6.08E+00,4.4621,1763,1410.4,1057.8,52.89,52.89,0,0,0,0,0,0
100,26,30,24,17,20,3150,7650,5325,7500,5400,7575,5250,8025,5250,1.69E+07,56044,1.69E+01,0.56044,1944,1555.2,1166.4,58.32,58.32,0,0,0,0,0,0
105,27,31,24,17,20,3150,7575,5325,7500,5400,7575,5250,7950,5250,3.88E+06,2.78E+05,3.88E+00,2.7819,1420,1136,852,42.6,42.6,0,10.8,0,36.9,0,36900
110,26,30,24,17,20,3150,7575,5250,7500,5325,7575,5325,7950,5250,2.35E+05,5.59E+05,2.35E-01,5.5893,1426,1140.8,855.6,42.78,42.78,0,0,0,0,0,0
115,26,30,24,17,20,3150,7650,5250,7425,5400,7575,5325,7950,5250,4.96E+06,2.13E+05,4.96E+00,2.1325,1952,1561.6,1171.2,58.56,58.56,0,0,0,0,0,0
120,28,31,24,17,20,3225,7650,5250,7425,5400,7575,5325,7950,5325,2.84E+07,1.75E+05,2.84E+01,1.7526,1422,1137.6,853.2,42.66,42.66,0,0,0,0,0,0
125,26,30,24,17,20,3150,7575,5250,7425,5325,7575,5250,7950,5250,7.96E+05,3.18E+05,7.96E-01,3.1848,1429,1143.2,857.4,42.87,42.87,0,0,0,0,0,0
130,26,30,24,17,20,3150,7650,5250,7425,5400,7575,5325,7950,5250,5.27E+06,4.41E+05,5.27E+00,4.4099,1423,1138.4,853.8,42.69,42.69,0,0,0,0,0,0
135,26,30,24,17,20,3150,7575,5250,7425,5400,7575,5325,8025,5250,7.97E+06,25012,7.97E+00,0.25012,1438,1150.4,862.8,43.14,43.14,0,10.4,0,39.3,0,39300
140,26,30,24,17,20,3225,7575,5250,7500,5400,7575,5250,7950,5250,1.64E+07,1.77E+05,1.64E+01,1.7733,1436,1148.8,861.6,43.08,43.08,0,0,0,0,0,0
145,26,30,24,17,20,3150,7650,5325,7425,5400,7575,5250,7950,5325,2.03E+06,4.49E+05,2.03E+00,4.4891,1421,1136.8,852.6,42.63,42.63,0,0,0,0,0,0
150,26,30,24,17,20,3150,7650,5325,7500,5400,7575,5250,7950,5325,5.21E+06,5.18E+05,5.21E+00,5.1837,1414,1131.2,848.4,42.42,42.42,0,0,0,0,0,0
155,26,30,24,17,20,3150,7575,5325,7425,5400,7575,5250,8025,5325,8.91E+06,25771,8.91E+00,0.25771,1417,1133.6,850.2,42.51,42.51,0,0,0,0,0,0
160,26,30,24,17,20,3150,7575,5325,7500,5400,7575,5250,8025,5325,1.31E+07,2.50E+05,1.31E+01,2.4979,1419,1135.2,851.4,42.57,42.57,0,0,0,0,0,0
165,26,30,24,17,20,3150,7650,5325,7500,5400,7575,5250,7950,5250,3.69E+06,5.67E+05,3.69E+00,5.666,1429,1143.2,857.4,42.87,42.87,0,12.8,0,57.4,0,57400
170,26,30,24,17,20,3150,7650,5325,7500,5400,7575,5250,8025,5325,5.65E+06,7.74E+05,5.65E+00,7.7437,1420,1136,852,42.6,42.6,0,0,0,0,0,0
175,25,30,24,17,20,3150,7650,5250,7425,5400,7575,5250,7950,5325,1.38E+07,59043,1.38E+01,0.59043,1423,1138.4,853.8,42.69,42.69,0,0,0,0,0,0
180,25,30,24,17,20,3150,7650,5325,7425,5400,7575,5250,7950,5325,2.49E+07,3.10E+05,2.49E+01,3.097,1423,1138.4,853.8,42.69,42.69,0,0,0,0,0,0
185,26,30,24,16,20,3150,7650,5250,7500,5400,7575,5325,7950,5250,3.88E+05,3.13E+05,3.88E-01,3.1282,1427,1141.6,856.2,42.81,42.81,0,0,0,0,0,0
190,25,30,24,16,20,3150,7575,5250,7500,5400,7575,5250,7950,5250,5.49E+06,5.39E+05,5.49E+00,5.3927,1423,1138.4,853.8,42.69,42.69,0,0,0,0,0,0
195,25,30,24,16,20,3225,7650,5325,7425,5400,7575,5250,7950,5325,1.33E+07,23206,1.33E+01,0.23206,1423,1138.4,853.8,42.69,42.69,0,11,0,45.6,0,45600
200,26,30,24,16,20,3150,7650,5325,7500,5400,7650,5250,7950,5250,6.40E+06,4.72E+05,6.40E+00,4.7178,1422,1137.6,853.2,42.66,42.66,0,0,0,0,0,0
205,25,30,24,16,20,3150,7650,5250,7425,5400,7575,5325,7950,5250,3.68E+06,1.09E+06,3.68E+00,10.937,1428,1142.4,856.8,42.84,42.84,0,0,0,0,0,0
210,26,30,24,16,20,3150,7650,5250,7425,5400,7575,5325,7950,5250,7.72E+06,1.10E+06,7.72E+00,11.049,1428,1142.4,856.8,42.84,42.84,0,0,0,0,0,0
215,25,30,24,16,20,3150,7650,5250,7425,5400,7575,5325,7950,5250,2.30E+07,1.64E+05,2.30E+01,1.64,1425,1140,855,42.75,42.75,0,0,0,0,0,0
220,25,30,24,16,20,3150,7575,5250,7425,5325,7500,5325,7950,5325,1.71E+07,1.88E+05,1.71E+01,1.8838,1428,1142.4,856.8,42.84,42.84,0,0,0,0,0,0
225,25,30,24,16,20,3150,7650,5325,7500,5400,7575,5250,8025,5325,3.32E+06,4.16E+05,3.32E+00,4.1606,1421,1136.8,852.6,42.63,42.63,0,10.8,0,48.2,0,48200
230,26,30,24,16,19,3150,7650,5325,7425,5400,7575,5250,7950,5250,7.82E+06,3.00E+05,7.82E+00,2.9987,1419,1135.2,851.4,42.57,42.57,0,0,0,0,0,0
