Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,time , HT0, HT1, HT2, c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,Watts,Amps,Volts,InputDCPwr,AllPwrExtBd,ProcPwr,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
0,41,47,33,42,3645.6,3645.6,9372,9372,5,774275,8.42E+06,1.20E+07,0,2.72E+05,1.76E+05,0,0.774275,8.415048,12.00024,0.00E+00,2.72E+00,1.76E+00,0.00E+00,1943,1144,2222.792,1555.9544,1244.76352,62.238176,0.2,0.3,12.5,3.3,12500,3300
5,41,46,33,43,3645.6,3645.6,9656,9656,10,7.84E+05,9396770,9588465,0,1.16E+05,1.76E+05,206947,0.7839755,9.39677,9.588465,0.00E+00,1.16E+00,1.76E+00,2.07E+00,1858,1146,2129.268,1490.4876,1192.39008,59.619504,0,0,0,0,0,0
10,41,46,33,42,3645.6,3567.2,9372,9656,15,798793,12970277,10442356,0,306509,1.76E+05,2.07E+05,0.798793,12.970277,10.442356,0.00E+00,3.07E+00,1.76E+00,2.07E+00,1851,1145,2119.395,1483.5765,1186.8612,59.34306,0,0,0,0,0,0
15,41,46,33,43,3645.6,3645.6,9656,9656,20,816284,9611251,8.58E+06,266632,306509,1.85E+05,2.07E+05,0.816284,9.611251,8.575776,2.67E+00,3.07E+00,1.85E+00,2.07E+00,1848,1145,2115.96,1481.172,1184.9376,59.24688,0,0,0,0,0,0
20,41,46,33,42,3724,3645.6,9656,9656,25,784291,8992502,9084532,266632,1.19E+05,2.10E+05,2.07E+05,0.784291,8.992502,9.084532,2.67E+00,1.19E+00,2.10E+00,2.07E+00,1857,1145,2126.265,1488.3855,1190.7084,59.53542,0,10.8,0,37.3,0,37300
25,41,46,33,42,3645.6,3567.2,9656,9372,30,1.03E+06,15856994,14665095,266632,4.34E+05,2.10E+05,1.30E+05,1.025746,15.856994,14.665095,2.67E+00,4.34E+00,2.10E+00,1.30E+00,1883,1146,2157.918,1510.5426,1208.43408,60.421704,0,0,0,0,0,0
30,41,46,33,43,3645.6,3645.6,9656,9656,35,7.84E+05,9796997,9004826,230789,4.34E+05,2.09E+05,1.30E+05,0.7841505,9.796997,9.004826,2.31E+00,4.34E+00,2.09E+00,1.30E+00,1876,1145,2148.02,1503.614,1202.8912,60.14456,0,0,0,0,0,0
35,41,46,33,43,3645.6,3645.6,9656,9372,40,7.98E+05,9.38E+06,8443052,2.66E+05,4.34E+05,189686,1.30E+05,0.7977095,9.37859,8.443052,2.66E+00,4.34E+00,1.90E+00,1.30E+00,1874,1145,2145.73,1502.011,1201.6088,60.08044,0,0,0,0,0,0
40,41,46,33,42,3645.6,3645.6,9372,9656,45,6.98E+05,6553506,8.79E+06,1.04E+05,215485,189686,50124,0.6977043,6.553506,8.791857,1.04E+00,2.15E+00,1.90E+00,5.01E-01,1877,1145,2149.165,1504.4155,1203.5324,60.17662,0,0,0,0,0,0
45,41,46,33,43,3645.6,3645.6,9656,9656,50,460445,5422921,4.80E+06,1.04E+05,1.42E+05,103860,50124,0.460445,5.422921,4.804514,1.04E+00,1.42E+00,1.04E+00,5.01E-01,1918,1143,2192.274,1534.5918,1227.67344,61.383672,0,0,0,0,0,0
50,41,46,33,42,3645.6,3645.6,9656,9656,55,783970,9.66E+06,8.76E+06,1.04E+05,1.92E+05,103860,100783,0.78397,9.658898,8.758042,1.04E+00,1.92E+00,1.04E+00,1.01E+00,1886,1146,2161.356,1512.9492,1210.35936,60.517968,0,13.2,0,48.7,0,48700
55,41,46,33,43,3567.2,3645.6,9656,9656,60,7.82E+05,13893531,1.07E+07,1.04E+05,353960,103860,189296,0.7819015,13.893531,10.71578,1.04E+00,3.54E+00,1.04E+00,1.89E+00,1863,1145,2133.135,1493.1945,1194.5556,59.72778,0,0,0,0,0,0
60,41,46,33,42,3645.6,3645.6,9656,9656,65,7.94E+05,9.58E+06,8724869,2.28E+05,353960,2.07E+05,189296,0.7935135,9.578778,8.724869,2.28E+00,3.54E+00,2.07E+00,1.89E+00,1855,1145,2123.975,1486.7825,1189.426,59.4713,0,0,0,0,0,0
65,41,46,33,43,3645.6,3645.6,9656,9656,70,5.34E+05,1.29E+07,5853507,2.28E+05,148521,126908,7.20E+04,0.5336193,12.94812,5.853507,2.28E+00,1.49E+00,1.27E+00,7.20E-01,1856,1145,2125.12,1487.584,1190.0672,59.50336,0,0,0,0,0,0
70,41,47,33,43,3645.6,3567.2,9656,9656,75,7.93E+05,12755346,10071951,2.28E+05,314983,126908,198125,0.7927055,12.755346,10.071951,2.28E+00,3.15E+00,1.27E+00,1.98E+00,1856,1145,2125.12,1487.584,1190.0672,59.50336,0,0,0,0,0,0
75,41,47,33,42,3645.6,3645.6,9656,9656,80,8.24E+05,1.01E+07,9108190,2.38E+05,314983,126908,118949,0.8241705,10.11711,9.10819,2.38E+00,3.15E+00,1.27E+00,1.19E+00,1863,1146,2134.998,1494.4986,1195.59888,59.779944,0,0,0,0,0,0
