Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,c1c2missC0,c1c2missC1,c1c2missC2,c1c2missC3,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,disk_read_count,disk_write_count,disk_read_kbytes,disk_write_kbytes,disk_read_bytes,disk_write_bytes
100,43,45,34,43,3567.2,3567.2,8662,8449,1555605,1555605,1555605,12738877,12738508,12738692.5,14595662,14595998,14595830,495869,384058,319996,186734,207.1,114.6,1.71,155.33,124.26,62.13,1.56,12.74,14.6,4.96,3.84,3.2,1.87,0,0.4,0,2.4,0,2457.6
105,43,46,34,43,3488.8,3567.2,8662,8449,1547095,1547013,1547054,16519752,16520013,16519882.5,21381972,21372313,21377142.5,394564,215737,412998,754076,207,114.5,1.66,155.25,124.2,62.1,1.55,16.52,21.38,3.95,2.16,4.13,7.54,0,0.2,0,1.6,0,1638.4
110,43,46,34,43,3567.2,3645.6,8662,8236,1543855,1543937,1543896,14855263,14855253,14855258,18093721,18103843,18098782,453933,400360,372376,286000,207.2,114.7,1.66,155.4,124.32,62.16,1.54,14.86,18.1,4.54,4,3.72,2.86,0,1,0,3.8,0,3891.2
115,43,46,34,43,3488.8,3645.6,8662,8449,1519461,1519461,1519461,14534213,14533681,14533947,17554457,17553565,17554011,414383,219605,421044,340204,207.2,114.7,1.66,155.4,124.32,62.16,1.52,14.53,17.55,4.14,2.2,4.21,3.4,0,0.2,0,0.2,0,204.8
120,43,46,34,43,3488.8,3567.2,8449,8236,1550131,1550131,1550131,14086840,14086558,14086699,16800794,16809177,16804985.5,417957,170119,416373,366109,207.2,114.8,1.66,155.4,124.32,62.16,1.55,14.09,16.8,4.18,1.7,4.16,3.66,0,0.2,0,1.9,0,1945.6
125,43,46,34,43,3567.2,3567.2,8449,8236,1534883,1534883,1534883,14352925,14352917,14352921,17749415,17741859,17745637,377325,212284,403918,428221,207.3,114.7,1.66,155.48,124.38,62.19,1.53,14.35,17.75,3.77,2.12,4.04,4.28,0,0,0,0,0,0
130,43,46,34,43,3645.6,3567.2,8662,8236,1540016,1540016,1540016,13757021,13757254,13757137.5,16750650,16750619,16750634.5,410333,172474,407638,372604,207.4,114.7,1.66,155.55,124.44,62.22,1.54,13.76,16.75,4.1,1.72,4.08,3.73,0,0.2,0,2.6,0,2662.4
135,43,46,34,43,3645.6,3567.2,8662,8236,1545668,1545614,1545641,16319654,16318203,16318928.5,20851032,20844674,20847853,397905,247340,368616,778693,207.5,114.7,1.66,155.63,124.5,62.25,1.55,16.32,20.85,3.98,2.47,3.69,7.79,0,0.2,0,1.6,0,1638.4
140,43,46,34,43,3567.2,3567.2,8662,8236,816935,816965,816950,4166926,4131922,4149424,5799596,5805835,5802715.5,76328,41585,74657,154345,207.6,114.6,1.67,155.7,124.56,62.28,0.82,4.15,5.8,0.76,0.42,0.75,1.54,0,1.2,0,4.8,0,4915.2
145,43,46,34,43,3567.2,3567.2,8662,8449,944683,944707,944695,14015730,14050763,14033246.5,16722517,16721135,16721826,388404,216743,363476,355664,207.1,114.7,1.7,155.33,124.26,62.13,0.94,14.03,16.72,3.88,2.17,3.63,3.56,0,0,0,0,0,0
150,43,46,34,43,3567.2,3567.2,8449,8236,1528563,1528580,1528571.5,15090233,15091319,15090776,18577559,18586704,18582131.5,366581,180278,447320,375033,207.1,114.7,1.69,155.33,124.26,62.13,1.53,15.09,18.58,3.67,1.8,4.47,3.75,0,0.4,0,3.5,0,3584
155,44,46,34,43,3567.2,3567.2,8449,8236,1533412,1533395,1533403.5,14750934,14751159,14751046.5,18111079,18103279,18107179,372175,239680,416044,380836,207.1,114.7,1.66,155.33,124.26,62.13,1.53,14.75,18.11,3.72,2.4,4.16,3.81,0,0,0,0,0,0
160,44,46,34,43,3567.2,3567.2,8449,8449,1531013,1531013,1531013,13785703,13783082,13784392.5,16874265,16872639,16873452,376609,224774,405400,363036,207.2,114.7,1.66,155.4,124.32,62.16,1.53,13.78,16.87,3.77,2.25,4.05,3.63,0,0.2,0,2.3,0,2355.2
165,43,45,34,43,3488.8,3567.2,8662,8449,1546306,1546306,1546306,16342186,16346709,16344447.5,21397650,21405907,21401778.5,446111,183177,414535,766721,207.2,114.8,1.66,155.4,124.32,62.16,1.55,16.34,21.4,4.46,1.83,4.15,7.67,0,0,0,0,0,0
170,43,46,34,43,3567.2,3567.2,8662,8449,1541565,1541565,1541565,13486743,13484984,13485863.5,16022020,16015559,16018789.5,496120,368312,314887,236547,207.3,114.8,1.66,155.48,124.38,62.19,1.54,13.49,16.02,4.96,3.68,3.15,2.37,0,1,0,3.8,0,3891.2
175,43,46,34,43,3567.2,3567.2,8662,8236,1553083,1553083,1553083,12960351,12957922,12959136.5,14902858,14902061,14902459.5,510016,372339,323957,196736,207.4,114.7,1.66,155.55,124.44,62.22,1.55,12.96,14.9,5.1,3.72,3.24,1.97,0,0.2,0,0.4,0,409.6
180,43,46,34,43,3567.2,3567.2,8662,8236,1536753,1536683,1536718,13194143,13197823,13195983,15201430,15194147,15197788.5,504156,378550,334327,167777,207.5,114.8,1.66,155.63,124.5,62.25,1.54,13.2,15.2,5.04,3.79,3.34,1.68,0,0,0,0,0,0
185,43,46,34,43,3488.8,3567.2,8449,8236,1524881,1524951,1524916,14911436,14908950,14910193,18255802,18263751,18259776.5,388435,169712,429893,422940,207.6,114.7,1.66,155.7,124.56,62.28,1.52,14.91,18.26,3.88,1.7,4.3,4.23,0,0,0,0,0,0
190,43,46,34,43,3567.2,3567.2,8662,8236,439970,439941,439955.5,4065686,4044471,4055078.5,4950023,4950108,4950065.5,77752,21161,77558,119294,207.4,114.7,1.66,155.55,124.44,62.22,0.44,4.06,4.95,0.78,0.21,0.78,1.19,0,0.4,0,2.3,0,2355.2
195,44,46,34,43,3567.2,3645.6,8449,8236,1333440,1333469,1333454.5,16368214,16391556,16379885,21696749,21702789,21699769,418242,163693,400996,772351,207,114.7,1.73,155.25,124.2,62.1,1.33,16.38,21.7,4.18,1.64,4.01,7.72,0,0,0,0,0,0
200,44,46,34,43,3567.2,3645.6,8449,8449,1539637,1539637,1539637,13793100,13791823,13792461.5,17293452,17286659,17290055.5,414119,182315,414232,379401,207.1,114.8,1.66,155.33,124.26,62.13,1.54,13.79,17.29,4.14,1.82,4.14,3.79,0,1.2,0,5.2,0,5324.8
205,43,46,34,43,3567.2,3567.2,8449,8449,1533304,1533304,1533304,14863756,14863471,14863613.5,17659238,17659302,17659270,397069,245205,403614,350885,207.1,114.8,1.67,155.33,124.26,62.13,1.53,14.86,17.66,3.97,2.45,4.04,3.51,0,0.2,0,0.4,0,409.6
