Time Temp Temp Planar_Temp VRD_0_Temp VRD_1_Temp Fan_1 Fan_2A Fan_2B Fan_3A Fan_3B Fan_4A Fan_4B Fan_5A Fan_5B Fan_Redundancy
0 25 28 23 17 19 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
8 25 28 23 17 19 3150 7575 5250 7425 5400 7575 5250 7950 5325 54h
16 26 28 23 17 19 3075 7575 5250 7425 5325 7575 5250 7875 5250 54h
24 26 28 23 17 19 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
32 26 29 23 17 19 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
40 26 29 23 17 19 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
48 26 29 23 17 19 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
56 26 29 23 17 19 3150 7575 5325 7425 5400 7575 5325 7950 5250 54h
64 26 29 23 17 19 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
72 27 32 23 17 19 3150 7575 5250 7425 5325 7575 5250 7875 5250 54h
80 30 31 23 17 19 3150 7650 5250 7500 5325 7575 5250 7875 5250 54h
88 27 31 23 17 19 3150 7575 5250 7425 5400 7500 5250 7950 5250 54h
96 27 33 24 17 20 3150 7500 5250 7425 5400 7500 5250 7950 5250 54h
104 29 32 24 17 20 3150 7500 5250 7425 5325 7575 5250 7950 5325 54h
112 26 30 24 17 20 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
120 26 30 24 17 20 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
128 26 30 24 17 20 3150 7575 5325 7500 5325 7575 5325 7875 5250 54h
136 26 30 24 17 20 3150 7575 5250 7425 5400 7500 5250 7950 5325 54h
144 26 30 24 17 19 3150 7575 5250 7425 5400 7575 5325 7875 5250 54h
152 26 29 24 17 19 3150 7575 5325 7425 5400 7575 5250 7950 5250 54h
160 26 29 24 17 19 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
168 26 29 24 17 19 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
176 25 29 24 17 19 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
184 26 29 24 17 19 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
192 25 29 24 17 19 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
200 26 32 24 17 19 3150 7575 5250 7425 5325 7575 5250 7950 5325 54h
208 29 31 24 17 19 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
216 26 32 24 17 19 3150 7575 5325 7500 5325 7575 5325 7950 5250 54h
224 29 30 24 17 19 3150 7575 5325 7500 5325 7575 5250 7950 5250 54h
232 28 32 24 17 19 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
240 26 30 23 17 19 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
248 26 29 23 17 19 3150 7500 5250 7500 5325 7500 5250 7950 5250 54h
256 26 34 23 17 19 3150 7575 5250 7425 5325 7575 5250 7950 5250 54h
264 32 33 23 17 19 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
272 34 32 24 17 19 3075 7575 5250 7500 5400 7575 5250 7875 5250 54h
280 34 40 24 17 20 3150 7575 5250 7425 5400 7575 5250 7875 5325 54h
