Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0Scaled,HT1Scaled,HT2Scaled,cmiss_core0_scaled,cmiss_core1_scaled,cmiss_core2_scaled,cmiss_core3_scaled,ProcPwr,disk_read_kbytes,disk_write_kbytes
0,88,90.38461538,92.10526316,91.66666667,97.84946237,100,97.6,97.4789916,61.37498688,4.068512482,3.822022637,0.469851491,0.385735192,0.275158811,0.518380888,0.882327952,100,1.527777778
5,88,90.38461538,92.10526316,93.75,97.84946237,100,97.6,100,61.21340193,3.732829748,3.248368548,0.284967686,0.16442361,0.305036504,0.591457182,0.882327952,0,0
10,88,90.38461538,92.10526316,91.66666667,97.84946237,97.84946237,95.2,97.4789916,62.41130261,3.465260981,2.61793534,0.321863703,0.161889541,0.306663716,0.411579579,0.882752761,0,0.277777778
15,88,90.38461538,92.10526316,91.66666667,97.84946237,97.84946237,95.2,100,61.37654982,4.291439612,4.245732954,0.290157893,0.192913855,0.314582166,0.808548833,0.88317757,0,0
20,88,90.38461538,92.10526316,91.66666667,97.84946237,97.84946237,97.6,97.4789916,61.62057034,3.44476798,2.605257741,0.353657901,0.109413454,0.3400443,0.389647811,0.881053526,0,6.111111111
25,88,90.38461538,92.10526316,91.66666667,97.84946237,97.84946237,95.2,97.4789916,62.05102269,3.313263291,2.354476542,0.365682651,0.285335246,0.275198598,0.219688691,0.880628717,0,0
30,88,88.46153846,92.10526316,93.75,97.84946237,97.84946237,95.2,97.4789916,61.77133486,3.723780363,2.888870183,0.349056948,0.30673292,0.236523078,0.471694353,0.881053526,0,0
35,90,88.46153846,92.10526316,93.75,97.84946237,97.84946237,95.2,100,61.93416215,3.625359508,2.928791161,0.377739252,0.245527936,0.255917271,0.432986414,0.881478335,0,1.388888889
40,88,90.38461538,92.10526316,91.66666667,100,97.84946237,97.6,97.4789916,52.70262039,2.459295475,1.880107488,0.171294349,0.134362901,0.207104155,0.258912683,0.881903144,0,0.833333333
45,88,90.38461538,92.10526316,91.66666667,100,100,95.2,97.4789916,17.63592251,2.736336029,3.075150427,0.162068553,0.106940541,0.146578197,0.642239582,0.882327952,0,0
50,90,90.38461538,92.10526316,93.75,97.84946237,97.84946237,95.2,100,62.13926923,5.865529705,4.263110618,0.34907367,1.181843752,0.359557042,0.394196578,0.882752761,0,3.472222222
55,88,88.46153846,92.10526316,91.66666667,97.84946237,97.84946237,95.2,100,61.3858073,3.47921348,2.41004783,0.368480808,0.263751751,0.25985782,0.246700081,0.882752761,0,2.222222222
60,90,88.46153846,92.10526316,93.75,97.84946237,97.84946237,95.2,100,61.45962661,3.832208899,3.060850744,0.349826959,0.275623928,0.25406108,0.526223318,0.88317757,0,0
65,88,90.38461538,92.10526316,93.75,97.84946237,97.84946237,97.6,97.4789916,61.66549512,3.764717859,2.964200195,0.377976545,0.266375203,0.262067223,0.382555286,0.883602379,0,2.222222222
70,88,88.46153846,92.10526316,93.75,95.69892473,97.84946237,95.2,97.4789916,60.86486417,3.618260832,2.503324736,0.334273856,0.305938671,0.259898419,0.256853404,0.881053526,0,1.666666667
75,88,90.38461538,92.10526316,93.75,97.84946237,97.84946237,97.6,97.4789916,62.14091233,4.329854067,4.081661861,0.34817466,0.254853499,0.261213018,0.723410905,0.881478335,0,0
80,88,90.38461538,92.10526316,93.75,97.84946237,97.84946237,97.6,100,60.92726193,3.713635982,2.784419009,0.3148062,0.17709866,0.316832168,0.398464131,0.881478335,0,3.333333333
85,88,90.38461538,92.10526316,93.75,97.84946237,100,95.2,100,61.70292576,3.468860451,2.603262342,0.300027886,0.16682047,0.305483906,0.406299654,0.881478335,0,0
90,90,90.38461538,92.10526316,93.75,97.84946237,97.84946237,95.2,97.4789916,37.49261607,2.980692872,2.604988233,0.34107575,0.172965117,0.202755179,0.427914686,0.881903144,0,0
95,88,90.38461538,92.10526316,91.66666667,97.84946237,97.84946237,97.6,97.4789916,33.2967376,2.204626451,1.912610741,0.179309787,0.153122226,0.106752911,0.31152347,0.882327952,0,6.666666667
100,90,90.38461538,92.10526316,93.75,100,100,97.6,97.4789916,62.57232649,3.409294557,2.456926144,0.395272723,0.224072243,0.283032601,0.278997317,0.882327952,0,1.666666667
105,88,90.38461538,92.10526316,91.66666667,97.84946237,97.84946237,97.6,100,61.41630485,4.25340114,3.961888855,0.355346033,0.272427331,0.252208949,0.697221451,0.88317757,0,0
110,88,90.38461538,92.10526316,91.66666667,97.84946237,97.84946237,97.6,100,61.829164,3.408151982,2.329593429,0.349842884,0.296257147,0.229160837,0.300870869,0.883602379,0,4.027777778
115,88,90.38461538,92.10526316,93.75,97.84946237,97.84946237,97.6,97.4789916,61.54578921,3.451475586,2.606128971,0.310432985,0.146445989,0.308009983,0.424203642,0.882752761,0,0
120,90,90.38461538,92.10526316,93.75,97.84946237,97.84946237,97.6,97.4789916,61.5336463,4.055365564,3.502935206,0.32058566,0.137526568,0.340365845,0.650717458,0.881478335,0,0
125,88,90.38461538,92.10526316,93.75,97.84946237,97.84946237,95.2,97.4789916,62.36397329,3.726503232,3.064221787,0.32450101,0.15034118,0.313063759,0.506856029,0.881478335,0,10
130,90,90.38461538,92.10526316,91.66666667,95.69892473,97.84946237,95.2,97.4789916,61.95227634,3.5059144,2.45498013,0.361263251,0.277697756,0.241101845,0.293888856,0.881903144,0,2.222222222
135,88,90.38461538,92.10526316,93.75,97.84946237,100,97.6,100,60.77697831,4.447912443,4.320127404,0.284013732,0.140310751,0.322339031,0.862379203,0.882327952,0,0
140,90,90.38461538,92.10526316,93.75,97.84946237,97.84946237,97.6,97.4789916,28.6452393,0.682410819,0.570650187,0.082180932,0.047945028,0.019685694,0.11283706,0.882327952,0,3.194444444
145,88,90.38461538,92.10526316,93.75,97.84946237,97.84946237,97.6,97.4789916,42.24963351,3.208071934,2.308374099,0.327522924,0.259294393,0.263152843,0.247645357,0.882752761,0,0
150,88,90.38461538,92.10526316,93.75,95.69892473,97.84946237,97.6,100,62.02805935,4.103999831,3.535903234,0.303920939,0.15859337,0.323926456,0.673565887,0.88317757,0,4.861111111
155,90,90.38461538,92.10526316,93.75,97.84946237,97.84946237,97.6,97.4789916,61.0555841,3.804518583,2.917029304,0.373891587,0.250543543,0.267272029,0.371732969,0.88317757,0,5.555555556
160,90,90.38461538,92.10526316,93.75,95.69892473,97.84946237,97.6,97.4789916,60.97182603,3.717553645,2.863250188,0.324639564,0.118130589,0.349848984,0.410064968,0.883602379,0,0.555555556
165,88,90.38461538,92.10526316,93.75,97.84946237,97.84946237,97.6,100,62.12251762,4.227966498,4.078499244,0.382864163,0.228878506,0.276347553,0.70433371,0.88317757,0,0
170,90,90.38461538,92.10526316,93.75,97.84946237,97.84946237,97.6,97.4789916,62.12119512,3.288754684,2.278650402,0.390759361,0.272818575,0.239687373,0.255890368,0.881478335,0,3.194444444
175,88,90.38461538,92.10526316,93.75,97.84946237,97.84946237,95.2,100,61.50787767,3.48353173,2.386326087,0.3652001,0.310951925,0.266632187,0.19899032,0.881903144,0,0
180,90,90.38461538,92.10526316,93.75,97.84946237,97.84946237,97.6,100,62.47089507,3.896998654,3.429972933,0.309423291,0.15661206,0.301437799,0.706424565,0.882327952,0,0
185,90,90.38461538,92.10526316,93.75,97.84946237,100,97.6,97.4789916,61.88859616,3.658555209,2.766335491,0.367065804,0.262353779,0.267453913,0.357375243,0.881903144,0,5.555555556
190,88,90.38461538,92.10526316,93.75,97.84946237,97.84946237,97.6,97.4789916,11.7886275,0.756528466,0.617794923,0.079550791,0.054379776,0.030522407,0.111939147,0.882327952,0,1.944444444
195,88,90.38461538,92.10526316,93.75,97.84946237,97.84946237,97.6,100,58.64168859,4.175640855,4.223439004,0.276257885,0.154052901,0.314729946,0.819614869,0.882752761,0,0
200,90,90.38461538,92.10526316,93.75,97.84946237,97.84946237,97.6,97.4789916,62.04304764,3.321051504,2.356573798,0.395251223,0.279617125,0.266993519,0.217184403,0.88317757,0,5.555555556
205,88,90.38461538,92.10526316,93.75,97.84946237,100,97.6,100,61.7273719,3.291547412,2.250233631,0.382986791,0.276574204,0.252768404,0.240869568,0.88317757,0,0
210,90,90.38461538,92.10526316,93.75,97.84946237,97.84946237,97.6,97.4789916,61.29130896,4.157933619,3.655239893,0.287321514,0.179246974,0.328587233,0.704262667,0.883602379,0,0
215,90,90.38461538,92.10526316,93.75,97.84946237,100,97.6,97.4789916,62.04040265,3.598056085,2.896603878,0.314092726,0.162948801,0.323223279,0.454076513,0.882327952,0,5.555555556
220,88,90.38461538,92.10526316,93.75,97.84946237,97.84946237,97.6,97.4789916,61.49990262,3.729661036,2.861008024,0.287967304,0.196464845,0.326745658,0.405292216,0.881478335,0,0
225,90,90.38461538,92.10526316,93.75,100,97.84946237,97.6,100,62.13057282,4.302189978,4.273877455,0.284446117,0.174325454,0.333666181,0.805626176,0.881903144,0,0
230,90,90.38461538,92.10526316,93.75,97.84946237,97.84946237,97.6,97.4789916,62.17782199,3.399858047,2.386914002,0.410364775,0.260431274,0.265190106,0.237829492,0.881903144,0,3.194444444
235,90,90.38461538,92.10526316,93.75,97.84946237,97.84946237,97.6,100,59.18563513,2.121587532,1.505660281,0.261090186,0.170895209,0.141564208,0.161898624,0.882327952,0,0
240,90,90.38461538,94.73684211,93.75,97.84946237,100,97.6,97.4789916,12.55711779,2.510039663,2.490210791,0.215532941,0.136310497,0.149934119,0.476590444,0.882752761,0,0
245,90,90.38461538,92.10526316,93.75,97.84946237,97.84946237,97.6,100,61.39787006,3.868268347,3.060607066,0.313118069,0.17102693,0.358047568,0.409540034,0.882752761,0,8.611111111
250,90,90.38461538,92.10526316,93.75,97.84946237,100,95.2,97.4789916,61.61628225,3.531836661,2.768197517,0.336121245,0.146575358,0.33273159,0.411385196,0.88317757,0,0.555555556
255,90,90.38461538,92.10526316,93.75,97.84946237,97.84946237,97.6,97.4789916,61.96602228,4.23776878,4.112213415,0.301764591,0.188099751,0.30640307,0.789126287,0.883602379,0,2.638888889
260,90,90.38461538,92.10526316,93.75,97.84946237,97.84946237,97.6,100,62.46728827,3.395138051,2.359607266,0.38498866,0.270688295,0.241550872,0.277253787,0.883602379,0,3.611111111
265,90,90.38461538,92.10526316,93.75,97.84946237,97.84946237,97.6,100,62.18711953,3.454083339,2.73546537,0.289641898,0.145583528,0.325487085,0.433151196,0.881478335,0,0
270,90,92.30769231,94.73684211,93.75,100,97.84946237,95.2,100,63.06389418,3.903083797,3.293134335,0.40439102,0.272638242,0.251596714,0.552209509,0.881478335,0,2.222222222
275,90,94.23076923,92.10526316,93.75,97.84946237,100,97.6,97.4789916,62.33283453,3.435959271,2.507981426,0.407885929,0.2558124,0.26455676,0.268125664,0.881478335,0,6.111111111
280,90,96.15384615,94.73684211,93.75,97.84946237,97.84946237,97.6,100,62.22875811,3.480234904,2.560529643,0.38926871,0.256494528,0.260164749,0.329353455,0.881903144,0,0
285,90,96.15384615,92.10526316,93.75,97.84946237,100,97.6,100,42.78578533,3.097816625,3.175262668,0.234541138,0.121476156,0.163630633,0.624625689,0.983432455,0,0
