Time Temp Temp Planar_Temp VRD_0_Temp VRD_1_Temp Fan_1 Fan_2A Fan_2B Fan_3A Fan_3B Fan_4A Fan_4B Fan_5A Fan_5B Fan_Redundancy
0 25 28 23 17 19 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
8 25 28 23 17 19 3150 7575 5250 7425 5325 7575 5325 7950 5250 54h
16 25 28 23 17 19 3150 7575 5250 7500 5400 7575 5250 7875 5250 54h
24 25 28 23 17 19 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
32 25 29 23 17 19 3150 7575 5250 7500 5325 7575 5325 7950 5250 54h
40 26 28 23 17 19 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
48 28 29 23 17 19 3150 7575 5250 7500 5400 7575 5325 7950 5250 54h
56 27 32 23 17 19 3150 7500 5250 7425 5400 7575 5250 7950 5250 54h
64 28 30 23 17 19 3150 7575 5250 7500 5400 7575 5250 7950 5250 54h
72 29 29 23 17 19 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
80 30 31 23 17 19 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
88 27 30 23 17 19 3150 7575 5250 7425 5400 7575 5325 7950 5250 54h
96 26 30 23 17 19 3150 7575 5250 7425 5400 7575 5325 7875 5250 54h
104 26 29 23 17 20 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
112 26 29 23 17 20 3150 7575 5250 7425 5400 7575 5250 7875 5250 54h
120 27 29 23 17 20 3150 7500 5250 7425 5400 7575 5250 7875 5250 54h
128 26 29 23 17 20 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
136 26 29 23 18 20 3150 7500 5250 7425 5325 7575 5250 7950 5250 54h
144 26 29 23 18 20 3150 7575 5250 7500 5325 7575 5250 7950 5250 54h
152 26 29 24 18 20 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
160 26 29 24 18 20 3150 7575 5325 7425 5400 7575 5250 7950 5325 54h
168 26 29 24 18 20 3150 7575 5250 7500 5400 7575 5250 7950 5325 54h
176 27 32 24 18 20 3150 7575 5250 7425 5400 7575 5325 7950 5250 54h
184 28 32 24 18 20 3150 7500 5250 7425 5400 7575 5250 7875 5250 54h
192 28 32 24 18 20 3150 7575 5250 7500 5325 7575 5250 7875 5250 54h
200 27 33 24 18 20 3150 7575 5250 7425 5325 7575 5325 7875 5250 54h
208 29 33 24 18 20 3150 7575 5250 7425 5400 7575 5250 7950 5250 54h
