Time Temp Temp Temp Ambient_Temp Temp Ambient_Temp Ambient_Temp Planar_Temp IOH_THERMTRIP CPU_Temp_Interf Temp Temp Temp FAN_MOD_1A_RPM FAN_MOD_2A_RPM FAN_MOD_3A_RPM FAN_MOD_4A_RPM FAN_MOD_5A_RPM FAN_MOD_6A_RPM FAN_MOD_1B_RPM FAN_MOD_2B_RPM FAN_MOD_3B_RPM FAN_MOD_4B_RPM FAN_MOD_5B_RPM FAN_MOD_6B_RPM Fan_Redundancy et
390 -58 -52 38 29 35 26 15 38 5Dh 76h 27 32 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
400 -53 -52 38 29 35 26 15 38 5Dh 76h 28 33 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
410 -57 -51 38 29 35 26 15 38 5Dh 76h 28 33 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
420 -57 -51 38 29 36 26 15 38 5Dh 76h 28 33 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
430 -57 -51 38 29 36 26 15 38 5Dh 76h 28 33 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
440 -57 -51 38 29 36 26 16 38 5Dh 76h 27 33 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
450 -58 -51 38 29 35 27 16 38 5Dh 76h 27 34 45 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
460 -57 -50 38 29 36 26 16 38 5Dh 76h 28 34 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
470 -54 -51 38 29 36 27 16 38 5Dh 76h 28 34 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
480 -57 -50 38 29 36 27 16 38 5Dh 76h 28 34 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
490 -58 -50 38 29 36 27 16 38 5Dh 76h 28 34 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
500 -57 -50 38 29 36 27 16 38 5Dh 76h 27 34 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 4
510 -58 -50 38 29 36 27 16 38 5Dh 76h 27 35 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
520 -58 -50 38 29 36 27 16 38 5Dh 76h 27 35 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
530 -58 -49 38 29 36 27 16 38 5Dh 76h 27 35 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 4
540 -58 -49 38 29 36 27 16 38 5Dh 76h 27 35 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
550 -56 -50 38 29 36 27 16 38 5Dh 76h 28 35 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
560 -57 -49 38 29 36 27 16 38 5Dh 76h 28 35 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
570 -58 -49 38 29 36 27 16 38 5Dh 76h 28 35 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
580 -57 -49 38 29 36 27 16 38 5Dh 76h 27 35 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
590 -57 -49 38 29 36 27 16 38 5Dh 76h 28 35 45 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
600 -57 -49 38 29 36 27 16 38 5Dh 76h 28 36 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
610 -57 -49 38 29 36 27 16 38 5Dh 76h 28 36 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
620 -57 -49 38 29 36 27 16 38 5Dh 76h 28 36 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
630 -57 -49 38 29 36 27 16 38 5Dh 76h 28 36 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
640 -57 -49 38 29 36 27 16 38 5Dh 76h 28 36 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
650 -54 -49 38 29 36 27 16 38 5Dh 76h 28 36 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
660 -57 -48 38 29 36 27 16 38 5Dh 76h 28 36 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
670 -57 -49 38 29 36 27 16 38 5Dh 76h 28 36 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
680 -57 -48 38 29 36 27 16 38 5Dh 76h 28 36 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
690 -53 -49 38 29 36 27 16 38 5Dh 76h 28 36 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
700 -57 -48 38 29 36 27 16 38 5Dh 76h 28 36 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
710 -57 -48 38 29 36 27 16 38 5Dh 76h 28 36 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
720 -57 -48 38 30 36 27 16 38 5Dh 76h 28 36 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
730 -57 -48 38 29 36 27 16 38 5Dh 76h 28 36 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 4
740 -57 -48 38 30 36 27 16 38 5Dh 76h 28 37 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 10
750 -56 -48 38 30 36 27 16 38 5Dh 76h 28 37 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
760 -53 -48 38 30 36 27 16 38 5Dh 76h 28 37 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 11
770 -52 -48 38 30 36 27 16 38 5Dh 76h 29 37 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
780 -57 -47 38 30 36 27 16 38 5Dh 76h 28 37 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
790 -57 -48 38 30 36 27 16 38 5Dh 76h 28 37 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
800 -57 -47 38 30 36 27 17 38 5Dh 76h 28 37 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
810 -57 -47 38 30 36 27 17 38 5Dh 76h 28 37 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
820 -53 -48 38 29 36 27 17 38 5Dh 76h 28 37 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
830 -56 -48 38 30 36 27 17 38 5Dh 76h 28 37 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
840 -57 -47 38 30 36 27 17 38 5Dh 76h 28 37 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
850 -53 -48 38 30 36 27 17 39 5Dh 76h 28 37 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
860 -52 -48 38 30 36 27 17 39 5Dh 76h 29 37 44 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
870 -56 -47 38 30 36 28 17 39 5Dh 76h 29 37 44 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
880 -57 -47 39 30 36 28 17 39 5Dh 76h 28 37 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
890 -56 -47 38 30 37 27 17 39 5Dh 76h 29 37 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
900 -57 -47 38 30 36 28 17 39 5Dh 76h 28 37 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
910 -55 -47 38 30 36 28 17 39 5Dh 76h 29 37 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
920 -52 -47 38 30 36 28 17 39 5Dh 76h 29 37 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
930 -57 -47 38 30 37 28 17 39 5Dh 76h 29 37 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
940 -57 -47 38 30 37 28 17 39 5Dh 76h 28 37 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
950 -52 -53 38 30 36 28 17 39 5Dh 76h 29 37 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3120 75h 9
960 -49 -48 38 30 36 28 17 39 5Dh 76h 29 37 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
970 -49 -46 39 30 36 28 17 39 5Dh 76h 30 37 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
980 -48 -45 39 30 36 28 17 39 5Dh 76h 30 37 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
990 -48 -45 39 30 37 28 17 39 5Dh 76h 31 38 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3120 75h 8
1000 -48 -44 39 30 37 28 17 39 5Dh 76h 31 38 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
1010 -46 -44 39 31 37 28 17 39 5Dh 76h 32 38 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
1020 -45 -45 39 31 37 28 17 39 5Dh 76h 32 38 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
1030 -45 -44 39 31 37 28 17 39 5Dh 76h 33 38 43 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 4
1040 -45 -43 39 31 37 28 17 39 5Dh 76h 33 38 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
1050 -43 -43 40 31 37 28 17 39 5Dh 76h 34 39 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
1060 -43 -43 39 31 37 28 17 39 5Dh 76h 34 39 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 4
1070 -43 -42 40 32 37 28 17 39 5Dh 76h 34 39 43 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
1080 -42 -42 40 32 37 28 17 39 5Dh 76h 34 39 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
1090 -42 -42 40 32 37 28 17 39 5Dh 76h 35 39 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
1100 -42 -41 40 32 37 28 17 39 5Dh 76h 35 39 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
1110 -43 -47 40 32 37 28 17 39 5Dh 76h 35 39 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 10
1120 -44 -49 40 33 37 28 17 39 5Dh 76h 35 39 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
1130 -46 -50 40 33 37 28 17 40 5Dh 76h 35 38 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
1140 -45 -50 40 32 37 28 17 40 5Dh 76h 34 38 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
1150 -46 -51 40 32 37 28 17 40 5Dh 76h 34 37 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
1160 -46 -52 39 32 37 28 16 40 5Dh 76h 34 37 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
1170 -50 -49 39 32 37 28 16 40 5Dh 76h 33 37 41 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
1180 -50 -49 39 32 37 28 16 40 5Dh 76h 33 37 41 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
1190 -50 -49 39 32 37 28 16 40 5Dh 76h 33 36 41 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
1200 -47 -53 39 32 37 28 16 40 5Dh 76h 32 36 41 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
1210 -51 -50 40 32 37 28 16 40 5Dh 76h 32 35 41 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
1220 -50 -53 39 32 37 28 16 40 5Dh 76h 32 35 41 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
1230 -52 -50 39 32 37 28 16 40 5Dh 76h 32 35 41 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
1240 -48 -54 39 32 37 28 16 40 5Dh 76h 32 35 41 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
1250 -51 -54 39 32 37 28 16 40 5Dh 76h 32 35 41 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 4
1260 -52 -51 39 32 36 28 16 40 5Dh 76h 31 34 41 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
1270 -49 -55 39 32 36 28 16 40 5Dh 76h 31 34 41 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 10
1280 -53 -51 39 32 37 28 16 40 5Dh 76h 31 34 41 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
1290 -53 -55 39 32 37 28 16 40 5Dh 76h 31 34 41 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 4
1300 -53 -52 39 32 37 28 16 40 5Dh 76h 31 34 41 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 10
1310 -53 -52 39 32 37 28 16 40 5Dh 76h 30 34 41 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
1320 -50 -56 39 32 37 28 16 40 5Dh 76h 31 34 41 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
1330 -53 -56 39 32 37 28 16 40 5Dh 76h 31 33 41 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
1340 -53 -56 39 31 36 28 16 40 5Dh 76h 31 33 41 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
1350 -53 -56 39 31 37 28 16 40 5Dh 76h 31 33 41 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
1360 -51 -56 39 31 37 28 16 40 5Dh 76h 31 33 41 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
1370 -52 -56 39 31 37 28 16 40 5Dh 76h 31 33 41 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
1380 -50 -57 39 31 37 28 16 40 5Dh 76h 31 32 41 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
1390 -50 -57 39 31 36 28 16 40 5Dh 76h 31 32 41 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 10
1400 -53 -54 39 31 36 28 16 40 5Dh 76h 30 32 41 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
1410 -54 -54 39 31 36 28 16 40 5Dh 76h 30 32 41 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
1420 -51 -57 39 31 37 28 16 40 5Dh 76h 30 32 41 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
1430 -53 -54 39 31 37 28 16 40 5Dh 76h 30 32 41 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
1440 -50 -57 39 31 37 28 16 40 5Dh 76h 30 32 41 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
1450 -50 -57 39 31 37 28 16 40 5Dh 76h 30 32 41 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
1460 -53 -54 39 31 37 28 16 40 5Dh 76h 30 32 41 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
1470 -50 -58 39 31 37 28 16 40 5Dh 76h 30 32 41 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
1480 -52 -57 39 31 37 28 16 40 5Dh 76h 30 32 41 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
1490 -51 -58 39 31 37 28 17 40 5Dh 76h 30 32 42 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
1500 -54 -55 39 31 37 28 17 40 5Dh 76h 30 32 41 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
1510 -55 -55 39 31 37 28 17 40 5Dh 76h 30 31 42 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 11
1520 -55 -54 39 31 37 28 17 40 5Dh 76h 30 32 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
1530 -51 -58 39 31 37 28 17 40 5Dh 76h 30 32 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
1540 -52 -57 39 31 37 28 17 40 5Dh 76h 30 31 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
1550 -54 -58 39 31 37 28 17 40 5Dh 76h 30 31 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
1560 -53 -58 39 31 37 28 17 40 5Dh 76h 30 31 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
1570 -55 -58 39 31 37 28 17 40 5Dh 76h 30 31 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 4
1580 -55 -58 39 31 37 28 17 40 5Dh 76h 30 31 42 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
1590 -54 -58 39 31 37 28 17 40 5Dh 76h 30 31 42 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
1600 -55 -58 39 31 37 28 17 40 5Dh 76h 30 31 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
1610 -54 -56 39 31 37 28 17 40 5Dh 76h 30 31 42 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
1620 -51 -58 39 31 37 28 17 40 5Dh 76h 30 31 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
1630 -51 -58 39 31 37 28 17 40 5Dh 76h 30 31 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 5
1640 -54 -56 39 31 37 28 16 40 5Dh 76h 30 31 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
1650 -51 -59 39 31 37 28 16 40 5Dh 76h 30 31 42 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 6
1660 -51 -59 39 31 37 28 16 40 5Dh 76h 30 31 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
1670 -54 -56 39 31 36 28 16 40 5Dh 76h 30 31 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
1680 -55 -56 39 31 37 28 16 40 5Dh 76h 30 31 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
1690 -51 -59 39 31 37 28 16 40 5Dh 76h 30 31 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 7
1700 -51 -59 39 31 37 28 16 40 5Dh 76h 30 31 42 4440 4320 4440 4440 4440 4560 3120 3120 3120 3000 3120 3000 75h 8
1710 -55 -56 39 31 37 28 16 40 5Dh 76h 30 31 42 4440 4320 4440 4560 4440 4560 3120 3120 3120 3000 3120 3000 75h 9
