scheduler,timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
ule,40,0,6.27,12.25,35.1,8.937,6.703
ule,40,1,7.544,12.56,36.23,9.389,7.042
ule,40,2,6.544,16.44,31.48,9.077,6.808
ule,40,3,7.512,14.41,34.48,9.4,7.05
ule,45,0,7.654,16.61,35.98,10.04,7.53
ule,45,1,9.369,16.65,37.48,10.58,7.936
ule,45,2,8.44,20.77,32.6,10.3,7.726
ule,45,3,9.988,17.29,35.48,10.46,7.844
ule,50,0,8.825,21.37,36.35,11.09,8.318
ule,50,1,11.26,20.37,37.98,11.6,8.7
ule,50,2,10.11,25.58,32.73,11.4,8.552
ule,50,3,12.53,19.8,35.98,11.38,8.538
ule,55,0,9.804,26.65,36.35,12.13,9.101
ule,55,1,13.19,23.86,38.35,12.57,9.426
ule,55,2,11.71,30.31,33.23,12.54,9.406
ule,55,3,15.31,21.38,36.48,12.19,9.145
ule,60,0,10.51,32.6,36.6,13.29,9.964
ule,60,1,15.08,27.34,38.48,13.48,10.11
ule,60,2,13.17,35.21,33.6,13.66,10.25
ule,60,3,18.2,22.42,36.98,12.93,9.699
ule,65,0,11.16,38.72,36.73,14.43,10.82
ule,65,1,16.84,31.23,38.85,14.49,10.86
ule,65,2,14.88,39.57,34.1,14.76,11.07
ule,65,3,21.13,23.46,37.48,13.68,10.26
ule,70,0,11.78,45.01,36.98,15.63,11.72
ule,70,1,18.58,35.03,39.23,15.47,11.6
ule,70,2,16.58,43.92,34.35,15.81,11.86
ule,70,3,24.07,24.42,37.85,14.39,10.79
ule,75,0,12.41,51.35,37.48,16.87,12.65
ule,75,1,20.32,38.73,39.6,16.44,12.33
ule,75,2,18.23,48.29,34.6,16.85,12.64
ule,75,3,26.98,25.39,38.1,15.08,11.31
ule,80,0,12.99,57.81,37.48,18.04,13.53
ule,80,1,22.05,42.49,39.98,17.42,13.06
ule,80,2,19.91,52.52,34.98,17.9,13.43
ule,80,3,29.86,26.37,38.35,15.76,11.82
ule,85,0,13.64,64.04,37.85,19.25,14.44
ule,85,1,23.65,46.61,40.23,18.41,13.81
ule,85,2,21.67,56.52,35.23,18.9,14.18
ule,85,3,32.73,27.35,38.6,16.45,12.34
ule,90,0,14.3,70.32,38.1,20.45,15.34
ule,90,1,25.11,51.01,40.23,19.39,14.54
ule,90,2,23.56,60.12,35.73,19.9,14.93
ule,90,3,35.62,28.34,38.98,17.16,12.87
ule,95,0,14.94,76.55,38.35,21.64,16.23
ule,95,1,26.29,56.28,40.35,20.49,15.37
ule,95,2,25.78,63,36.1,20.81,15.61
ule,95,3,38.53,29.35,39.35,17.87,13.4
ule,100,0,15.58,82.63,38.73,22.82,17.12
ule,100,1,27.29,62.03,40.73,21.68,16.26
ule,100,2,28.19,65.37,36.35,21.65,16.24
ule,100,3,41.48,30.34,39.48,18.55,13.91
ule,105,0,16.44,88.11,39.23,23.96,17.97
ule,105,1,28.26,67.91,40.98,22.86,17.14
ule,105,2,30.35,68.34,36.35,22.51,16.88
ule,105,3,44.39,31.33,39.6,19.22,14.42
ule,110,0,17.53,92.92,39.85,25.05,18.79
ule,110,1,29.23,73.87,41.1,24.03,18.02
ule,110,2,32.22,72.06,36.35,23.44,17.58
ule,110,3,47.26,32.31,39.73,19.88,14.91
ule,115,0,18.89,97.11,40.23,26.04,19.53
ule,115,1,30.2,79.9,41.23,25.22,18.92
ule,115,2,33.82,76.5,36.23,24.43,18.32
ule,115,3,50.16,33.27,39.85,20.55,15.41
ule,120,0,20.51,100.7,40.6,26.96,20.22
ule,120,1,31.18,85.88,41.48,26.42,19.82
ule,120,2,35.14,81.76,36.23,25.52,19.14
ule,120,3,53.05,34.21,40.1,21.23,15.92
ule,125,0,22.28,103.8,40.98,27.84,20.88
ule,125,1,32.04,92.19,41.48,27.62,20.71
ule,125,2,36.37,87.16,36.35,26.65,19.99
ule,125,3,55.94,35.15,40.35,21.91,16.43
ule,130,0,24.32,106.2,41.35,28.64,21.48
ule,130,1,32.76,99,41.73,28.91,21.69
ule,130,2,37.48,92.91,36.23,27.77,20.83
ule,130,3,58.86,36.08,40.48,22.57,16.93
ule,135,0,26.64,108,41.85,29.41,22.06
ule,135,1,33.47,105.7,41.85,30.17,22.63
ule,135,2,38.26,99.41,36.23,28.98,21.74
ule,135,3,61.73,37,40.6,23.22,17.42
ule,140,0,29.23,109.2,42.1,30.09,22.57
ule,140,1,34.07,112.7,41.73,31.42,23.56
ule,140,2,38.85,106.4,36.35,30.27,22.7
ule,140,3,64.6,37.91,40.73,23.87,17.9
ule,145,0,31.86,110.4,42.35,30.77,23.08
ule,145,1,34.77,119.6,41.98,32.73,24.54
ule,145,2,39.43,113.3,36.48,31.54,23.66
ule,145,3,67.49,38.83,40.85,24.53,18.4
ule,150,0,34.48,111.6,42.48,31.42,23.57
ule,150,1,35.45,126.5,42.1,34,25.5
ule,150,2,40.11,120.2,36.6,32.82,24.61
ule,150,3,70.36,39.75,40.98,25.18,18.89
ule,155,0,37.05,112.8,42.6,32.07,24.05
ule,155,1,36.11,133.2,42.23,35.26,26.45
ule,155,2,40.78,126.9,36.73,34.07,25.55
ule,155,3,73.2,40.68,41.23,25.85,19.39
ule,160,0,39.59,114,42.73,32.71,24.53
ule,160,1,36.77,139.9,42.23,36.49,27.37
ule,160,2,41.44,133.5,36.85,35.31,26.48
ule,160,3,76.02,41.6,41.23,26.47,19.85
ule,165,0,42.12,115.1,42.85,33.35,25.01
ule,165,1,37.42,146.6,42.23,37.71,28.28
ule,165,2,42.1,140.2,36.98,36.54,27.41
ule,165,3,78.82,42.52,41.35,27.11,20.34
ule,170,0,44.62,116.3,42.98,33.99,25.49
ule,170,1,38.08,153.2,42.23,38.92,29.19
ule,170,2,42.75,146.7,37.1,37.76,28.32
ule,170,3,81.59,43.44,41.35,27.73,20.8
ule,175,0,47.1,117.5,42.98,34.6,25.95
ule,175,1,38.73,159.8,42.23,40.13,30.1
ule,175,2,43.4,153.3,37.1,38.96,29.22
ule,175,3,84.34,44.37,41.35,28.34,21.26
ule,180,0,49.58,118.7,43.1,35.23,26.42
ule,180,1,39.37,166.4,42.35,41.35,31.01
ule,180,2,44.04,159.8,37.1,40.16,30.12
ule,180,3,87.08,45.29,41.48,28.97,21.73
ule,185,0,52.05,119.9,43.1,35.84,26.88
ule,185,1,39.9,173,42.35,42.54,31.9
ule,185,2,44.69,166.4,37.1,41.36,31.02
ule,185,3,89.82,46.21,41.6,29.61,22.2
ule,190,0,54.54,121.1,43.1,36.45,27.34
ule,190,1,40.46,179.6,42.48,43.76,32.82
ule,190,2,45.25,173.1,37.35,42.61,31.96
ule,190,3,92.59,47.12,41.73,30.24,22.68
ule,195,0,57.07,122.3,43.1,37.07,27.81
ule,195,1,41.02,186.3,42.6,44.98,33.74
ule,195,2,45.81,179.8,37.6,43.86,32.9
ule,195,3,95.38,48.03,41.73,30.86,23.14
ule,200,0,59.4,124,42.98,37.73,28.3
ule,200,1,41.86,192.4,42.98,46.2,34.65
ule,200,2,46.38,186.7,37.85,45.15,33.86
ule,200,3,98.2,48.94,41.85,31.5,23.62
ule,205,0,61.62,126.1,43.1,38.47,28.85
ule,205,1,43.04,197.7,43.35,47.35,35.51
ule,205,2,46.96,193.7,38.1,46.45,34.84
ule,205,3,100.9,50.29,41.73,32.15,24.11
ule,210,0,63.92,128.1,43.23,39.21,29.41
ule,210,1,44.56,202.3,43.73,48.44,36.33
ule,210,2,47.54,200.8,38.35,47.77,35.83
ule,210,3,103.3,52.39,41.6,32.88,24.66
ule,215,0,66.28,130.2,43.48,39.99,29.99
ule,215,1,46.4,206.2,44.1,49.45,37.09
ule,215,2,48.13,207.8,38.6,49.09,36.82
ule,215,3,105.4,55.29,41.6,33.72,25.29
ule,220,0,68.69,132.3,43.73,40.78,30.59
ule,220,1,48.6,209.4,44.35,50.39,37.79
ule,220,2,48.71,214.9,38.85,50.41,37.81
ule,220,3,107.3,58.97,41.48,34.62,25.96
ule,225,0,71.14,134.3,43.98,41.58,31.18
ule,225,1,51.13,211.8,44.6,51.26,38.45
ule,225,2,49.3,222,39.1,51.74,38.8
ule,225,3,108.8,63.28,41.35,35.58,26.68
ule,230,0,73.66,136.4,44.23,42.38,31.79
ule,230,1,54.02,213.5,44.85,52.07,39.05
ule,230,2,49.89,229.2,39.1,53.04,39.78
ule,230,3,110.1,68.46,41.23,36.64,27.48
ule,235,0,76.25,138.5,44.48,43.2,32.4
ule,235,1,57.26,214.5,45.23,52.83,39.62
ule,235,2,50.49,236.5,39.1,54.34,40.76
ule,235,3,111.2,74.5,41.1,37.79,28.35
ule,240,0,78.89,140.6,44.6,44.01,33.01
ule,240,1,60.54,215.4,45.23,53.53,40.15
ule,240,2,51.08,243.7,39.23,55.66,41.75
ule,240,3,112.1,80.68,41.1,38.98,29.24
ule,245,0,81.37,143,44.48,44.81,33.61
ule,245,1,63.8,216.3,45.23,54.22,40.67
ule,245,2,51.67,250.9,39.35,56.99,42.74
ule,245,3,113.3,86.42,41.35,40.17,30.13
ule,250,0,83.54,146.2,44.35,45.67,34.26
ule,250,1,67.02,217.2,45.23,54.91,41.18
ule,250,2,52.25,258.1,39.48,58.3,43.73
ule,250,3,114.7,91.41,41.73,41.3,30.98
ule,255,0,85.41,149.9,44.1,46.57,34.93
ule,255,1,70.21,218.1,45.23,55.59,41.69
ule,255,2,52.84,265.3,39.6,59.62,44.71
ule,255,3,116.4,95.59,41.98,42.33,31.74
ule,260,0,86.97,154.5,43.85,47.55,35.66
ule,260,1,73.36,219,45.23,56.26,42.2
ule,260,2,53.43,272.5,39.73,60.95,45.71
ule,260,3,118.4,99,42.23,43.27,32.45
ule,265,0,88.25,159.6,43.6,48.58,36.44
ule,265,1,76.33,220.2,45.1,56.93,42.7
ule,265,2,54.16,279.5,40.1,62.29,46.71
ule,265,3,120.7,101.8,42.48,44.16,33.12
ule,270,0,89.2,165.2,43.35,49.63,37.22
ule,270,1,78.97,221.9,44.98,57.64,43.23
ule,270,2,55.19,285.5,40.48,63.53,47.65
ule,270,3,123.3,103.7,42.85,44.98,33.73
ule,275,0,89.82,171.1,43.1,50.67,38.01
ule,275,1,81.25,223.9,44.73,58.31,43.73
ule,275,2,56.51,290.8,40.85,64.7,48.53
ule,275,3,126.2,104.8,43.1,45.68,34.26
ule,280,0,90.37,177,43.1,51.75,38.81
ule,280,1,83.2,226.3,44.6,59.02,44.27
ule,280,2,58.16,295.4,41.1,65.77,49.33
ule,280,3,129.2,105.7,43.35,46.38,34.78
ule,285,0,90.93,182.8,43.1,52.8,39.6
ule,285,1,84.84,229.6,44.48,59.82,44.87
ule,285,2,60.15,299.1,41.48,66.78,50.09
ule,285,3,132.3,106.7,43.48,47.07,35.3
ule,290,0,91.62,188,43.23,53.8,40.35
ule,290,1,86.17,233.6,44.35,60.69,45.52
ule,290,2,62.24,302.5,41.48,67.7,50.77
ule,290,3,135.3,107.6,43.48,47.73,35.8
ule,295,0,92.46,192.7,43.23,54.74,41.05
ule,295,1,87.3,238,44.48,61.64,46.23
ule,295,2,64.33,305.9,41.48,68.62,51.47
ule,295,3,138.3,108.6,43.48,48.39,36.3
ule,300,0,93.28,197.3,43.23,55.64,41.73
ule,300,1,88.4,242.5,44.48,62.56,46.92
ule,300,2,66.41,309.3,41.48,69.53,52.15
ule,300,3,141.3,109.5,43.48,49.05,36.79
ule,305,0,94.13,201.8,43.23,56.52,42.39
ule,305,1,89.56,246.8,44.73,63.51,47.63
ule,305,2,68.36,313,41.23,70.42,52.82
ule,305,3,144.2,110.5,43.48,49.7,37.27
ule,310,0,94.96,206.4,43.23,57.44,43.08
ule,310,1,90.82,250.9,44.73,64.41,48.31
ule,310,2,70.19,316.9,41.35,71.41,53.55
ule,310,3,147.1,111.4,43.48,50.34,37.76
ule,315,0,95.83,211.3,43.35,58.42,43.82
ule,315,1,92.07,255.6,44.73,65.41,49.06
ule,315,2,72.02,320.9,41.1,72.34,54.26
ule,315,3,150.1,112.4,43.6,51.01,38.26
ule,320,0,96.94,215.7,43.6,59.37,44.53
ule,320,1,93.32,260.6,44.73,66.44,49.83
ule,320,2,73.52,325.7,40.85,73.34,55
ule,320,3,153,113.3,43.48,51.63,38.72
