Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr
0,41,44,32,42,3567.2,3645.6,8662,8662,1555311,1553530,1554420.5,22955102,14034488,18494795,26189049,26063033,26126041,206.1,114.8,1.653,154.575,123.66,61.83
5,40,44,32,42,3488.8,3567.2,8662,8875,1545328,1545328,1545328,16768595,16774509,16771552,20276371,20271519,20273945,206.1,114.7,1.654,154.575,123.66,61.83
10,40,44,32,42,3488.8,3567.2,8662,8662,1521132,1521074,1521103,17027372,17027934,17027653,17590824,17581243,17586033.5,206.2,114.8,1.655,154.65,123.72,61.86
15,40,44,32,42,3567.2,3567.2,8662,8662,1534246,1534304,1534275,16437956,16444194,16441075,17386825,17398157,17392491,206.4,114.7,1.657,154.8,123.84,61.92
20,41,44,32,42,3567.2,3567.2,8449,8662,1553421,1553421,1553421,19172492,19168670,19170581,22694241,22691009,22692625,206.4,114.8,1.653,154.8,123.84,61.92
25,41,44,32,42,3567.2,3567.2,8662,8662,1539159,1539097,1539128,16976250,16972687,16974468.5,16559410,16553624,16556517,206.4,114.9,1.654,154.8,123.84,61.92
30,41,44,32,41,3488.8,3567.2,8662,8662,1550966,1551028,1550997,17167632,17166535,17167083.5,18564752,18568973,18566862.5,206.5,114.8,1.653,154.875,123.9,61.95
35,41,44,32,42,3567.2,3567.2,8662,8662,1547044,1547044,1547044,17558535,17532621,17545578,19055406,19055552,19055479,206.4,114.7,1.654,154.8,123.84,61.92
40,40,44,32,42,3567.2,3567.2,8662,8449,1284944,1285081,1285012.5,11718700,11719675,11719187.5,12013782,12030137,12021959.5,206,114.7,1.659,154.5,123.6,61.8
45,40,44,32,42,3567.2,3645.6,8449,8449,464551,464414,464482.5,10602083,10631814,10616948.5,10963452,10947900,10955676,206.1,114.6,1.75,154.575,123.66,61.83
