Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr
170,44,48,36,45,3567.2,3567.2,8662,8662,1552621,1552707,1552664,14474551,14479208,14476879.5,16293724,16304499,16299111.5,207.6,114.3,1.738,155.7,124.56,62.28
175,44,48,36,45,3567.2,3645.6,8662,8449,1542901,1542901,1542901,15678049,15679600,15678824.5,17133861,17133416,17133638.5,207.7,114.3,1.696,155.775,124.62,62.31
180,44,48,36,45,3567.2,3567.2,8662,8662,1564620,1564558,1564589,16105641,16093622,16099631.5,17331371,17324422,17327896.5,207.8,114.4,1.672,155.85,124.68,62.34
185,44,47,36,45,3567.2,3567.2,8662,8662,1518605,1518667,1518636,17348655,17343509,17346082,22323177,22330620,22326898.5,207.8,114.4,1.673,155.85,124.68,62.34
190,44,47,36,45,3567.2,3645.6,8662,8449,322839,322823,322831,3462799,3426010,3444404.5,3585740,3586724,3586232,207.9,114.3,1.673,155.925,124.74,62.37
195,44,47,35,45,3567.2,3567.2,8662,8662,1431038,1431054,1431046,17159804,17216271,17188037.5,25363507,25366047,25364777,207.9,114.4,1.671,155.925,124.74,62.37
200,44,47,35,45,3645.6,3645.6,8662,8662,1536074,1536074,1536074,15380132,15375285,15377708.5,17074072,17070421,17072246.5,207.9,114.5,1.674,155.925,124.74,62.37
205,44,47,35,45,3567.2,3567.2,8662,8449,1562309,1562309,1562309,15854774,15819495,15837134.5,15911243,15910372,15910807.5,208,114.4,1.674,156,124.8,62.4
210,44,47,35,45,3645.6,3645.6,8449,8662,1541380,1541380,1541380,17153386,17056767,17105076.5,18337330,18346813,18342071.5,208.1,114.5,1.67,156.075,124.86,62.43
215,44,47,35,45,3645.6,3567.2,8449,8662,1537282,1537282,1537282,17010816,17046240,17028528,20930533,20923280,20926906.5,207.6,114.4,1.672,155.7,124.56,62.28
220,44,47,35,45,3488.8,3645.6,8449,8662,1549327,1549327,1549327,14589264,14594752,14592008,14501334,14500833,14501083.5,207.6,114.3,1.722,155.7,124.56,62.28
225,44,47,35,45,3567.2,3567.2,8662,8662,1562330,1562330,1562330,17556093,17552392,17554242.5,23558543,23565957,23562250,207.6,114.5,1.669,155.7,124.56,62.28
230,44,47,35,45,3645.6,3567.2,8662,8662,1555928,1555928,1555928,15639907,15638805,15639356,16266813,16259611,16263212,207.6,114.5,1.673,155.7,124.56,62.28
235,44,47,35,45,3567.2,3645.6,8662,8662,1421573,1421569,1421571,11399919,11440829,11420374,11910654,11912338,11911496,207.7,114.2,1.674,155.775,124.62,62.31
240,44,47,35,45,3567.2,3567.2,8662,8449,335616,335550,335583,10195775,10247111,10221443,11880833,11870194,11875513.5,207.8,114.5,1.67,155.85,124.68,62.34
245,43,47,35,45,3567.2,3567.2,8662,8662,1568176,1568246,1568211,16179314,16198868,16189091,19985745,19994273,19990009,207.8,114.3,1.672,155.85,124.68,62.34
250,43,47,35,45,3567.2,3567.2,8662,8662,1538176,1538176,1538176,15157869,15139454,15148661.5,15131012,15130894,15130953,207.8,114.3,1.672,155.85,124.68,62.34
255,44,47,35,45,3567.2,3567.2,8662,8449,1548384,1548384,1548384,18172375,18171629,18172002,24278565,24286303,24282434,207.9,114.3,1.671,155.925,124.74,62.37
260,44,47,35,45,3645.6,3567.2,8662,8449,1559691,1559691,1559691,15505851,15527641,15516746,15792702,15783912,15788307,207.9,114.4,1.697,155.925,124.74,62.37
265,43,47,35,45,3567.2,3567.2,8662,8662,1559458,1559458,1559458,17449485,17425372,17437428.5,18781775,18783373,18782574,207.5,114.2,1.674,155.625,124.5,62.25
270,44,48,35,45,3567.2,3567.2,8662,8662,1551757,1551671,1551714,16649307,16654431,16651869,19583868,19572210,19578039,207.4,114.4,1.738,155.55,124.44,62.22
275,44,49,35,45,3567.2,3567.2,8662,8662,1523545,1523631,1523588,16743093,16748531,16745812,21500107,21509838,21504972.5,207.4,114.3,1.669,155.55,124.44,62.22
280,43,49,35,45,3567.2,3645.6,8662,8662,1531936,1531936,1531936,15149472,15148718,15149095,15332576,15333453,15333014.5,207.5,114.2,1.673,155.625,124.5,62.25
285,43,50,35,45,3567.2,3645.6,8662,8662,980931,981065,980998,12582225,12547001,12564613,19822121,19832086,19827103.5,207.6,114.4,1.669,155.7,124.56,62.28
290,43,50,35,46,3645.6,3645.6,8662,8662,786456,786322,786389,9420927,9461942,9441434.5,9776250,9765686,9770968,207.6,114.4,1.67,155.7,124.56,62.28
295,43,51,35,46,3567.2,3567.2,8662,8449,1544923,1544923,1544923,17373944,17381603,17377773.5,17217510,17215491,17216500.5,224.3,114.2,1.821,168.225,134.58,67.29
300,43,51,35,46,3567.2,3567.2,8449,8449,3629390,3629348,3629369,61738514,61721518,61730016,76702912,76700417,76701664.5,229.6,114.3,1.821,172.2,137.76,68.88
305,43,51,35,46,3567.2,3567.2,8449,8662,1680896,1680938,1680917,17444868,17472074,17458471,20036908,20040814,20038861,228.2,114.3,1.82,171.15,136.92,68.46
310,43,51,35,46,3567.2,3567.2,8449,8449,1635412,1635412,1635412,17508486,17509009,17508747.5,17033319,17036417,17034868,227.3,114.1,1.822,170.475,136.38,68.19
315,43,51,35,46,3567.2,3567.2,8662,8662,1583524,1583478,1583501,19348746,19319318,19334032,22915902,22908641,22912271.5,226.5,114.2,1.825,169.875,135.9,67.95
320,43,51,35,46,3567.2,3567.2,8662,8449,1621445,1621491,1621468,16065935,15957792,16011863.5,17785807,17791876,17788841.5,226.2,114.1,1.904,169.65,135.72,67.86
325,43,51,35,46,3567.2,3567.2,8662,8662,1566830,1566830,1566830,21385903,21560237,21473070,19237705,19235260,19236482.5,226.1,114.1,1.823,169.575,135.66,67.83
330,43,51,35,47,3567.2,3567.2,8662,8662,1551148,1551110,1551129,19014173,18953620,18983896.5,18376964,18377542,18377253,226.1,114.3,1.819,169.575,135.66,67.83
335,43,52,35,47,3488.8,3645.6,8662,8662,746931,746969,746950,6143116,6146696,6144906,8815826,8820164,8817995,226.2,114.3,1.819,169.65,135.72,67.86
340,43,52,35,47,3567.2,3645.6,8449,8449,1068436,1068436,1068436,15942629,15831854,15887241.5,15621144,15619111,15620127.5,226.1,114.1,1.821,169.575,135.66,67.83
345,43,51,35,47,3567.2,3567.2,8662,8662,1564591,1564513,1564552,18648524,18762079,18705301.5,25697464,25687487,25692475.5,226.3,114.3,1.82,169.725,135.78,67.89
350,43,51,35,47,3567.2,3645.6,8662,8662,1586695,1586773,1586734,18676800,18671710,18674255,18213044,18226029,18219536.5,226.4,114.1,1.825,169.8,135.84,67.92
355,43,52,35,47,3567.2,3645.6,8662,8449,1572501,1572501,1572501,18706784,18557167,18631975.5,18105315,18100666,18102990.5,226.6,114.1,1.822,169.95,135.96,67.98
360,43,52,35,47,3488.8,3567.2,8662,8662,1556294,1556294,1556294,18979961,19017679,18998820,20668623,20672886,20670754.5,226.3,114.3,1.819,169.725,135.78,67.89
365,43,52,35,47,3488.8,3567.2,8662,8662,1548018,1548018,1548018,17960567,18119282,18039924.5,20632022,20628975,20630498.5,225.9,114.3,1.844,169.425,135.54,67.77
370,43,52,35,47,3567.2,3645.6,8449,8449,1554071,1554071,1554071,16592274,16607927,16600100.5,16496924,16497069,16496996.5,226,114.2,1.854,169.5,135.6,67.8
375,43,52,35,47,3567.2,3645.6,8662,8662,1589724,1589724,1589724,20304496,20242631,20273563.5,25827971,25832650,25830310.5,226.1,114.4,1.819,169.575,135.66,67.83
380,43,52,35,47,3567.2,3645.6,8662,8662,1525510,1525510,1525510,18279038,18289554,18284296,18287924,18302470,18295197,226.2,114.4,1.82,169.65,135.72,67.86
385,43,52,35,47,3567.2,3645.6,8662,8662,382921,382892,382906.5,5864551,5960109,5912330,6040644,6019916,6030280,226.3,114.1,1.824,169.725,135.78,67.89
390,43,52,35,47,3567.2,3567.2,8662,8449,1445406,1445435,1445420.5,17694371,17585570,17639970.5,19224604,19230716,19227660,226.3,114.3,1.819,169.725,135.78,67.89
395,43,52,35,47,3567.2,3567.2,8662,8662,1527381,1527381,1527381,16616799,16673453,16645126,19216441,19211777,19214109,226.3,114.3,1.818,169.725,135.78,67.89
400,43,52,35,48,3567.2,3567.2,8662,8662,1554927,1554927,1554927,16434318,16418199,16426258.5,16154314,16153511,16153912.5,226.3,114.3,1.821,169.725,135.78,67.89
405,43,52,35,48,3567.2,3645.6,8662,8662,1593353,1593353,1593353,20498916,20470643,20484779.5,26941526,26947005,26944265.5,226.4,114.3,1.818,169.8,135.84,67.92
410,43,52,35,48,3567.2,3567.2,8662,8662,1573657,1573657,1573657,17029561,17024530,17027045.5,16794819,16792277,16793548,226.1,114.3,1.824,169.575,135.66,67.83
415,43,52,35,48,3567.2,3645.6,8662,8449,1571857,1571857,1571857,18936997,18970262,18953629.5,18374750,18369971,18372360.5,226,114.2,1.904,169.5,135.6,67.8
420,43,52,35,48,3488.8,3567.2,8662,8662,1559733,1559733,1559733,18555877,18562785,18559331,20684736,20686950,20685843,226,114.2,1.839,169.5,135.6,67.8
425,43,53,35,48,3567.2,3567.2,8662,8662,1531911,1531911,1531911,18047463,17891332,17969397.5,19815460,19813659,19814559.5,226.1,114.3,1.819,169.575,135.66,67.83
430,43,53,35,48,3488.8,3567.2,8662,8449,1464267,1443190,1453728.5,9327244,9482824,9405034,9515082,9506357,9510719.5,226.1,114.2,1.82,169.575,135.66,67.83
435,43,52,35,48,3567.2,3567.2,8662,8662,358973,379990,369481.5,11894834,11838966,11866900,19331919,19336468,19334193.5,226.3,114.3,1.82,169.725,135.78,67.89
440,43,52,35,48,3567.2,3567.2,8662,8662,1557705,1557765,1557735,17457490,17460750,17459120,17471148,17473896,17472522,226.4,114.3,1.82,169.8,135.84,67.92
445,43,53,35,48,3567.2,3567.2,8662,8662,1603802,1603802,1603802,20953811,21012544,20983177.5,19112597,19113258,19112927.5,226.5,114.3,1.823,169.875,135.9,67.95
450,43,52,34,48,3567.2,3567.2,8662,8662,1565963,1565951,1565957,18282480,18231917,18257198.5,21156751,21156849,21156800,226.6,114.4,1.823,169.95,135.96,67.98
455,43,52,34,48,3567.2,3567.2,8662,8662,1537978,1537990,1537984,18819659,18840188,18829923.5,21584750,21588132,21586441,226.6,114.3,1.819,169.95,135.96,67.98
460,43,52,34,48,3567.2,3567.2,8662,8662,1537922,1537922,1537922,16629607,16615215,16622411,16087457,16089791,16088624,226.1,114.3,1.82,169.575,135.66,67.83
465,43,52,34,48,3567.2,3567.2,8662,8662,1595768,1595722,1595745,19028579,19019976,19024277.5,24815163,24805054,24810108.5,226.1,114.3,1.863,169.575,135.66,67.83
470,43,52,34,48,3567.2,3567.2,8662,8662,1589876,1589910,1589893,17885641,17939458,17912549.5,18896159,18901715,18898937,226.1,114.4,1.82,169.575,135.66,67.83
475,42,53,34,48,3567.2,3567.2,8449,8662,1599418,1599430,1599424,18967483,18971616,18969549.5,18300880,18307415,18304147.5,226.2,114.2,1.821,169.65,135.72,67.86
480,43,52,34,48,3567.2,3567.2,8662,8662,991914,990025,990969.5,12648782,12503489,12576135.5,14520379,14444396,14482387.5,226.2,114.3,1.819,169.65,135.72,67.86
485,43,52,34,48,3488.8,3567.2,8662,8662,808987,810876,809931.5,10457855,10434453,10446154,12439919,12513206,12476562.5,226.3,114.2,1.819,169.725,135.78,67.89
490,42,52,34,48,3567.2,3567.2,8662,8662,1539035,1539035,1539035,16754687,16769348,16762017.5,16320074,16314163,16317118.5,226.4,114.2,1.823,169.8,135.84,67.92
495,42,53,34,48,3567.2,3645.6,8662,8449,1564916,1564886,1564901,20272133,20370838,20321485.5,27093995,27092618,27093306.5,226.5,114.3,1.819,169.875,135.9,67.95
500,42,52,34,48,3567.2,3567.2,8662,8662,1598846,1598876,1598861,17241250,17279332,17260291,17978321,17987924,17983122.5,226.5,114.4,1.819,169.875,135.9,67.95
505,43,52,34,48,3645.6,3567.2,8662,8449,1607273,1607273,1607273,17833261,17843298,17838279.5,18011954,18003284,18007619,226.6,114.3,1.821,169.95,135.96,67.98
510,42,52,34,48,3567.2,3567.2,8662,8662,1578615,1578549,1578582,17611060,17446575,17528817.5,21061034,21056921,21058977.5,226,114.3,1.824,169.5,135.6,67.8
515,42,52,34,48,3567.2,3567.2,8662,8662,1564037,1564103,1564070,16923413,16876194,16899803.5,18268883,18277149,18273016,226.1,114.3,1.9,169.575,135.66,67.83
520,42,53,34,48,3567.2,3567.2,8449,8662,1541086,1541080,1541083,17063091,17255187,17159139,18017986,18020169,18019077.5,226.1,114.2,1.819,169.575,135.66,67.83
525,43,51,34,48,3567.2,3645.6,8662,8662,1568131,1568137,1568134,20359304,20339299,20349301.5,27728597,27731873,27730235,226.1,114.1,1.82,169.575,135.66,67.83
530,43,52,34,48,3567.2,3567.2,8662,8662,739192,768140,753666,5136483,5010797,5073640,5537987,5547757,5542872,226.2,114.3,1.82,169.65,135.72,67.86
535,42,52,34,48,3567.2,3567.2,8662,8662,1128845,1099897,1114371,17199952,17219066,17209509,18983547,18965552,18974549.5,226.2,114.3,1.819,169.65,135.72,67.86
540,43,52,34,48,3567.2,3567.2,8662,8662,1579272,1579226,1579249,17714933,17815199,17765066,20609592,20606661,20608126.5,226.3,114.3,1.82,169.725,135.78,67.89
545,42,52,34,48,3567.2,3567.2,8662,8449,1536077,1536123,1536100,18130684,18180945,18155814.5,19264331,19272606,19268468.5,226.3,114.4,1.818,169.725,135.78,67.89
550,42,52,34,48,3567.2,3567.2,8662,8662,1560016,1560016,1560016,16630455,16465298,16547876.5,16523568,16520699,16522133.5,226.4,114.2,1.819,169.8,135.84,67.92
555,42,53,34,48,3567.2,3645.6,8662,8449,1572565,1572515,1572540,17968923,18078380,18023651.5,23644757,23637124,23640940.5,226.3,114.2,1.821,169.725,135.78,67.89
560,42,52,34,48,3567.2,3567.2,8662,8662,1546653,1546703,1546678,16063770,16065157,16064463.5,16129173,16133712,16131442.5,225.9,114.4,1.838,169.425,135.54,67.77
