Time,CPU_0_Temp,CPU_1_Temp,Ambient_Temp0,Ambient_Temp1,Blower_Fan_0,Blower_Fan_1,Axial_Fan_0,Axial_Fan_1,HT0_CPU0_ALL,HT0_CPU1_ALL,HT0,HT1_CPU2_ALL,HT1_CPU3_ALL,HT1,HT2_CPU0_ALL,HT2_CPU1_ALL,HT2,Watts,Volts,Amps,InputDCPwr,AllPwrExtBd,ProcPwr,HT0Scaled,HT1Scaled,HT2Scaled
0,45,49,36,46,3567.2,3567.2,8662,8662,1492353,1524295,1508324,14867238,23647822,19257530,26834902,27847687,27341294.5,208.1,115,1.664,156.075,124.86,62.43,1.442582,15.0760335,15.379378
5,45,48,36,46,3567.2,3567.2,8662,8662,1539398,1539414,1539406,16563599,16558182,16560890.5,15664651,15667779,15666215,208.3,114.9,1.665,156.225,124.98,62.49,1.556059,16.9706065,19.730916
10,45,49,36,46,3567.2,3567.2,8449,8662,1533763,1533763,1533763,15292184,15291950,15292067,15361934,15362781,15362357.5,208.3,115,1.665,156.225,124.98,62.49,1.555716,14.710829,14.7673135
15,45,49,36,46,3567.2,3567.2,8662,8662,1535911,1535869,1535890,18716048,18716168,18716108,23746357,23738029,23742193,208,115,1.665,156,124.8,62.4,1.543454,15.608314,16.2789895
20,45,49,36,46,3645.6,3567.2,8662,8662,1538946,1538988,1538967,14791124,14789973,14790548.5,15125033,15131804,15128418.5,207.8,114.7,1.753,155.85,124.68,62.34,1.534429,14.153957,16.612285
25,45,49,36,46,3645.6,3567.2,8662,8662,1532040,1532040,1532040,15942950,15943866,15943408,16428315,16429929,16429122,207.9,114.9,1.679,155.925,124.74,62.37,1.543369,13.323388,14.0932235
30,45,49,36,46,3567.2,3645.6,8662,8662,1527988,1527988,1527988,18572991,18580575,18576783,23521386,23526653,23524019.5,207.9,115,1.666,155.925,124.74,62.37,1.533059,14.5262855,16.5553815
35,45,49,36,46,3645.6,3567.2,8662,8449,1538386,1538386,1538386,16025865,16018129,16021997,15988363,15981885,15985124,208.1,115,1.668,156.075,124.86,62.43,1.543891,16.9678205,21.229876
40,45,49,36,46,3567.2,3567.2,8662,8662,1349730,1349720,1349725,10468957,10369130,10419043.5,10491577,10493794,10492685.5,208.2,115,1.667,156.15,124.92,62.46,1.424483,9.654506,10.312374
45,45,49,36,46,3567.2,3567.2,8449,8662,410629,410639,410634,12339321,12440113,12389717,17752497,17758728,17755612.5,208.2,114.9,1.664,156.15,124.92,62.46,0.329271,8.453652,8.95415
50,45,49,36,46,3567.2,3645.6,8449,8662,1547187,1547187,1547187,16457219,16455988,16456603.5,15722984,15715332,15719158,208.2,114.8,1.666,156.15,124.92,62.46,1.530476,15.472329,17.4326305
55,45,49,36,46,3567.2,3567.2,8875,8662,1546847,1546812,1546829.5,16376066,16381579,16378822.5,17348230,17347525,17347877.5,208.4,115.1,1.665,156.3,125.04,62.52,1.538914,14.4059515,16.1184915
60,45,49,36,46,3567.2,3567.2,8449,8449,1517057,1517092,1517074.5,17511029,17505243,17508136,21909243,21918865,21914054,208.4,115,1.665,156.3,125.04,62.52,1.541091,14.702698,16.374652
65,45,49,36,46,3567.2,3567.2,8662,8662,1532436,1532436,1532436,16310180,16312276,16311228,15436066,15426965,15431515.5,207.9,115,1.67,155.925,124.74,62.37,1.551,16.230731,20.343542
70,45,49,36,46,3645.6,3567.2,8875,8662,1520048,1520048,1520048,15689297,15689914,15689605.5,16198156,16199588,16198872,208,115,1.718,156,124.8,62.4,1.546658,14.6566745,16.4911
75,45,49,36,46,3645.6,3645.6,8662,8449,1550986,1550986,1550986,18917000,18915844,18916422,24027556,24034139,24030847.5,208,114.9,1.667,156,124.8,62.4,1.546749,14.23951,14.6543695
80,45,49,36,46,3567.2,3567.2,8662,8662,1529432,1529432,1529432,15564839,15564877,15564858,14653992,14646161,14650076.5,208.1,114.9,1.666,156.075,124.86,62.43,1.534272,14.5241065,16.5691525
85,45,49,36,46,3567.2,3567.2,8662,8662,1532775,1532775,1532775,16440608,16441134,16440871,17194413,17195213,17194813,208.1,115,1.666,156.075,124.86,62.43,1.735818,22.2136705,22.6235285
90,45,49,36,46,3567.2,3567.2,8662,8662,953264,953360,953312,11934252,11903433,11918842.5,15810164,15822017,15816090.5,208.2,114.9,1.666,156.15,124.92,62.46,1.0580765,13.421122,14.8558905
95,45,49,36,46,3567.2,3645.6,8662,8662,819051,818955,819003,8505912,8535272,8520592,8025218,8012627,8018922.5,208.3,115,1.665,156.225,124.98,62.49,0.7603095,11.3390385,14.9366875
100,45,49,36,46,3567.2,3567.2,8662,8662,1542029,1542029,1542029,16409094,16411185,16410139.5,15799710,15799751,15799730.5,208.3,114.9,1.666,156.225,124.98,62.49,1.53692,15.218607,16.0723025
105,45,49,36,46,3567.2,3645.6,8662,8662,1539692,1539650,1539671,18731085,18730469,18730777,23589325,23581525,23585425,208.4,115,1.664,156.3,125.04,62.52,1.554422,15.378416,16.4758595
110,45,49,36,46,3567.2,3567.2,8662,8662,1531593,1531635,1531614,14987328,14985505,14986416.5,15333140,15345121,15339130.5,208.3,114.9,1.665,156.225,124.98,62.49,1.52721,15.162444,17.3566635
115,45,49,36,46,3567.2,3567.2,8662,8662,1567141,1567141,1567141,15258160,15260201,15259180.5,17470717,17464321,17467519,207.9,115,1.667,155.925,124.74,62.37,1.523406,15.9713535,17.425708
120,45,49,36,46,3567.2,3645.6,8662,8662,1548742,1548698,1548720,16559473,16556487,16557980,19131876,19126609,19129242.5,208,114.9,1.759,156,124.8,62.4,1.536802,16.491402,17.9087475
125,45,49,36,46,3567.2,3645.6,8662,8662,1531079,1531123,1531101,16429704,16431062,16430383,16757222,16764174,16760698,208.1,114.8,1.667,156.075,124.86,62.43,1.547969,17.0060625,20.1777515
130,45,49,36,46,3567.2,3567.2,8662,8662,1569658,1569658,1569658,15797335,15798122,15797728.5,15043161,15044178,15043669.5,208.1,115.1,1.665,156.075,124.86,62.43,1.534927,15.6005805,15.8469065
