scheduler,timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat
tas,40,0,15.14,6.556,36.73,9.736,7.302
tas,40,1,4.36,65.96,37.48,17.97,13.47
tas,40,2,13.2,11.02,33.35,9.595,7.196
tas,40,3,15.74,5.304,35.48,9.421,7.065
tas,45,0,19.78,8.056,37.98,10.97,8.227
tas,45,1,5.929,83.02,38.85,21.3,15.97
tas,45,2,16.9,15.08,34.48,11.08,8.307
tas,45,3,20.57,6.414,36.73,10.62,7.963
tas,50,0,24.75,9.193,38.6,12.09,9.068
tas,50,1,7.726,99.78,39.48,24.5,18.37
tas,50,2,20.48,21.05,35.1,12.77,9.578
tas,50,3,25.72,7.14,37.35,11.7,8.776
tas,55,0,29.68,10.3,39.23,13.2,9.901
tas,55,1,9.902,114.2,40.35,27.41,20.56
tas,55,2,23.73,28.7,35.23,14.61,10.96
tas,55,3,30.86,7.86,37.85,12.76,9.571
tas,60,0,34.53,11.44,39.73,14.28,10.71
tas,60,1,12.56,125.4,40.98,29.82,22.37
tas,60,2,26.54,38.74,35.23,16.75,12.56
tas,60,3,35.95,8.587,38.23,13.79,10.35
tas,65,0,39.28,12.62,40.35,15.37,11.53
tas,65,1,15.81,133.2,41.73,31.79,23.84
tas,65,2,28.9,51.32,35.23,19.24,14.43
tas,65,3,41.04,9.312,38.73,14.85,11.14
tas,70,0,43.97,13.8,40.85,16.44,12.33
tas,70,1,19.65,137.6,42.23,33.24,24.93
tas,70,2,30.8,66.37,35.23,22.07,16.55
tas,70,3,46.17,10.05,39.1,15.89,11.91
tas,75,0,48.59,15,41.35,17.49,13.12
tas,75,1,24.02,139.3,42.6,34.33,25.74
tas,75,2,32.26,83.9,35.23,25.23,18.92
tas,75,3,51.31,10.79,39.48,16.93,12.7
tas,80,0,53.12,16.25,41.73,18.52,13.89
tas,80,1,28.74,140.3,42.73,35.3,26.47
tas,80,2,33.29,104,35.35,28.77,21.58
tas,80,3,56.42,11.55,39.6,17.93,13.45
tas,85,0,57.58,17.55,42.23,19.56,14.67
tas,85,1,33.54,141.3,42.98,36.3,27.22
tas,85,2,34.28,124.5,35.73,32.42,24.32
tas,85,3,61.51,12.32,39.85,18.95,14.21
tas,90,0,61.98,18.87,42.73,20.6,15.45
tas,90,1,38.47,142.1,43.23,37.31,27.98
tas,90,2,35.19,145.1,35.98,36.05,27.04
tas,90,3,66.62,13.08,40.1,19.97,14.98
tas,95,0,66.44,20.24,43.1,21.63,16.22
tas,95,1,43.46,143,43.48,38.33,28.74
tas,95,2,36.09,166.1,36.23,39.73,29.8
tas,95,3,71.8,13.84,40.35,21,15.75
tas,100,0,70.98,21.55,43.48,22.67,17
tas,100,1,48.47,143.9,43.85,39.36,29.52
tas,100,2,36.96,187.2,36.48,43.43,32.58
tas,100,3,77.01,14.6,40.6,22.04,16.53
tas,105,0,75.55,22.81,43.73,23.68,17.76
tas,105,1,53.36,144.7,44.1,40.37,30.28
tas,105,2,37.79,208,36.73,47.09,35.32
tas,105,3,82.17,15.37,40.73,23.04,17.28
tas,110,0,80.16,24.02,43.85,24.67,18.5
tas,110,1,58.14,145.7,44.48,41.38,31.04
tas,110,2,38.61,229,37.1,50.78,38.08
tas,110,3,87.29,16.13,40.98,24.07,18.05
tas,115,0,84.83,25.16,43.98,25.66,19.25
tas,115,1,62.75,146.7,44.73,42.36,31.77
tas,115,2,39.36,248.8,37.48,54.27,40.7
tas,115,3,92.36,16.88,41.23,25.08,18.81
tas,120,0,89.6,26.24,44.23,26.68,20.01
tas,120,1,67.32,147.7,45.1,43.35,32.51
tas,120,2,40.05,269.2,37.85,57.85,43.39
tas,120,3,97.49,17.64,41.48,26.1,19.58
tas,125,0,94.44,27.32,44.35,27.69,20.76
tas,125,1,71.83,148.8,45.35,44.33,33.25
tas,125,2,40.68,290.5,38.1,61.55,46.16
tas,125,3,102.6,18.41,41.6,27.11,20.33
tas,130,0,99.35,28.37,44.48,28.7,21.52
tas,130,1,76.25,150,45.6,45.3,33.98
tas,130,2,41.26,312.9,38.48,65.44,49.08
tas,130,3,107.7,19.2,41.73,28.11,21.08
tas,135,0,104.2,29.38,44.48,29.68,22.26
tas,135,1,80.65,151.1,45.73,46.24,34.68
tas,135,2,41.8,336.2,38.85,69.48,52.11
tas,135,3,112.8,19.99,41.98,29.13,21.84
tas,140,0,109.1,30.38,44.6,30.68,23.01
tas,140,1,85.06,152.2,45.85,47.19,35.39
tas,140,2,42.32,360.5,39.23,73.68,55.26
tas,140,3,117.9,20.78,42.23,30.15,22.61
tas,145,0,114,31.37,44.73,31.69,23.77
tas,145,1,89.51,153.3,46.1,48.16,36.12
tas,145,2,42.81,385.9,39.6,78.06,58.54
tas,145,3,123,21.58,42.48,31.18,23.39
tas,150,0,119,32.36,44.98,32.73,24.55
tas,150,1,94,154.4,46.23,49.11,36.83
tas,150,2,43.27,412.4,39.73,82.57,61.93
tas,150,3,128.2,22.4,42.6,32.2,24.15
tas,155,0,124.1,33.37,45.23,33.78,25.34
tas,155,1,98.56,155.6,46.48,50.11,37.58
tas,155,2,43.75,441.2,39.98,87.48,65.61
tas,155,3,133.4,23.23,42.73,33.23,24.92
tas,160,0,129.1,34.38,45.35,34.81,26.11
tas,160,1,103.1,156.8,46.6,51.08,38.31
tas,160,2,44.22,470.3,40.23,92.46,69.35
tas,160,3,138.6,24.06,42.98,34.27,25.7
tas,165,0,134.1,35.34,45.48,35.82,26.87
tas,165,1,107.7,157.9,46.73,52.05,39.04
tas,165,2,44.71,499.7,40.48,97.48,73.11
tas,165,3,143.8,24.88,43.23,35.31,26.48
tas,170,0,139.1,36.3,45.6,36.84,27.63
tas,170,1,112.3,159,46.85,53.02,39.77
tas,170,2,45.19,529.2,40.6,102.5,76.88
tas,170,3,149,25.7,43.48,36.37,27.27
tas,175,0,144.2,37.27,45.85,37.88,28.41
tas,175,1,116.8,160.2,47.1,54.01,40.51
tas,175,2,45.67,558.7,40.73,107.5,80.63
tas,175,3,154.3,26.54,43.6,37.4,28.05
tas,180,0,149.3,38.24,45.98,38.91,29.18
tas,180,1,121.4,161.3,47.35,55.01,41.25
tas,180,2,46.14,588.1,40.85,112.5,84.38
tas,180,3,159.4,27.37,43.73,38.42,28.81
tas,185,0,154.3,39.21,46.1,39.93,29.95
tas,185,1,125.9,162.5,47.48,55.99,41.99
tas,185,2,46.62,617.4,40.98,117.5,88.12
tas,185,3,164.6,28.2,43.85,39.44,29.58
tas,190,0,159.3,40.19,46.1,40.92,30.69
tas,190,1,130.4,163.8,47.6,56.97,42.73
tas,190,2,47.09,646.8,41.1,122.5,91.87
tas,190,3,169.8,29.02,43.98,40.47,30.35
tas,195,0,164.2,41.16,46.1,41.92,31.44
tas,195,1,135,164.9,47.73,57.94,43.45
tas,195,2,47.56,676,41.23,127.5,95.6
tas,195,3,175,29.86,44.1,41.5,31.12
tas,200,0,169.3,42.13,46.23,42.93,32.2
tas,200,1,139.5,166.1,47.85,58.91,44.18
tas,200,2,48.02,705.2,41.35,132.4,99.32
tas,200,3,180.2,30.68,44.1,42.51,31.88
tas,205,0,174.3,43.1,46.35,43.96,32.97
tas,205,1,144,167.3,47.98,59.88,44.91
tas,205,2,48.48,734.3,41.48,137.4,103
tas,205,3,185.4,31.52,44.1,43.51,32.63
tas,210,0,179.3,44.09,46.48,44.98,33.73
tas,210,1,148.6,168.4,48.1,60.85,45.64
tas,210,2,48.94,763.5,41.6,142.3,106.8
tas,210,3,190.6,32.35,44.23,44.52,33.39
tas,215,0,184.3,45.07,46.6,45.99,34.49
tas,215,1,153.1,169.6,48.1,61.8,46.35
tas,215,2,49.4,792.8,41.73,147.3,110.5
tas,215,3,195.8,33.19,44.35,45.55,34.16
tas,220,0,189.2,46.05,46.73,47,35.25
tas,220,1,157.6,170.8,48.1,62.75,47.06
tas,220,2,49.85,821.7,41.85,152.2,114.2
tas,220,3,201,34.06,44.35,46.57,34.93
tas,225,0,194.2,47.03,46.85,48.02,36.02
tas,225,1,162.1,171.9,48.35,63.73,47.8
tas,225,2,50.31,850.7,41.98,157.2,117.9
tas,225,3,206.2,34.94,44.48,47.6,35.7
tas,230,0,199.3,48.01,46.98,49.04,36.78
tas,230,1,166.6,173.1,48.35,64.67,48.51
tas,230,2,50.76,879.5,42.1,162.1,121.5
tas,230,3,211.3,35.81,44.6,48.62,36.46
tas,235,0,204.3,48.99,47.1,50.06,37.55
tas,235,1,171.1,174.2,48.6,65.66,49.24
tas,235,2,51.21,908.5,42.1,167,125.2
tas,235,3,216.5,36.69,44.73,49.64,37.23
tas,240,0,209.2,49.97,47.1,51.05,38.29
tas,240,1,175.7,175.3,48.85,66.64,49.98
tas,240,2,51.66,937.7,42.1,171.9,128.9
tas,240,3,221.6,37.57,44.85,50.68,38.01
tas,245,0,214.2,50.95,47.1,52.05,39.03
tas,245,1,180.2,176.4,49.1,67.62,50.72
tas,245,2,52.11,966.8,42.1,176.8,132.6
tas,245,3,226.9,38.45,44.98,51.71,38.78
tas,250,0,219.2,51.93,47.1,53.04,39.78
tas,250,1,184.7,177.6,49.35,68.61,51.46
tas,250,2,52.56,995.9,42.23,181.8,136.3
tas,250,3,232,39.33,44.98,52.72,39.54
tas,255,0,224.3,52.9,47.1,54.04,40.53
tas,255,1,189.3,178.7,49.6,69.59,52.19
tas,255,2,53.02,1025,42.35,186.7,140
tas,255,3,237.2,40.21,44.98,53.72,40.29
tas,260,0,229.2,53.88,47.1,55.04,41.28
tas,260,1,193.8,179.8,49.85,70.57,52.93
tas,260,2,53.46,1054,42.48,191.6,143.7
tas,260,3,242.3,41.04,45.1,54.74,41.06
tas,265,0,234.2,54.86,47.23,56.04,42.03
tas,265,1,198.3,180.9,49.85,71.51,53.63
tas,265,2,53.9,1082,42.6,196.4,147.3
tas,265,3,247.5,41.88,45.1,55.75,41.81
tas,270,0,239.1,55.85,47.35,57.05,42.79
tas,270,1,202.8,182,50.1,72.48,54.36
tas,270,2,54.34,1111,42.73,201.3,151
tas,270,3,252.7,42.71,45.1,56.75,42.56
tas,275,0,244.1,56.84,47.48,58.07,43.55
tas,275,1,207.3,183.2,50.1,73.42,55.06
tas,275,2,54.78,1139,42.85,206.1,154.6
tas,275,3,257.9,43.55,45.1,57.75,43.31
tas,280,0,249.1,57.82,47.48,59.07,44.3
tas,280,1,211.7,184.4,50.1,74.37,55.78
tas,280,2,55.22,1168,42.98,211,158.2
tas,280,3,263,44.39,45.23,58.77,44.08
tas,285,0,254.1,58.8,47.6,60.08,45.06
tas,285,1,216.2,185.6,50.1,75.32,56.49
