pic0: pic0=bus_tran_any,umask=0x20
pic1: pic1=l2_rqsts,umask=0x4f
   time cpu event      pic0      pic1 
  5.001   1  tick 219062069         0 
  5.011   3  tick 200864719         0 
  5.011   6  tick 239632679         0 
  5.011   0  tick 244244480         0 
  5.011   2  tick 224317557         0 
  5.011   7  tick 193913332         0 
  5.011   5  tick 235509812         0 
  5.011   4  tick 240371377         0 
 10.011   2  tick 218571142         0 
 10.011   0  tick 219264798         0 
 10.011   7  tick 223392816         0 
 10.011   3  tick 241122074         0 
 10.011   1  tick 218289279         0 
 10.012   5  tick 226960882         0 
 10.013   6  tick 256159463         0 
 10.538   4  tick 214896355         0 
 15.003   4  tick 123451941         0 
 15.011   1  tick 132489575         0 
 15.011   7  tick 213027612         0 
 15.011   6  tick 128843836         0 
 15.011   5  tick 224308806         0 
 15.211   0  tick 128874781         0 
 15.316   2  tick 113546446         0 
 15.682   3  tick 120617114         0 
 20.002   1  tick 168879574         0 
 20.002   2  tick 170800287         0 
 20.011   3  tick 157380918         0 
 20.011   4  tick 183178824         0 
 20.011   6  tick 167763399         0 
 20.011   5  tick 188425937         0 
 20.011   7  tick 170427574         0 
 20.011   0  tick 158367655         0 
 25.011   2  tick  55699061         0 
 25.011   0  tick 158075866         0 
 25.011   6  tick 139090496         0 
 25.011   4  tick 185869354         0 
 25.011   5  tick 159891736         0 
 25.011   7  tick 176189099         0 
 25.011   3  tick 173896873         0 
 25.014   1  tick  72432400         0 
 30.011   4  tick 204658598         0 
 30.011   1  tick 205008909         0 
 30.011   7  tick 114114860         0 
 30.024   6  tick 214018201         0 
 30.430   5  tick 200181167         0 
 30.351   2  tick 122805426         0 
 30.776   3  tick 192612716         0 
 31.901   0  tick 189926451         0 
 35.002   1  tick 103425026         0 
 35.011   4  tick 100926084         0 
 35.011   6  tick 154361637         0 
 35.011   3  tick  80623482         0 
 35.011   0  tick  73727575         0 
 35.011   7  tick  88020971         0 
 35.231   5  tick  27925788         0 
 36.257   2  tick 137426644         0 
 40.011   4  tick 231642431         0 
 40.011   1  tick 224990672         0 
 40.011   3  tick 225548314         0 
 40.011   5  tick 193573706         0 
 40.011   0  tick 220409569         0 
 40.011   6  tick 224152881         0 
 40.011   7  tick 202480286         0 
 40.011   2  tick 158060821         0 
 45.011   5  tick 165661174         0 
 48.301   6  tick 193543932         0 
 48.405   7  tick 209024619         0 
 48.556   0  tick 160533684         0 
 48.953   3  tick 206978603         0 
