,,,,,,,,,,,,,,,,,,Real Temp Difference,,,
scheduler,run,timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat,,Average of coretemp_av,,cpu,,,,,,CPU,,,
ule,1,95,0,13.15,16.07,34.35,10.59,7.945,,,255,35.480,37.477,34.603,34.893,,255,-1.370,-2.957,2.253,0.210
ule,1,95,1,44.53,62.69,39.1,24.39,18.29,,,260,35.437,37.143,34.893,34.933,,260,-1.457,-3.290,2.503,0.207
ule,1,95,2,4.315,6.697,30.1,6.852,5.139,,,265,35.480,37.393,34.770,34.933,,265,-1.247,-3.207,2.337,0.167
ule,1,95,3,1.226,1.769,33.1,6.016,4.512,,,270,35.393,37.100,35.103,34.977,,270,-1.333,-3.500,2.670,0.210
ule,1,100,0,14.68,18.07,34.48,11.2,8.403,,,275,35.437,37.310,34.977,34.977,,275,-1.497,-3.123,2.543,0.210
ule,1,100,1,47.62,66.99,39.23,25.64,19.23,,,280,35.437,37.310,35.020,35.017,,280,-1.373,-3.290,2.587,0.250
ule,1,100,2,4.319,6.722,30.23,6.878,5.158,,,285,35.517,37.600,34.810,35.183,,285,-1.500,-2.833,2.417,0.417
ule,1,100,3,1.226,1.773,33.23,6.037,4.528,,,290,35.560,37.727,34.850,35.183,,290,-1.417,-2.707,2.457,0.417
ule,1,105,0,16.42,20.36,34.6,11.9,8.923,,,295,35.643,38.017,34.770,35.183,,295,-1.373,-2.417,2.377,0.417
ule,1,105,1,50.5,70.99,39.35,26.81,20.11,,,300,35.687,38.143,34.810,35.183,,300,-1.163,-2.457,2.417,0.417
ule,1,105,2,4.324,6.747,30.35,6.903,5.178,,,305,35.687,38.310,34.683,35.183,,305,-1.163,-2.290,2.290,0.417
ule,1,105,3,1.227,1.776,33.35,6.059,4.544,,,310,35.810,38.687,34.393,35.143,,310,-1.250,-1.747,2.000,0.377
ule,1,110,0,18.06,22.51,34.73,12.55,9.412,,,315,35.850,38.893,34.310,35.143,,315,-1.210,-1.540,1.917,0.377
ule,1,110,1,53.49,75.16,39.48,28.02,21.02,,,320,35.810,38.810,34.480,35.187,,320,-1.333,-1.417,2.130,0.460
ule,1,110,2,4.328,6.771,30.48,6.929,5.197,,,325,35.810,38.687,34.437,35.187,,325,-1.333,-1.540,2.043,0.460
ule,1,110,3,1.227,1.779,33.48,6.08,4.56,,,330,35.810,38.770,34.270,35.187,,330,-1.707,-1.123,1.877,0.460
ule,1,115,0,19.69,24.68,34.85,13.2,9.902,,,335,35.770,38.437,34.517,35.187,,335,-1.580,-1.623,2.123,0.460
ule,1,115,1,56.48,79.34,39.6,29.24,21.93,,,340,35.770,38.437,34.517,35.187,,340,-1.747,-1.457,2.123,0.417
ule,1,115,2,4.333,6.797,30.6,6.955,5.216,,,345,35.810,38.310,34.687,35.227,,345,-1.873,-1.417,2.250,0.457
ule,1,115,3,1.228,1.783,33.6,6.102,4.576,,,350,35.770,38.020,34.977,35.270,,350,-1.913,-1.707,2.500,0.500
ule,1,120,0,21,26.38,34.98,13.73,10.29,,,355,35.770,37.853,35.063,35.270,,355,-1.913,-1.873,2.543,0.500
