scheduler,run,timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat,,Average of coretemp_av,,cpu,,,,
tas,1,150,0,49.49,0.3915,35.48,14.23,10.67,,,145,34.4,37.4,31.9,33.5,
tas,1,155,0,52.24,0.4052,35.6,14.71,11.03,,,150,34.7,37.2,31.9,33.6,
tas,1,160,0,55.21,0.418,35.73,15.22,11.42,,,155,34.5,37.3,32.3,33.8,
tas,1,165,0,58.18,0.4308,35.73,15.72,11.79,,,160,34.6,37.6,32.2,33.8,
tas,1,170,0,60.94,0.4446,34.98,16.06,12.05,,,165,34.9,37.4,32.2,33.9,
tas,1,175,0,63.15,0.4569,35.23,16.47,12.35,,,170,34.8,37.9,32.1,33.9,
tas,1,180,0,65.73,0.4672,35.35,16.93,12.69,,,175,34.9,38.0,32.2,33.7,
tas,1,185,0,68.31,0.4776,35.35,17.36,13.02,,,180,35.0,38.3,32.1,33.5,
tas,1,190,0,70.24,0.4883,34.73,17.58,13.18,,,185,35.1,38.3,32.1,33.5,
tas,1,195,0,72.15,0.4991,34.73,17.9,13.42,,,190,34.9,38.6,32.4,33.3,
tas,1,200,0,74.76,0.5063,35.6,18.48,13.86,,,195,35.0,39.1,32.0,33.3,
tas,1,205,0,77.45,0.5135,35.6,18.93,14.2,,,200,35.3,38.9,32.0,33.3,
tas,1,210,0,79.45,0.5199,35.85,19.3,14.48,,,205,35.1,39.1,32.1,33.3,
tas,1,215,0,81.63,0.5263,35.98,19.69,14.77,,,210,35.2,39.2,32.2,33.4,
tas,1,220,0,83.48,0.5302,36.23,20.04,15.03,,,215,35.2,39.2,32.3,33.4,
tas,1,225,0,85.52,0.5375,36.1,20.36,15.27,,,220,35.4,39.8,31.9,33.4,
tas,1,230,0,87.28,0.5447,36.23,20.67,15.51,,,225,35.4,39.3,32.3,33.7,
tas,1,235,0,89.05,0.552,36.35,20.99,15.74,,,230,35.4,39.4,32.3,33.7,
tas,1,240,0,90.03,0.5594,35.73,21.05,15.79,,,235,35.5,39.3,32.4,34.1,
tas,1,40,1,9.297,0.01055,34.35,7.276,5.457,,,240,35.2,39.4,32.7,34.1,
tas,1,45,1,12.55,0.01274,35.35,7.986,5.99,,tas Total,,34.0,37.5,31.3,32.8,
tas,1,50,1,15.81,0.01467,35.6,8.571,6.428,,ule,40,34.4,38.2,29.4,31.9,
tas,1,55,1,18.1,0.01676,35.1,8.869,6.652,,,45,34.8,38.6,29.9,31.9,
tas,1,60,1,21.09,0.01857,35.35,9.409,7.057,,,50,34.9,38.7,30.0,32.0,
tas,1,65,1,24.08,0.02014,35.6,9.95,7.462,,,55,35.1,38.8,30.1,32.2,
tas,1,70,1,28.04,0.02159,36.48,10.76,8.067,,,60,35.1,38.9,30.2,32.3,
tas,1,75,1,31.03,0.02313,35.98,11.17,8.378,,,65,35.2,39.0,30.3,32.4,
tas,1,80,1,34.78,0.02438,35.98,11.8,8.847,,,70,35.5,38.7,30.5,32.5,
tas,1,85,1,37.69,0.02583,35.35,12.18,9.133,,,75,35.7,39.1,30.3,32.5,
tas,1,90,1,41.56,0.02705,36.35,12.99,9.743,,,80,35.6,39.4,30.4,32.6,
tas,1,95,1,45.44,0.02844,36.48,13.66,10.24,,,85,35.4,39.6,30.4,32.9,
tas,1,100,1,49.32,0.02982,36.6,14.32,10.74,,,90,35.3,39.7,30.7,33.1,
tas,1,105,1,53.89,0.03107,37.48,15.23,11.42,,,95,35.4,39.8,30.8,33.1,
tas,1,110,1,58.03,0.03247,37.6,15.94,11.96,,,100,35.7,39.8,30.6,33.2,
tas,1,115,1,62.83,0.03385,38.48,16.89,12.67,,,105,35.9,39.4,30.7,33.5,
tas,1,120,1,66.66,0.03537,37.85,17.42,13.07,,,110,35.9,39.4,30.9,33.6,
tas,1,125,1,71.46,0.03666,38.73,18.37,13.78,,,115,35.7,39.4,31.0,33.8,
tas,1,130,1,75.29,0.03826,38.1,18.9,14.18,,,120,35.6,39.3,31.3,33.9,
tas,1,135,1,79.12,0.03969,38.1,19.54,14.66,,,125,35.8,39.6,31.3,33.7,
tas,1,140,1,81.99,0.04135,37.35,19.9,14.92,,,130,35.9,39.9,31.0,33.7,
tas,1,145,1,85.12,0.04293,37.48,20.44,15.33,,,135,36.1,39.7,31.1,33.8,
tas,1,150,1,87.73,0.04468,36.85,20.77,15.58,,,140,36.1,39.8,31.1,33.8,
tas,1,155,1,90.52,0.04634,36.98,21.26,15.94,,,145,36.0,40.0,31.4,33.6,
tas,1,160,1,93.31,0.04822,37.1,21.74,16.31,,,150,35.9,40.5,31.3,33.7,
tas,1,165,1,96.1,0.05009,37.1,22.21,16.66,,,155,35.9,40.8,31.3,33.6,
tas,1,170,1,98.89,0.05192,37.1,22.67,17.01,,,160,36.4,40.6,31.1,33.6,
tas,1,175,1,102.7,0.05354,37.98,23.45,17.59,,,165,36.5,40.6,31.1,33.6,
tas,1,180,1,106.4,0.05512,38.1,24.09,18.07,,,170,36.7,40.2,31.4,33.7,
tas,1,185,1,110.2,0.0567,38.1,24.72,18.54,,,175,36.4,40.3,31.7,33.7,
tas,1,190,1,114.6,0.05805,38.85,25.59,19.19,,,180,36.5,40.4,31.8,33.8,
tas,1,195,1,119.1,0.05938,38.85,26.33,19.75,,,185,36.6,40.7,31.5,33.8,
tas,1,200,1,123.5,0.06074,38.85,27.07,20.3,,,190,36.6,40.5,31.8,33.8,
tas,1,205,1,127.9,0.06211,38.85,27.8,20.85,,,195,36.6,40.6,31.8,33.8,
tas,1,210,1,133.2,0.06321,39.6,28.81,21.61,,,200,36.4,40.9,31.8,33.8,
tas,1,215,1,138.3,0.06435,39.6,29.66,22.25,,,205,36.4,40.9,31.9,33.8,
tas,1,220,1,144.3,0.06531,40.35,30.79,23.09,,,210,36.4,40.9,31.9,33.8,
tas,1,225,1,149.4,0.0665,39.6,31.51,23.63,,,215,36.5,41.1,31.7,33.8,
tas,1,230,1,154.8,0.06758,39.73,32.43,24.32,,,220,36.2,41.1,32.0,33.8,
tas,1,235,1,160.1,0.06866,39.85,33.34,25,,,225,36.5,40.9,32.0,33.8,
tas,1,240,1,166.3,0.06945,40.73,34.51,25.88,,,230,37.0,40.7,31.7,33.8,
tas,1,40,2,8.561,0.06061,27.98,6.099,4.575,,,235,37.4,40.5,31.7,33.8,
tas,1,45,2,10.34,0.07493,28.35,6.461,4.846,,,240,37.6,40.3,31.8,33.8,
tas,1,50,2,12.04,0.0886,28.6,6.789,5.091,,ule Total,,36.0,39.9,31.1,33.3,
tas,1,55,2,14.72,0.1062,29.73,7.424,5.568,,,,,,,,
tas,1,60,2,17.39,0.1238,30.1,7.935,5.951,,,,,,,,
tas,1,65,2,20.66,0.1439,30.73,8.589,6.442,,,,,,,,
tas,1,70,2,22.97,0.16,30.23,8.893,6.67,,,,,,,,
tas,1,75,2,26.09,0.1789,31.1,9.561,7.171,,,,,,,,
tas,1,80,2,29.2,0.1979,31.35,10.13,7.594,,,,,,,,
tas,1,85,2,32.84,0.219,32.1,10.86,8.145,,,,,,,,
tas,1,90,2,35.75,0.237,31.48,11.24,8.433,,,,,,,,
tas,1,95,2,38.47,0.2543,31.6,11.72,8.791,,,,,,,,
tas,1,100,2,41.2,0.2715,31.73,12.2,9.149,,,,,,,,
tas,1,105,2,43.32,0.2862,31.1,12.45,9.338
tas,1,110,2,45.43,0.3008,31.1,12.81,9.604
tas,1,115,2,46.75,0.312,30.48,12.92,9.692
tas,1,120,2,49.02,0.3271,31.23,13.43,10.07
tas,1,125,2,50.76,0.3402,30.73,13.64,10.23
tas,1,130,2,52.51,0.3531,30.73,13.93,10.45
tas,1,135,2,53.48,0.3626,30.35,14.03,10.52
tas,1,140,2,55.41,0.3761,31.23,14.5,10.88
tas,1,145,2,57.34,0.3894,31.35,14.85,11.13
tas,1,150,2,59.27,0.4027,31.35,15.17,11.38
tas,1,155,2,61.2,0.4158,31.48,15.52,11.64
tas,1,160,2,62.9,0.428,31.6,15.82,11.87
tas,1,165,2,64.6,0.4399,31.6,16.11,12.08
tas,1,170,2,66.52,0.4528,32.48,16.57,12.43
tas,1,175,2,68.43,0.4658,32.23,16.85,12.64
tas,1,180,2,69.96,0.4771,32.23,17.11,12.83
tas,1,185,2,71.5,0.4885,32.23,17.37,13.03
tas,1,190,2,73.03,0.5,32.35,17.65,13.24
tas,1,195,2,74.57,0.5116,32.35,17.9,13.43
tas,1,200,2,75.37,0.5201,31.6,17.92,13.44
tas,1,205,2,76.18,0.5286,31.73,18.07,13.55
tas,1,210,2,76.77,0.536,31.1,18.07,13.55
tas,1,215,2,77.36,0.5435,31.23,18.19,13.64
tas,1,220,2,77.37,0.5488,30.6,18.09,13.56
tas,1,225,2,78.15,0.5574,31.35,18.34,13.76
tas,1,230,2,78.94,0.5659,31.48,18.5,13.87
tas,1,235,2,79.72,0.5742,31.6,18.65,13.99
tas,1,240,2,80.5,0.5825,31.73,18.8,14.1
tas,1,40,3,1.604,0.01413,30.6,5.37,4.027
tas,1,45,3,2.004,0.01691,30.73,5.458,4.093
tas,1,50,3,2.405,0.01958,30.85,5.546,4.159
tas,1,55,3,2.806,0.02264,31.23,5.676,4.257
tas,1,60,3,3.207,0.0257,31.35,5.764,4.323
tas,1,65,3,3.208,0.02701,30.98,5.702,4.276
tas,1,70,3,3.21,0.0283,30.98,5.702,4.277
tas,1,75,3,3.211,0.02951,31.23,5.744,4.308
tas,1,80,3,3.212,0.03073,31.48,5.786,4.34
tas,1,85,3,3.213,0.03203,31.73,5.828,4.371
tas,1,90,3,3.214,0.03323,31.85,5.85,4.387
tas,1,95,3,3.215,0.03415,31.98,5.871,4.403
tas,1,100,3,3.216,0.03509,32.1,5.892,4.419
tas,1,105,3,3.217,0.03579,32.1,5.892,4.419
tas,1,110,3,3.218,0.03651,32.23,5.913,4.435
tas,1,115,3,3.219,0.03726,32.23,5.913,4.435
tas,1,120,3,3.22,0.03801,32.35,5.935,4.451
tas,1,125,3,3.22,0.03873,32.35,5.935,4.451
tas,1,130,3,3.221,0.03955,32.35,5.935,4.451
tas,1,135,3,3.618,0.04226,33.1,6.127,4.595
tas,1,140,3,4.015,0.04543,33.23,6.214,4.661
tas,1,145,3,4.412,0.04873,33.35,6.302,4.726
tas,1,150,3,4.809,0.05217,33.48,6.389,4.792
tas,1,155,3,5.206,0.05572,33.6,6.477,4.858
tas,1,160,3,5.603,0.0594,33.6,6.544,4.908
tas,1,165,3,6,0.06313,33.73,6.631,4.974
tas,1,170,3,6.398,0.06691,33.85,6.719,5.039
tas,1,175,3,6.399,0.06883,33.1,6.595,4.946
tas,1,180,3,6.4,0.07041,33.23,6.616,4.962
tas,1,185,3,6.4,0.07189,33.23,6.616,4.962
tas,1,190,3,6.401,0.07321,33.23,6.617,4.962
tas,1,195,3,6.402,0.07441,33.23,6.617,4.963
tas,1,200,3,6.402,0.07562,33.23,6.617,4.963
tas,1,205,3,6.403,0.07683,33.23,6.617,4.963
tas,1,210,3,6.403,0.07799,33.23,6.618,4.963
tas,1,215,3,6.404,0.07913,33.23,6.618,4.964
tas,1,220,3,6.404,0.08018,33.1,6.597,4.948
tas,1,225,3,6.405,0.08147,33.23,6.619,4.964
tas,1,230,3,6.406,0.08291,33.23,6.619,4.964
tas,1,235,3,6.407,0.08449,33.23,6.619,4.965
tas,1,240,3,6.408,0.08607,33.35,6.641,4.981
tas,2,40,0,2.263,0.0401,31.35,5.609,4.207
tas,2,45,0,3.355,0.05085,31.73,5.855,4.391
tas,2,50,0,5.075,0.06095,31.98,6.185,4.639
tas,2,55,0,6.994,0.07435,32.1,6.528,4.896
tas,2,60,0,8.809,0.08777,32.23,6.854,5.14
tas,2,65,0,10.6,0.1011,32.35,7.176,5.382
tas,2,70,0,12.4,0.1145,32.48,7.497,5.623
tas,2,75,0,14.35,0.1301,32.48,7.825,5.869
tas,2,80,0,15.72,0.1443,32.85,8.119,6.089
tas,2,85,0,17.13,0.1584,32.98,8.378,6.283
tas,2,90,0,18.38,0.1725,33.1,8.609,6.457
tas,2,95,0,19.64,0.1866,33.1,8.821,6.615
tas,2,100,0,20.89,0.2051,33.1,9.033,6.775
tas,2,105,0,22.15,0.2192,33.35,9.286,6.965
tas,2,110,0,24.17,0.2338,33.35,9.626,7.219
tas,2,115,0,25.84,0.2501,33.48,9.928,7.446
tas,2,120,0,27.52,0.2664,33.48,10.21,7.658
tas,2,125,0,29.2,0.2827,33.6,10.51,7.886
tas,2,130,0,30.44,0.3033,33.48,10.7,8.027
tas,2,135,0,31.47,0.3205,33.85,10.94,8.205
tas,2,140,0,32.55,0.3375,33.85,11.12,8.342
tas,2,145,0,33.63,0.3545,33.98,11.33,8.495
tas,2,150,0,33.96,0.3753,33.98,11.39,8.539
tas,2,155,0,34.29,0.3983,33.98,11.44,8.583
tas,2,160,0,34.63,0.4215,34.1,11.53,8.644
tas,2,165,0,35.85,0.4445,34.73,11.84,8.878
tas,2,170,0,37.08,0.4635,34.98,12.09,9.065
tas,2,175,0,38.76,0.4844,34.85,12.35,9.262
tas,2,180,0,40.4,0.5014,35.1,12.67,9.5
tas,2,185,0,42.05,0.5228,34.98,12.92,9.694
tas,2,190,0,43.69,0.5399,35.23,13.24,9.932
tas,2,195,0,45.5,0.5506,35.48,13.59,10.19
tas,2,200,0,47.34,0.5653,35.35,13.88,10.41
tas,2,205,0,48.24,0.5803,34.85,13.94,10.46
tas,2,210,0,49.14,0.5994,34.73,14.08,10.56
tas,2,215,0,49.59,0.6165,34.85,14.18,10.63
tas,2,220,0,50.75,0.6333,34.98,14.39,10.79
tas,2,225,0,52.47,0.6473,34.98,14.68,11.01
tas,2,230,0,54.19,0.6654,34.85,14.95,11.21
tas,2,235,0,55.73,0.6836,34.98,15.23,11.42
tas,2,240,0,57.64,0.7,34.98,15.55,11.66
tas,2,40,1,21.34,0.007196,35.23,9.43,7.072
tas,2,45,1,26.85,0.008826,36.23,10.51,7.886
tas,2,50,1,31.71,0.01034,36.6,11.39,8.54
tas,2,55,1,35.6,0.01206,36.1,11.95,8.964
tas,2,60,1,39.6,0.01365,36.35,12.66,9.496
tas,2,65,1,43.6,0.0154,36.48,13.35,10.01
tas,2,70,1,47.6,0.01711,36.85,14.08,10.56
tas,2,75,1,50.83,0.0189,36.23,14.51,10.88
tas,2,80,1,55.02,0.02041,37.23,15.38,11.53
tas,2,85,1,59.18,0.02194,37.35,16.09,12.07
tas,2,90,1,63.5,0.02343,37.48,16.83,12.63
tas,2,95,1,67.83,0.02485,37.48,17.55,13.17
tas,2,100,1,71.18,0.02637,36.85,18.01,13.51
tas,2,105,1,75.51,0.02748,37.73,18.88,14.16
tas,2,110,1,78.86,0.02894,36.98,19.31,14.48
tas,2,115,1,82.22,0.0303,36.98,19.87,14.9
tas,2,120,1,85.57,0.03168,37.1,20.45,15.34
tas,2,125,1,88.92,0.03303,37.23,21.03,15.77
tas,2,130,1,91.78,0.03454,36.6,21.4,16.05
tas,2,135,1,95.61,0.03586,37.6,22.21,16.66
tas,2,140,1,99.44,0.03724,37.73,22.87,17.15
tas,2,145,1,103.3,0.03861,37.85,23.53,17.64
tas,2,150,1,107.1,0.03973,37.85,24.16,18.12
tas,2,155,1,110.9,0.04479,37.98,24.82,18.62
tas,2,160,1,114.8,0.0499,37.98,25.46,19.1
tas,2,165,1,117.7,0.05537,37.23,25.82,19.37
tas,2,170,1,121.5,0.06057,37.98,26.59,19.94
tas,2,175,1,124.4,0.06604,37.23,26.95,20.21
tas,2,180,1,128.3,0.0714,37.98,27.72,20.79
tas,2,185,1,131.2,0.07695,37.23,28.08,21.06
tas,2,190,1,135,0.08241,38.1,28.87,21.65
tas,2,195,1,139.7,0.08386,38.85,29.76,22.32
tas,2,200,1,143.3,0.08538,38.1,30.25,22.69
tas,2,205,1,148,0.08653,38.85,31.15,23.36
tas,2,210,1,151.7,0.08774,38.1,31.64,23.73
tas,2,215,1,156.3,0.08869,38.98,32.56,24.42
tas,2,220,1,160.2,0.09018,39.1,33.24,24.93
tas,2,225,1,164.2,0.09178,39.1,33.89,25.42
tas,2,230,1,167.1,0.0935,38.48,34.28,25.71
tas,2,235,1,170.3,0.09515,38.6,34.83,26.12
tas,2,240,1,173.4,0.09696,38.73,35.37,26.53
tas,2,40,2,4.171,0.04234,28.23,5.406,4.055
tas,2,45,2,5.494,0.05465,28.6,5.691,4.269
tas,2,50,2,6.816,0.06652,28.98,5.976,4.482
tas,2,55,2,8.901,0.0816,29.85,6.472,4.854
tas,2,60,2,10.99,0.09666,29.98,6.843,5.132
tas,2,65,2,13.09,0.1117,30.1,7.217,5.413
tas,2,70,2,15.2,0.1268,30.35,7.613,5.71
tas,2,75,2,17.92,0.1439,31.35,8.235,6.176
tas,2,80,2,20.26,0.1594,30.73,8.524,6.393
tas,2,85,2,22.6,0.1749,30.85,8.938,6.704
tas,2,90,2,24.95,0.1902,30.98,9.352,7.014
tas,2,95,2,26.53,0.2022,30.6,9.555,7.166
tas,2,100,2,29.08,0.2184,31.48,10.13,7.596
tas,2,105,2,30.66,0.2303,30.85,10.29,7.717
tas,2,110,2,32.24,0.2421,31.1,10.6,7.948
tas,2,115,2,34.18,0.2553,31.1,10.92,8.192
tas,2,120,2,36.12,0.2687,31.1,11.25,8.436
tas,2,125,2,38.06,0.2819,31.23,11.59,8.696
tas,2,130,2,40.95,0.2992,31.98,12.2,9.153
tas,2,135,2,43.84,0.3168,31.85,12.67,9.501
tas,2,140,2,46.68,0.3341,31.98,13.16,9.873
tas,2,145,2,49.52,0.3516,32.1,13.66,10.25
tas,2,150,2,52.36,0.3688,32.23,14.16,10.62
tas,2,155,2,55.19,0.3877,32.35,14.66,10.99
tas,2,160,2,58.03,0.4071,32.48,15.15,11.36
tas,2,165,2,60.87,0.4266,32.48,15.63,11.72
tas,2,170,2,62.76,0.4422,31.85,15.84,11.88
tas,2,175,2,65.15,0.4599,32.6,16.37,12.28
tas,2,180,2,66.62,0.4737,31.85,16.49,12.37
tas,2,185,2,69.04,0.4917,32.6,17.02,12.77
tas,2,190,2,71.45,0.5101,32.48,17.41,13.05
tas,2,195,2,72.9,0.5228,31.85,17.55,13.16
tas,2,200,2,75.29,0.5388,32.6,18.07,13.55
tas,2,205,2,77.68,0.5549,32.73,18.49,13.87
tas,2,210,2,81.02,0.5749,33.48,19.18,14.38
tas,2,215,2,83.85,0.5927,32.85,19.55,14.66
tas,2,220,2,86.69,0.6107,32.98,20.05,15.03
tas,2,225,2,88.58,0.6242,32.48,20.28,15.21
tas,2,230,2,91.44,0.6417,33.1,20.86,15.65
tas,2,235,2,94.3,0.6594,33.1,21.34,16.01
tas,2,240,2,96.78,0.6755,33.23,21.78,16.34
tas,2,40,3,0.004961,0.009657,29.98,4.998,3.749
tas,2,45,3,0.00589,0.0108,30.23,5.04,3.78
tas,2,50,3,0.006614,0.01167,30.48,5.082,3.812
tas,2,55,3,0.007374,0.01259,30.85,5.145,3.859
tas,2,60,3,0.008162,0.01351,30.98,5.166,3.875
tas,2,65,3,0.008909,0.01437,31.1,5.187,3.89
tas,2,70,3,0.009619,0.01521,31.23,5.208,3.906
tas,2,75,3,0.01025,0.016,31.48,5.25,3.938
tas,2,80,3,0.0109,0.01683,31.6,5.271,3.953
tas,2,85,3,0.01156,0.01764,31.73,5.292,3.969
tas,2,90,3,0.01226,0.01847,31.85,5.313,3.985
tas,2,95,3,0.7699,0.02287,32.48,5.545,4.158
tas,2,100,3,1.528,0.02729,32.73,5.713,4.285
tas,2,105,3,2.285,0.03177,32.73,5.84,4.38
tas,2,110,3,3.218,0.03721,33.48,6.122,4.591
tas,2,115,3,4.151,0.04269,33.6,6.299,4.724
tas,2,120,3,5.085,0.04812,33.6,6.455,4.842
tas,2,125,3,6.018,0.05354,33.73,6.633,4.975
tas,2,130,3,6.951,0.05903,33.85,6.81,5.107
tas,2,135,3,7.127,0.06086,33.35,6.756,5.067
tas,2,140,3,7.303,0.06277,33.35,6.786,5.089
tas,2,145,3,7.479,0.06457,33.48,6.836,5.127
tas,2,150,3,8.428,0.07,33.73,7.037,5.278
tas,2,155,3,9.379,0.07825,33.85,7.218,5.413
tas,2,160,3,10.33,0.08654,33.98,7.398,5.549
tas,2,165,3,11.28,0.09483,33.98,7.558,5.669
tas,2,170,3,12.23,0.103,33.98,7.718,5.788
tas,2,175,3,13.18,0.1112,33.98,7.878,5.908
tas,2,180,3,14.13,0.1193,33.98,8.037,6.028
tas,2,185,3,15.08,0.1274,34.1,8.218,6.163
tas,2,190,3,15.08,0.1311,33.35,8.094,6.07
tas,2,195,3,15.08,0.1321,33.23,8.073,6.055
tas,2,200,3,15.08,0.1332,33.35,8.094,6.071
tas,2,205,3,15.08,0.1342,33.35,8.095,6.071
tas,2,210,3,15.08,0.1354,33.48,8.116,6.087
tas,2,215,3,15.08,0.1365,33.48,8.116,6.087
tas,2,220,3,15.09,0.1376,33.48,8.116,6.087
tas,2,225,3,15.45,0.1403,34.23,8.302,6.227
tas,2,230,3,15.81,0.1431,34.35,8.384,6.288
tas,2,235,3,16.18,0.1457,34.48,8.466,6.35
tas,2,240,3,16.54,0.1484,34.48,8.528,6.396
tas,3,40,0,10.41,0.04062,30.98,6.905,5.179
tas,3,45,0,12.46,0.0566,31.1,7.27,5.453
tas,3,50,0,13.73,0.07152,31.35,7.525,5.644
tas,3,55,0,15,0.09069,31.48,7.76,5.82
tas,3,60,0,15.72,0.1113,31.73,7.926,5.945
tas,3,65,0,17.21,0.1316,31.85,8.198,6.149
tas,3,70,0,18.56,0.1496,32.23,8.49,6.367
tas,3,75,0,20.1,0.1631,32.48,8.79,6.592
tas,3,80,0,22.25,0.1782,32.48,9.15,6.863
tas,3,85,0,24.36,0.1891,32.85,9.567,7.175
tas,3,90,0,27.28,0.1998,33.1,10.1,7.573
tas,3,95,0,31.13,0.206,33.98,10.89,8.164
tas,3,100,0,35.27,0.2136,33.85,11.56,8.667
tas,3,105,0,38.63,0.2257,33.85,12.12,9.088
tas,3,110,0,41.65,0.238,33.98,12.64,9.483
tas,3,115,0,45.42,0.25,34.85,13.42,10.07
tas,3,120,0,48.68,0.2644,34.98,13.99,10.49
tas,3,125,0,51.95,0.2787,34.98,14.53,10.9
tas,3,130,0,55.05,0.2944,34.85,15.03,11.27
tas,3,135,0,57.22,0.3103,34.35,15.31,11.49
tas,3,140,0,59.32,0.3267,34.48,15.69,11.77
tas,3,145,0,61.43,0.343,34.48,16.04,12.03
tas,3,150,0,63.53,0.3593,34.6,16.41,12.31
tas,3,155,0,64.79,0.3796,33.85,16.5,12.38
tas,3,160,0,65.96,0.3961,34.1,16.74,12.56
tas,3,165,0,67.41,0.4125,34.23,17.01,12.76
tas,3,170,0,68.23,0.4278,34.48,17.19,12.89
tas,3,175,0,69.05,0.4432,34.48,17.33,13
tas,3,180,0,69.91,0.4582,34.6,17.49,13.12
tas,3,185,0,70.77,0.4691,34.85,17.68,13.26
tas,3,190,0,71.92,0.4828,34.73,17.85,13.39
tas,3,195,0,72.97,0.4929,34.85,18.05,13.54
tas,3,200,0,74.56,0.5028,34.85,18.32,13.74
tas,3,205,0,75.88,0.5127,34.85,18.54,13.91
tas,3,210,0,77.61,0.5225,34.98,18.85,14.14
tas,3,215,0,79.48,0.5359,34.85,19.14,14.36
tas,3,220,0,81.1,0.5462,35.1,19.46,14.59
tas,3,225,0,82.94,0.5597,34.98,19.75,14.81
tas,3,230,0,84.49,0.5703,35.23,20.05,15.04
tas,3,235,0,86.53,0.582,35.1,20.37,15.28
tas,3,240,0,88.02,0.598,34.98,20.6,15.45
tas,3,40,1,12.62,0.01049,34.48,7.851,5.888
tas,3,45,1,15.91,0.0128,34.6,8.421,6.316
tas,3,50,1,20.18,0.01449,35.6,9.298,6.974
tas,3,55,1,23.47,0.01628,34.98,9.744,7.308
tas,3,60,1,27.33,0.0179,35.23,10.43,7.821
tas,3,65,1,30.39,0.02004,35.48,10.98,8.236
tas,3,70,1,34.08,0.02181,36.48,11.76,8.822
tas,3,75,1,38.54,0.02347,37.48,12.67,9.505
tas,3,80,1,42.04,0.02536,36.73,13.13,9.849
tas,3,85,1,46.51,0.02711,37.73,14.04,10.53
tas,3,90,1,50.14,0.02911,37.85,14.67,11
tas,3,95,1,53.77,0.03131,38.1,15.32,11.49
tas,3,100,1,56.44,0.03372,37.35,15.64,11.73
tas,3,105,1,58.95,0.03569,36.73,15.95,11.96
tas,3,110,1,61.81,0.03749,36.85,16.45,12.34
tas,3,115,1,63.88,0.03961,36.1,16.67,12.5
tas,3,120,1,65.96,0.04166,36.23,17.04,12.78
tas,3,125,1,68.04,0.04368,36.35,17.4,13.05
tas,3,130,1,69.98,0.04567,35.6,17.6,13.2
tas,3,135,1,72.89,0.04731,36.48,18.23,13.68
tas,3,140,1,75.79,0.04883,36.6,18.74,14.06
tas,3,145,1,78.7,0.05037,36.73,19.25,14.43
tas,3,150,1,81.61,0.0519,36.85,19.75,14.81
tas,3,155,1,84.52,0.05316,36.98,20.26,15.19
tas,3,160,1,88.4,0.05421,37.85,21.05,15.79
tas,3,165,1,91.98,0.05534,37.85,21.65,16.24
tas,3,170,1,96.51,0.05623,38.73,22.55,16.91
tas,3,175,1,101,0.0571,38.73,23.3,17.48
tas,3,180,1,105.6,0.05797,38.85,24.08,18.06
tas,3,185,1,111.1,0.05869,39.6,25.12,18.84
tas,3,190,1,115.6,0.05955,38.85,25.75,19.32
