scheduler,run,timestamp,cpu,llmiss_av,inst_ret_av,coretemp_av,tea_hat,pcost_hat,,Average of coretemp_av,,cpu,,,,
tas,1,40,0,8.099,0.06624,31.1,6.544,4.908,,scheduler,timestamp,0,1,2,3,
tas,1,45,0,10.54,0.08092,31.48,7.016,5.262,,tas,40,31.1,34.7,28.2,30.4,
tas,1,50,0,13.05,0.09447,31.6,7.458,5.593,,,45,31.4,35.4,28.9,30.6,
tas,1,55,0,15.57,0.1123,31.73,7.901,5.926,,,50,31.6,35.9,28.9,30.8,
tas,1,60,0,17.4,0.1303,31.85,8.231,6.173,,,55,31.8,35.4,29.9,31.1,
tas,1,65,0,19.04,0.1492,32.1,8.548,6.411,,,60,31.9,35.6,30.1,31.3,
tas,1,70,0,20.68,0.1637,32.35,8.865,6.649,,,65,32.1,35.9,30.4,31.2,
tas,1,75,0,22.47,0.1813,32.35,9.167,6.875,,,70,32.4,36.6,30.3,31.1,
tas,1,80,0,23.53,0.1991,32.48,9.367,7.025,,,75,32.4,36.6,30.7,31.3,
tas,1,85,0,24.89,0.2191,32.35,9.577,7.183,,,80,32.6,36.6,30.9,31.5,
tas,1,90,0,26.03,0.236,32.73,9.831,7.374,,,85,32.7,36.8,30.9,31.6,
tas,1,95,0,27.34,0.2519,32.73,10.05,7.54,,,90,33.0,37.2,30.8,31.8,
tas,1,100,0,28.66,0.2679,32.85,10.3,7.722,,,95,33.3,37.4,30.5,32.0,
tas,1,105,0,29.89,0.2812,33.1,10.54,7.908,,,100,33.3,36.9,31.0,32.4,
tas,1,110,0,31.53,0.2944,33.23,10.84,8.132,,,105,33.4,37.3,30.9,32.5,
tas,1,115,0,33.32,0.304,33.48,11.18,8.387,,,110,33.5,37.1,31.0,32.8,
tas,1,120,0,35.12,0.3178,33.48,11.48,8.614,,,115,33.9,37.2,30.8,32.9,
tas,1,125,0,36.48,0.3293,33.85,11.78,8.833,,,120,34.0,37.1,31.1,33.0,
tas,1,130,0,38.78,0.3406,34.6,12.29,9.216,,,125,34.1,37.4,31.0,33.0,
tas,1,135,0,41.46,0.3501,34.73,12.76,9.567,,,130,34.3,36.8,31.5,33.1,
tas,1,140,0,44.14,0.3639,34.6,13.18,9.888,,,135,34.3,37.4,31.4,33.2,
tas,1,145,0,46.56,0.3778,34.73,13.61,10.21,,,140,34.3,37.2,31.7,33.4,
