time,offcore_req,l2_cache_miss,offcore_req_scaled,l2_cache_miss_scaled,Temp0,Temp1,Temp2,Ambient_Temp0,Temp3,Ambient_Temp1,Ambient_Temp2,Planar_Temp,Temp4,Temp5,Temp6,FAN_MOD_1A_RPM,FAN_MOD_2A_RPM,FAN_MOD_3A_RPM,FAN_MOD_4A_RPM,FAN_MOD_5A_RPM,FAN_MOD_6A_RPM,FAN_MOD_1B_RPM,FAN_MOD_2B_RPM,FAN_MOD_3B_RPM,FAN_MOD_4B_RPM,FAN_MOD_5B_RPM,FAN_MOD_6B_RPM,Watts,InputDCPwr,AllPwrExtBd,ProcPwrUnc,ProcPwr,disk_read_kbytes,disk_write_kbytes
10,2834475,2204001,0.02834475,0.02204001,59,61,36,28,35,26,15,37,26,28,45,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1749,1470.4,1102.8,55.14,55.14,9.8,9
20,11127414,8843774,0.11127414,0.08843774,59,59,36,28,35,26,15,37,26,28,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1432,1105.6,829.2,41.46,41.46,0,14.9
30,2304445,1931225,0.02304445,0.01931225,56,61,36,28,35,26,15,37,26,28,45,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1369,1114.4,835.8,41.79,41.79,0,0
40,16257026,11219877,0.16257026,0.11219877,59,59,36,28,35,26,15,37,26,28,46,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1377,1123.2,842.4,42.12,42.12,0,0
50,1993852,1668953,0.01993852,0.01668953,59,59,36,28,35,26,15,37,26,28,46,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1519,1400,1050,52.5,52.5,0,34.5
60,3864348,2923858,0.03864348,0.02923858,55,61,36,28,35,26,15,37,26,28,46,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1380,1114.4,835.8,41.79,41.79,0,0
70,10922601,9531469,0.10922601,0.09531469,57,61,36,28,35,26,15,37,27,28,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1567,1126.4,844.8,42.24,42.24,0,0
80,10575304,8659624,0.10575304,0.08659624,54,61,37,28,35,26,15,37,27,28,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1575,1104,828,41.4,41.4,0,21.5
90,8569140,5592829,0.0856914,0.05592829,54,61,37,28,35,26,15,37,27,28,46,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1383,1264,948,47.4,47.4,0,0
100,8693302,5915529,0.08693302,0.05915529,54,61,37,29,35,26,15,37,28,28,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1742,1109.6,832.2,41.61,41.61,0,0
110,17192702,11492272,0.17192702,0.11492272,58,61,37,28,35,26,15,37,27,28,46,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1569,1240.8,930.6,46.53,46.53,0,17.6
120,15296448,12123301,0.15296448,0.12123301,54,61,37,29,35,26,15,37,27,28,45,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1634,1106.4,829.8,41.49,41.49,0,0
130,24169675,17680013,0.24169675,0.17680013,53,61,37,29,35,26,15,37,28,28,45,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1444,1214.4,910.8,45.54,45.54,0,0
140,26080700,17844399,0.260807,0.17844399,54,61,37,29,35,26,15,37,28,28,45,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1390,1108,831,41.55,41.55,0,19.1
150,11101381,7732447,0.11101381,0.07732447,58,58,37,29,35,26,15,37,28,28,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1565,1315.2,986.4,49.32,49.32,0,0
160,29224240,20814810,0.2922424,0.2081481,58,58,37,29,35,26,15,37,27,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1380,1355.2,1016.4,50.82,50.82,0,0
170,7340358,5037305,0.07340358,0.05037305,57,59,37,29,35,26,15,37,28,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1487,1199.2,899.4,44.97,44.97,0,20.2
180,15479886,11959190,0.15479886,0.1195919,53,61,37,29,35,26,15,37,28,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1383,1112.8,834.6,41.73,41.73,0,0
190,20083583,15142057,0.20083583,0.15142057,55,61,37,29,35,26,15,37,28,29,45,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1369,1119.2,839.4,41.97,41.97,0,0
200,21116254,15354857,0.21116254,0.15354857,53,61,37,29,35,26,15,37,28,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1368,1112.8,834.6,41.73,41.73,0,21.4
210,5979933,4708250,0.05979933,0.0470825,53,61,37,29,35,26,15,37,28,28,45,4440,4320,4440,4440,4440,4560,3120,3120,3120,3000,3120,3000,1542,1113.6,835.2,41.76,41.76,0,0
220,15689445,10745186,0.15689445,0.10745186,53,61,37,29,35,26,15,37,28,28,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1555,1135.2,851.4,42.57,42.57,0,0
230,9414618,6505062,0.09414618,0.06505062,57,58,37,29,35,26,15,37,28,29,45,4440,4320,4440,4560,4440,4560,3120,3120,3120,3000,3120,3000,1565,1109.6,832.2,41.61,41.61,0,22.4
