time,cpu,FSB,L2miss
478,0,464682250,
478,1,464685966,
480,1,,13563020
482,1,457910021,
482,0,459425984,
484,1,,12614732
484,0,,1966620
486,1,462249822,
486,0,462486186,
488,1,,13552559
488,0,,198365
490,1,456064604,
490,0,455608052,
492,1,,167109
492,0,,13728521
494,1,464811304,
494,0,464763022,
496,0,,12326136
498,0,459172484,
498,1,459191060,
500,0,,92640
500,1,,13584128
502,0,464806078,
502,1,466934792,
504,1,,7608947
504,0,,7317292
506,1,464557474,
506,0,464503252,
508,1,,216561
508,0,,13643467
510,1,458293366,
512,1,,13379548
514,0,464248882,
514,1,464155926,
516,0,,486852
516,1,,13650999
518,1,454123926,
518,0,455520228,
520,1,,13628776
520,0,,245894
522,1,463058974,
522,0,461794606,
524,0,,9858900
526,1,462376619,
526,0,462467052,
528,0,,91295
528,1,,13589695
530,0,460910046,
530,1,461034658,
532,0,,5621726
532,1,,8918437
534,1,464366248,
536,0,,153931
536,1,,13545923
538,0,447601762,
538,1,447416522,
540,1,,3608894
540,0,,10521014
542,1,462852328,
542,0,462778824,
544,1,,613477
544,0,,13792794
546,0,456978396,
548,1,,13659288
550,1,463449440,
552,1,,11245253
554,1,460223045,
556,0,,27719
556,1,,13699917
558,1,459566678,
558,0,459657210,
560,1,,8528600
560,0,,6260378
562,1,462685481,
562,0,462943392,
564,1,,13437273
564,0,,168923
566,1,453953114,
566,0,453305902,
568,1,,378877
568,0,,13927950
570,1,461973702,
570,0,461903414,
572,1,,439895
572,0,,13979698
574,0,456788618,
576,0,,248346
576,1,,13718965
578,1,462460650,
580,0,,1663693
582,1,460781530,
582,0,462071838,
584,1,,12794378
584,0,,934533
586,0,457419044,
588,1,,3422255
590,0,458163274,
592,1,,13778444
592,0,,230742
594,0,453482184,
596,1,,583747
596,0,,13600575
598,1,461284724,
598,0,461190164,
600,0,,14054867
602,1,456286016,
602,0,456231014,
604,1,,223303
604,0,,13899080
606,0,461529766,
606,1,461952789,
608,0,,11880213
610,0,459943196,
610,1,459906238,
612,1,,13805079
614,1,451481606,
614,0,451591438,
616,1,,7054516
616,0,,7654683
618,1,460285608,
618,0,460313140,
620,1,,160022
620,0,,13926251
622,0,451179466,
624,0,,12973574
626,1,460228808,
626,0,461559428,
628,1,,12775958
628,0,,1631106
630,1,452982882,
632,1,,13839095
632,0,,239522
634,1,460017202,
634,0,459438608,
636,0,,1351249
636,1,,13847509
638,0,460485018,
638,1,460348460,
640,0,,213539
640,1,,13594772,
642,1,453682169,,
644,0,,1090406,
646,0,460966266,,
648,1,,13873245,0
648,0,,108318,
650,1,453867176,,
650,0,453821646,,
652,1,,245609,
652,0,,13884977,
654,1,460391506,,
654,0,460329132,,
656,0,,9126563,
658,0,457936522,,
658,1,457985324,,
660,0,,192981,
660,1,,13823386
662,0,459054831,
662,1,458930300,
664,1,,1370300
664,0,,13762130
666,1,458391076,
666,0,458307092,
668,1,,241891
668,0,,13880159
670,1,452816097,
670,0,453597900,
672,1,,12961947
672,0,,1441466
674,0,461062912,
674,1,461641120,
676,0,,13891148
678,1,454203282,
678,0,454234238,
680,1,,157825
680,0,,13861923
682,1,460907184,
682,0,460839828,
684,1,,5811836
684,0,,9065948
686,1,459356792,
686,0,459194852,
688,1,,223241
688,0,,13834395
690,0,458881760,
692,1,,11228183
692,0,,3448234
694,1,462790798,
694,0,462857150,
696,0,,17645
696,1,,13908250
698,1,449199600,
700,0,,392784
700,1,,13677583
702,1,462168100,
704,1,,12286594
704,0,,1988510
706,1,456679976,
706,0,456574322,
708,0,,47955
708,1,,13695202
710,1,461877415,
710,0,461923678,
712,0,,11604997
714,1,462600047,
714,0,463516428,
716,1,,13743280
716,0,,190471
718,1,453854210,
718,0,453084748,
720,1,,2936346
720,0,,11771041
722,1,463399954,
722,0,463346576,
724,1,,223397
724,0,,13774009
726,1,449460058,
726,0,449388402,
728,0,,3150848
730,1,463558206,
730,0,464885254,
732,1,,12176738
732,0,,2105648
734,1,459613510,
734,0,459568088,
736,1,,13656595
738,1,462268608,
738,0,463075522,
740,1,,7141821
742,0,463505304,
742,1,463384602,
744,1,,13381262
746,1,458385969,
746,0,459925633,
748,0,,4606015
748,1,,9822431
750,0,464443068,
750,1,464240606,
752,1,,13640229
752,0,,306876
754,0,455590963,
756,1,,13612761
756,0,,246003
758,1,463456626,
758,0,463580768,
760,0,,4439934
760,1,,9847388
762,1,457912392,
762,0,458630442,
764,1,,13616808
766,1,463011060,
766,0,463125560,
768,1,,6143298
768,0,,8479632
770,1,463420510,
770,0,462833958,
772,1,,235162
772,0,,13652199
774,1,460669093,
774,0,460705640,
776,1,,5262689
776,0,,9350075
778,1,464547000,
778,0,464460750,
780,1,,200019
780,0,,13694148
782,1,454693901,
784,1,,11448994
784,0,,2409854
786,1,464917490,
786,0,464845648,
788,1,,2244645
790,0,461523874,
790,1,461529766,
792,0,,8583032
794,1,460161874,
794,0,460127510,
796,1,,6464266
796,0,,8256946
798,0,463741234,
800,1,,173166
800,0,,13649187
802,0,454944220,
802,1,455061144,
804,1,,8399991
804,0,,5511920
806,1,464913624,
806,0,465381490,
