pic0: pic0=NB_ht_bus0_bandwidth,umask0=0x0f
pic1: pic1=NB_ht_bus1_bandwidth,umask=0x0f
pic2: pic2=NB_ht_bus2_bandwidth,umask=0x0f,sys
pic3: pic3=NB_ht_bus1_bandwidth,umask=0x08,sys
   time cpu event      pic0      pic1      pic2      pic3 
  5.010   2  tick         0 4993876581         0 4993876277 
 10.010   0  tick 4986650714         0 4986650716         0 
 15.010   2  tick         0 4986690092         0 4986690091 
 20.010   2  tick         0 4986642648         0 4986642648 
 25.010   0  tick 4986679780         0 4986679778         0 
 30.010   2  tick         0 4986672232         0 4986672232 
 35.010   2  tick         0 4986689621         0 4986689621 
 40.010   2  tick         0 4986641050         0 4986641050 
 40.011   0  tick 4987341078         0 4987341078         0 
 45.010   2  tick         0 4986671423         0 4986671423 
 50.010   3  tick         0 4986703102         0 4986703102 
 55.010   0  tick 4986664706         0 4986664706         0 
 60.010   3  tick         0 4986629243         0 4986629241 
 65.010   3  tick         0 4986656607         0 4986656609 
 70.010   3  tick         0 4986676312         0 4986676312 
 75.010   2  tick         0 4986694029         0 4986694029 
 80.010   2  tick         0 4986656067         0 4986656067 
 85.010   3  tick         0 4986661909         0 4986661908 
 85.010   2  tick         0 4986694287         0 4986694285 
 85.011   0  tick 4987303959         0 4987303961         0 
 90.010   3  tick         0 4986667790         0 4986667791 
 95.010   3  tick         0 4986693420         0 4986693420 
100.010   3  tick         0 4986639842         0 4986639842 
105.010   2  tick         0 4986685477         0 4986685477 
110.010   3  tick         0 4986681734         0 4986681736 
115.010   3  tick         0 4986643055         0 4986643053 
120.010   2  tick         0 4986677231         0 4986677231 
125.010   2  tick         0 4986642571         0 4986642571 
125.012   0  tick 4987844606         0 4987844605         0 
130.010   3  tick         0 4986662764         0 4986662764 
135.010   2  tick         0 4986696908         0 4986696909 
140.010   3  tick         0 4986671180         0 4986671180 
145.010   3  tick         0 4986648990         0 4986648990 
150.010   3  tick         0 4986705569         0 4986705569 
155.010   1  tick 4986664932         0 4986664932         0 
160.010   3  tick         0 4986630006         0 4986630006 
165.010   3  tick         0 4986672960         0 4986672960 
170.010   0  tick 4986688588         0 4986688587         0 
175.010   2  tick         0 4986666089         0 4986666088 
180.010   2  tick         0 4986661742         0 4986661743 
185.010   0  tick 4986645621         0 4986645619         0 
190.010   0  tick 4986675303         0 4986675306         0 
190.010   3  tick         0 4986678938         0 4986678937 
195.010   2  tick         0 4986674001         0 4986674001 
200.010   2  tick         0 4986644171         0 4986644171 
205.010   3  tick         0 4986678220         0 4986678220 
210.010   3  tick         0 4986660294         0 4986660292 
210.022   0  tick 4997816747         0 4997816749         0 
215.010   3  tick         0 4986638906         0 4986638908 
220.010   3  tick         0 4986669661         0 4986669660 
220.010   2  tick         0 4986661863         0 4986661863 
225.010   3  tick         0 4986648200         0 4986648199 
230.010   3  tick         0 4986659965         0 4986659967 
235.010   3  tick         0 4986681614         0 4986681614 
240.010   0  tick 4986661539         0 4986661536         0 
245.010   2  tick         0 4986667360         0 4986667360 
250.010   1  tick 4986655504         0 4986655503         0 
250.010   0  tick 4986685998         0 4986685998         0 
255.010   3  tick         0 4986696949         0 4986696949 
255.019   2  tick         0 4995067349         0 4995067347 
260.010   2  tick         0 4978266540         0 4978266542 
265.010   3  tick         0 4986707317         0 4986707317 
270.010   3  tick         0 4986660794         0 4986660794 
275.010   2  tick         0 4986662188         0 4986662188 
280.010   2  tick         0 4986684258         0 4986684256 
280.011   3  tick         0 4987211197         0 4987211199 
285.010   2  tick         0 4986637772         0 4986637774 
290.010   3  tick         0 4986603392         0 4986603391 
295.010   2  tick         0 4986657986         0 4986657986 
295.011   0  tick 4987076128         0 4987076128         0 
300.010   0  tick 4986249347         0 4986249349         0 
300.010   3  tick         0 4986722486         0 4986722487 
300.011   2  tick         0 4987478266         0 4987478265 
305.010   1  tick 4986714578         0 4986714578         0 
310.010   1  tick 4986696767         0 4986696767         0 
315.010   3  tick         0 4986664135         0 4986664135 
320.010   0  tick 4986681487         0 4986681486         0 
325.010   1  tick 4986702332         0 4986702331         0 
330.010   1  tick 4986696249         0 4986696248         0 
335.010   1  tick 4986592359         0 4986592361         0 
335.010   0  tick 4986722391         0 4986722393         0 
340.010   0  tick 4986674796         0 4986674794         0 
340.011   1  tick 4987685744         0 4987685744         0 
345.010   1  tick 4985622994         0 4985622993         0 
350.010   0  tick 4986608808         0 4986608808         0 
355.010   0  tick 4986703358         0 4986703358         0 
360.010   0  tick 4986649119         0 4986649119         0 
365.010   3  tick         0 4986635531         0 4986635531 
365.010   1  tick 4986738868         0 4986738868         0 
370.010   0  tick 4986720142         0 4986720143         0 
375.010   2  tick         0 4986684393         0 4986684391 
380.010   0  tick 4986639057         0 4986639057         0 
385.010   0  tick 4986662317         0 4986662316         0 
390.010   0  tick 4986650105         0 4986650105         0 
