 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 9380692 6240756 128 2168 0 0 0 0  0  0  0  0  0  578 1676  255  0  4 96
 0 0 0 9380552 6240716 131 2168 0 0 0 0  0  2  0  0  0  627 1690  306  0  4 96
 0 0 0 9380696 6240800 79 1186 0 0 0  0  0  0  0  0  0  517 1221  215  0  2 98
 1 0 0 9380668 6240776 63 1180 0 0 0  0  0  0  0  0  0  522 1216  215  0  2 98
 0 0 0 9154892 6021836 344 28020 0 0 0 0 0  0  0  0  0 1021 14992 283 42 12 46
 0 0 0 8853816 5713344 159 8601 0 0 0 0  0  0  0  0  0 1361 12082 254 42 12 46
 0 0 0 8722404 5581872 131 3922 0 0 0 0  0  0  0  0  0  804 3224  242 49  5 46
 0 0 0 8718916 5578200 129 2234 0 0 0 0  0  3  0  0  0 1265 1836  307 50  4 46
 0 0 0 8717484 5577212 134 2226 0 0 0 0  0  0  0  0  0  805 1827  243 50  4 46
 0 0 0 8716136 5575844 129 2235 0 0 0 0  0  0  0  0  0  789 1840  238 50  4 46
 0 0 0 8715168 5574708 94 1253 0 0 0  0  0  0  0  0  0  645 1378  208 50  3 47
 0 0 0 8713256 5572856 53 1114 0 0 0  0  0  0  0  0  0  598 1260  197 50  2 48
 0 0 0 8712056 5571600 130 2225 0 0 0 0  0  0  0  0  0  790 1817  234 50  4 46
 0 0 0 8711084 5570672 129 2207 0 0 0 0  0  2  0  0  0  913 1827  293 50  4 46
 0 0 0 8709904 5569644 134 2224 0 0 0 0  0  0  0  0  0  822 1836  247 50  4 46
 0 0 0 8709272 5568812 129 2225 0 0 0 0  0  0  0  0  0 1285 1919  280 50  4 46
 0 0 0 8707920 5567620 129 2224 0 0 0 0  0  0  0  0  0  796 1818  248 50  4 46
 0 0 0 8706700 5566712 148 2240 0 0 0 0  0  0  0  0  0  838 1834  253 50  4 46
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 8705736 5565300 77 1240 0 0 0  0  0  0  0  0  0  632 1398  200 50  3 47
 0 0 0 8704908 5564468 53 1024 0 0 0  0  0  2  0  0  0  697 1256  247 50  2 48
 0 0 0 8704052 5563620 134 2225 0 0 0 0  0  0  0  0  0  790 1833  241 50  4 46
 0 0 0 8702924 5562512 129 2220 0 0 0 0  0  0  0  0  0  788 1832  231 50  4 46
 0 0 0 8701640 5561360 129 2229 0 0 0 0  0  0  0  0  0  801 1819  247 50  4 46
 0 0 0 8701008 5560776 147 2224 0 0 0 0  0  5  0  0  0 1001 1836  312 50  4 46
 0 0 0 8699528 5559244 129 2226 0 0 0 0  0  0  0  0  0  821 1810  241 50  4 46
 0 0 0 8698340 5558088 129 2243 0 0 0 0  0  0  0  0  0  810 1799  246 50  4 46
 0 0 0 8697484 5557156 79 1224 0 0 0  0  0  0  0  0  0  669 1395  206 50  3 47
 0 0 0 8696632 5556260 53 1036 0 0 0  0  0  0  0  0  0  632 1233  203 50  2 49
 0 0 0 8695156 5554948 129 2230 0 0 0 0  0  0  0  0  0  822 1809  245 50  4 46
 0 0 0 8693060 5552852 147 2480 0 0 0 0  0  2  0  0  0  972 1855  301 50  4 46
 0 0 0 8688640 5548456 129 2172 0 0 0 0  0  0  0  0  0  810 1776  246 50  4 46
 0 0 0 8688512 5548220 129 2205 0 0 0 0  0  0  0  0  0  807 1829  247 50  4 46
 0 0 0 8687412 5547336 135 2250 0 0 0 0  0  0  0  0  0  806 1838  244 50  4 46
 0 0 0 8685720 5545600 129 2232 0 0 0 0  0  0  0  0  0  811 1836  238 50  4 46
 0 0 0 8684864 5544576 94 1240 0 0 0  0  0  0  0  0  0  655 1374  208 50  3 47
 0 0 0 8683672 5543388 53 1059 0 0 0  0  0  2  0  0  0  713 1252  242 50  2 48
 0 0 0 8682516 5542384 130 2210 0 0 0 0  0  0  0  0  0  809 1823  237 50  4 46
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 8681724 5541488 129 2226 0 0 0 0  0  0  0  0  0  813 1825  247 50  4 46
 0 0 0 8680500 5540332 134 2237 0 0 0 0  0  0  0  0  0  785 1824  240 50  4 46
 0 0 0 8679220 5538964 129 2226 0 0 0 0  0  0  0  0  0 1237 1933  282 50  4 46
 0 0 0 8678028 5537932 129 2218 0 0 0 0  0  0  0  0  0  815 1818  250 50  4 46
 0 0 0 8677104 5537316 147 2215 0 0 0 0  0  2  0  0  0  943 1813  300 50  4 46
 0 0 0 8676452 5536196 77 1243 0 0 0  0  0  0  0  0  0  635 1394  201 50  3 47
 0 0 0 8675772 5535516 53 1017 0 0 0  0  0  0  0  0  0  632 1207  203 50  2 49
 0 0 0 8674576 5534476 134 2209 0 0 0 0  0  6  0  0  0  926 1817  283 50  4 46
 0 0 0 8674060 5533856 129 2230 0 0 0 0  0  0  0  0  0  781 1843  239 50  4 46
 0 0 0 8672924 5532708 129 2213 0 0 0 0  0  0  0  0  0  777 1813  243 50  4 46
 0 0 0 8672056 5532012 147 2225 0 0 0 0  0  0  0  0  0  826 1837  238 50  4 46
 0 0 0 8670872 5530612 129 2238 0 0 0 0  0  0  0  0  0  794 1817  240 50  4 46
 0 0 0 8669020 5528924 129 2253 0 0 0 0  0  0  0  0  0  814 1797  243 50  4 46
 0 0 0 8668320 5528064 77 1235 0 0 0  0  0  3  0  0  0  778 1391  263 50  3 47
 0 0 0 8667468 5527208 53 1021 0 0 0  0  0  0  0  0  0  624 1217  201 50  1 49
 0 0 0 8666240 5526152 129 2219 0 0 0 0  0  0  0  0  0  794 1806  246 50  4 46
 0 0 0 8665280 5525260 147 2225 0 0 0 0  0  0  0  0  0  830 1837  259 50  4 46
 0 0 0 8664684 5524460 129 2218 0 0 0 0  0  0  0  0  0  790 1808  246 50  4 46
 0 0 0 8663792 5523532 129 2225 0 0 0 0  0  0  0  0  0  826 1852  244 50  4 46
 kthr      memory            page            disk          faults      cpu
 r b w   swap  free  re  mf pi po fr de sr s0 s1 s2 --   in   sy   cs us sy id
 0 0 0 8662712 5522612 134 2227 0 0 0 0  0  2  0  0  0  892 1812  285 50  4 46
 0 0 0 8661552 5521464 129 2202 0 0 0 0  0  0  0  0  0  790 1827  239 50  4 46
 0 0 0 8661148 5520892 99 1320 0 0 0  0  0  0  0  0  0  673 1442  210 50  4 47
 0 0 0 8660256 5519996 48 958 0 0  0  0  0  0  0  0  0  593 1177  199 50  1 49
 0 0 0 8658856 5518760 129 2221 0 0 0 0  0  3  0  0  0  878 1821  281 50  4 46
 0 0 0 8657760 5517672 129 2224 0 0 0 0  0  0  0  0  0  792 1842  244 50  4 46
 0 0 0 8657076 5516860 134 2230 0 0 0 0  0  0  0  0  0  803 1833  242 50  4 46
 0 0 0 8655932 5515672 129 2212 0 0 0 0  0  0  0  0  0 1254 1913  280 50  4 46
 0 0 0 8655032 5514832 142 2231 0 0 0 0  0  0  0  0  0  805 1824  243 50  4 46
